RA_CODE_2021,F_Mgmt_Cmrce_35_44_yr,F_Mgmt_Cmrce_45_54_yr,F_Mgmt_Cmrce_55_64_yr,F_Mgmt_Cmrce_65_74_yr,F_Mgmt_Cmrce_75_84_yr,F_Mgmt_Cmrce_85_yr_over,F_Mgmt_Cmrce_Tot,F_Scty_Cul_15_24_yr,F_Scty_Cul_25_34_yr,F_Scty_Cul_35_44_yr,F_Scty_Cul_45_54_yr,F_Scty_Cul_55_64_yr,F_Scty_Cul_65_74_yr,F_Scty_Cul_75_84_yr,F_Scty_Cul_85_yr_over,F_Scty_Cul_Tot,F_Crtve_Arts_15_24_yr,F_Crtve_Arts_25_34_yr,F_Crtve_Arts_35_44_yr,F_Crtve_Arts_45_54_yr,F_Crtve_Arts_55_64_yr,F_Crtve_Arts_65_74_yr,F_Crtve_Arts_75_84_yr,F_Crtve_Arts_85_yr_over,F_Crtve_Arts_Tot,F_FoodHos_PsnlSvcs_15_24_yr,F_FoodHos_PsnlSvcs_25_34_yr,F_FoodHos_PsnlSvcs_35_44_yr,F_FoodHos_PsnlSvcs_45_54_yr,F_FoodHos_PsnlSvcs_55_64_yr,F_FoodHos_PsnlSvcs_65_74_yr,F_FoodHos_PsnlSvcs_75_84_ye,F_FoodHos_PsnlSvcs_85_over,F_FoodHos_PsnlSvcs_Tot,F_Mix_Fld_Prog_15_24_yr,F_Mix_Fld_Prog_25_34_yr,F_Mix_Fld_Prog_35_44_yr,F_Mix_Fld_Prog_45_54_yr,F_Mix_Fld_Prog_55_64_yr,F_Mix_Fld_Prog_65_74_yr,F_Mix_Fld_Prog_75_84_yr,F_Mix_Fld_Prog_85_yr_over,F_Mix_Fld_Prog_Tot,F_Fld_stud_inad_desc_15_24,F_Fld_stud_inad_desc_25_34,F_Fld_stud_inad_desc_35_44,F_Fld_stud_inad_desc_45_54,F_Fld_stud_inad_desc_55_64,F_Fld_stud_inad_desc_65_74,F_Fld_stud_inad_desc_75_84,F_Fld_stud_inad_desc_85_over,F_Fld_stud_inad_desc_Tot,F_Fld_stud_ns_15_24_yr,F_Fld_stud_ns_25_34_yr,F_Fld_stud_ns_35_44_yr,F_Fld_stud_ns_45_54_yr,F_Fld_stud_ns_55_64_yr,F_Fld_stud_ns_65_74_yr,F_Fld_stud_ns_75_84_yr,F_Fld_stud_ns_85_yr_over,F_Fld_stud_ns_Tot,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Nat_Phy_Sci_15_24_yr,P_Nat_Phy_Sci_25_34_yr,P_Nat_Phy_Sci_35_44_yr,P_Nat_Phy_Sci_45_54_yr,P_Nat_Phy_Sci_55_64_yr,P_Nat_Phy_Sci_65_74_yr,P_Nat_Phy_Sci_75_84_yr,P_Nat_Phy_Sci_85_yr_over,P_Nat_Phy_Sci_Tot,P_IT_15_24_yr,P_IT_25_34_yr,P_IT_35_44_yr,P_IT_45_54_yr,P_IT_55_64_yr,P_IT_65_74_yr,P_IT_75_84_yr,P_IT_85_yr_over,P_IT_Tot,P_Egnr_rel_Tech_15_24_yr,P_Egnr_rel_Tech_25_34_yr,P_Egnr_rel_Tech_35_44_yr,P_Egnr_rel_Tech_45_54_yr,P_Egnr_rel_Tech_55_64_yr,P_Egnr_rel_Tech_65_74_yr,P_Egnr_rel_Tech_75_84_yr,P_Egnr_rel_Tech_85_yr_over,P_Egnr_rel_Tech_Tot,P_Arc_Bld_15_24_yr,P_Arc_Bld_25_34_yr,P_Arc_Bld_35_44_yr,P_Arc_Bld_45_54_yr,P_Arc_Bld_55_64_yr,P_Arc_Bld_65_74_yr,P_Arc_Bld_75_84_yr,P_Arc_Bld_85_yr_over,P_Arc_Bld_Tot,P_Agric_Env_Rel_Stud_15_24,P_Agric_Env_Rel_Stud_25_34,P_Agric_Env_Rel_Stud_35_44,P_Agric_Env_Rel_Stud_45_54,P_Agric_Env_Rel_Stud_55_64,P_Agric_Env_Rel_Stud_65_74,P_Agric_Env_Rel_Stud_75_84,P_Agric_Env_Rel_Stud_85_over,P_Agric_Envir_Rel_Stud_Tot,P_Hlth_15_24_yr,P_Hlth_25_34_yr,P_Hlth_35_44_yr,P_Hlth_45_54_yr,P_Hlth_55_64_yr,P_Hlth_65_74_yr,P_Hlth_75_84_yr,P_Hlth_85_yr_over,P_Hlth_Tot,P_Edu_15_24_yr,P_Edu_25_34_yr,P_Edu_35_44_yr,P_Edu_45_54_yr,P_Edu_55_64_yr,P_Edu_65_74_yr,P_Edu_75_84_yr,P_Edu_85_yr_over,P_Edu_Tot,P_Mgmt_Cmrce_15_24_yr,P_Mgmt_Cmrce_25_34_yr,P_Mgmt_Cmrce_35_44_yr,P_Mgmt_Cmrce_45_54_yr,P_Mgmt_Cmrce_55_64_yr,P_Mgmt_Cmrce_65_74_yr,P_Mgmt_Cmrce_75_84_yr,P_Mgmt_Cmrce_85_yr_over,P_Mgmt_Cmrce_Tot,P_Scty_Cul_15_24_yr,P_Scty_Cul_25_34_yr,P_Scty_Cul_35_44_yr,P_Scty_Cul_45_54_yr,P_Scty_Cul_55_64_yr,P_Scty_Cul_65_74_yr,P_Scty_Cul_75_84_yr,P_Scty_Cul_85_yr_over,P_Scty_Cul_Tot,P_Crtve_Arts_15_24_yr,P_Crtve_Arts_25_34_yr,P_Crtve_Arts_35_44_yr,P_Crtve_Arts_45_54_yr,P_Crtve_Arts_55_64_yr,P_Crtve_Arts_65_74_yr,P_Crtve_Arts_75_84_yr,P_Crtve_Arts_85_yr_over,P_Crtve_Arts_Tot,P_FoodHos_PsnlSvcs_15_24,P_FoodHos_PsnlSvcs_25_34,P_FoodHos_PsnlSvcs_35_44,P_FoodHos_PsnlSvcs_45_54,P_FoodHos_PsnlSvcs_55_64,P_FoodHos_PsnlSvcs_65_74,P_FoodHos_PsnlSvcs_75_84,P_FoodHos_PsnlSvcs_85_over,P_FoodHos_PsnlSvcs_Tot,P_Mix_Fld_Prog_15_24_yr,P_Mix_Fld_Prog_25_34_yr,P_Mix_Fld_Prog_35_44_yr,P_Mix_Fld_Prog_45_54_yr,P_Mix_Fld_Prog_55_64_yr,P_Mix_Fld_Prog_65_74_yr,P_Mix_Fld_Prog_75_84_yr,P_Mix_Fld_Prog_85_yr_over,P_Mix_Fld_Prog_Tot,P_Fld_stud_inad_desc_15_24,P_Fld_stud_inad_desc_25_34,P_Fld_stud_inad_desc_35_44,P_Fld_stud_inad_desc_45_54,P_Fld_stud_inad_desc_55_64,P_Fld_stud_inad_desc_65_74,P_Fld_stud_inad_desc_75_84,P_Fld_stud_inad_desc_85_over,P_Fld_stud_inad_desc_Tot,P_Fld_stud_ns_15_24_yr,P_Fld_stud_ns_25_34_yr,P_Fld_stud_ns_35_44_yr,P_Fld_stud_ns_45_54_yr,P_Fld_stud_ns_55_64_yr,P_Fld_stud_ns_65_74_yr,P_Fld_stud_ns_75_84_yr,P_Fld_stud_ns_85_yr_over,P_Fld_stud_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr
RA40,19133,14920,10239,5373,1804,564,72988,4889,13508,13578,11991,9941,6206,1876,385,62370,1906,3780,3197,2104,1298,848,411,168,13715,2812,5519,4533,3693,2444,1637,716,198,21545,121,91,80,90,120,96,42,16,662,286,899,1219,889,650,505,225,105,4783,3499,4557,4139,3607,3256,3568,4142,3087,29860,26717,76076,73630,59785,48153,33928,15946,6702,340934,1701,4781,5010,4044,3064,2582,1148,280,22612,1919,6458,6970,3557,2027,954,162,12,22065,4932,17054,16252,16180,15733,13155,7246,2442,92995,2861,8084,5821,5137,4273,3236,1881,625,31915,971,2384,2321,2092,1615,902,335,99,10717,5759,20034,16847,14070,13229,9072,3873,1379,84256,2031,9637,9428,8733,8853,9753,4355,979,53763,7725,28346,32715,26085,18681,11240,4243,1222,130258,7360,19972,19725,17215,14366,9873,3407,723,92627,3540,6848,5715,3634,2368,1584,696,240,24629,4124,8910,7358,5738,3919,2483,1096,303,33926,222,170,132,137,163,120,47,19,1019,647,1932,2402,1961,1442,1112,556,222,10273,7336,9828,9052,7975,7031,6773,6924,4817,59734,51120,144429,139751,116552
RA41,1698,1716,1427,893,272,81,7488,479,1185,1288,1587,1635,1029,284,32,7513,112,235,242,201,193,122,52,12,1182,378,622,589,529,371,313,109,31,2951,5,11,5,10,13,11,9,0,59,26,60,79,111,104,53,26,8,469,577,497,539,759,728,877,746,469,5200,2730,6007,7172,7910,7869,6368,2668,946,41666,105,260,401,451,348,388,159,18,2130,85,164,237,173,181,140,20,6,996,619,1718,1938,2380,2696,2472,1307,316,13453,307,737,666,700,754,607,330,74,4179,334,585,793,816,734,454,153,25,3895,441,1227,1390,1665,2231,1782,657,197,9588,187,875,1066,1130,1320,1827,745,136,7276,418,1530,2383,2620,2358,1781,645,146,11874,659,1517,1687,2052,2176,1568,532,69,10255,228,387,384,335,328,239,85,25,2012,515,930,925,849,627,516,159,38,4557,15,5,10,18,18,12,16,3,93,59,148,183,244,213,169,78,30,1124,1265,1073,1212,1578,1594,1719,1421,774,10638,5229,11169,13261,15019
RA42,1708,1555,1235,595,185,40,7193,535,1385,1347,1583,1522,785,159,13,7328,80,160,167,125,108,67,24,12,740,408,828,678,573,396,254,92,25,3258,13,12,10,4,11,9,4,0,72,17,61,61,81,65,40,26,8,358,813,845,926,984,1195,1300,1179,622,7876,3292,7655,7695,7640,7554,5352,2602,951,42739,45,186,229,193,231,211,64,11,1172,66,229,181,139,105,65,9,0,796,858,2423,2210,2626,2921,2483,1106,261,14893,329,871,588,588,680,571,282,59,3973,389,780,922,958,722,459,136,33,4396,494,1609,1405,1501,2112,1476,523,154,9271,369,1341,1295,1225,1136,1261,552,96,7282,637,2009,2384,2297,1949,1177,383,76,10910,683,1799,1738,1960,1908,1127,256,23,9501,145,252,241,186,168,131,46,22,1182,580,1182,1017,873,655,409,159,45,4921,17,16,26,18,16,19,16,3,126,52,159,168,183,196,131,58,23,968,1873,2005,2081,2303,2692,2660,2168,985,16777,6546,14861,14483,15062
RA43,415,349,286,139,37,7,1690,102,280,283,280,308,161,38,4,1449,6,52,46,30,21,7,14,0,185,103,188,169,148,85,56,7,0,757,0,0,0,0,0,0,3,0,9,0,6,23,27,13,18,4,0,96,204,287,240,281,293,262,190,117,1872,743,1992,1935,1801,1760,1238,506,191,10166,17,68,86,52,51,57,22,0,349,10,41,39,27,33,15,3,0,162,214,869,796,754,742,510,201,45,4129,78,339,223,185,207,149,67,21,1268,109,243,298,261,188,116,28,12,1253,116,400,335,386,509,331,119,25,2226,81,345,331,292,290,333,146,31,1860,140,509,587,538,463,270,80,12,2595,140,382,371,346,421,243,69,11,1976,15,87,72,52,48,27,23,0,310,144,288,264,240,155,83,23,8,1204,0,3,0,0,4,0,3,0,17,8,31,64,54,56,45,6,5,274,469,815,727,791,781,601,395,203,4785,1530,4430,4202,3981
RA44,95,102,89,47,8,0,442,29,87,90,87,102,63,11,0,471,0,29,14,13,10,4,3,0,80,20,38,39,30,27,10,6,0,171,0,5,0,0,0,0,0,0,3,0,0,3,10,6,0,0,0,24,131,184,116,161,183,179,74,38,1069,287,719,555,609,685,506,154,52,3569,7,29,25,25,22,19,7,0,133,0,14,14,9,11,3,0,0,59,68,313,268,280,288,231,45,12,1509,16,72,54,72,86,44,22,0,370,45,58,74,60,43,35,7,0,329,34,138,100,90,182,117,31,4,694,26,146,127,121,133,133,35,3,721,21,130,153,156,161,108,19,0,754,43,118,131,115,151,99,16,0,676,8,45,24,24,25,21,0,0,151,37,62,75,70,62,30,4,0,340,0,8,3,0,0,0,0,0,8,8,12,8,18,16,10,3,0,84,331,499,415,507,518,374,187,71,2897,648,1645,1457,1547
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,8,0,0,12,7
RA50,31634,24658,16208,8926,3595,1117,120804,7438,18601,20006,16473,12536,7422,2314,485,85274,3664,6263,5504,3305,1945,1226,610,207,22733,5100,9766,7838,6061,3796,2489,982,239,36274,344,167,102,88,117,96,56,26,992,570,1427,1666,1303,916,612,253,98,6848,6102,8979,7987,6285,5136,5415,5769,4928,50596,46981,120396,122445,96530,71210,46121,22326,9876,535885,3803,8814,9126,7355,5413,3617,1498,324,39949,2707,7599,10295,5622,3007,1120,222,20,30589,9888,34753,36687,31079,28004,21363,10008,2797,174576,3785,12256,10846,8880,7487,5497,2764,858,52376,1242,3295,3825,3033,2211,1323,628,184,15734,8766,28788,25154,20105,16726,10897,5268,1682,117389,4198,14367,16420,16784,15078,11526,5127,1371,84876,14778,41791,51579,41245,28204,17037,7059,1875,203573,11490,26612,27635,23198,17698,11468,3976,843,122922,6606,10422,8848,5262,3208,2200,946,295,37794,7049,14432,12563,9304,6110,3766,1597,361,55181,674,320,187,159,182,154,87,34,1801,1138,2979,3462,2972,2117,1383,698,236,14990,12875,18825,17278,13946,11143,10423,10093,7625,102207,88994,225258,233900,188950
RA51,2332,2175,1709,994,334,94,10326,694,1233,1764,1786,1505,928,233,23,8179,221,392,398,337,268,191,94,28,1918,524,1008,880,792,492,324,109,20,4140,35,16,9,11,14,10,4,3,103,37,78,125,136,112,68,31,7,599,893,966,1037,1086,1048,1042,868,527,7466,4455,8922,11086,10712,9140,6311,2782,988,54397,113,366,581,552,415,363,124,15,2534,204,288,348,242,181,116,27,5,1405,1256,3079,3592,3810,3710,2893,1217,249,19798,429,1190,1171,1120,1134,839,377,94,6349,304,510,823,792,626,409,178,43,3680,659,1756,2135,2062,2252,1565,695,197,11330,413,1170,1937,2182,2019,1631,617,123,10094,1108,2504,3158,3130,2597,1739,633,150,15012,946,1601,2179,2203,1910,1308,386,54,10597,363,561,568,478,384,304,136,31,2829,714,1400,1342,1213,824,520,181,29,6230,69,32,16,20,32,20,12,3,195,93,183,279,319,275,180,77,21,1419,2062,2413,2405,2525,2308,2136,1616,857,16328,8734,17051,20541,20633
RA52,1619,1437,1247,694,241,60,7318,446,989,1163,1113,1128,686,160,27,5708,144,229,223,200,181,134,66,11,1192,405,704,579,548,306,199,75,14,2829,35,13,10,11,10,7,4,0,95,28,51,76,78,83,49,12,6,383,1029,1151,1209,1206,1263,1187,878,526,8447,3858,7539,8154,7831,7349,5114,2338,900,43089,144,361,448,384,290,239,70,15,1951,115,215,208,161,122,76,18,0,921,1027,2947,2724,2729,2806,2033,827,202,15293,312,871,725,671,725,603,257,66,4225,438,689,845,860,761,500,174,47,4314,608,1604,1488,1574,1685,1240,564,166,8925,294,1046,1430,1643,1607,1223,447,104,7786,891,1814,2215,2080,1903,1160,399,100,10556,602,1289,1487,1436,1489,987,263,45,7605,222,350,345,279,261,213,101,21,1789,519,997,867,826,556,331,157,25,4271,64,30,13,13,21,7,3,7,160,65,123,179,187,197,135,54,16,962,2224,2593,2729,2784,2823,2536,1688,834,18213,7524,14922,15722,15622
RA53,1123,794,573,317,94,12,4331,187,614,615,461,400,232,39,5,2552,46,203,156,93,69,35,21,3,617,143,399,340,289,162,103,25,0,1466,5,6,3,4,0,5,0,0,25,19,40,51,36,42,25,4,3,224,754,1287,1110,985,954,695,324,105,6211,1979,5693,5348,4079,3563,2310,773,180,23921,54,225,245,171,112,74,21,3,905,42,107,148,59,43,31,4,0,422,616,2483,2529,1965,1554,961,276,36,10432,136,618,553,427,411,266,75,10,2486,153,311,460,373,298,156,70,12,1833,221,989,856,663,781,471,174,39,4192,152,766,912,764,696,573,155,24,4049,423,1482,1671,1252,942,597,177,22,6558,250,796,827,643,575,347,83,7,3529,80,287,212,134,96,60,25,5,895,201,551,518,447,288,152,41,3,2200,16,8,7,5,4,6,4,0,49,49,103,161,133,131,74,21,6,674,1726,3087,3088,2870,2605,1576,695,185,15829,4116,11815,12188,9891
RA54,689,550,652,378,66,3,3325,155,500,408,363,434,262,42,0,2161,38,161,111,72,60,42,6,0,491,164,390,248,204,176,99,25,0,1297,8,15,0,0,4,0,0,0,26,15,32,36,43,38,20,6,0,192,982,1707,1204,1239,1113,681,227,38,7203,2089,5448,3996,3574,3888,2520,529,66,22118,121,580,375,274,199,143,19,0,1708,27,106,109,75,74,44,3,0,436,709,3682,3268,2721,2225,1303,283,23,14223,169,733,658,474,468,386,89,3,2985,118,348,333,302,247,167,44,5,1568,192,899,629,668,924,624,110,7,4056,134,605,576,623,778,670,108,4,3501,359,1106,1208,1082,1128,702,139,12,5733,248,773,631,553,618,392,76,6,3308,60,263,188,139,95,82,10,0,847,240,610,544,458,330,160,33,3,2378,12,23,4,4,8,3,0,0,57,38,122,166,170,131,56,16,0,703,2521,6270,5722,5530,4179,1828,524,76,26651,4958,16118,14419,13062
RA55,9,8,11,7,3,0,42,0,10,0,4,0,0,0,0,23,0,3,0,3,6,0,0,0,10,5,3,0,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,29,20,23,25,14,7,0,126,32,82,44,51,69,38,14,0,325,3,9,10,12,9,0,0,0,50,0,0,4,9,6,0,0,0,12,35,141,277,260,141,20,6,0,883,0,13,30,15,10,4,0,0,79,0,11,13,6,0,4,0,0,33,4,6,14,19,14,6,4,0,59,0,6,7,5,10,14,0,0,37,3,13,24,24,24,13,3,0,106,7,14,9,11,8,5,0,0,48,0,3,0,5,3,0,0,0,16,7,17,20,20,12,0,0,0,80,0,0,3,0,0,0,0,0,6,0,4,8,7,10,0,0,0,39,51,222,444,398,218,57,13,0,1405,112,476,858,801
RA61,4481,3316,2488,1429,480,186,19810,1091,3513,3324,3186,2709,1784,507,102,16222,281,979,770,637,479,356,157,46,3706,706,1607,1163,1015,628,407,183,33,5749,48,25,16,17,20,19,17,3,161,76,269,286,249,182,121,65,20,1277,1093,1484,1157,1039,1059,1245,1301,772,9157,6561,21776,17750,15258,13110,9790,4762,1838,90835,429,1401,1307,1188,911,720,296,83,6328,518,2626,1466,725,460,222,40,5,6057,964,4106,3292,3397,3612,2890,1719,533,20517,745,2378,1808,1656,1574,1001,612,165,9938,257,768,798,824,650,394,150,47,3887,1302,4783,3646,3247,3283,2485,1143,372,20268,358,2100,2687,2634,2770,2700,1301,390,14937,1992,11207,7375,5507,4291,2722,1063,326,34480,1527,5111,4660,4515,3859,2772,865,177,23483,542,1672,1343,1094,793,622,271,81,6418,1068,2615,2004,1641,1078,673,276,51,9417,85,65,29,22,30,29,15,9,285,168,566,569,516,382,286,152,39,2683,2331,3258,2508,2262,2215,2349,2253,1219,18396,12281,42665,33490,29224
RA62,1714,1607,1641,902,245,47,8348,531,1453,1554,1789,1895,1047,197,33,8497,74,274,293,251,333,222,72,12,1530,436,958,770,645,460,283,90,16,3662,9,17,5,5,10,8,9,3,63,36,62,89,112,117,85,28,8,534,793,797,816,931,1072,1240,1061,471,7186,3152,7862,8081,8307,9027,6456,2870,913,46676,52,287,337,351,403,308,141,32,1917,103,380,310,223,230,145,26,0,1420,631,2102,2111,2495,3048,2486,1126,236,14235,450,1146,815,942,1176,865,372,74,5839,300,741,848,846,727,412,149,32,4054,440,1453,1395,1558,2089,1588,617,162,9304,201,907,1315,1317,1579,1609,794,173,7902,676,2524,2413,2416,2482,1594,466,87,12647,690,1830,1962,2264,2409,1561,355,66,11139,139,418,462,376,504,393,136,21,2447,598,1325,1112,1009,811,488,163,28,5531,15,27,7,13,9,21,4,4,108,73,145,199,262,245,199,86,25,1229,1705,1709,1652,2005,2296,2511,1987,823,14704,6075,15000,14943,16077
RA63,56,66,77,33,9,5,370,19,44,45,57,85,50,14,0,300,4,13,20,9,17,12,5,0,73,14,47,42,24,29,17,3,3,183,0,0,0,0,0,0,5,0,0,0,6,5,0,9,0,0,0,19,40,91,55,57,89,68,37,22,458,110,441,317,315,455,305,108,39,2097,5,21,19,22,30,17,3,3,118,10,11,14,15,15,3,0,0,66,23,128,111,167,192,160,56,17,854,6,36,24,52,67,51,26,5,253,15,32,44,43,35,25,6,3,197,9,66,44,49,105,79,24,4,373,7,59,50,33,59,66,17,7,301,34,204,101,88,123,60,17,7,640,18,57,57,73,112,78,23,0,429,5,23,26,18,20,20,6,0,115,24,74,69,54,57,37,9,4,327,0,0,0,0,0,0,5,0,3,3,10,10,6,12,6,4,0,49,115,172,136,134,196,156,90,29,1020,262,894,707,759
RA64,23,13,26,22,0,0,107,3,12,14,14,19,20,0,3,83,0,6,3,3,7,6,0,0,17,6,13,6,6,3,3,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,3,15,22,8,14,14,14,9,103,23,91,116,93,107,105,50,14,603,0,0,3,0,3,6,0,0,15,0,0,0,0,0,0,0,0,7,8,33,41,29,38,42,18,8,206,0,20,11,13,18,15,7,3,83,9,18,22,21,10,10,3,0,88,0,20,20,21,25,18,8,0,115,5,15,14,20,23,26,14,3,119,0,29,31,23,32,35,9,4,153,3,12,18,23,24,22,6,3,112,0,3,8,6,9,9,3,0,38,3,17,15,12,14,11,0,0,69,0,0,0,0,0,0,0,0,0,0,3,0,4,4,3,0,0,13,9,29,46,30,30,47,34,11,239,42,194,219,204
RA65,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,3,4,5,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,14,6,8,12,14,13,8,0,0,59,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,3,4,15,19,29,18,6,0,0,91,0,0,4,0,4,0,0,0,11,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,3,0,4,0,6,4,0,0,0,16,0,0,0,3,3,0,0,0,6,0,0,0,0,0,0,0,0,5,4,3,6,4,6,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,25,25,29,25,0,0,0,115,10,58,67,71
RA72,2311,1678,1199,536,122,21,9197,435,1630,1522,1193,958,492,106,10,6352,100,395,306,179,108,74,13,5,1188,269,671,536,359,221,123,26,6,2214,12,13,13,9,3,3,0,0,45,34,149,128,113,74,41,11,0,549,961,1666,1386,1224,1091,775,312,98,7521,3350,11455,9709,7251,5716,3351,980,195,42012,121,477,489,380,286,202,48,9,2011,276,819,642,322,187,87,11,0,2344,861,2789,2406,2210,1952,1343,434,75,12070,232,824,737,584,550,369,144,22,3463,168,358,421,368,250,169,35,3,1776,538,2771,2032,1368,1173,711,206,46,8842,227,1169,1326,1145,1116,845,274,25,6138,958,4590,3686,2721,1933,993,250,28,15152,711,2422,2345,1828,1416,816,200,24,9751,177,596,486,292,201,127,39,3,1918,447,1103,922,603,385,222,50,6,3728,20,21,18,18,6,5,4,0,95,79,298,305,296,177,111,33,3,1293,2048,3406,2845,2621,2369,1728,639,174,15832,6868,21621,18661,14754
RA73,494,484,380,206,27,6,2308,109,576,482,379,371,181,39,0,2132,30,140,78,53,58,36,11,0,408,107,181,137,100,92,71,3,3,690,0,5,0,6,6,0,0,0,15,13,42,36,22,20,16,0,0,146,421,691,561,599,700,492,104,34,3602,1048,3633,2796,2531,2639,1605,300,67,14611,24,139,135,86,109,81,20,0,590,15,132,121,49,58,25,4,0,399,164,725,620,556,663,539,135,12,3421,66,261,228,198,223,167,40,3,1189,73,167,165,168,144,85,19,0,825,151,1022,710,518,633,342,60,14,3455,68,400,364,408,500,404,89,8,2239,163,985,768,721,632,387,52,6,3714,164,841,763,617,558,309,66,4,3319,55,220,165,93,110,62,19,0,728,172,326,266,192,159,105,14,3,1232,4,11,9,3,6,0,0,0,39,23,78,88,48,54,38,8,0,336,884,1395,1150,1218,1349,1023,252,59,7334,2026,6702,5547,4877
RA74,255,221,219,106,8,0,1141,55,292,205,212,194,110,13,0,1080,25,72,38,25,41,19,6,0,224,57,109,77,64,53,30,0,0,391,0,4,3,4,0,0,0,0,9,11,14,10,7,6,0,0,0,46,575,675,449,434,419,261,53,3,2875,1008,2110,1553,1466,1597,901,117,7,8760,11,77,33,48,62,45,13,0,288,11,26,32,17,22,16,0,0,118,155,473,424,404,430,359,62,3,2310,62,189,182,156,146,103,10,0,856,178,187,173,118,101,60,19,0,835,68,379,280,273,445,205,23,0,1671,57,285,289,301,349,252,29,0,1567,104,402,386,321,358,226,24,0,1822,86,448,336,302,298,184,27,0,1683,34,104,64,55,51,33,4,0,349,80,177,137,119,95,52,3,0,659,4,5,3,4,3,0,0,0,19,24,36,35,36,17,14,3,0,159,1278,1697,1232,1187,1083,644,142,8,7277,2140,4481,3610,3344
RA75,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,5,0,0,17,10,8,0,3,3,14,0,0,49,0,0,5,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,7,24,41,53,41,4,0,0,164,3,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,9,0,0,0,0,0,3,0,0,8,0,0,0,6,0,4,0,0,16,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,10,17,44,40,36,11,3,0,155,27,46,97,109
RA80,7720,5940,3990,2368,868,265,30346,2491,7984,7321,5451,4061,2816,1131,248,31503,669,1919,1726,1141,661,371,170,60,6705,823,1387,1129,843,463,269,150,45,5110,36,21,16,17,13,13,10,6,138,163,490,601,456,349,206,121,49,2436,1691,2066,1513,1127,843,892,786,569,9486,10668,33619,30754,22997,16855,11949,5715,2008,134562,1075,3378,2963,2545,2085,1677,835,229,14783,1629,5716,5834,3419,2256,889,153,11,19898,959,5097,4664,3813,3221,2548,1371,524,22200,894,2754,2084,1690,1285,880,545,178,10305,262,955,891,866,630,380,213,57,4258,1542,6240,4883,3547,2989,2142,1100,407,22855,659,3402,3672,3121,2723,2707,1546,390,18219,2767,13230,13363,10390,6976,4214,1575,438,52957,3908,12867,11740,9216,6869,5265,2308,546,52717,1181,3229,2908,1860,1079,649,269,76,11255,1223,2483,2066,1506,819,438,232,60,8829,78,48,25,28,24,28,15,7,256,323,943,1123,868,631,444,265,119,4714,3511,4537,3454,2487,1871,1658,1387,900,19805,20015,64875,59668,45362
