RA_CODE_2021,F_150_299_15_19_yr,F_150_299_20_24_yr,F_150_299_25_34_yr,F_150_299_35_44_yr,F_150_299_45_54_yr,F_150_299_55_64_yr,F_150_299_65_74_yr,F_150_299_75_84_yr,F_150_299_85_yr_over,F_150_299_Tot,F_300_399_15_19_yr,F_300_399_20_24_yr,F_300_399_25_34_yr,F_300_399_35_44_yr,F_300_399_45_54_yr,F_300_399_55_64_yr,F_300_399_65_74_yr,F_300_399_75_84_yr,F_300_399_85_yr_over,F_300_399_Tot,F_400_499_15_19_yr,F_400_499_20_24_yr,F_400_499_25_34_yr,F_400_499_35_44_yr,F_400_499_45_54_yr,F_400_499_55_64_yr,F_400_499_65_74_yr,F_400_499_75_84_yr,F_400_499_85_yr_over,F_400_499_Tot,F_500_649_15_19_yr,F_500_649_20_24_yr,F_500_649_25_34_yr,F_500_649_35_44_yr,F_500_649_45_54_yr,F_500_649_55_64_yr,F_500_649_65_74_yr,F_500_649_75_84_yr,F_500_649_85_yr_over,F_500_649_Tot,F_650_799_15_19_yr,F_650_799_20_24_yr,F_650_799_25_34_yr,F_650_799_35_44_yr,F_650_799_45_54_yr,F_650_799_55_64_yr,F_650_799_65_74_yr,F_650_799_75_84_yr,F_650_799_85_yr_over,F_650_799_Tot,F_800_999_15_19_yr,F_800_999_20_24_yr,F_800_999_25_34_yr,F_800_999_35_44_yr,F_800_999_45_54_yr,F_800_999_55_64_yr,F_800_999_65_74_yr,F_800_999_75_84_yr,F_800_999_85_yr_over,F_800_999_Tot,F_1000_1249_15_19_yr,F_1000_1249_20_24_yr,F_1000_1249_25_34_yr,F_1000_1249_35_44_yr,F_1000_1249_45_54_yr,F_1000_1249_55_64_yr,F_1000_1249_65_74_yr,F_1000_1249_75_84_yr,F_1000_1249_85_yr_over,F_1000_1249_Tot,F_1250_1499_15_19_yr,F_1250_1499_20_24_yr,F_1250_1499_25_34_yr,F_1250_1499_35_44_yr,F_1250_1499_45_54_yr,F_1250_1499_55_64_yr,F_1250_1499_65_74_yr,F_1250_1499_75_84_yr,F_1250_1499_85_yr_over,F_1250_1499_Tot,F_1500_1749_15_19_yr,F_1500_1749_20_24_yr,F_1500_1749_25_34_yr,F_1500_1749_35_44_yr,F_1500_1749_45_54_yr,F_1500_1749_55_64_yr,F_1500_1749_65_74_yr,F_1500_1749_75_84_yr,F_1500_1749_85_yr_over,F_1500_1749_Tot,F_1750_1999_15_19_yr,F_1750_1999_20_24_yr,F_1750_1999_25_34_yr,F_1750_1999_35_44_yr,F_1750_1999_45_54_yr,F_1750_1999_55_64_yr,F_1750_1999_65_74_yr,F_1750_1999_75_84_yr,F_1750_1999_85_yr_over,F_1750_1999_Tot,F_2000_2999_15_19_yr,F_2000_2999_20_24_yr,F_2000_2999_25_34_yr,F_2000_2999_35_44_yr,F_2000_2999_45_54_yr,F_2000_2999_55_64_yr,F_2000_2999_65_74_yr,F_2000_2999_75_84_yr,F_2000_2999_85_yr_over,F_2000_2999_Tot,F_3000_3499_15_19_yr,F_3000_3499_20_24_yr,F_3000_3499_25_34_yr,F_3000_3499_35_44_yr,F_3000_3499_45_54_yr,F_3000_3499_55_64_yr,F_3000_3499_65_74_yr,F_3000_3499_75_84_yr,F_3000_3499_85_yr_over,F_3000_3499_Tot,F_3500_more_15_19_yr,F_3500_more_20_24_yr,F_3500_more_25_34_yr,F_3500_more_35_44_yr,F_3500_more_45_54_yr,F_3500_more_55_64_yr,F_3500_more_65_74_yr,F_3500_more_75_84_yr,F_3500_more_85_yr_over,F_3500_more_Tot,F_Personal_inc_ns_15_19_yr,F_Personal_inc_ns_20_24_yr,F_Personal_inc_ns_25_34_yr,F_Personal_inc_ns_35_44_yr,F_Personal_inc_ns_45_54_yr,F_Personal_inc_ns_55_64_yr,F_Personal_inc_ns_65_74_yr,F_Personal_inc_ns_75_84_yr,F_Personal_inc_ns_85_yr_over,F_Personal_inc_ns_Tot,F_OS_vis_15_19_yr,F_OS_vis_20_24_yr,F_OS_vis_25_34_yr,F_OS_vis_35_44_yr,F_OS_vis_45_54_yr,F_OS_vis_55_64_yr,F_OS_vis_65_74_yr,F_OS_vis_75_84_yr,F_OS_vis_85_yr_over,F_OS_vis_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Neg_Nil_inc_15_19_yr,P_Neg_Nil_inc_20_24_yr,P_Neg_Nil_inc_25_34_yr,P_Neg_Nil_inc_35_44_yr,P_Neg_Nil_inc_45_54_yr,P_Neg_Nil_inc_55_64_yr,P_Neg_Nil_inc_65_74_yr,P_Neg_Nil_inc_75_84_yr,P_Neg_Nil_inc_85_yr_over,P_Neg_Nil_inc_Tot,P_1_149_15_19_yr,P_1_149_20_24_yr,P_1_149_25_34_yr,P_1_149_35_44_yr,P_1_149_45_54_yr,P_1_149_55_64_yr,P_1_149_65_74_yr,P_1_149_75_84_yr,P_1_149_85_yr_over,P_1_149_Tot,P_150_299_15_19_yr,P_150_299_20_24_yr,P_150_299_25_34_yr,P_150_299_35_44_yr,P_150_299_45_54_yr,P_150_299_55_64_yr,P_150_299_65_74_yr,P_150_299_75_84_yr,P_150_299_85_yr_over,P_150_299_Tot,P_300_399_15_19_yr,P_300_399_20_24_yr,P_300_399_25_34_yr,P_300_399_35_44_yr,P_300_399_45_54_yr,P_300_399_55_64_yr,P_300_399_65_74_yr,P_300_399_75_84_yr,P_300_399_85_yr_over,P_300_399_Tot
RA43,98,64,102,88,97,191,207,85,22,966,39,56,132,138,155,303,571,304,79,1778,41,62,172,145,175,281,482,343,199,1909,62,107,225,240,253,299,314,157,66,1731,39,137,282,258,291,285,204,104,43,1643,18,137,315,273,297,324,164,54,19,1600,17,103,301,278,327,293,105,35,8,1470,4,72,203,205,230,181,84,19,12,995,8,45,204,190,196,137,54,27,7,870,4,27,146,135,114,91,31,14,3,551,0,18,134,158,167,120,31,11,0,643,0,5,28,27,35,25,14,8,0,145,0,3,19,47,50,43,21,9,0,200,103,101,243,211,251,251,239,170,114,1691,0,3,0,5,3,6,3,4,0,25,985,983,2698,2563,2806,3236,2773,1434,614,18102,612,71,191,152,206,478,267,102,44,2124,509,30,60,72,63,145,124,82,31,1113,205,104,154,137,158,348,382,184,47,1729,76,96,190,199,259,535,1069,671,184,3275
RA44,52,52,105,87,77,95,104,21,8,601,22,41,97,88,94,91,156,70,17,677,9,30,52,42,53,100,151,80,41,557,12,28,78,65,60,73,100,33,11,456,12,29,84,68,49,82,77,14,3,419,9,47,70,88,80,88,40,14,3,440,4,31,96,67,98,100,44,7,0,457,0,27,83,68,83,83,23,4,0,375,0,13,73,52,78,57,17,9,0,289,0,13,45,35,52,52,13,0,0,209,0,8,39,38,67,61,16,7,0,241,0,0,9,5,9,9,3,0,0,37,0,3,7,8,7,21,3,3,0,56,85,56,194,115,141,172,162,62,33,1019,0,5,9,0,0,5,0,0,0,20,347,407,1096,876,1005,1210,991,344,128,6406,216,44,61,53,68,144,104,31,13,728,92,14,34,16,38,48,57,12,5,308,105,105,202,177,144,178,187,46,11,1159,36,80,183,145,198,213,336,183,35,1404
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA50,8561,6556,5792,6039,4913,6246,6999,3548,1187,49854,3594,6172,6828,6932,6515,8527,15707,10386,2823,67493,2404,5650,7383,7308,6790,8127,16208,13334,7028,74229,2144,7362,11760,11148,9666,9261,11323,7012,3154,72830,1256,6855,12904,12407,10556,8909,7378,3735,1449,65449,797,7209,15657,14047,12894,9840,5546,2258,933,69185,364,6033,18083,15747,14561,11474,4513,1313,483,72569,156,3633,14957,12541,11424,8485,2723,676,239,54841,73,1758,12815,11274,10303,7324,2088,604,277,46516,18,578,8102,8251,7629,5002,1319,302,101,31306,27,549,9427,13949,13080,7832,1800,420,173,47260,11,83,1368,2662,2473,1513,441,175,61,8781,30,91,1170,4027,4416,2347,860,419,149,13515,2784,3308,7856,6646,5467,4458,4658,5012,5059,45253,71,189,486,247,265,517,450,140,50,2408,59523,63867,151252,152450,135335,118888,95676,53892,24925,855812,50374,10404,18000,18425,14859,20567,15984,5701,2006,156314,26293,5737,4251,4719,3850,5599,6230,2408,813,59902,15411,12270,9082,8367,7464,9689,11898,6338,2003,82519,6362,11209,11415,10274,10184,13634,27741,20478,5992,117295
RA51,733,309,595,731,635,971,917,480,156,5522,348,328,708,821,858,1297,2635,1434,319,8747,306,334,819,943,942,1324,2373,1652,781,9483,363,569,1201,1406,1434,1398,1611,876,332,9191,251,646,1206,1538,1623,1305,986,496,157,8212,138,717,1420,1616,1713,1368,684,269,95,8024,58,496,1307,1555,1816,1411,528,162,40,7379,11,280,920,1047,1208,996,262,69,28,4830,4,145,660,880,1063,751,220,71,31,3817,4,44,425,595,765,516,118,26,9,2496,4,44,479,860,1022,742,183,35,9,3382,0,7,64,136,169,109,32,18,11,553,8,7,64,181,248,197,91,28,11,837,471,375,848,884,935,963,868,699,507,6554,9,13,62,24,18,25,15,8,5,173,6510,4751,12316,14798,15950,15903,13175,6772,2675,92852,4729,605,1397,1370,1525,2655,1882,537,150,14853,3011,238,436,560,436,756,847,305,118,6706,1314,595,876,1005,924,1452,1696,876,273,9017,613,588,1088,1181,1292,2078,4829,3036,709,15426
RA52,546,255,497,488,493,742,742,326,103,4197,229,251,529,572,655,1055,1979,1176,275,6718,236,239,618,669,717,1013,1754,1311,576,7130,256,465,927,1051,990,1113,1202,715,289,6995,209,533,1024,1091,1076,998,760,370,107,6176,151,544,1012,1143,1263,1184,572,223,93,6196,70,474,1121,1119,1345,1242,405,127,39,5945,25,301,774,850,885,775,256,75,13,3961,18,173,744,691,862,703,185,85,34,3483,8,68,423,528,594,463,140,45,6,2272,8,58,469,714,899,645,191,38,22,3042,0,3,65,123,132,106,42,18,9,495,4,12,68,140,197,176,88,43,8,729,508,437,1069,1092,1088,1105,1039,747,517,7598,4,14,47,16,16,18,20,6,0,149,5021,4211,10543,11277,12133,13031,10520,5648,2247,74624,3521,470,1131,949,1013,1890,1385,462,186,11017,2056,192,331,325,331,617,619,222,73,4755,998,487,775,770,795,1238,1411,610,202,7284,408,439,835,880,1080,1797,3687,2492,635,12253
RA53,194,104,284,243,175,265,283,86,21,1645,81,114,275,305,261,391,677,297,52,2460,74,116,251,296,233,324,570,363,121,2347,84,138,397,446,337,370,406,190,62,2425,89,214,485,444,427,377,321,111,24,2486,56,261,611,576,481,455,252,71,15,2781,52,269,721,652,603,560,234,49,8,3148,21,210,607,552,467,406,141,23,5,2434,18,129,647,531,440,371,111,29,4,2281,8,62,521,395,367,256,98,22,5,1726,4,70,567,692,653,404,114,24,4,2530,0,9,104,124,98,94,32,7,0,468,4,7,98,207,173,115,74,31,0,701,339,395,1194,1015,918,917,674,302,107,5859,0,22,72,12,10,14,18,0,0,149,2014,2288,7520,7080,6044,6056,4507,1723,472,37710,1296,231,674,556,475,831,632,159,32,4891,759,58,164,182,127,208,233,79,21,1827,378,186,391,345,303,430,512,174,43,2764,160,185,403,423,430,686,1299,648,125,4356
RA54,204,267,418,412,343,360,355,90,11,2465,67,154,335,309,294,456,778,224,39,2667,50,119,246,207,223,311,580,244,47,2022,78,151,360,312,211,361,540,154,14,2184,62,157,348,270,232,359,366,80,5,1876,54,206,442,321,334,408,248,49,13,2083,46,220,606,404,415,493,223,31,0,2438,31,221,608,384,392,408,124,21,0,2195,13,139,584,401,381,343,107,16,4,1981,6,96,412,318,320,281,77,5,0,1516,5,158,747,577,595,512,103,13,0,2721,0,11,147,122,133,97,23,4,0,539,0,10,96,157,139,126,40,9,3,589,341,638,1643,1158,1163,1056,634,217,41,6903,6,70,154,19,12,23,16,0,4,301,1539,2774,7569,5699,5473,6352,4722,1231,185,35550,916,199,473,341,325,856,655,95,18,3873,293,63,138,129,128,278,259,44,8,1338,448,549,869,796,631,641,653,185,30,4799,127,314,578,513,536,731,1535,541,64,4933
RA55,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,3,4,0,0,12,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,6,3,0,13,0,0,0,0,0,0,0,0,0,13,0,0,4,0,0,5,8,0,0,20,3,3,7,3,0,3,3,0,0,28,0,4,6,0,8,3,3,0,0,37,0,6,6,0,0,0,0,0,0,25,0,4,6,3,4,4,0,0,0,17,0,5,7,10,6,3,0,0,0,32,0,0,0,0,3,0,0,0,0,10,0,0,9,3,7,13,3,0,0,39,3,14,28,20,21,28,11,8,0,127,0,0,3,7,0,3,0,0,4,16,8,37,94,55,57,86,61,17,3,405,0,0,0,0,0,8,12,0,0,21,0,0,0,0,0,3,4,0,0,5,0,0,0,0,0,4,0,0,0,12,0,0,5,4,3,9,5,0,0,26
RA61,1404,1071,1111,773,763,1104,1294,673,231,8427,521,1052,1469,1050,1093,1727,3197,2153,552,12808,384,987,1685,1351,1388,1925,3781,3146,1625,16274,323,1291,2798,1964,1765,1968,2533,1563,691,14887,193,1206,2920,2126,1952,1824,1748,936,363,13267,102,1253,3264,2440,2139,1984,1215,509,225,13132,49,1036,3461,2713,2531,2246,922,325,113,13400,9,584,2441,2024,1960,1531,508,137,42,9241,3,219,1779,1726,1863,1345,394,153,62,7526,4,58,1101,1313,1476,950,224,64,14,5221,7,38,1011,1795,1972,1298,255,74,28,6470,0,7,105,241,311,196,56,25,15,960,12,20,120,415,522,326,130,72,26,1636,481,597,1262,931,842,845,967,1049,916,7888,5,16,79,20,31,46,26,16,9,253,9357,10516,26990,22393,21905,21593,18921,11487,5116,148267,7945,1613,2899,1616,1414,2409,1708,658,218,20479,4247,796,773,540,539,926,1004,398,106,9323,2515,2187,1999,1325,1310,1804,2165,1163,366,14837,928,1971,2719,1811,1905,2902,5755,4238,1101,23334
RA62,711,416,546,557,625,1134,1033,409,98,5522,280,392,739,687,1040,1862,3340,1646,334,10307,206,383,862,902,1164,1700,2864,2096,1011,11192,186,611,1244,1243,1420,1605,1618,877,387,9182,120,676,1335,1286,1353,1393,984,477,136,7761,66,651,1328,1233,1362,1303,595,251,79,6868,26,421,1160,1154,1396,1298,424,135,36,6064,8,212,762,795,874,737,227,50,3,3677,5,88,572,651,742,643,191,73,29,2994,4,31,324,406,534,433,113,33,0,1880,0,20,279,516,645,494,109,29,16,2105,0,3,25,74,90,71,29,11,0,301,7,5,66,105,158,155,68,36,7,613,388,282,676,659,737,890,898,780,417,5735,0,9,32,14,5,12,11,11,3,103,5014,4537,10784,11070,13223,15825,13601,7242,2657,83958,4120,452,799,758,1112,2308,1291,410,124,11381,1970,256,358,360,488,846,728,268,66,5334,1278,834,929,887,1068,1934,1928,802,179,9844,480,707,1259,1114,1816,3281,6344,3652,742,19400
RA63,18,14,15,18,24,62,52,11,3,221,7,6,28,37,47,112,144,54,10,440,6,15,30,30,49,79,124,59,17,407,5,18,56,43,46,91,68,33,9,378,0,21,71,41,56,56,42,20,5,309,3,26,77,48,55,46,29,9,4,290,7,9,66,45,38,35,17,5,0,235,0,6,45,24,22,38,13,5,0,159,0,11,23,16,19,26,7,0,0,107,0,4,30,14,11,13,5,0,0,78,0,3,12,22,20,15,7,3,0,94,0,0,0,5,0,5,5,0,0,12,0,0,4,10,14,12,5,0,0,48,14,25,84,48,50,74,62,39,35,434,0,0,5,4,0,0,0,0,0,19,121,169,585,454,521,799,628,261,83,3613,77,20,44,46,54,154,64,13,3,464,35,8,9,12,27,40,31,5,3,174,32,27,27,39,55,106,107,37,3,431,9,16,46,62,90,188,291,132,21,859
RA64,0,0,5,3,8,6,15,5,0,46,0,0,0,8,5,11,38,13,6,88,4,6,8,14,11,11,39,25,8,114,3,6,16,24,15,9,14,8,5,102,0,10,10,10,12,14,12,3,0,87,0,4,16,12,20,20,7,4,0,83,0,9,13,18,17,27,13,5,0,103,0,5,8,9,6,16,7,0,0,57,0,0,5,9,7,11,0,0,0,42,0,0,5,3,10,10,0,0,0,22,0,0,5,6,8,8,5,0,0,34,0,0,0,3,0,3,0,0,0,12,0,0,0,0,0,5,4,0,0,13,0,0,11,25,9,14,14,15,9,95,0,0,0,0,0,0,0,0,0,5,22,36,122,149,134,195,192,99,34,982,15,0,10,7,13,23,18,10,4,102,12,0,4,0,10,7,12,10,0,49,4,0,7,8,7,12,27,12,6,80,4,6,7,10,8,28,70,44,9,178
RA65,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,3,0,0,8,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,4,0,0,0,5,0,0,0,0,4,0,0,0,0,7,0,0,0,4,3,4,0,0,0,13,0,0,3,0,0,0,0,0,0,8,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,6,13,16,18,11,9,0,0,75,0,0,0,9,0,5,0,0,0,19,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,4,0,0,6
RA72,427,216,339,335,212,311,346,126,28,2343,189,280,439,360,321,475,779,329,68,3242,147,261,512,408,394,454,800,425,139,3543,156,379,849,588,457,492,578,261,58,3809,122,450,989,699,498,460,412,166,39,3832,117,566,1352,925,732,601,442,129,20,4887,81,619,1767,1242,1008,817,372,91,10,5992,30,465,1599,1131,876,621,229,46,5,4999,16,202,1396,1156,939,653,186,41,3,4589,0,77,983,848,772,513,128,19,4,3348,3,51,1129,1708,1542,995,206,22,4,5666,0,9,97,206,217,167,45,5,0,753,3,10,105,309,318,208,84,15,3,1055,402,496,1505,1201,1011,927,729,256,87,6624,12,126,177,46,23,78,43,8,8,509,3867,4577,14305,12046,9906,8744,6102,2136,504,62191,2915,586,1256,946,708,1255,982,294,68,9003,1429,182,264,231,180,248,321,80,14,2949,784,440,523,469,357,521,610,280,53,4045,358,488,741,603,600,818,1497,708,119,5931
RA73,210,210,408,315,249,246,172,49,10,1869,64,117,208,212,185,253,323,100,13,1482,49,65,150,162,152,211,330,139,52,1312,48,80,237,196,177,240,252,59,18,1303,50,115,251,217,149,212,184,48,10,1239,55,158,428,279,246,238,166,45,15,1627,24,166,581,332,347,330,156,16,0,1961,18,144,552,330,309,293,101,5,0,1746,8,72,510,344,299,282,76,7,0,1596,0,25,338,248,248,176,55,4,0,1096,0,14,327,397,445,356,85,7,0,1641,0,4,44,79,56,51,24,4,0,264,0,0,32,59,91,69,23,3,0,277,212,190,608,498,508,613,425,102,20,3177,4,8,52,9,8,16,6,8,0,113,1375,1516,5085,3973,3709,4033,2650,655,166,23176,882,138,302,223,210,478,331,74,10,2639,488,182,294,282,206,197,166,39,26,1868,396,387,738,576,453,414,327,89,22,3398,114,200,361,358,327,427,618,240,23,2676
RA74,420,694,1186,824,649,408,258,54,8,4503,107,245,522,429,329,274,261,69,5,2237,42,98,237,223,192,224,251,68,18,1340,37,97,235,204,157,166,155,23,0,1081,50,103,171,152,108,123,78,16,0,798,44,100,181,119,121,115,61,7,0,753,29,96,263,156,152,178,75,4,0,952,6,56,207,126,129,122,69,7,0,725,0,42,189,110,116,126,44,5,0,637,0,16,127,107,104,104,34,5,0,492,6,18,151,191,222,205,44,5,0,843,0,0,12,25,29,25,11,0,0,104,0,0,17,29,33,35,20,6,0,136,297,269,589,407,366,376,227,53,6,2580,3,11,48,6,4,18,6,0,0,100,1782,2065,4479,3381,2936,2812,1760,332,44,19589,1184,184,192,115,108,240,172,31,0,2223,458,365,495,391,295,224,124,23,5,2371,874,1389,2312,1579,1213,729,453,91,23,8671,195,430,918,751,576,482,507,146,16,4017
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,3,0,0,0,0,0,0,9,0,6,0,0,0,4,5,0,0,9,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,5,0,0,0,5,0,0,17,0,0,7,0,0,0,0,0,0,7,0,15,16,3,7,12,21,5,0,67,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA80,1938,1250,807,677,516,791,1162,730,202,8062,775,1354,1007,780,638,1018,1789,1254,362,8971,525,1405,1329,942,831,1116,2269,1884,937,11235,492,1799,2161,1400,1026,1276,1829,1262,541,11788,362,1636,2424,1507,1157,1311,1730,1036,378,11536,308,1837,3392,2201,1599,1653,1670,888,324,13869,162,2058,4385,3047,2191,2002,1618,654,227,16342,65,1862,4830,3138,2158,1869,1109,372,155,15558,17,932,5234,3684,2895,2058,850,285,99,16070,9,253,3460,3376,2750,1771,598,184,55,12468,7,178,4764,7697,6635,3440,760,198,72,23752,4,16,461,1205,1165,624,165,54,19,3711,5,20,363,1646,1975,1067,247,99,46,5472,657,989,1772,1273,930,712,775,680,685,8467,20,43,88,75,63,122,87,21,3,520,13036,17301,39008,34952,28250,23262,18733,10465,4340,189354,10152,2493,3179,2464,1917,2591,2149,784,222,25950,5863,1153,702,627,564,799,1049,502,146,11397,3454,2386,1320,1004,872,1171,1749,1100,317,13371,1351,2546,1834,1265,1178,1690,2917,2266,672,15722
RA81,4,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,9,0,0,0,10,0,3,3,0,5,3,3,0,0,15,0,0,5,0,3,4,0,0,0,10,0,5,11,6,3,0,3,0,0,28,0,3,9,3,3,12,0,0,0,19,0,0,10,3,5,0,0,0,0,20,0,0,3,11,3,3,0,0,0,24,0,0,4,3,0,4,0,0,0,18,0,0,7,10,15,4,0,0,0,37,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,8,3,6,3,3,6,4,4,0,0,22,0,0,0,0,0,0,0,0,0,0,19,20,53,50,41,49,22,7,5,273,16,0,3,5,5,6,3,0,0,36,10,0,0,0,0,0,0,0,0,11,8,0,0,0,4,0,4,0,0,14,0,0,3,0,4,3,5,0,0,22
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,0,3,0,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,6,0,5,0,0,14,0,0,0,0,0,3,0,0,0,10,6,0,4,0,0,0,0,0,0,11,5,0,3,0,0,0,0,0,0,10,0,0,12,4,0,0,0,0,0,15,0,4,4,0,0,0,0,0,0,9,0,0,8,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,4,6,4,5,8,4,6,0,45,0,4,0,0,0,0,0,0,0,0,18,21,40,24,27,15,10,10,0,168,6,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,4,0,4,4,0,7,0,0,17,0,3,0,0,0,4,5,0,0,13
RA94,11,0,4,9,7,25,16,7,0,83,0,3,5,12,6,17,34,25,10,112,4,3,9,21,15,23,37,32,11,160,3,7,23,20,27,42,31,15,0,168,0,15,14,30,20,28,30,10,0,153,3,16,27,28,46,44,22,4,0,188,4,7,31,26,33,27,11,0,0,148,0,7,20,24,25,26,17,0,0,111,0,5,12,27,24,28,4,0,0,106,0,0,17,11,18,15,3,4,0,75,0,0,12,27,43,24,9,0,0,117,0,0,0,3,13,0,5,6,0,21,0,0,0,0,4,3,0,0,0,11,9,20,61,58,59,71,38,18,3,339,0,0,0,0,0,0,0,0,0,5,93,108,249,309,352,426,296,134,31,1993,40,10,15,12,21,45,38,18,0,199,44,5,0,9,11,19,32,7,0,128,16,9,4,11,11,31,36,15,0,127,4,4,10,16,15,30,74,49,12,215
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
