RA_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
RA10,105231,208024,104756,67179,160531,30908,2603,679226,65462,134176,86599,59867,150504,26261,2439,525305,37868,63530,40144,29945,107020,24271,731,303509,14961,17339,8555,5811,60951,21762,192,129569,945056,1303172,588789,423259,1386033,296195,13278,4955771
RA11,34703,71111,35715,22191,40546,12879,260,217401,23789,52790,37415,28413,49424,12378,176,204391,12709,23530,17138,15093,38640,10236,98,117442,4804,5877,3105,2544,21099,6262,29,43720,236793,356502,177682,128957,298566,97949,1968,1298414
RA12,9197,16931,8847,6284,11909,5455,58,58686,6098,11621,8277,7388,13067,4788,36,51275,2933,5055,3538,3786,9295,3195,20,27826,1050,1185,722,611,4767,1562,4,9906,54511,79601,40540,32913,75369,33845,883,317657
RA13,666,978,459,384,968,689,7,4149,401,605,337,357,899,517,3,3118,180,210,162,161,588,330,0,1629,65,63,22,36,250,99,0,534,3802,4783,2225,1945,5511,4056,62,22388
RA14,169,263,127,77,339,180,0,1168,113,168,107,89,294,143,4,925,39,53,56,37,125,66,0,380,13,14,3,7,45,17,0,101,914,1300,595,444,1748,1083,22,6092
RA15,4,5,0,0,3,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,3,0,14,0,3,38
RA20,88938,169612,77957,46910,125794,22686,2211,534111,52825,105667,65551,43821,117168,18694,1983,405709,29710,49915,32301,23578,85526,16400,620,238037,11992,14294,7180,4914,52590,12122,157,103253,833987,1104631,460388,317051,1143348,224479,10629,4094506
RA21,26612,53884,27585,17016,30481,9653,131,165366,17265,37932,27134,21513,35732,9432,126,149137,8570,15895,11766,10852,26564,7611,54,81308,3189,3865,2289,1888,15070,4708,21,31036,184435,274679,136206,101148,220352,71273,1045,989140
RA22,6304,11937,6358,4230,7850,2974,37,39694,4094,8269,6194,5516,9096,2877,28,36070,2003,3552,2645,2833,6468,2105,3,19610,762,947,555,486,3670,1157,3,7574,38199,55673,28837,23383,51524,19694,411,217717
RA23,97,162,135,100,119,48,0,663,74,125,86,91,131,50,0,556,35,42,38,58,105,36,0,310,11,18,10,12,53,28,0,128,442,697,404,403,597,270,7,2813
RA25,14,5,0,3,25,111,0,158,0,0,0,0,4,13,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,34,15,3,89,389,0,565
RA30,65384,123374,55029,30895,73550,16282,1314,365824,37984,79409,51978,34516,76970,14558,1213,296623,19909,35446,24206,17901,57744,12639,440,168288,7092,8222,4187,3045,31107,9105,108,62861,572257,775334,327050,215523,652955,155805,7975,2706897
RA31,21677,42001,21620,14901,28303,8316,182,136995,13869,29776,22235,19400,32981,7953,186,126411,7380,12889,9811,9532,23770,6075,88,69542,2484,2736,1582,1417,11157,3044,21,22432,148051,216333,106483,84700,197376,62055,1483,816483
RA32,15789,28765,13649,8992,20737,10212,243,98383,9724,18892,12459,10538,21717,8232,223,81792,4233,6975,5050,5033,13465,4630,87,39475,1256,1440,824,677,5595,1844,21,11653,108309,151035,67153,51750,140581,70881,3907,593626
RA33,2063,3088,1436,1071,2896,2372,40,12960,1266,1979,1210,1082,2763,1505,18,9820,405,597,412,456,1283,558,8,3719,89,102,47,51,380,150,3,830,12392,15883,6742,5863,16757,13137,499,71263
RA34,1807,2449,932,716,2563,1676,13,10144,1209,1731,889,717,2638,1224,12,8433,353,433,230,235,1098,463,9,2818,70,80,37,30,303,96,0,617,10607,12052,4518,3929,14613,9157,262,55129
RA35,0,5,0,6,9,16,0,34,0,3,0,0,3,6,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,21,6,5,81,220,24,380
