RA_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
RA40,7205,21613,303,29119,125094,5100,411,159719,1454,27069,130,28651,99869,4587,437,133544,307,5646,28,5973,68464,4106,138,78685,33,303,5,337,32329,2898,44,35608,213546,78825,8135,300508,758863,45113,2299,1106785
RA41,882,3734,32,4643,20286,1221,13,26167,188,3638,21,3844,20047,1226,16,25122,42,604,4,649,12491,896,11,14045,4,29,0,34,4311,444,8,4801,24452,11284,1184,36928,98929,8255,135,144244
RA42,790,4034,40,4861,23081,2126,33,30105,191,2928,12,3123,22163,1957,33,27287,40,454,0,495,13256,1446,12,15208,3,24,0,25,4843,680,0,5556,26879,11495,1299,39675,113909,14191,893,168665
RA43,200,892,16,1099,5273,649,11,7029,47,685,6,732,4602,461,13,5815,10,117,0,119,2572,284,3,2984,0,6,0,6,908,138,5,1053,6838,2594,351,9780,25006,4128,66,38979
RA44,71,338,0,410,2010,455,11,2888,10,233,6,250,1683,316,0,2249,7,37,0,40,648,145,0,834,0,4,0,5,175,57,0,239,2150,1412,249,3819,8680,2539,35,15069
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,22,8,7,40
RA50,11398,33285,509,45197,174021,8391,927,228534,2358,37279,196,39829,134139,7246,792,182000,478,7827,55,8356,84881,6902,263,100405,69,430,0,500,34605,5400,78,40577,351684,121071,14802,487558,1077580,81323,4920,1651383
RA51,1085,4419,53,5558,23272,1992,39,30855,214,3638,19,3870,20790,1630,26,26320,54,552,8,609,11545,1103,17,13278,6,33,0,42,3764,637,5,4449,35225,13234,2000,50453,116583,15380,465,182875
RA52,943,2906,53,3895,20116,2377,37,26422,154,2239,10,2404,17224,1963,41,21632,48,376,0,426,9556,1209,16,11204,4,20,0,29,3303,571,7,3908,26393,9237,1462,37087,97175,15959,400,150616
RA53,359,1341,8,1706,9539,2408,45,13690,49,897,4,948,7351,1407,36,9748,15,162,0,182,2971,594,4,3751,4,8,0,8,707,153,0,870,15213,4393,834,20443,47129,14845,367,82788
RA54,372,1125,34,1522,11322,3930,66,16848,61,749,20,823,8582,1581,39,11025,6,91,3,101,2415,431,0,2952,3,12,3,15,291,66,3,380,13359,4884,1210,19448,53172,25257,781,98652
RA55,9,15,0,30,290,221,29,560,0,15,0,15,103,56,0,178,0,3,0,3,19,12,0,32,0,0,0,0,0,0,4,3,310,58,9,371,1489,1380,164,3410
RA61,1748,5696,69,7518,32058,1564,77,41210,319,6611,26,6957,26912,1615,54,35536,71,1357,9,1427,17933,1392,27,20784,5,67,0,75,7264,823,12,8170,53071,21222,2698,76988,194190,14193,691,286061
RA62,958,3963,62,4985,24283,1665,24,30953,198,2794,8,3000,22845,1699,23,27563,39,463,0,504,12536,1273,12,14322,0,14,0,13,3923,568,4,4518,27099,11452,1412,39969,114080,10695,254,164997
RA63,49,143,0,196,1316,159,3,1668,5,110,0,118,1173,115,4,1411,0,9,0,9,500,62,0,574,0,0,0,3,129,27,4,160,1050,403,47,1502,5414,862,41,7825
RA64,15,28,0,41,324,22,0,388,6,33,0,36,357,33,0,421,3,9,0,14,179,30,0,221,0,0,0,0,51,0,0,56,302,107,20,434,1449,192,3,2081
RA65,0,6,0,3,42,30,0,77,0,0,0,0,33,0,0,33,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,35,10,0,47,211,110,13,374
RA72,733,1851,28,2614,12783,2116,150,17665,186,1756,12,1951,9215,1517,83,12766,20,321,4,342,3540,524,22,4433,9,17,0,22,738,138,6,904,23377,7248,1093,31711,76815,15212,2555,126296
RA73,253,662,22,941,5638,1227,39,7838,80,497,3,582,4146,911,17,5657,5,82,3,96,1125,229,10,1463,0,5,0,7,221,42,0,273,7438,3042,556,11040,27811,6969,236,46061
RA74,174,921,133,1228,3531,920,29,5712,54,455,43,546,2685,561,15,3810,7,67,11,87,591,123,0,800,3,14,0,22,58,3,0,85,6377,7096,2199,15669,18930,6082,321,40999
RA75,4,0,0,4,69,34,0,106,0,0,0,0,27,11,0,40,0,0,0,0,5,3,0,10,0,0,0,0,0,0,0,0,29,9,0,37,285,151,17,494
RA80,2640,5745,112,8486,34732,1443,179,44848,421,8240,50,8711,24830,1279,152,34970,88,2035,15,2140,15862,1028,49,19076,9,105,0,110,6333,753,7,7201,77502,24284,3046,104843,247622,16692,1020,370173
RA81,7,13,0,20,54,12,0,88,0,10,0,10,38,13,0,56,0,3,0,3,8,0,0,12,0,0,0,0,7,0,0,7,138,45,0,179,314,42,0,542
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,0,7,0,7,21,8,0,38,0,0,0,0,15,14,0,27,0,0,0,0,6,9,0,16,0,0,0,0,0,0,0,0,23,18,3,44,270,81,9,396
RA94,37,77,0,117,593,149,5,856,4,59,0,63,483,99,0,642,0,17,0,17,211,47,0,271,0,0,0,0,53,4,0,63,566,238,37,840,2412,956,17,4232
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
