RA_CODE_2021,M_15_19_Marr_a_reg_marr,M_15_19_Marr_a_de_facto_marr,M_15_19_yr_N_married,M_15_19_yr_Tot,M_20_24_Marr_a_reg_marr,M_20_24_Marr_a_de_facto_marr,M_20_24_yr_N_married,M_20_24_yr_Tot,M_25_34_Marr_a_reg_marr,M_25_34_Marr_a_de_facto_marr,M_25_34_yr_N_married,M_25_34_yr_Tot,M_35_44_Marr_a_reg_marr,M_35_44_Marr_a_de_facto_marr,M_35_44_yr_N_married,M_35_44_yr_Tot,M_45_54_Marr_a_reg_marr,M_45_54_Marr_a_de_facto_marr,M_45_54_yr_N_married,M_45_54_yr_Tot,M_55_64_Marr_a_reg_marr,M_55_64_Marr_a_de_facto_marr,M_55_64_yr_N_married,M_55_64_yr_Tot,M_65_74_Marr_a_reg_marr,M_65_74_Marr_a_de_facto_marr,M_65_74_yr_N_married,M_65_74_yr_Tot,M_75_84_Marr_a_reg_marr,M_75_84_Marr_a_de_facto_marr,M_75_84_yr_N_married,M_75_84_yr_Tot,M_85_over_Marr_a_reg_marr,M_85ov_Marr_a_de_facto_marr,M_85_yr_over_N_married,M_85_yr_over_Tot,M_Tot_Marr_a_reg_marr,M_Tot_Marr_a_de_facto_marr,M_Tot_N_married,M_Tot_Tot,F_15_19_Marr_a_reg_marr,F_15_19_Marr_a_de_facto_marr,F_15_19_yr_N_married,F_15_19_yr_Tot,F_20_24_Marr_a_reg_marr,F_20_24_Marr_a_de_facto_marr,F_20_24_yr_N_married,F_20_24_yr_Tot,F_25_34_Marr_a_reg_marr,F_25_34_Marr_a_de_facto_marr,F_25_34_yr_N_married,F_25_34_yr_Tot,F_35_44_Marr_a_reg_marr,F_35_44_Marr_a_de_facto_marr,F_35_44_yr_N_married,F_35_44_yr_Tot,F_45_54_Marr_a_reg_marr,F_45_54_Marr_a_de_facto_marr,F_45_54_yr_N_married,F_45_54_yr_Tot,F_55_64_Marr_a_reg_marr,F_55_64_Marr_a_de_facto_marr,F_55_64_yr_N_married,F_55_64_yr_Tot,F_65_74_Marr_a_reg_marr,F_65_74_Marr_a_de_facto_marr,F_65_74_yr_N_married,F_65_74_yr_Tot,F_75_84_Marr_a_reg_marr,F_75_84_Marr_a_de_facto_marr,F_75_84_yr_N_married,F_75_84_yr_Tot,F_85_over_Marr_a_reg_marr,F_85ov_Marr_a_de_facto_marr,F_85_yr_over_N_married,F_85_yr_over_Tot,F_Tot_Marr_a_reg_marr,F_Tot_Marr_a_de_facto_marr,F_Tot_N_married,F_Tot_Tot,P_15_19_Marr_a_reg_marr,P_15_19_Marr_a_de_facto_marr,P_15_19_yr_N_married,P_15_19_yr_Tot,P_20_24_Marr_a_reg_marr,P_20_24_Marr_a_de_facto_marr,P_20_24_yr_N_married,P_20_24_yr_Tot,P_25_34_Marr_a_reg_marr,P_25_34_Marr_a_de_facto_marr,P_25_34_yr_N_married,P_25_34_yr_Tot,P_35_44_Marr_a_reg_marr,P_35_44_Marr_a_de_facto_marr,P_35_44_yr_N_married,P_35_44_yr_Tot,P_45_54_Marr_a_reg_marr,P_45_54_Marr_a_de_facto_marr,P_45_54_yr_N_married,P_45_54_yr_Tot,P_55_64_Marr_a_reg_marr,P_55_64_Marr_a_de_facto_marr,P_55_64_yr_N_married,P_55_64_yr_Tot,P_65_74_Marr_a_reg_marr,P_65_74_Marr_a_de_facto_marr,P_65_74_yr_N_married,P_65_74_yr_Tot,P_75_84_Marr_a_reg_marr,P_75_84_Marr_a_de_facto_marr,P_75_84_yr_N_married,P_75_84_yr_Tot,P_85_over_Marr_a_reg_marr,P_85ov_Marr_a_de_facto_marr,P_85_yr_over_N_married,P_85_yr_over_Tot,P_Tot_Marr_a_reg_marr,P_Tot_Marr_a_de_facto_marr,P_Tot_N_married,P_Tot_Tot
RA10,44,850,164506,165399,3769,15553,166425,185745,118236,89896,210363,418496,255309,50707,100810,406821,226876,35105,90078,352055,202887,23707,83098,309693,163074,11520,57715,232308,90547,3863,32416,126823,23216,559,14888,38662,1083954,231757,920297,2236005,156,1510,153358,155024,9007,22779,144195,175980,167099,94099,171963,433163,269308,46738,104626,420670,228953,32130,112049,373134,194724,20076,115399,330195,146079,8613,104079,258775,64819,2296,79725,146844,10304,263,44735,55304,1090456,228507,1030130,2349090,201,2362,317865,320429,12777,38332,310615,361729,285337,183993,382327,851658,524616,97442,205438,827492,455826,67238,202126,725183,397610,43784,198492,639891,309159,20129,161798,491088,155364,6153,112145,273668,33526,818,59616,93966,2174411,460260,1950426,4585101
RA11,15,523,41581,42123,725,5772,26866,33361,21109,19307,31569,71990,41091,12652,20214,73961,47528,11884,24422,83829,55377,10445,28326,94152,59372,6470,24598,90443,34276,2105,13443,49832,7775,311,5343,13424,267266,69476,216366,553105,29,1078,37806,38912,1429,8097,23217,32746,28498,20557,29110,78162,46023,13077,23039,82135,51597,12142,28751,92485,58622,9924,33772,102321,55470,5113,33859,94442,25601,1355,27241,54198,3663,166,14504,18325,270928,71501,251292,593725,42,1602,79391,81036,2154,13869,50086,66105,49609,39863,60677,150148,87112,25726,43255,156095,99123,24018,53172,176312,114004,20373,62099,196471,114847,11583,58456,184887,59880,3466,40687,104024,11434,470,19844,31752,538199,140975,467658,1146832
RA12,4,132,8976,9111,173,1329,5876,7369,4761,4540,7012,16309,8796,2842,4600,16242,10967,2699,6229,19898,14270,2575,8071,24916,14329,1589,6931,22852,7851,426,3624,11900,1689,51,1270,3012,62842,16174,52592,131607,9,274,8296,8573,378,1989,4342,6708,6314,4805,6135,17252,10046,2884,4736,17668,12295,2795,5767,20854,15100,2498,7438,25036,12924,1150,7256,21327,5841,267,6029,12139,756,29,3224,4011,63658,16692,53214,133563,10,406,17271,17685,543,3317,10216,14073,11070,9341,13150,33566,18843,5725,9335,33907,23263,5492,11999,40750,29376,5073,15507,49953,27252,2729,14182,44177,13688,699,9650,24037,2444,84,4496,7020,126501,32865,105805,265168
RA13,0,18,506,526,12,82,391,483,385,356,512,1249,589,205,309,1102,694,190,384,1269,839,163,614,1614,710,77,479,1271,349,24,239,613,85,6,76,166,3658,1118,3501,8279,0,28,470,501,27,133,297,451,491,382,476,1349,658,189,293,1139,781,187,340,1304,858,148,441,1447,570,55,370,993,264,18,323,604,45,4,154,199,3684,1139,3162,7985,0,49,974,1028,33,212,690,936,876,738,989,2598,1247,394,600,2241,1481,377,722,2570,1697,305,1057,3058,1275,135,855,2258,610,45,562,1213,124,11,226,365,7341,2257,6668,16271
RA14,0,5,147,150,7,23,86,118,82,79,135,301,107,72,104,282,126,69,144,333,179,57,166,403,149,24,155,332,76,0,65,142,23,0,12,36,746,336,1008,2088,0,11,117,129,8,32,94,135,109,105,175,386,124,73,114,309,140,70,123,340,171,48,137,353,134,16,108,255,50,4,77,131,10,0,32,42,745,353,983,2077,0,14,270,278,11,57,187,250,196,181,304,682,229,143,213,593,270,144,268,675,346,108,300,750,280,37,263,589,127,3,144,278,32,0,41,77,1489,686,1989,4166
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,35,521,133664,134217,2215,12210,142797,157225,97162,84262,187729,369151,217423,46835,82139,346396,187523,30570,73168,291259,160109,19177,63277,242565,125935,8690,42669,177296,71614,2802,23720,98136,18930,421,11780,31130,880946,205498,760941,1847378,117,980,125548,126640,5675,17567,126091,149338,137877,88497,153260,379635,225330,43319,89306,357950,187152,28374,95678,311207,153042,16097,92127,261263,115117,6703,81109,202928,52752,1630,62848,117233,8518,204,35390,44113,885576,203374,861352,1950309,154,1505,259211,260861,7893,29772,268894,306561,235043,172757,340986,748783,442754,90154,171437,704347,374673,58951,168845,602469,313151,35276,155402,503827,241054,15398,123777,380226,124361,4434,86569,215367,27447,627,47165,75246,1766522,408872,1622293,3797685
RA21,7,251,32306,32566,461,3984,22741,27181,16142,17443,25415,59003,34504,10803,15263,60576,39295,9890,18567,67751,44418,7709,20468,72591,45029,4348,17516,66891,24221,1322,9397,34939,5263,157,3718,9136,209339,55903,165390,430633,18,514,29737,30267,876,5733,19079,25688,21589,18431,22830,62852,38442,11125,17656,67220,41846,9944,22275,74062,46482,7132,25637,79247,41840,3347,25072,70261,18157,819,18739,37720,2479,89,9787,12356,211736,57126,190800,459665,23,761,62043,62824,1334,9716,41819,52875,37736,35877,48243,121857,72945,21924,32919,127795,81143,19833,40840,141811,90897,14841,46103,151839,86864,7697,42592,137150,42379,2139,28139,72653,7743,247,13505,21488,421073,113034,356191,890302
RA22,5,81,6136,6223,102,833,4244,5180,3220,3238,5354,11810,6088,2064,3335,11496,7409,1871,4243,13525,10154,1761,5366,17287,10416,1071,4921,16410,5779,307,2394,8476,1280,46,981,2301,44449,11274,36982,92709,4,142,5486,5632,210,1259,3220,4691,4291,3392,4663,12340,6915,2036,3488,12444,8331,1998,4388,14718,10655,1641,5323,17623,9635,833,5165,15624,4287,224,4341,8850,603,24,2454,3081,44916,11546,38527,94999,15,219,11626,11857,313,2095,7463,9874,7506,6628,10018,24151,13000,4105,6828,23937,15741,3865,8632,28241,20811,3407,10690,34911,20046,1902,10084,32030,10062,531,6733,17326,1877,69,3433,5380,89372,22821,75514,187706
RA23,0,0,63,63,0,6,30,43,39,23,52,113,75,21,49,151,74,19,55,152,152,34,104,290,177,7,92,278,88,4,46,138,20,0,24,50,631,114,513,1267,0,0,43,43,0,7,15,28,50,28,32,108,91,26,36,146,90,21,35,145,178,25,78,278,143,12,55,216,69,4,61,136,14,0,28,46,634,118,393,1150,0,0,104,104,5,13,49,69,84,47,89,222,167,41,82,297,164,41,95,295,332,55,184,566,320,23,145,490,163,5,106,268,38,0,56,96,1269,236,907,2408
