RA_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_ns,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_yr_arr_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arr_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,USA_2016,USA_2017,USA_2018,USA_2019,USA_2020,USA_2021,USA_Yr_arrival_ns,USA_Tot,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arr_ns,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_ns,Tot_Tot
RA10,20,33,552,4511,20640,17489,19489,13926,3323,3345,4103,5407,1742,359,1764,96717,554,460,642,1095,4488,1419,1517,1045,257,257,242,235,82,20,334,12652,40,170,474,1321,2054,1744,3263,1792,522,532,520,487,372,152,234,13688,42,175,788,3438,6598,8416,11597,4406,1373,1234,1268,1533,866,302,582,42613,24,101,522,1242,5251,6399,7826,4205,750,705,716,890,368,150,504,29651,0,3,42,198,2302,2913,2450,2183,598,614,685,782,267,47,301,13391,3,14,109,593,2630,3442,8248,6248,1878,1279,1183,1375,465,126,855,28452,4272,13307,38458,26356,23288,20219,36706,22354,4390,4093,4217,4543,2164,783,5291,210435,92,191,1078,2057,2470,3613,6393,4736,1201,1257,1416,1789,1226,509,620,28642,19,40,197,12937,26950,16774,12981,10283,2599,2575,2417,2756,1392,392,3513,95832,4211,10477,25422,42286,45728,49558,56134,40110,15223,14565,14492,15781,5710,1481,8596,349772,16664,58175,136428,165108,269693,299992,450291,292336,80768,84678,90678,99646,37927,10730,50993,2144100
RA11,0,6,57,235,1054,811,1428,1896,426,405,501,591,210,72,288,7975,98,80,101,96,345,63,98,55,8,9,17,10,6,3,36,1015,13,38,88,156,93,97,147,79,16,32,19,11,21,10,31,856,23,69,277,612,703,906,1861,584,134,103,140,182,128,73,95,5889,6,25,58,76,156,154,298,347,79,66,109,90,28,17,29,1555,0,0,5,7,52,80,112,123,41,62,100,153,29,0,22,789,0,3,9,62,172,258,764,541,135,130,140,156,88,27,151,2650,2001,6250,15513,8863,5924,3831,5975,2644,359,382,374,427,275,91,2336,55251,36,73,361,698,644,655,1068,665,135,110,148,151,167,43,152,5107,6,4,9,138,191,134,264,327,112,166,176,176,77,18,153,1940,788,2098,3506,3662,2753,2199,4162,2958,755,760,976,1485,548,304,1048,28016,4782,14945,26985,22018,20180,15397,27539,18903,4638,5110,5878,7316,2931,1124,7137,184872
RA12,0,0,3,28,219,161,314,500,120,129,162,277,70,46,59,2101,14,6,14,12,40,7,8,12,0,5,0,0,0,0,5,130,0,9,11,16,12,10,18,9,6,0,7,0,0,0,0,101,3,12,41,72,100,132,309,141,35,22,56,61,28,18,22,1058,5,7,12,9,21,9,42,42,16,19,16,21,11,0,4,231,0,0,0,0,6,3,25,43,7,23,58,141,20,0,20,357,0,4,3,12,36,25,142,99,29,19,18,34,20,5,28,474,326,1145,2597,1393,785,510,706,295,56,60,62,101,45,18,401,8501,7,17,92,133,108,122,255,113,22,36,13,28,16,3,25,994,0,0,4,5,34,23,42,27,7,4,8,11,3,0,31,208,122,358,595,566,485,386,667,471,130,115,143,288,137,52,245,4779,873,3036,4675,3542,3189,2566,4689,3218,969,1049,1306,1905,689,266,1593,33566
RA13,0,0,0,0,9,12,16,30,9,11,12,16,9,6,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,12,29,8,0,5,0,9,5,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,6,3,0,0,16,0,0,0,0,0,3,13,3,0,0,4,0,0,5,3,30,14,43,63,30,27,19,28,16,0,8,4,10,7,0,22,298,0,0,7,5,7,3,5,3,0,0,6,6,0,0,0,41,0,0,0,0,0,0,6,3,0,0,3,0,0,0,0,19,3,20,51,24,24,15,42,41,9,16,11,39,27,16,22,368,34,96,189,127,157,135,283,211,68,98,106,171,100,33,89,1900
RA14,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,13,14,3,10,5,5,0,0,0,0,4,0,0,3,68,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,4,10,8,12,3,0,0,0,0,0,0,62,6,32,42,31,52,45,69,58,12,6,28,18,13,9,19,432
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
RA20,13,28,174,2008,9688,7305,15202,10741,2700,2646,3145,4219,1369,323,922,60481,783,958,1178,1210,5066,1668,980,566,129,117,99,100,31,16,310,13217,33,94,293,964,1935,1939,5793,2823,685,716,653,613,362,128,186,17229,26,141,504,2249,4368,4304,8230,3170,784,894,795,940,386,178,265,27226,60,327,1649,2876,7731,8846,18997,11016,2355,2634,3133,3584,1353,261,869,65695,0,4,13,100,1163,1720,2026,1878,460,492,626,547,189,51,157,9420,6,9,58,336,1594,1714,5069,3602,1199,999,1085,1260,424,101,458,17901,3513,13352,33369,21755,18525,12025,27649,15809,2654,2810,2687,2847,1179,512,3870,162564,58,171,618,1486,1733,2492,4716,3624,821,996,1001,1181,709,322,456,20384,5,19,144,9612,25902,15922,14243,10425,2446,2391,2291,2796,1371,330,3150,91046,3383,11963,22857,31434,38080,43382,59055,37230,11041,10480,11006,12538,4475,1295,6856,305087,14520,71649,133683,118744,184256,187468,403417,273191,68562,72530,78630,89774,32844,9750,37371,1776388
RA21,0,5,21,132,709,533,1056,1454,428,323,423,631,206,93,220,6217,76,64,77,82,280,65,79,25,0,12,10,3,0,4,27,805,0,16,28,99,70,46,138,87,34,11,9,16,13,4,23,595,9,33,91,339,360,458,1005,390,84,83,90,112,76,34,67,3219,9,46,114,112,130,143,454,453,107,131,104,93,47,26,45,2015,0,0,0,8,16,47,107,198,59,72,167,239,50,3,29,1003,0,0,3,28,68,172,704,613,173,128,188,132,63,14,99,2391,1468,5595,11515,6124,4186,2267,4583,2089,300,265,302,294,173,70,1774,41006,28,27,179,438,314,362,690,442,72,77,84,100,63,22,85,2973,0,0,0,77,143,125,223,249,54,106,123,201,57,17,223,1597,535,1825,2472,2148,1731,1534,3565,2078,537,482,679,824,318,173,791,19686,3691,15567,20137,14128,12985,10217,23128,15101,3641,3579,4344,4983,1970,719,5723,139920
RA22,0,0,9,28,149,121,265,374,111,137,133,191,69,35,66,1680,10,8,18,11,30,5,7,9,0,0,0,0,0,0,5,104,0,0,10,14,3,8,15,17,0,9,7,3,3,0,5,100,0,5,21,55,40,103,213,68,19,19,23,53,22,5,22,673,0,10,25,3,12,11,53,58,18,21,16,27,3,3,3,263,0,0,0,0,0,0,35,61,19,23,35,71,23,0,10,273,0,0,4,4,20,37,195,193,42,48,46,51,17,0,30,687,301,1021,2159,1058,663,326,591,243,42,44,45,71,18,10,335,6931,4,9,37,75,59,52,104,82,9,3,17,19,11,3,7,492,0,0,0,24,93,107,164,119,30,76,91,47,25,6,71,859,95,289,464,411,426,392,635,408,91,79,167,379,104,114,214,4268,729,2927,3791,2473,2418,1955,4119,3288,982,1185,1373,1754,597,238,1290,29121
RA23,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,5,6,12,33,21,3,0,0,0,0,0,0,0,0,0,0,76,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,4,7,0,3,8,7,0,0,0,0,0,0,0,31,12,24,45,42,25,20,18,18,8,3,0,0,0,0,21,238
