RA_CODE_2021,Australia_M,Australia_F,Australia_P,Afghanistan_M,Afghanistan_F,Afghanistan_P,Bangladesh_M,Bangladesh_F,Bangladesh_P,Canada_M,Canada_F,Canada_P,China_excl_SARs_Taiwan_M,China_excl_SARs_Taiwan_F,China_excl_SARs_Taiwan_P,Croatia_M,Croatia_F,Croatia_P,Egypt_M,Egypt_F,Egypt_P,Fiji_M,Fiji_F,Fiji_P,Germany_M,Germany_F,Germany_P,Greece_M,Greece_F,Greece_P,Hong_Kong_SAR_China_M,Hong_Kong_SAR_China_F,Hong_Kong_SAR_China_P,India_M,India_F,India_P,Indonesia_M,Indonesia_F,Indonesia_P,Iran_M,Iran_F,Iran_P,Iraq_M,Iraq_F,Iraq_P,Ireland_M,Ireland_F,Ireland_P,Italy_M,Italy_F,Italy_P,Japan_M,Japan_F,Japan_P,Korea_Republic_South_M,Korea_Republic_South_F,Korea_Republic_South_P,Lebanon_M,Lebanon_F,Lebanon_P,Malaysia_M,Malaysia_F,Malaysia_P,Nepal_M,Nepal_F,Nepal_P,Netherlands_M,Netherlands_F,Netherlands_P,New_Zealand_M,New_Zealand_F,New_Zealand_P,Pakistan_M,Pakistan_F,Pakistan_P,Philippines_M,Philippines_F,Philippines_P,Poland_M,Poland_F,Poland_P,Singapore_M,Singapore_F,Singapore_P,South_Africa_M,South_Africa_F,South_Africad_P,Sri_Lanka_M,Sri_Lanka_F,Sri_Lanka_P,Taiwan_M,Taiwan_F,Taiwan_P,Thailand_M,Thailand_F,Thailand_P,United_Kingdom_CI_IM_M,United_Kingdom_CI_IM_F,United_Kingdom_CI_IM_P,United_States_America_M,United_States_America_F,United_States_America_P,Vietnam_M,Vietnam_F,Vietnam_P,Born_elsewhere_M,Born_elsewhere_F,Born_elsewhere_P,Country_birth_not_stated_M,Country_birth_not_stated_F,Country_birth_not_stated_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
RA10,1808453,1828185,3636639,8028,6315,14344,15469,13235,28697,5525,6532,12055,106992,135538,242526,6779,7448,14231,10448,9759,20208,16176,18912,35088,9946,11282,21230,13143,15156,28301,21997,24936,46934,104600,90872,195467,16081,20310,36388,14031,12746,26781,26690,26525,53221,12668,11068,23731,21818,20645,42468,4333,9295,13630,23521,28300,51824,32054,30158,62216,17605,18973,36578,33691,27053,60751,5339,5212,10550,48775,46763,95537,18862,13627,32489,38995,57716,96717,5403,7251,12652,6341,7343,13688,21093,21519,42613,15013,14632,29651,5788,7609,13391,9151,19301,28452,110167,100268,210435,13836,14803,28642,42032,53801,95832,177296,189478,366777,138297,135230,273531,6892,7429,14324,2993337,3075255,6068591
RA11,633375,654800,1288171,132,78,211,446,367,814,1171,1549,2721,1922,2403,4332,564,535,1100,470,356,820,913,710,1625,2871,3512,6382,548,426,974,452,530,984,5518,4751,10268,443,795,1236,374,284,658,1019,1065,2083,1489,1222,2710,1955,1297,3249,322,787,1107,458,553,1014,575,397,969,1016,1164,2181,1983,1843,3825,2091,2250,4346,9314,9574,18896,664,423,1085,2522,5453,7975,437,574,1015,372,480,856,2867,3020,5889,826,723,1555,284,502,789,662,1994,2650,27495,27751,55251,2308,2792,5107,870,1071,1940,13811,14459,28271,52500,52020,104523,1223,916,2138,776276,803425,1579705
RA12,157875,154980,312856,54,23,73,46,40,84,159,215,376,309,362,668,68,70,137,49,26,80,287,269,560,510,620,1128,55,55,114,78,93,167,1595,1341,2930,97,134,229,48,17,66,20,19,46,217,201,416,759,662,1425,48,80,128,68,88,156,55,33,90,398,358,758,153,147,304,387,413,805,1821,1763,3584,186,99,284,752,1351,2101,58,72,130,32,63,101,512,539,1058,125,107,231,127,229,357,115,364,474,4210,4294,8501,447,548,994,95,112,208,2441,2379,4814,20341,18960,39298,567,347,905,195187,191441,386629
RA13,10821,9943,20760,0,0,0,3,4,3,5,10,15,25,31,60,15,6,19,3,5,9,35,22,60,31,26,62,4,0,4,9,4,7,87,78,155,12,8,19,0,0,3,0,0,0,20,23,40,20,5,24,4,6,7,11,17,26,0,0,7,55,19,79,13,7,19,14,14,32,97,118,219,17,5,24,47,89,135,0,4,5,0,0,0,45,30,79,0,3,7,5,11,16,6,25,30,142,160,298,14,21,41,8,10,19,222,155,371,2579,2296,4875,44,19,62,14426,13175,27602
RA14,2957,2710,5670,0,0,0,0,0,0,0,10,6,0,5,8,6,0,6,0,0,0,8,7,21,10,12,20,0,0,0,0,0,0,25,17,44,3,5,8,0,0,0,0,0,0,6,9,15,0,0,0,4,4,3,0,0,0,0,0,0,8,0,11,10,10,22,0,7,6,44,30,79,3,3,9,0,9,7,0,0,0,0,0,0,10,6,16,0,0,0,0,0,5,0,4,4,28,40,68,5,6,9,0,0,0,33,32,62,681,621,1304,13,11,22,3864,3559,7425
RA15,27,4,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,31,4,38
RA20,1485368,1514687,3000060,13587,10535,24117,5172,4678,9854,3785,4751,8535,73085,94215,167301,6640,7285,13930,6619,6775,13396,5224,6287,11507,9079,10249,19327,20925,24103,45033,11620,12958,24580,133942,113071,247006,8239,11238,19477,11346,10053,21398,12763,12506,25271,7777,7108,14890,28585,30019,58607,2541,6022,8570,6509,8380,14890,9432,8936,18365,27071,30665,57739,10336,8490,18826,5859,5923,11786,41774,41546,83323,17620,12209,29827,24403,36080,60481,5548,7670,13217,7812,9417,17229,13340,13887,27226,33930,31762,65695,3783,5633,9420,5639,12259,17901,83049,79512,162564,9762,10628,20384,39825,51221,91046,155148,168524,323671,108431,105491,213924,5416,5925,11346,2460983,2540719,5001708
RA21,484614,502674,987293,555,374,931,208,176,384,696,811,1503,1469,1970,3436,582,537,1117,345,224,566,328,370,697,2256,2548,4807,685,547,1233,278,296,576,5057,4290,9349,323,572,903,247,196,444,392,339,727,1181,1005,2181,2647,2150,4795,161,441,599,190,253,441,175,110,284,1285,1399,2683,567,489,1056,2698,2646,5337,6426,6598,13028,550,398,951,2081,4135,6217,364,439,805,265,334,595,1578,1644,3219,1070,939,2015,402,603,1003,805,1590,2391,19993,21005,41006,1401,1574,2973,718,880,1597,9933,10139,20078,39065,38779,77844,623,520,1142,592201,613996,1206195
RA22,104029,105055,209086,225,135,359,36,23,62,129,187,312,277,378,657,74,86,163,56,29,85,91,106,200,420,500,917,156,121,276,65,88,157,880,739,1620,105,139,242,35,24,61,39,27,63,144,126,271,593,547,1139,22,70,89,31,71,105,15,11,28,1179,902,2084,138,125,261,494,443,937,1186,1317,2506,99,65,163,562,1120,1680,61,54,104,40,59,100,316,357,673,140,125,263,90,183,273,248,442,687,3352,3578,6931,195,294,492,404,465,859,2254,2038,4289,11546,10962,22507,240,186,428,129978,131167,261142
RA23,1468,1293,2764,0,0,0,0,0,0,0,0,4,0,3,3,0,0,0,0,0,0,0,0,0,7,3,8,0,0,0,0,0,0,5,6,14,0,0,0,0,0,0,0,0,0,0,4,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,3,9,11,14,17,26,0,0,0,0,10,10,0,0,3,0,0,0,5,0,8,0,0,0,0,0,0,0,4,5,30,51,76,6,3,5,0,5,3,13,22,31,158,140,300,0,0,7,1731,1578,3304
