RA_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
RA10,2414907,2527585,4942498,958323,677287,1635614,327726,515575,843295,163022,167319,330346,82749,66979,149727,1531825,1427158,2958981,752211,968117,1720330,5.4,4.7,5.1,63.4,56.5,59.9,60,53.8,56.8,214343,217553,431892,38026,66691,104712,465508,559720,1025231,204000,270661,474666,423072,222120,645189,17183,31606,48790,37673,60949,98619,477921,314676,792597,2345804,2424247,4770054,452166,461585,913753,1495577,1560598,3056178,1148302,1179663,2327963
RA11,630776,665675,1296454,239509,147476,386984,85051,163945,249000,23341,27938,51278,17911,14289,32201,365812,353646,719460,223228,269667,492896,4.9,4,4.5,58,53.1,55.5,55.2,51,53,20922,24906,45830,8126,17499,25625,59965,95459,155419,43581,71385,114966,177430,95678,273108,6491,12509,18997,10408,18889,29301,194332,127075,321405,602892,628056,1230946,105957,113745,219700,395068,407491,802564,277006,299844,576848
RA12,159106,157671,316775,65132,36788,101921,17703,37131,54835,5436,5922,11354,4035,3094,7131,92305,82937,175242,50880,59929,110811,4.4,3.7,4.1,58,52.6,55.3,55.5,50.6,53.1,2964,3824,6795,1290,3354,4642,11315,19642,30959,8635,14674,23306,41466,21809,63278,1584,3154,4739,2343,3953,6292,45388,28915,74307,149424,147066,296487,22419,23287,45709,105883,102622,208504,57183,59615,116797
RA13,11703,10616,22323,5308,2748,8053,860,2126,2980,416,415,833,259,188,446,6840,5482,12315,2781,3330,6113,3.7,3.5,3.6,58.4,51.6,55.2,56.2,49.8,53.2,110,188,291,64,180,244,628,1274,1899,552,841,1399,2465,1248,3713,112,202,314,183,193,379,2766,1647,4415,10002,9189,19185,1619,1543,3165,7268,6505,13773,3670,3569,7243
RA14,3143,2932,6072,1208,804,2012,244,416,658,122,116,239,84,54,139,1657,1386,3044,941,1051,1994,4.9,3.8,4.4,52.8,47.3,50.1,50.2,45.5,47.9,54,72,123,25,38,63,179,333,513,134,233,366,627,302,923,31,47,86,33,55,89,687,407,1094,2717,2472,5181,433,432,867,2042,1833,3877,920,906,1826
RA15,31,4,32,26,0,27,0,0,0,0,0,0,0,0,0,33,3,35,0,0,0,0,0,0,96.9,66.7,94.3,96.9,66.7,94.3,0,0,0,0,0,0,0,0,4,0,0,0,7,0,7,0,0,0,0,0,0,11,0,11,29,3,33,6,0,6,20,0,19,12,3,17
RA20,1990096,2093781,4083881,921119,571277,1492392,300667,530750,831413,69081,90080,159160,74089,65804,139891,1364954,1257909,2622857,526977,738476,1265454,5.4,5.2,5.3,68.6,60.1,64.2,64.9,56.9,60.8,175093,183085,358181,40995,79909,120899,388548,466464,855011,180968,224800,405770,334901,176819,511721,13643,20448,34094,24557,36992,61552,373105,234262,607364,1948536,2024312,3972849,363943,373857,737803,1231401,1296582,2527986,954036,981334,1935371
RA21,479803,508292,988094,200445,109042,309483,63176,138490,201665,18150,23755,41902,12540,10081,22626,294305,281362,575670,154755,195586,350340,4.3,3.6,3.9,61.3,55.4,58.3,58.7,53.4,56,15068,19695,34760,8086,18662,26748,46868,75130,121997,36037,56697,92737,130766,67865,198634,4285,7814,12105,5998,8811,14811,141047,84493,225544,471262,490085,961351,72603,78074,150675,311968,321041,633005,203949,220124,424069
RA22,107636,109667,217310,42441,22628,65070,13400,27924,41323,4205,4901,9104,2732,1914,4643,62772,57360,120134,35735,43376,79108,4.3,3.3,3.9,58.3,52.3,55.3,55.8,50.6,53.1,1970,2750,4715,1239,3144,4383,7577,13613,21185,7091,11358,18456,28105,14490,42596,1020,1799,2820,1437,1805,3238,30564,18090,48658,102171,102994,205160,15049,15883,30937,70719,70094,140815,40913,43154,84064
RA23,1471,1333,2808,550,223,770,147,336,484,52,41,94,43,32,75,789,638,1428,553,586,1140,5.8,5,5.5,53.7,47.8,50.9,50.6,45.4,48.1,15,24,38,6,22,38,73,172,241,57,130,188,335,192,533,13,26,38,15,20,30,355,240,599,1423,1286,2711,132,144,278,1105,991,2096,398,375,777
