RA_CODE_2021,F_Tot_LF_15_19_yr,F_Tot_LF_20_24_yr,F_Tot_LF_25_34_yr,F_Tot_LF_35_44_yr,F_Tot_LF_45_54_yr,F_Tot_LF_55_64_yr,F_Tot_LF_65_74_yr,F_Tot_LF_75_84_yr,F_Tot_LF_85_yr_over,F_Tot_LF_Tot,F_NILF_15_19_yr,F_NILF_20_24_yr,F_NILF_25_34_yr,F_NILF_35_44_yr,F_NILF_45_54_yr,F_NILF_55_64_yr,F_NILF_65_74_yr,F_NILF_75_84_yr,F_NILF_85_yr_over,F_NILF_Tot,F_LF_st_ns_15_19,F_LF_st_ns_20_24,F_LF_st_ns_25_34,F_LF_st_ns_35_44,F_LF_st_ns_45_54,F_LF_st_ns_55_64,F_LF_st_ns_65_74,F_LF_st_ns_75_84,F_LF_st_ns_85_yr_over,F_LF_st_ns_Total,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Emp_wrk_Ft_15_19,P_Emp_wrk_Ft_20_24,P_Emp_wrk_Ft_25_34,P_Emp_wrk_Ft_35_44,P_Emp_wrk_Ft_45_54,P_Emp_wrk_Ft_55_64,P_Emp_wrk_Ft_65_74,P_Emp_wrk_Ft_75_84,P_Emp_wrk_Ft_85_yr_over,P_Emp_wrk_Ft_Tot,P_Emp_wrk_Pt_15_19,P_Emp_wrk_Pt_20_24,P_Emp_wrk_Pt_25_34,P_Emp_wrk_Pt_35_44,P_Emp_wrk_Pt_45_54,P_Emp_wrk_Pt_55_64,P_Emp_wrk_Pt_65_74,P_Emp_wrk_Pt_75_84,P_Emp_wrk_Pt_85_yr_over,P_Emp_wrk_Pt_Tot,P_Emp_a_f_wrk_15_19,P_Emp_a_f_wrk_20_24,P_Emp_a_f_wrk_25_34,P_Emp_a_f_wrk_35_44,P_Emp_a_f_wrk_45_54,P_Emp_a_f_wrk_55_64,P_Emp_a_f_wrk_65_74,P_Emp_a_f_wrk_75_84,P_Emp_a_f_wrk_85_yr_over,P_Emp_a_f_wrk_Tot,P_Hr_wrk_ns_15_19,P_Hr_wrk_ns_20_24,P_Hr_wrk_ns_25_34,P_Hr_wrk_ns_35_44,P_Hr_wrk_ns_45_54,P_Hr_wrk_ns_55_64,P_Hr_wrk_ns_65_74,P_Hr_wrk_ns_75_84,P_Hr_wrk_ns_85_yr_over,P_Hr_wrk_ns_Tot,P_Tot_emp_15_19,P_Tot_emp_20_24,P_Tot_emp_25_34,P_Tot_emp_35_44,P_Tot_emp_45_54,P_Tot_emp_55_64,P_Tot_emp_65_74,P_Tot_emp_75_84,P_Tot_emp_85_yr_over,P_Tot_emp_Tot,P_UE_lk_fr_Ft_wrk_15_19,P_UE_lk_fr_Ft_wrk_20_24,P_UE_lk_fr_Ft_wrk_25_34,P_UE_lk_fr_Ft_wrk_35_44,P_UE_lk_fr_Ft_wrk_45_54,P_UE_lk_fr_Ft_wrk_55_64,P_UE_lk_fr_Ft_wrk_65_74,P_UE_lk_fr_Ft_wrk_75_84,P_UE_lk_for_Ft_wrk_85_over,P_UE_looking_for_Ft_wk_Tot,P_UE_lk_for_Pt_wk_15_19,P_UE_lk_for_Pt_wk_20_24,P_UE_lk_for_Pt_wk_25_34,P_UE_lk_for_Pt_wk_35_44,P_UE_lk_for_Pt_wk_45_54,P_UE_lk_for_Pt_wk_55_64,P_UE_lk_for_Pt_wk_65_74,P_UE_lk_for_Pt_wk_75_84,P_UE_looking_for_Pt_wk_85ov,P_UE_lk_for_Pt_wrk_Tot,P_Tot_unemp_15_19,P_Tot_unemp_20_24,P_Tot_unemp_25_34,P_Tot_unemp_35_44,P_Tot_unemp_45_54,P_Tot_unemp_55_64,P_Tot_unemp_65_74,P_Tot_unemp_75_84,P_Tot_unemp_85_yr_over,P_Tot_unemp_Total,P_Tot_LF_15_19_yr,P_Tot_LF_20_24_yr,P_Tot_LF_25_34_yr,P_Tot_LF_35_44_yr,P_Tot_LF_45_54_yr,P_Tot_LF_55_64_yr,P_Tot_LF_65_74_yr,P_Tot_LF_75_84_yr,P_Tot_LF_85_yr_over,P_Tot_LF_Tot,P_NILF_15_19_yr,P_NILF_20_24_yr,P_NILF_25_34_yr,P_NILF_35_44_yr,P_NILF_45_54_yr,P_NILF_55_64_yr,P_NILF_65_74_yr,P_NILF_75_84_yr,P_NILF_85_yr_over,P_NILF_Tot,P_LF_st_ns_15_19,P_LF_st_ns_20_24,P_LF_st_ns_25_34,P_LF_st_ns_35_44,P_LF_st_ns_45_54,P_LF_st_ns_55_64,P_LF_st_ns_65_74,P_LF_st_ns_75_84,P_LF_st_ns_85_yr_over,P_LF_st_ns_Total,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
RA10,71695,139649,349409,330332,287493,196341,47279,4595,375,1427158,87082,43065,91117,94294,88916,137819,215045,145642,65137,968117,6826,9814,26140,21175,15577,13051,12417,13026,14274,132308,165599,192534,466666,445804,391991,347207,274735,163261,79786,2527585,18359,108074,428273,432529,370653,230766,43644,3121,182,1635614,74217,106723,168245,167984,144729,123381,49451,7964,615,843295,27549,39847,68091,53389,41926,38389,12582,1629,161,283558,1947,5782,14684,10529,6999,4743,1477,485,151,46788,122077,260425,679294,664438,564303,397275,107146,13200,1101,2809251,4421,11783,22421,17664,15632,11763,1627,80,15,85409,14788,12371,12003,8380,6960,7300,2251,239,24,64320,19212,24154,34427,26039,22590,19068,3879,320,35,149727,141282,284579,713720,690473,586898,416344,111024,13514,1144,2958981,186000,90149,154711,147948,147974,232727,387819,266173,106833,1720330,14450,21452,54334,44008,32867,27554,24022,23098,21402,263178,341729,396182,922768,882435,767736,676621,522865,302783,129380,4942498
RA11,25963,29196,65573,69438,77565,66095,17514,2091,206,353646,15897,7109,16207,15047,17816,40569,80627,53934,22462,269667,2766,2592,5727,5536,5414,5550,5623,5257,3894,42356,44626,38900,87506,90018,100803,112216,103770,61278,26555,665675,11971,30456,78443,82915,94785,71024,15440,1812,147,386984,30028,20937,38443,42146,43899,48378,21239,3631,298,249000,3757,3325,8333,6175,6015,7525,2720,369,65,38283,1195,1468,2826,2222,2183,1818,752,409,124,12992,46950,56185,128038,133458,146888,128742,40150,6216,635,687257,1787,2648,3719,2998,3225,2883,391,16,5,17663,3679,1829,2163,1797,1846,2403,723,73,19,14538,5466,4470,5886,4796,5068,5296,1114,89,26,32201,52415,60654,133926,138252,151957,134036,41263,6309,657,719460,34362,13343,26453,25303,31659,71438,151726,101574,37043,492896,5885,5558,11589,11209,11502,11664,11230,9461,5990,84093,92661,79554,171966,174766,195117,217143,204212,117346,43692,1296454
RA12,5241,6153,14803,15157,17817,17122,5558,978,108,82937,4238,1643,3801,3321,4122,9509,16884,11483,4927,59929,948,824,1964,1991,2155,2418,2059,1566,882,14806,10428,8619,20565,20469,24092,29043,24500,14025,5917,157671,3053,7654,19282,19509,23450,20905,6692,1249,124,101921,5875,3955,8180,8547,9336,11687,5774,1276,189,54835,520,501,1640,1053,1145,1602,660,147,27,7301,370,362,728,634,648,692,354,223,51,4054,9821,12470,29835,29747,34579,34887,13482,2892,395,168111,393,556,867,683,877,839,109,6,0,4323,534,341,443,345,394,547,180,12,3,2805,931,898,1304,1029,1267,1386,290,19,5,7131,10751,13365,31140,30777,35848,36280,13768,2911,398,175242,8694,2895,5869,5523,7636,17215,33035,21943,8007,110811,2013,1843,4117,4165,4559,5136,4436,2956,1488,30722,21457,18111,41129,40462,48043,58625,51241,27810,9901,316775
RA13,273,400,1137,989,1145,1079,358,90,5,5482,296,125,324,215,247,525,781,565,249,3330,122,140,267,277,291,307,218,139,56,1809,687,658,1726,1481,1688,1910,1361,791,307,10616,218,599,1674,1447,1689,1694,596,135,15,8053,236,193,525,492,524,600,319,71,15,2980,23,42,143,73,90,104,56,16,0,539,25,27,69,42,43,44,23,15,7,289,499,855,2400,2057,2350,2447,990,237,38,11870,34,45,68,42,48,43,11,0,0,290,30,12,33,23,21,29,0,0,0,159,67,58,102,66,73,73,10,0,0,446,565,915,2505,2119,2428,2514,1002,238,38,12315,585,216,449,340,439,953,1615,1100,415,6113,253,270,627,575,618,673,498,296,90,3898,1403,1405,3576,3034,3486,4147,3117,1627,536,22323
RA14,42,112,295,236,279,291,105,23,3,1386,96,58,128,92,114,160,238,125,43,1051,32,45,87,80,69,77,52,31,11,495,170,220,513,403,459,530,394,180,60,2932,58,161,397,343,420,440,151,37,6,2012,30,53,117,108,106,135,76,28,0,658,3,7,31,19,15,52,20,0,0,155,4,7,22,9,14,10,13,4,0,83,98,227,571,486,564,638,262,64,11,2911,7,7,17,16,16,17,0,0,0,78,3,8,14,5,12,13,0,0,0,60,12,13,28,19,33,30,5,0,0,139,106,240,598,501,594,659,267,65,11,3044,186,97,192,160,206,327,511,241,74,1994,73,90,176,146,153,180,138,70,16,1041,364,426,967,803,946,1167,922,380,101,6072
RA15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,16,7,4,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,12,4,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,12,4,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,8,3,0,0,32
RA20,67720,126124,318107,289663,249329,164483,38655,3579,257,1257909,63329,30153,67918,71224,64711,100525,167201,117687,55723,738476,5187,7589,21036,16554,12307,9503,9037,8559,7629,97401,136235,163865,407067,377442,326345,274507,214895,129829,63604,2093781,13135,94648,413689,393910,332116,204483,37665,2606,135,1492392,80340,119601,168661,160937,136942,112215,45289,6977,450,831413,11625,15352,31964,23829,14903,14702,5549,831,99,118855,1573,5190,12922,9011,6029,3783,1236,411,145,40303,106679,234785,627243,587686,489991,335187,89737,10825,823,2482969,3132,10316,19974,14573,12870,9010,1218,67,18,71164,20827,13141,11234,8382,6756,6336,1824,200,26,68726,23966,23458,31215,22950,19621,15344,3038,263,40,139891,130643,258243,658456,610638,509609,350530,92780,11093,863,2622857,138171,61936,104907,102418,100762,161644,293948,211104,90562,1265454,10811,16663,44247,34319,25901,19727,17000,15230,11665,195564,279627,336848,807612,747375,636272,531897,403728,237421,103098,4083881
RA21,19327,22949,52930,56166,62001,52482,13724,1598,188,281362,12455,4900,12158,12353,13663,28991,58152,36937,15971,195586,1968,1745,4157,4316,4257,4252,4141,3757,2759,31341,33753,29593,69244,72834,79925,85725,76019,42290,18919,508292,7482,23775,65173,66640,75623,56651,12422,1570,145,309483,22763,17287,30226,35749,36605,39081,17011,2698,244,201665,3366,2547,6862,4897,4561,6164,2247,325,49,31025,1006,1113,2166,1793,1962,1540,827,366,104,10877,34615,44721,104418,109081,118752,103436,32514,4966,546,553051,1000,1750,2695,2004,2278,2036,283,18,5,12057,3075,1259,1505,1228,1321,1623,471,63,11,10568,4080,3006,4199,3229,3592,3655,753,78,20,22626,38692,47731,108622,112317,122345,107093,33265,5047,563,575670,26991,9289,18978,19440,23417,49366,107347,69393,26110,350340,4073,3750,8432,8559,8930,8771,8404,6824,4335,62084,69764,60770,136034,140310,154695,165239,149014,81258,31015,988094
RA22,3503,4346,10486,10465,12380,12035,3563,530,55,57360,2659,1051,2683,2509,3000,6510,12654,8473,3839,43376,539,571,1180,1174,1209,1310,1245,996,701,8933,6699,5964,14355,14149,16588,19857,17461,10001,4594,109667,1632,4998,12938,12443,14948,13491,3879,683,66,65070,4205,3022,6325,6775,7275,8844,4005,776,94,41323,500,465,1298,858,941,1480,552,101,35,6220,211,253,566,481,509,445,243,143,35,2882,6550,8734,21122,20556,23676,24264,8678,1697,224,115494,209,365,517,409,510,496,69,0,3,2579,400,222,336,271,265,420,122,13,3,2062,608,591,857,677,775,921,195,13,0,4643,7159,9322,21979,21236,24453,25182,8869,1705,227,120134,5606,1890,4000,3897,5241,11681,24516,16034,6239,79108,1114,1167,2408,2421,2526,2793,2656,1866,1106,18065,13878,12377,28397,27558,32217,39653,36050,19605,7577,217310
RA23,19,27,97,127,115,177,64,20,0,638,30,4,19,34,38,125,158,129,52,586,7,4,0,14,17,22,14,16,15,113,52,32,121,175,172,321,242,156,70,1333,11,35,110,146,136,201,109,21,3,770,28,18,59,94,75,123,65,16,3,484,3,5,8,11,3,19,8,3,0,59,0,0,6,8,10,3,5,7,0,36,43,56,188,250,225,347,187,42,4,1349,0,9,7,7,4,16,0,0,0,45,8,0,0,0,4,9,0,0,0,32,9,6,4,7,17,29,6,0,0,75,50,64,196,259,241,381,186,42,5,1428,64,14,48,56,75,236,323,235,95,1140,9,6,10,32,28,45,44,29,26,240,124,88,252,352,344,663,556,310,128,2808
