RA_CODE_2021,M_Yr_12_eq_15_19_yr,M_Yr_12_eq_20_24_yr,M_Yr_12_eq_25_34_yr,M_Yr_12_eq_35_44_yr,M_Yr_12_eq_45_54_yr,M_Yr_12_eq_55_64_yr,M_Yr_12_eq_65_74_yr,M_Yr_12_eq_75_84_yr,M_Yr_12_eq_85_yr_over,M_Yr_12_eq_Tot,M_Yr_11_eq_15_19_yr,M_Yr_11_eq_20_24_yr,M_Yr_11_eq_25_34_yr,M_Yr_11_eq_35_44_yr,M_Yr_11_eq_45_54_yr,M_Yr_11_eq_55_64_yr,M_Yr_11_eq_65_74_yr,M_Yr_11_eq_75_84_yr,M_Yr_11_eq_85_yr_over,M_Yr_11_eq_Tot,M_Yr_10_eq_15_19_yr,M_Yr_10_eq_20_24_yr,M_Yr_10_eq_25_34_yr,M_Yr_10_eq_35_44_yr,M_Yr_10_eq_45_54_yr,M_Yr_10_eq_55_64_yr,M_Yr_10_eq_65_74_yr,M_Yr_10_eq_75_84_yr,M_Yr_10_eq_85_yr_over,M_Yr_10_eq_Tot,M_Yr_9_eq_15_19_yr,M_Yr_9_eq_20_24_yr,M_Yr_9_eq_25_34_yr,M_Yr_9_eq_35_44_yr,M_Yr_9_eq_45_54_yr,M_Yr_9_eq_55_64_yr,M_Yr_9_eq_65_74_yr,M_Yr_9_eq_75_84_yr,M_Yr_9_eq_85_yr_over,M_Yr_9_eq_Tot,M_Yr_8_bel_15_19_yr,M_Yr_8_bel_20_24_yr,M_Yr_8_bel_25_34_yr,M_Yr_8_bel_35_44_yr,M_Yr_8_bel_45_54_yr,M_Yr_8_bel_55_64_yr,M_Yr_8_bel_65_74_yr,M_Yr_8_bel_75_84_yr,M_Yr_8_bel_85_yr_over,M_Yr_8_bel_Tot,M_Did_not_go_to_school_15_19,M_Did_not_go_to_school_20_24,M_Did_not_go_to_school_25_34,M_Did_not_go_to_school_35_44,M_Did_not_go_to_school_45_54,M_Did_not_go_to_school_55_64,M_Did_not_go_to_school_65_74,M_Did_not_go_to_school_75_84,M_Did_not_go_to_school_85ov,M_Did_not_go_to_school_Tot,M_High_yr_sch_ns_15_19_yr,M_High_yr_sch_ns_20_24_yr,M_High_yr_sch_ns_25_34_yr,M_High_yr_sch_ns_35_44_yr,M_High_yr_sch_ns_45_54_yr,M_High_yr_sch_ns_55_64_yr,M_High_yr_sch_ns_65_74_yr,M_High_yr_sch_ns_75_84_yr,M_High_yr_sch_ns_85_yr_over,M_High_yr_sch_ns_Tot,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Yr_12_eq_15_19_yr,F_Yr_12_eq_20_24_yr,F_Yr_12_eq_25_34_yr,F_Yr_12_eq_35_44_yr,F_Yr_12_eq_45_54_yr,F_Yr_12_eq_55_64_yr,F_Yr_12_eq_65_74_yr,F_Yr_12_eq_75_84_yr,F_Yr_12_eq_85_yr_over,F_Yr_12_eq_Tot,F_Yr_11_eq_15_19_yr,F_Yr_11_eq_20_24_yr,F_Yr_11_eq_25_34_yr,F_Yr_11_eq_35_44_yr,F_Yr_11_eq_45_54_yr,F_Yr_11_eq_55_64_yr,F_Yr_11_eq_65_74_yr,F_Yr_11_eq_75_84_yr,F_Yr_11_eq_85_yr_over,F_Yr_11_eq_Tot,F_Yr_10_eq_15_19_yr,F_Yr_10_eq_20_24_yr,F_Yr_10_eq_25_34_yr,F_Yr_10_eq_35_44_yr,F_Yr_10_eq_45_54_yr,F_Yr_10_eq_55_64_yr,F_Yr_10_eq_65_74_yr,F_Yr_10_eq_75_84_yr,F_Yr_10_eq_85_yr_over,F_Yr_10_eq_Tot,F_Yr_9_eq_15_19_yr,F_Yr_9_eq_20_24_yr,F_Yr_9_eq_25_34_yr,F_Yr_9_eq_35_44_yr,F_Yr_9_eq_45_54_yr,F_Yr_9_eq_55_64_yr,F_Yr_9_eq_65_74_yr,F_Yr_9_eq_75_84_yr,F_Yr_9_eq_85_yr_over,F_Yr_9_eq_Tot,F_Yr_8_bel_15_19_yr,F_Yr_8_bel_20_24_yr,F_Yr_8_bel_25_34_yr,F_Yr_8_bel_35_44_yr,F_Yr_8_bel_45_54_yr,F_Yr_8_bel_55_64_yr,F_Yr_8_bel_65_74_yr,F_Yr_8_bel_75_84_yr,F_Yr_8_bel_85_yr_over,F_Yr_8_bel_Tot,F_Did_not_go_to_school_15_19,F_Did_not_go_to_school_20_24,F_Did_not_go_to_school_25_34,F_Did_not_go_to_school_35_44,F_Did_not_go_to_school_45_54,F_Did_not_go_to_school_55_64,F_Did_not_go_to_school_65_74,F_Did_not_go_to_school_75_84,F_Did_not_go_to_school_85ov,F_Did_not_go_to_school_Tot,F_High_yr_sch_ns_15_19_yr,F_High_yr_sch_ns_20_24_yr,F_High_yr_sch_ns_25_34_yr,F_High_yr_sch_ns_35_44_yr,F_High_yr_sch_ns_45_54_yr,F_High_yr_sch_ns_55_64_yr,F_High_yr_sch_ns_65_74_yr,F_High_yr_sch_ns_75_84_yr,F_High_yr_sch_ns_85_yr_over,F_High_yr_sch_ns_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Yr_12_eq_15_19_yr,P_Yr_12_eq_20_24_yr,P_Yr_12_eq_25_34_yr,P_Yr_12_eq_35_44_yr,P_Yr_12_eq_45_54_yr,P_Yr_12_eq_55_64_yr,P_Yr_12_eq_65_74_yr,P_Yr_12_eq_75_84_yr,P_Yr_12_eq_85_yr_over,P_Yr_12_eq_Tot,P_Yr_11_eq_15_19_yr,P_Yr_11_eq_20_24_yr,P_Yr_11_eq_25_34_yr,P_Yr_11_eq_35_44_yr,P_Yr_11_eq_45_54_yr,P_Yr_11_eq_55_64_yr,P_Yr_11_eq_65_74_yr,P_Yr_11_eq_75_84_yr,P_Yr_11_eq_85_yr_over,P_Yr_11_eq_Tot,P_Yr_10_eq_15_19_yr,P_Yr_10_eq_20_24_yr,P_Yr_10_eq_25_34_yr,P_Yr_10_eq_35_44_yr,P_Yr_10_eq_45_54_yr,P_Yr_10_eq_55_64_yr,P_Yr_10_eq_65_74_yr,P_Yr_10_eq_75_84_yr,P_Yr_10_eq_85_yr_over,P_Yr_10_eq_Tot,P_Yr_9_eq_15_19_yr,P_Yr_9_eq_20_24_yr,P_Yr_9_eq_25_34_yr,P_Yr_9_eq_35_44_yr,P_Yr_9_eq_45_54_yr,P_Yr_9_eq_55_64_yr,P_Yr_9_eq_65_74_yr,P_Yr_9_eq_75_84_yr,P_Yr_9_eq_85_yr_over,P_Yr_9_eq_Tot
RA10,43354,158180,344093,326432,239776,175317,123625,53310,14619,1478701,7432,12002,20548,18540,17820,14906,9103,4952,1418,106721,13779,16514,46471,48869,75842,89587,56771,31924,9324,389080,2662,2587,6790,8413,11429,15072,19854,14611,5185,86610,612,831,3781,5385,7376,12050,18436,17219,8400,74085,150,755,3492,3556,4046,5565,5189,3971,2190,28926,7614,12174,30301,25005,18999,16484,14778,13355,8392,147107,75596,203047,455481,436201,375280,328989,247755,139352,49525,2311229,47281,161020,381006,357987,265974,183366,113054,46891,15471,1572049,4996,8255,16013,15401,17204,14520,9658,5696,2070,93816,7814,10404,32265,36105,69837,95687,78415,46093,17410,394023,1545,1469,5065,6588,10158,16491,25566,18697,9808,95394,359,529,2554,4269,7004,14038,23650,21904,14037,88345,115,485,2792,3251,4934,7426,7731,6800,4693,38217,6813,9897,26541,21776,16417,15140,16203,16953,16219,145960,68932,192060,466230,445368,391533,346668,274281,163029,79704,2427805,90632,319195,725097,684418,505752,358683,236678,100194,30087,3050748,12426,20255,36567,33938,35026,29431,18765,10649,3490,200538,21595,26924,78738,84972,145677,185273,135186,78021,26731,783102,4207,4059,11858,15000,21587,31564,45421,33307,14993,181999
RA11,7797,23044,45086,44326,40516,33931,35481,15633,3817,249635,3320,4743,7045,6769,7079,6518,5187,2599,671,43935,6799,7422,20014,20922,31918,44318,31791,16217,3893,183291,1655,1320,2761,3390,4965,8074,12467,8786,2580,45991,353,289,1063,1442,2072,4352,7860,6767,3262,27472,37,85,338,344,364,443,459,374,162,2592,3176,3688,8125,7503,7344,7244,7172,5670,2741,52663,23138,40593,84416,84701,94264,104878,100414,56041,17130,605575,9564,27129,58706,59388,53033,42003,31867,14043,4073,299798,2291,3376,5957,5938,7332,7616,5470,3120,871,41974,4050,4639,13717,15111,28802,44916,39595,21628,7001,179449,935,737,2141,2487,4105,7671,12800,9182,4589,44648,224,183,693,969,1337,3254,6428,6058,4836,23981,40,73,279,315,342,389,422,363,256,2473,2770,2682,5966,5770,5791,6328,7138,6856,4931,48238,19870,38827,87460,89979,100752,112169,103717,61250,26547,640573,17357,50180,103787,103714,93554,75933,67341,29681,7893,549435,5611,8125,12997,12710,14412,14127,10661,5718,1543,85909,10845,12058,33729,36034,60724,89235,71380,37843,10888,362739,2595,2055,4904,5879,9072,15742,25263,17970,7173,90643
RA12,1474,5058,10006,8652,8455,7566,7419,2908,654,52185,773,1084,1716,1665,1807,1773,1387,616,126,10943,1639,1822,5161,5657,8534,12694,8345,3692,767,48305,406,315,786,974,1573,2655,3464,2293,594,13058,118,76,304,462,793,1629,3081,2273,986,9720,24,13,68,56,98,128,167,145,68,771,1065,1102,2510,2511,2666,3124,2875,1849,782,18487,5492,9478,20544,19975,23921,29563,26731,13780,3979,153465,1924,5681,13045,12260,11422,9575,6550,2783,800,64042,543,797,1408,1568,1947,2198,1392,645,209,10722,865,1070,3297,3655,6844,11315,8963,4564,1479,42060,256,160,572,666,1093,2135,3063,2131,893,10973,47,38,153,196,424,1080,1954,1827,1268,6980,0,19,53,44,83,77,122,122,81,593,946,844,2017,2067,2264,2658,2447,1948,1177,16367,4587,8609,20547,20457,24074,29041,24492,14021,5908,151741,3399,10739,23051,20906,19874,17142,13970,5692,1455,116228,1313,1890,3126,3236,3755,3968,2777,1259,336,21667,2506,2894,8452,9306,15376,24007,17308,8263,2252,90364,661,472,1356,1643,2670,4789,6525,4422,1486,24027
RA13,93,371,767,594,560,448,310,146,27,3320,60,74,145,132,148,140,90,32,11,822,98,130,442,408,566,885,545,175,38,3281,24,26,92,71,128,208,223,104,40,917,7,5,35,44,61,135,245,178,69,780,0,0,10,6,5,12,26,21,3,78,127,130,361,297,338,403,321,188,49,2208,420,738,1848,1555,1796,2231,1752,834,229,11406,139,387,1050,829,754,556,262,117,38,4139,33,52,121,103,119,140,73,40,16,699,47,64,224,204,406,688,507,221,69,2421,17,9,55,51,74,141,175,112,57,691,0,0,10,14,25,75,104,122,57,407,3,3,9,5,4,4,8,15,7,53,114,136,264,279,300,317,238,165,66,1878,358,658,1726,1484,1684,1910,1361,795,306,10282,235,763,1823,1426,1312,1009,573,264,61,7459,96,125,264,234,265,277,162,69,23,1516,150,193,667,610,966,1568,1051,391,102,5704,42,37,144,121,194,348,399,218,103,1604
RA14,24,82,213,148,122,143,117,28,0,878,19,26,32,46,36,45,27,8,0,233,28,37,72,104,154,228,123,46,7,809,11,19,33,29,53,53,63,27,3,288,11,8,14,7,24,62,76,39,16,260,0,3,0,0,3,6,12,0,0,28,40,40,93,68,90,101,107,44,8,587,135,215,451,403,487,637,524,196,38,3083,23,120,280,198,172,137,81,34,10,1052,20,13,34,34,35,40,26,7,0,207,12,18,73,62,123,181,124,48,15,650,10,16,35,25,46,52,60,24,11,263,3,0,8,6,16,34,44,32,14,152,0,0,0,3,0,9,7,4,0,15,36,50,96,78,75,82,56,37,11,528,105,220,513,400,459,530,394,180,60,2867,49,207,484,340,293,285,201,64,13,1932,32,36,69,76,73,80,52,18,5,444,47,57,141,167,271,406,245,99,23,1460,20,27,61,57,98,101,124,53,15,550
RA15,0,0,0,0,4,5,0,0,0,9,0,0,0,0,4,3,0,0,0,6,0,0,0,0,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,10,4,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,5,0,0,0,12,0,0,0,0,4,0,0,0,0,8,0,0,0,0,3,0,0,0,0,14,0,0,0,0,5,0,0,0,0,3
RA20,34840,140121,312581,284921,198894,134607,93240,39901,11247,1250357,5548,10277,23452,21536,38898,42097,22283,8638,2398,175127,6053,8959,26259,27881,36502,41380,29515,16869,5064,198474,1873,1996,6621,7717,10843,13642,13918,10069,3431,70112,861,1099,4017,5412,6166,9108,15161,19137,9994,70948,194,875,3493,3633,3827,4413,4111,3639,1951,26135,5701,9238,23681,18453,14475,11877,10388,9242,5377,108434,55064,172566,400102,369559,309599,257133,188611,107498,39457,1899586,37853,141979,343936,314577,232112,150620,90907,36006,12782,1360770,3295,6409,15925,14860,33823,44393,27744,12356,4134,162942,3189,5039,15789,17030,27221,37680,38033,22800,8790,175562,1001,1161,3901,5166,8483,13249,17218,12323,6191,68684,460,697,3031,4749,6678,10968,22567,28216,17300,94662,121,575,2903,3807,4749,6036,6176,6146,4117,34633,5151,7629,21263,16929,12964,11231,11980,11882,10242,109283,51076,163487,406745,377119,326023,274184,214631,129719,63556,2006536,72693,282098,656516,599503,431002,285226,184152,75911,24023,2611127,8847,16682,39381,36398,72722,86494,50023,20988,6538,338070,9238,13998,42043,44910,63716,79053,67550,39666,13856,374036,2876,3151,10523,12884,19325,26891,31136,22392,9621,138799
RA21,5867,19572,38270,37687,32255,24756,24687,9937,2231,195265,2665,4354,8594,8356,14651,17793,11914,3651,800,72785,3235,3836,10871,11615,15655,20934,16763,8192,1910,93007,1007,860,2809,3316,4866,7329,8379,5814,1542,35923,400,334,1177,1402,1669,2841,5437,6715,3271,23251,40,107,343,374,431,430,380,317,152,2577,2127,2050,4682,4689,5203,5383,5412,4320,2187,36051,15344,31110,66746,67440,74731,79480,72979,38945,12093,458865,7018,22117,50006,52192,45575,34701,24746,9052,2782,248186,1432,2564,6047,6206,13721,19940,13838,5324,1360,70422,1611,2281,6423,7117,11206,17082,17985,9895,3254,76851,528,483,1547,1762,3233,6304,8191,5496,2383,29930,231,214,664,752,1131,2298,5401,6918,4915,22509,33,86,265,302,389,377,347,326,230,2350,1972,1787,4261,4477,4630,4995,5491,5267,3976,36863,12823,29524,69220,72798,79876,85696,75998,42273,18904,487107,12884,41688,88279,89878,77827,59458,49429,18990,5012,443449,4094,6914,14642,14558,28370,37741,25757,8973,2166,143214,4851,6118,17291,18733,26858,38018,34744,18080,5166,169858,1534,1340,4357,5078,8098,13631,16569,11315,3924,65852
RA22,1112,3722,7504,6617,5832,4916,5056,1912,445,37125,580,974,2045,1836,3147,4498,3044,978,197,17307,696,770,2152,2393,3376,5529,4586,2079,454,22038,216,194,632,767,1184,2067,2360,1490,375,9284,107,96,293,351,452,867,1648,1865,917,6594,12,36,119,114,151,132,94,92,42,795,580,595,1278,1312,1472,1774,1782,1174,552,10527,3300,6396,14025,13396,15618,19783,18573,9592,2979,103672,1286,4180,9740,9275,8469,6983,4856,1769,580,47132,336,555,1330,1349,3060,4807,3311,1262,322,16332,337,467,1408,1561,2544,4148,4286,2386,759,17894,127,94,350,427,767,1592,2039,1353,576,7339,54,50,191,207,312,665,1280,1766,1334,5863,10,31,114,89,100,112,100,115,62,722,551,578,1204,1226,1315,1533,1582,1349,963,10301,2698,5958,14337,14135,16573,19846,17457,9995,4590,105589,2401,7898,17244,15896,14306,11903,9908,3686,1022,84257,917,1536,3379,3182,6212,9308,6355,2240,518,33634,1035,1242,3557,3958,5923,9673,8874,4462,1216,39935,340,290,982,1197,1956,3659,4400,2842,956,16627
RA23,10,29,78,73,49,68,66,28,4,406,0,6,20,24,50,80,71,12,3,269,0,7,19,42,48,100,71,32,3,328,0,0,5,10,14,28,49,26,8,141,0,5,4,3,3,25,32,37,26,134,0,6,0,0,0,0,4,0,0,5,5,4,6,17,6,35,31,18,15,138,23,54,130,175,174,338,316,153,57,1431,10,24,91,118,93,117,73,31,4,557,4,0,10,5,31,75,49,19,0,195,0,0,20,20,24,76,61,43,9,241,0,0,0,9,3,21,28,15,10,89,0,0,6,5,0,15,23,28,26,96,0,0,0,0,0,5,0,0,0,4,7,4,4,14,17,26,15,25,15,123,19,31,121,175,172,321,242,156,70,1303,24,53,167,197,145,181,135,58,8,962,3,5,23,33,87,160,118,31,3,464,0,7,36,63,72,171,132,73,15,572,0,0,5,27,12,49,77,39,14,229
