RA_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Prim_Other_Non_Govt_M,Prim_Other_Non_Govt_F,Prim_Other_Non_Govt_P,Primary_Tot_M,Primary_Tot_F,Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_Ed_Ft_15_24_yr_M,Tert_Voc_Ed_Ft_15_24_yr_F,Tert_Voc_Ed_Ft_15_24_yr_P,Tert_Voc_Ed_Ft_25_yr_over_M,Tert_Voc_Ed_Ft_25_yr_over_F,Tert_Voc_Ed_Ft_25_yr_over_P,Tert_Voc_Ed_Pt_15_24_yr_M,Tert_Voc_Ed_Pt_15_24_yr_F,Tert_Voc_Ed_Pt_15_24_yr_P,Tert_Voc_Ed_Pt_25_yr_over_M,Tert_Voc_Ed_Pt_25_yr_over_F,Tert_Voc_Ed_Pt_25_yr_over_P,Tert_Voc_Ed_Ft_Pt_st_ns_M,Tert_Voc_Ed_Ft_Pt_st_ns_F,Tert_Voc_Ed_Ft_Pt_st_ns_P,Tert_Voc_Ed_Tot_M,Tert_Voc_Ed_Tot_F,Tert_Voc_Ed_Tot_P,Tert_Uni_oth_edu_Ft_15_24_M,Tert_Uni_oth_edu_Ft_15_24_F,Tert_Uni_oth_edu_Ft_15_24_P,Tert_Uni_oth_edu_Ft_25ov_M,Tert_Uni_oth_edu_Ft_25ov_F,Tert_Uni_oth_edu_Ft_25ov_P,Tert_Uni_oth_edu_Pt_15_24_M,Tert_Uni_oth_edu_Pt_15_24_F,Tert_Uni_oth_edu_Pt_15_24_P,Tert_Uni_oth_edu_Pt_25ov_M,Tert_Uni_oth_edu_Pt_25ov_F,Tert_Uni_oth_edu_Pt_25ov_P,Tert_Uni_oth_edu_F_Pt_st_ns_M,Tert_Uni_oth_edu_F_Pt_st_ns_F,Tert_Uni_oth_edu_F_Pt_st_ns_P,Tert_Uni_oth_edu_Tot_M,Tert_Uni_oth_edu_Tot_F,Tert_Uni_oth_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Oth_type_Edu_inst_Ftime_stu_M,Oth_type_Edu_inst_Ftime_stu_F,Oth_type_Edu_inst_Ftime_stu_P,Oth_type_Edu_inst_Ptime_stu_M,Oth_type_Edu_inst_Ptime_stu_F,Oth_type_Edu_inst_Ptime_stu_P,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_M,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_F,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_P,Oth_type_educ_institut_Tot_M,Oth_type_educ_institut_Tot_F,Oth_type_educ_institut_Tot_P,Type_educ_institution_ns_M,Type_educ_institution_ns_F,Type_educ_institution_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
RA10,66764,60577,127345,175364,163199,338563,47333,46594,93926,30495,29796,60290,253627,239989,493610,111583,106095,217680,48253,48564,96820,37549,36812,74358,197717,191751,389459,10795,11095,21892,13052,19237,32286,23020,12071,35091,26881,42846,69724,315,296,616,74062,85547,159607,78430,92559,170995,28496,33967,62465,10997,12961,23954,26535,41706,68238,387,392,778,144844,181583,326427,219334,267592,486927,12630,12297,24926,16165,22278,38447,345,300,649,29147,34875,64019,157599,151863,309470,6892,7429,14324,931071,954088,1885159
RA11,16496,15294,31786,43022,40175,83197,13018,12887,25907,7760,7617,15375,63892,60735,124626,29002,27401,56405,11867,12368,24233,8567,8942,17512,49475,48767,98241,1966,2331,4298,1539,2999,4547,7441,4845,12292,6337,11710,18053,110,107,218,17402,22000,39406,5368,9919,15288,2507,4764,7274,1263,2329,3594,4640,10277,14915,55,74,126,13831,27364,41199,31273,49414,80688,1357,1307,2666,1977,3701,5678,66,66,137,3404,5074,8477,56661,51182,107841,1223,916,2138,222424,231381,453797
RA12,3750,3518,7270,10988,10141,21129,3360,3304,6663,1027,970,2001,15396,14442,29838,7605,7491,15102,2404,2509,4918,1281,1404,2681,11305,11411,22717,346,357,706,224,485,712,1456,1022,2473,1248,2590,3832,37,23,64,3310,4477,7788,661,1278,1942,246,625,872,210,494,707,688,2004,2696,3,19,22,1813,4417,6235,5134,8903,14037,239,272,520,338,729,1066,23,20,44,597,1029,1626,20028,17925,37956,567,347,905,56774,57573,114351
RA13,265,246,514,697,664,1361,332,336,671,24,18,42,1058,1013,2074,485,475,963,44,41,83,71,124,194,601,636,1238,12,16,31,14,29,43,72,55,125,63,167,233,0,0,0,162,266,429,55,103,159,7,28,39,13,33,40,38,139,170,0,0,0,118,299,415,280,567,847,10,9,17,10,48,60,0,0,0,16,54,73,2489,2183,4677,44,19,62,4753,4731,9483
RA14,79,42,126,191,158,347,70,76,147,11,10,25,272,245,517,101,105,212,12,23,36,16,13,22,126,141,268,6,0,10,8,7,12,23,8,29,12,47,57,0,0,0,46,61,105,6,20,30,6,12,16,0,14,14,4,34,41,0,3,6,25,85,108,72,142,212,9,6,16,4,18,24,0,0,0,10,26,33,668,603,1274,13,11,22,1239,1204,2447
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3
RA20,57461,52524,109986,143287,133361,276637,39294,38360,77649,23624,24540,48163,206523,196527,403048,92802,85521,178322,34747,36073,70821,34471,35336,69803,162247,157143,319394,12419,10911,23335,12415,16676,29088,15329,6993,22322,20373,28854,49230,248,178,429,60786,63615,124401,69419,83646,153060,26816,32990,59810,8236,9962,18201,21909,36242,58145,299,333,630,126682,163173,289854,187783,227079,414862,11800,11309,23114,14768,21714,36485,283,276,565,26858,33304,60165,119024,113173,232193,5416,5925,11346,765313,785679,1550990
RA21,12835,11698,24539,33305,30455,63759,12549,12460,25007,4224,4039,8268,50131,47003,97131,21167,20320,41484,11296,11639,22933,6518,6591,13109,39010,38574,77580,1676,2018,3695,1212,2447,3658,4877,2791,7668,4034,6756,10791,107,76,183,11901,14089,25993,4557,8060,12613,1798,3887,5686,785,1462,2246,3163,7694,10856,48,67,116,10354,21172,31530,22281,35304,57590,1299,1178,2483,2011,3420,5426,81,69,149,3390,4663,8053,40669,37994,78663,623,520,1142,168938,175766,344706
RA22,2401,2338,4740,6890,6418,13303,1961,1988,3950,831,848,1683,9684,9261,18946,5248,5156,10408,1317,1477,2800,847,953,1798,7419,7595,15013,312,395,707,180,421,597,839,506,1346,680,1495,2177,17,12,32,2032,2834,4866,433,877,1309,214,557,774,104,256,353,443,1273,1714,10,15,27,1196,2979,4177,3232,5814,9046,272,255,524,380,730,1119,33,33,61,685,1012,1705,10991,10523,21518,240,186,428,34660,36728,71392
RA23,27,20,49,104,81,185,14,19,35,0,0,0,117,102,225,85,69,159,0,0,0,4,0,6,88,72,162,0,9,6,0,7,7,0,3,7,5,18,25,0,0,0,15,30,40,0,0,3,0,7,9,0,0,0,0,15,15,0,0,0,8,28,32,14,60,74,3,3,9,4,6,9,0,0,0,16,6,19,148,127,273,0,0,7,417,394,809
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,49,384,0,0,0,337,49,389
RA30,31395,28646,60042,98059,93248,191307,24213,23463,47668,19499,19162,38659,142002,136135,278133,68775,64996,133766,23317,21946,45257,25625,25580,51202,117903,112706,230606,5802,5933,11740,6515,10455,16968,7917,6284,14202,12723,22323,35044,125,136,260,33078,45131,78211,35739,47896,83637,15441,21418,36859,5731,7952,13682,15308,27174,42477,119,146,270,72338,104584,176926,105563,149877,255440,5569,5769,11335,8440,12935,21379,133,146,283,14144,18846,32996,82909,81581,164489,4425,4141,8567,498338,531939,1030274
RA31,6946,6521,13468,28202,26740,54946,7624,7344,14969,5124,5215,10339,41010,39362,80376,21268,20341,41614,7650,7624,15272,6380,6591,12970,35347,34594,69936,1197,1143,2337,879,1489,2368,2307,2026,4329,2762,5887,8651,46,54,98,7189,10594,17780,2611,5139,7750,1650,3480,5130,922,1785,2705,2879,6703,9587,27,41,63,8093,17145,25236,15307,27774,43081,1201,1221,2427,2204,3343,5545,32,52,89,3438,4621,8063,35881,31172,67056,827,726,1561,138756,144776,283532
RA32,4921,4510,9431,19161,17885,37046,7514,7331,14846,2372,2189,4558,29089,27436,56526,15252,14255,29507,5457,6096,11552,2598,2568,5165,23333,22947,46279,899,641,1537,747,1267,2014,1427,1198,2630,2034,4271,6303,35,41,71,5132,7419,12554,2402,4662,7066,1381,2616,3997,578,1126,1702,2257,4940,7197,27,24,49,6636,13370,20004,11782,20815,32598,825,851,1672,1492,2454,3943,34,37,73,2347,3341,5685,44243,32902,77141,2669,1298,3967,118376,113263,231639
