RA_CODE_2021,Couple_fam_with_no_child_F,Couple_fam_with_no_child_P,Co_f_ch_u_15_de_st_no_de_ch_F,Co_f_ch_u_15_de_st_no_de_ch_P,Co_f_c_u_15_d_st_no_no_d_c_F,Co_f_c_u_15_d_st_no_no_d_c_P,Co_f_c_u_15_no_d_st_no_d_c_F,Co_f_c_u_15_no_d_st_no_d_c_P,Co_f_c_u_15_n_d_st_n_n_d_c_F,Co_f_c_u_15_n_d_st_n_n_d_c_P,Cou_fam_with_child_u_15_Tot_F,Cou_fam_with_child_u_15_Tot_P,Co_f_no_c_u_15_d_st_no_d_c_F,Co_f_no_c_u_15_d_st_no_d_c_P,Co_f_n_c_u_15_d_st_n_n_d_c_F,Co_f_n_c_u_15_d_st_n_n_d_c_P,Co_f_n_c_u_15_n_d_st_n_d_c_F,Co_f_n_c_u_15_n_d_st_n_d_c_P,Cou_fam_no_ch_u_15_Tot_F,Cou_fam_no_ch_u_15_Tot_P,Couple_family_Tot_F,Couple_family_Tot_P,OnePF_CU15_DS_no_de_c_F,OnePF_CU15_DS_no_de_c_P,OnePF_CU15_DS_no_no_d_c_F,OnePF_CU15_DS_no_no_d_c_P,OnePF_CU15_no_DS_no_d_c_F,OnePF_CU15_no_DS_no_d_c_P,OnePF_CU15_no_DS_n_n_d_c_F,OnePF_CU15_no_DS_n_n_d_c_P,OnePF_CU15_Tot_F,OnePF_CU15_Tot_P,OneFP_no_CU15_DS_no_d_c_F,OnePF_no_CU15_DS_no_d_c_P,OnePF_no_CU15_DS_n_n_d_c_F,OnePF_no_CU15_DS_n_n_d_c_P,OnePF_no_CU15_no_DS_n_d_c_F,OnePF_no_CU15_no_DS_n_d_c_P,OnePF_no_CU15_Tot_F,OnePF_no_CU15_Tot_P,OnePF_Tot_F,OnePF_Tot_P,Other_family_F,Other_family_P,Tot_F,Tot_P
RA10,571016,1153162,12254,71534,73104,342163,16573,78464,409139,1585390,511073,2077551,42109,183528,67164,237224,140265,466050,249539,886801,760610,2964357,3519,16962,16446,57573,7740,28783,83919,223782,111626,327098,11425,38185,26763,61449,100821,227423,139009,327063,250632,654162,27133,57807,1609390,4829486
RA11,189081,378063,3121,17604,15140,70721,5772,26924,83327,330712,107365,445960,6544,27357,10849,35699,31400,99453,48804,162512,156162,608471,1014,4751,4791,16871,3094,11353,28586,78373,37484,111347,2115,6710,5430,11614,25538,55079,33089,73399,70570,184743,5417,11368,421234,1182647
RA12,46270,92170,716,3986,3600,16642,1308,6063,18775,75447,24406,102134,1349,5405,2289,7208,6944,21721,10578,34327,34988,136464,213,1013,984,3581,674,2547,6338,18032,8209,25171,365,1150,999,2096,5666,12245,7037,15493,15242,40665,1366,2888,97865,272179
RA13,2614,5200,30,174,244,1065,80,349,1336,5346,1690,6937,80,305,164,470,376,1153,613,1934,2307,8870,23,93,49,185,49,186,431,1281,544,1743,16,43,40,83,357,780,417,909,964,2652,111,240,5996,16954
RA14,604,1190,13,76,39,185,33,149,310,1236,396,1649,9,17,20,68,90,276,120,358,522,2006,8,36,17,64,24,98,151,459,204,652,7,16,8,14,108,261,119,290,321,942,36,84,1476,4220
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,468475,943807,8999,53146,61312,285203,10455,49133,348831,1341857,429598,1729334,34975,151613,59172,209793,106943,352931,201092,714337,630688,2443670,2582,12604,14251,48974,5027,18316,65625,170748,87479,250637,10390,34356,24357,55841,78528,175668,113280,265868,200764,516504,23846,50640,1323772,3954625
RA21,143444,286250,2360,13232,12843,60105,3442,15816,68693,271863,87332,361017,6082,25627,9754,32588,24327,77175,40159,135390,127491,496408,780,3537,3709,12794,1848,6686,20022,53715,26358,76727,1827,5783,4397,9497,18654,40251,24878,55539,51233,132261,4094,8522,326269,923445
RA22,33111,65984,462,2554,2413,11264,687,3165,12766,50870,16327,67853,981,4030,1713,5452,4872,15279,7562,24756,23891,92615,117,539,721,2494,418,1500,3946,10829,5204,15360,263,830,751,1599,3730,7980,4745,10416,9944,25774,922,1939,67869,186310
RA23,515,1016,3,31,18,81,0,3,148,610,166,731,4,21,26,83,51,154,84,254,252,984,0,8,5,9,6,8,35,100,41,124,3,14,10,16,37,82,53,112,90,238,10,22,868,2256
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA30,342127,686687,6329,36822,38479,178312,9715,45316,217024,837709,271555,1098163,17619,74717,33993,116941,62436,200450,114049,392106,385606,1490270,2150,10457,10942,37297,5199,19069,59754,157497,78048,224321,5751,18473,15300,34098,50432,110639,71492,163211,149539,387534,15169,31829,892437,2596318
RA31,122101,242680,2040,11617,10276,47923,3802,17585,53091,208585,69211,285705,3939,16190,6961,22413,19225,59915,30124,98517,99334,384224,706,3340,3290,11667,2091,7748,19135,53023,25216,75777,1235,4002,3229,7023,15467,33473,19936,44497,45157,120280,3664,7642,270259,754825
RA32,75582,149163,1255,7157,6892,31563,2318,10726,38089,148063,48559,197509,2396,9712,4873,15385,11221,34662,18490,59752,67048,257264,468,2292,2279,8048,1408,5309,13380,36510,17541,52156,836,2641,2325,5019,9450,20419,12614,28081,30162,80239,2790,5871,175581,492533
RA33,6971,13718,122,653,599,2599,267,1259,4038,16221,5022,20734,230,870,357,1035,1012,3093,1603,4994,6621,25730,35,199,166,643,176,733,1355,4050,1732,5630,40,117,119,255,853,1880,1011,2259,2738,7888,306,676,16638,48003
RA34,4297,8502,123,685,376,1631,350,1844,2879,11587,3719,15752,117,458,180,483,701,2228,996,3166,4714,18928,55,299,100,395,212,935,1259,3751,1630,5380,43,126,96,194,666,1588,807,1914,2437,7289,298,691,11741,35409
RA35,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
RA40,139862,279888,2352,13625,14980,68798,3111,14132,82662,316139,103101,412691,8305,35182,14337,49681,28221,91002,50855,175863,153963,588556,773,3631,4320,14621,1985,6943,22332,57426,29411,82629,2698,8636,6692,14860,23773,51813,33164,75311,62574,157938,6404,13415,362811,1039794
RA41,24037,47705,367,2032,1888,8674,552,2487,9026,35605,11835,48790,943,3857,1442,4749,4016,12570,6395,21178,18227,69973,85,379,473,1599,228,775,2511,6694,3297,9451,234,738,562,1219,2444,5160,3250,7113,6543,16568,472,995,49282,135236
RA42,25778,51000,385,2121,1927,8728,584,2689,9807,38780,12711,52314,707,2847,1189,3637,3638,11307,5532,17789,18239,70100,126,603,557,1975,397,1409,3613,9755,4694,13751,253,789,631,1331,2935,6262,3825,8382,8516,22132,730,1545,53268,144780
RA43,5533,10843,55,290,446,2015,129,579,2456,9755,3087,12638,129,494,270,771,611,1842,1006,3103,4096,15740,9,39,103,360,46,161,630,1735,793,2294,34,97,109,224,492,1009,637,1335,1431,3628,129,258,11188,30475
RA44,1409,2772,26,133,109,517,61,323,763,3047,960,4029,27,85,42,122,186,587,251,790,1213,4818,7,45,25,106,34,160,250,754,316,1068,16,49,23,50,161,383,201,487,521,1557,83,216,3224,9357
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA50,210984,415995,4187,23735,24955,113803,6261,28182,144246,549412,179650,715130,13194,55002,22342,76630,42329,133551,77860,265184,257513,980311,1209,5628,6055,20646,2952,10554,32841,85846,43058,122677,3806,12027,8585,19390,29739,64216,42117,95637,85179,218316,9110,19141,562783,1633763
RA51,27480,53743,482,2615,2509,11146,980,4251,13517,52346,17485,70360,1071,4241,1647,5089,4419,13386,7135,22715,24619,93078,136,601,708,2336,409,1424,3927,10498,5172,14865,284,860,674,1420,3013,6308,3966,8590,9141,23456,626,1300,61871,171576
