RA_CODE_2021,M_0_cond_0_14,M_0_cond_15_24,M_0_cond_25_34,M_0_cond_35_44,M_0_cond_45_54,M_0_cond_55_64,M_0_cond_65_74,M_0_cond_75_84,M_0_cond_85_over,M_0_cond_Tot,M_1_mo_con_0_14,M_1_mo_con_15_24,M_1_mo_con_25_34,M_1_mo_con_35_44,M_1_mo_con_45_54,M_1_mo_con_55_64,M_1_mo_con_65_74,M_1_mo_con_75_84,M_1_mo_con_85_over,M_1_mo_con_Tot,M_2_mo_con_0_14,M_2_mo_con_15_24,M_2_mo_con_25_34,M_2_mo_con_35_44,M_2_mo_con_45_54,M_2_mo_con_55_64,M_2_mo_con_65_74,M_2_mo_con_75_84,M_2_mo_con_85_over,M_2_mo_con_Tot,M_3_or_mo_cond_0_14,M_3_or_mo_cond_15_24,M_3_or_mo_cond_25_34,M_3_or_mo_cond_35_44,M_3_or_mo_cond_45_54,M_3_or_mo_cond_55_64,M_3_or_mo_cond_65_74,M_3_or_mo_cond_75_84,M_3_or_mo_cond_85_over,M_3_or_mo_cond_Tot,M_OM_Lterm_Health_Tot_0_14,M_OM_Lterm_Health_Tot_15_24,M_OM_Lterm_Health_Tot_25_34,M_OM_Lterm_Health_Tot_35_44,M_OM_Lterm_Health_Tot_45_54,M_OM_Lterm_Health_Tot_55_64,M_OM_Lterm_Health_Tot_65_74,M_OM_Lterm_Health_Tot_75_84,M_OM_Lterm_Health_Tot_85_ov,M_OM_Lterm_Health_Tot_Tot,M_cond_NS_0_14,M_cond_NS_15_24,M_cond_NS_25_34,M_cond_NS_35_44,M_cond_NS_45_54,M_cond_NS_55_64,M_cond_NS_65_74,M_cond_NS_75_84,M_cond_NS_85_over,M_cond_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_0_cond_0_14,F_0_cond_15_24,F_0_cond_25_34,F_0_cond_35_44,F_0_cond_45_54,F_0_cond_55_64,F_0_cond_65_74,F_0_cond_75_84,F_0_cond_85_over,F_0_cond_Tot,F_1_mo_con_0_14,F_1_mo_con_15_24,F_1_mo_con_25_34,F_1_mo_con_35_44,F_1_mo_con_45_54,F_1_mo_con_55_64,F_1_mo_con_65_74,F_1_mo_con_75_84,F_1_mo_con_85_over,F_1_mo_con_Tot,F_2_mo_con_0_14,F_2_mo_con_15_24,F_2_mo_con_25_34,F_2_mo_con_35_44,F_2_mo_con_45_54,F_2_mo_con_55_64,F_2_mo_con_65_74,F_2_mo_con_75_84,F_2_mo_con_85_over,F_2_mo_con_Tot,F_3_or_mo_cond_0_14,F_3_or_mo_cond_15_24,F_3_or_mo_cond_25_34,F_3_or_mo_cond_35_44,F_3_or_mo_cond_45_54,F_3_or_mo_cond_55_64,F_3_or_mo_cond_65_74,F_3_or_mo_cond_75_84,F_3_or_mo_cond_85_over,F_3_or_mo_cond_Tot,F_OM_Lterm_Health_Tot_0_14,F_OM_Lterm_Health_Tot_15_24,F_OM_Lterm_Health_Tot_25_34,F_OM_Lterm_Health_Tot_35_44,F_OM_Lterm_Health_Tot_45_54,F_OM_Lterm_Health_Tot_55_64,F_OM_Lterm_Health_Tot_65_74,F_OM_Lterm_Health_Tot_75_84,F_OM_Lterm_Health_Tot_85_ov,F_OM_Lterm_Health_Tot_Tot,F_cond_NS_0_14,F_cond_NS_15_24,F_cond_NS_25_34,F_cond_NS_35_44,F_cond_NS_45_54,F_cond_NS_55_64,F_cond_NS_65_74,F_cond_NS_75_84,F_cond_NS_85_over,F_cond_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_0_cond_0_14,P_0_cond_15_24,P_0_cond_25_34,P_0_cond_35_44,P_0_cond_45_54,P_0_cond_55_64,P_0_cond_65_74,P_0_cond_75_84,P_0_cond_85_over,P_0_cond_Tot,P_1_mo_con_0_14,P_1_mo_con_15_24,P_1_mo_con_25_34,P_1_mo_con_35_44,P_1_mo_con_45_54,P_1_mo_con_55_64,P_1_mo_con_65_74,P_1_mo_con_75_84,P_1_mo_con_85_over,P_1_mo_con_Tot,P_2_mo_con_0_14,P_2_mo_con_15_24,P_2_mo_con_25_34,P_2_mo_con_35_44,P_2_mo_con_45_54,P_2_mo_con_55_64,P_2_mo_con_65_74,P_2_mo_con_75_84,P_2_mo_con_85_over,P_2_mo_con_Tot,P_3_or_mo_cond_0_14,P_3_or_mo_cond_15_24,P_3_or_mo_cond_25_34,P_3_or_mo_cond_35_44,P_3_or_mo_cond_45_54,P_3_or_mo_cond_55_64,P_3_or_mo_cond_65_74,P_3_or_mo_cond_75_84,P_3_or_mo_cond_85_over,P_3_or_mo_cond_Tot,P_OM_Lterm_Health_Tot_0_14,P_OM_Lterm_Health_Tot_15_24,P_OM_Lterm_Health_Tot_25_34,P_OM_Lterm_Health_Tot_35_44,P_OM_Lterm_Health_Tot_45_54,P_OM_Lterm_Health_Tot_55_64,P_OM_Lterm_Health_Tot_65_74,P_OM_Lterm_Health_Tot_75_84,P_OM_Lterm_Health_Tot_85_ov,P_OM_Lterm_Health_Tot_Tot,P_cond_NS_0_14,P_cond_NS_15_24,P_cond_NS_25_34,P_cond_NS_35_44,P_cond_NS_45_54,P_cond_NS_55_64,P_cond_NS_65_74,P_cond_NS_75_84,P_cond_NS_85_over,P_cond_NS_Tot
RA10,476537,295551,354911,330635,259146,188718,104077,41515,10860,2061951,49640,48215,55378,61339,68328,80611,75139,43485,14406,496550,2467,4819,7357,9528,14794,25184,33394,25021,9639,132207,130,358,880,1872,4690,11531,19718,19026,8737,66931,52244,53382,63624,72732,87817,117320,128248,87534,32778,695686,42753,30845,37569,33258,28783,23374,15802,10477,5952,228807,571533,379776,456098,436630,375742,329416,248126,139520,49587,2986443,463489,262613,345594,326981,260854,194406,116207,46736,14865,2031747,34734,59352,71639,70002,76086,85035,83419,52788,23849,556908,1864,9219,13948,14677,20797,30075,36651,29668,16074,172972,92,576,1752,3664,8175,15477,21490,21422,14362,87009,36689,69147,87341,88335,105056,130589,141559,103879,54281,816886,40062,26371,33734,30483,26080,22211,16974,12652,10639,219198,540239,358135,466666,445804,391991,347207,274735,163261,79786,3067823,940024,558167,700503,657622,520004,383128,220282,88247,25722,4093693,84376,107564,127021,131341,144419,165646,158558,96275,38255,1053456,4335,14040,21307,24203,35588,55262,70050,54687,25710,305176,215,929,2637,5532,12869,27002,41205,40447,23093,153940,88932,122533,150962,161072,192877,247912,269809,191411,87059,1512576,82815,57213,71298,63737,54861,45592,32771,23125,16590,448004
RA11,111864,62694,57774,55341,57439,52771,37676,15158,3478,454186,16442,13837,13830,15679,19757,27307,30493,17414,4886,159642,1205,1817,2360,3192,5216,10228,15088,10424,3518,53041,56,153,365,809,2034,5327,9786,8614,3399,30538,17708,15804,16554,19673,27005,42856,55369,36451,11807,243222,14711,10198,10135,9729,9871,9303,7404,4458,1849,77649,144279,88691,84459,84746,94316,104926,100448,56063,17136,775057,109688,53943,55335,55406,57793,55157,39666,16214,4627,447827,12321,17544,18909,19544,23073,29297,31308,19545,7852,179391,923,3426,4788,5404,7796,12139,15537,11523,5630,67166,46,279,722,1597,3702,7200,9881,8826,5358,37609,13291,21248,24419,26547,34569,48635,56730,39896,18840,284170,13857,8339,7751,8067,8440,8424,7374,5177,3091,70516,136843,83523,87506,90018,100803,112216,103770,61278,26555,802509,221553,116632,113111,110752,115234,107921,77340,31370,8103,902015,28765,31381,32739,35221,42826,56606,61798,36959,12744,339034,2129,5235,7147,8594,13009,22366,30625,21943,9155,120207,102,431,1083,2406,5738,12525,19673,17442,8751,68147,30995,37049,40974,46220,61576,91491,112094,76346,30648,527389,28569,18535,17887,17798,18312,17729,14780,9628,4938,148162
RA12,26716,14176,14068,12839,14269,14433,9733,3887,837,110956,3945,3044,3028,3370,4641,7322,7733,4016,1134,38234,243,370,465,648,1273,2772,3877,2418,727,12781,13,27,77,177,550,1503,2551,1942,705,7553,4202,3439,3569,4192,6467,11599,14154,8382,2564,58569,4597,2898,2929,2964,3218,3558,2856,1512,581,25098,35514,20517,20564,19993,23951,29582,26739,13781,3983,194625,25944,12366,13111,12442,13454,13764,9013,3829,1104,105033,2914,3524,3932,4066,5161,7157,7116,4337,1837,40049,196,726,979,1147,1796,3100,3524,2456,1152,15071,8,56,159,342,918,1928,2384,1896,1013,8701,3118,4308,5067,5552,7879,12187,13021,8694,4006,63831,4369,2387,2384,2470,2757,3089,2472,1510,809,22241,33425,19053,20565,20469,24092,29043,24500,14025,5917,191100,52663,26542,27178,25279,27727,28198,18745,7712,1948,215986,6865,6568,6966,7434,9802,14480,14845,8354,2972,78281,432,1096,1437,1797,3070,5872,7394,4877,1875,27854,23,84,235,517,1467,3428,4938,3842,1725,16263,7318,7745,8643,9752,14345,23783,27177,17073,6568,122395,8967,5283,5313,5435,5975,6644,5320,3020,1384,47340
RA13,1827,968,1217,926,972,999,597,210,45,7747,289,159,214,224,338,502,463,211,80,2484,9,32,26,54,84,173,232,126,35,777,0,0,4,13,22,117,152,115,34,464,302,196,244,287,447,791,850,455,151,3725,548,296,395,339,383,443,310,167,31,2904,2675,1456,1855,1555,1801,2231,1752,832,229,14383,1809,808,1053,837,877,840,461,215,56,6957,202,212,290,251,323,424,344,217,91,2354,16,49,81,78,104,193,176,111,59,872,0,4,5,24,62,120,140,108,47,514,221,268,376,349,492,740,661,438,200,3739,513,282,298,295,318,327,243,142,49,2460,2539,1350,1726,1481,1688,1910,1361,791,307,13154,3633,1773,2268,1767,1846,1836,1057,422,101,14708,495,372,504,467,664,924,813,431,166,4838,27,80,109,130,188,372,403,246,97,1650,0,5,14,39,88,233,298,220,81,979,522,462,617,638,944,1536,1508,895,352,7466,1058,572,688,630,698,773,547,309,82,5369
RA14,510,269,309,259,275,306,187,66,14,2193,51,37,46,59,82,135,127,55,12,603,10,3,4,8,33,38,65,23,10,189,0,0,0,0,14,33,53,24,3,127,55,41,50,67,123,212,244,104,25,919,144,95,93,75,83,113,101,30,3,742,712,403,451,403,487,637,524,201,38,3856,444,248,324,230,244,250,147,55,18,1968,36,45,80,69,98,100,104,49,18,593,0,5,15,17,29,46,33,23,9,180,0,0,0,7,11,39,54,21,3,142,36,52,98,90,140,189,190,91,30,910,136,86,93,85,83,91,59,34,13,675,615,390,513,403,459,530,394,180,60,3551,955,518,634,488,513,563,328,118,29,4153,90,81,121,124,176,236,226,102,27,1188,10,11,24,26,57,95,101,41,14,369,0,0,0,7,29,76,100,43,10,268,97,90,144,157,261,398,432,195,54,1829,281,179,189,160,167,203,158,65,14,1421
RA15,0,0,0,4,17,5,0,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,10,4,0,0,31,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,14,5,0,0,0,26,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0
RA20,390063,246217,305993,275661,211309,147673,80130,32413,8864,1698332,40224,41481,54467,57092,59106,63746,57303,33768,11609,418799,2058,4226,7695,9088,12692,19562,25195,19388,7891,107808,114,294,839,1648,3964,8777,14806,14666,7509,52619,42401,46006,63002,67825,75757,92090,97310,67824,27014,579229,33008,24159,31554,26443,22863,17630,11390,7357,3610,178011,465475,316373,400546,369932,309933,257392,188835,107597,39492,2455570,380354,217404,292009,270878,213142,151981,89625,36801,11794,1663992,27741,52422,70801,65118,66768,69115,65887,42567,19127,479555,1542,8760,14840,14214,18581,24720,29560,24197,13710,150126,80,496,1637,3027,6706,11848,17008,17370,12810,70985,29363,61675,87284,82361,92057,105686,112464,84137,45643,700663,31292,21019,27778,24200,21140,16840,12812,8888,6167,170139,441008,300100,407067,377442,326345,274507,214895,129829,63604,2534793,770418,463616,597998,546541,424455,299657,169753,69219,20662,3362327,67970,93907,125267,122209,125869,132857,123196,76339,30736,898353,3600,12989,22537,23307,31272,44284,54757,43588,21597,257934,194,784,2477,4678,10667,20627,31818,32035,20314,123605,71762,107682,150284,150186,167814,197775,209767,151965,72656,1279893,64305,45178,59329,50646,44002,34468,24200,16247,9773,348146
RA21,87480,48099,45809,44093,45798,40998,27742,10401,2518,352943,12705,10801,11903,13189,15801,20280,22286,11888,3364,122228,922,1441,1968,2694,4218,7401,10543,7156,2387,38730,38,110,311,649,1574,3882,6785,6120,2367,21843,13668,12358,14188,16535,21583,31559,39610,25172,8119,182801,10629,6735,6789,6853,7388,6950,5640,3393,1462,55834,111777,67192,66792,67478,74772,79516,72993,38970,12097,591577,85131,40986,42641,44205,45573,41975,28443,10963,3370,343289,9310,13622,16105,16518,18524,22422,23053,13508,5620,138683,710,2697,4255,4687,6545,9449,11553,7946,3920,51764,28,211,634,1326,2855,5538,7466,6124,3627,27811,10050,16531,20995,22534,27922,37409,42077,27576,13169,218258,10009,5821,5600,6098,6428,6339,5505,3751,2381,51925,105181,63336,69244,72834,79925,85725,76019,42290,18919,613476,172615,89087,88455,88294,91372,82975,56184,21364,5890,696230,22012,24426,28017,29714,34317,42707,45343,25399,8985,260912,1628,4143,6223,7385,10763,16849,22096,15102,6308,90495,65,322,950,1979,4425,9416,14256,12248,5997,49654,23716,28891,35188,39066,49509,68970,81693,52751,21284,401058,20635,12555,12390,12944,13813,13294,11143,7146,3835,107761
RA22,17118,9638,9861,8881,9434,10115,7153,2692,654,75550,2295,2035,2213,2313,3193,4897,5421,2943,893,26210,156,242,380,499,912,1807,2583,1715,531,8829,8,24,63,137,346,996,1738,1320,495,5134,2463,2305,2657,2954,4451,7700,9747,5981,1920,40175,2516,1645,1525,1580,1744,1979,1683,930,407,14009,22096,13588,14045,13408,15633,19800,18585,9604,2976,129736,17099,8289,9133,8660,9405,9776,6654,2667,942,72613,1729,2366,2957,2935,3600,4955,5190,3308,1395,28426,113,492,702,835,1329,2087,2451,1746,834,10591,6,38,141,241,638,1314,1652,1288,757,6068,1848,2899,3794,4015,5567,8356,9287,6339,2986,45085,2359,1482,1424,1469,1616,1730,1518,1000,667,13276,21310,12667,14355,14149,16588,19857,17461,10001,4594,130978,34214,17926,18996,17547,18837,19888,13808,5356,1594,148160,4030,4401,5168,5253,6792,9848,10610,6252,2285,54631,276,741,1081,1336,2242,3898,5032,3461,1372,19423,7,61,202,378,983,2309,3392,2606,1251,11202,4314,5202,6445,6966,10016,16057,19038,12319,4900,85264,4878,3125,2954,3046,3363,3710,3200,1937,1077,27287
RA23,192,85,91,105,103,154,125,57,17,934,36,26,26,32,34,79,84,41,18,385,4,4,5,8,7,37,46,24,7,141,0,0,0,0,8,28,28,15,6,86,41,23,34,46,53,144,159,81,29,610,25,12,6,30,10,44,38,13,9,184,259,124,130,175,174,338,316,153,57,1728,185,52,75,98,95,148,95,44,19,814,21,23,25,37,34,86,70,50,21,369,0,0,9,11,11,23,35,23,15,133,0,0,0,4,6,23,17,23,10,84,26,23,43,52,60,132,126,96,35,585,31,7,3,23,22,32,20,20,13,170,236,86,121,175,172,321,242,156,70,1572,374,135,165,206,203,309,217,101,39,1747,53,45,56,70,69,171,154,92,40,757,7,6,16,18,25,56,84,47,15,275,0,0,0,5,17,51,47,39,12,169,64,45,69,98,108,282,286,174,67,1202,56,21,15,49,35,77,56,37,23,357
