RA_CODE_2021,M_Part_a_r_mar_0_14,M_Part_a_r_mar_15_24,M_Part_a_r_mar_25_34,M_Part_a_r_mar_35_44,M_Part_a_r_mar_45_54,M_Part_a_r_mar_55_64,M_Part_a_r_mar_65_74,M_Part_a_r_mar_75_84,M_Part_a_r_mar_85ov,M_Part_a_r_mar_Tot,M_Part_de_f_mar_0_14,M_Part_de_f_mar_15_24,M_Part_de_f_mar_25_34,M_Part_de_f_mar_35_44,M_Part_de_f_mar_45_54,M_Part_de_f_mar_55_64,M_Part_de_f_mar_65_74,M_Part_de_f_mar_75_84,M_Part_de_f_mar_85ov,M_Part_de_f_mar_Tot,M_LPar_0_14_yr,M_LPar_15_24_yr,M_LPar_25_34_yr,M_LPar_35_44_yr,M_LPar_45_54_yr,M_LPar_55_64_yr,M_LPar_65_74_yr,M_LPar_75_84_yr,M_LPar_85_yr_over,M_LPar_Tot,M_Child_u_15_0_14_yr,M_Child_u_15_15_24_yr,M_Child_u_15_25_34_yr,M_Child_u_15_35_44_yr,M_Child_u_15_45_54_yr,M_Child_u_15_55_64_yr,M_Child_u_15_65_74_yr,M_Child_u_15_75_84_yr,M_Child_u_15_85_yr_over,M_Child_u_15_Tot,M_Dep_stu15_24_0_14,M_Dep_stu15_24_15_24,M_Dep_stu15_24_25_34,M_Dep_stu15_24_35_44,M_Dep_stu15_24_45_54,M_Dep_stu15_24_55_64,M_Dep_stu15_24_65_74,M_Dep_stu15_24_75_84,M_Dep_stu15_24_85_over,M_Dep_stu15_24_Tot,M_Non_dep_child_0_14,M_Non_dep_child_15_24,M_Non_dep_child_25_34,M_Non_dep_child_35_44,M_Non_dep_child_45_54,M_Non_dep_child_55_64,M_Non_dep_child_65_74,M_Non_dep_child_75_84,M_Non_dep_child_85_over,M_Non_dep_child_Tot,M_Oth_rel_ind_0_14,M_Oth_rel_ind_15_24,M_Oth_rel_ind_25_34,M_Oth_rel_ind_35_44,M_Oth_rel_ind_45_54,M_Oth_rel_ind_55_64,M_Oth_rel_ind_65_74,M_Oth_rel_ind_75_84,M_Oth_rel_ind_85ov,M_Oth_rel_ind_Tot,M_Unrel_ind_liv_fam_hh_0_14,M_Unre_ind_liv_fam_hh_15_24,M_Unre_ind_liv_fam_hh_25_34,M_Unre_ind_liv_fam_hh_35_44,M_Unre_ind_liv_fam_hh_45_54,M_Unre_ind_liv_fam_hh_55_64,M_Unre_ind_liv_fam_hh_65_74,M_Unre_ind_liv_fam_hh_75_84,M_Unrel_ind_liv_fam_hh_85ov,M_Unrel_ind_liv_fam_hh_Tot,M_Group_hh_mem_0_14,M_Group_hh_mem_15_24,M_Group_hh_mem_25_34,M_Group_hh_mem_35_44,M_Group_hh_mem_45_54,M_Group_hh_mem_55_64,M_Group_hh_mem_65_74,M_Group_hh_mem_75_84,M_Group_hh_mem_85ov,M_Group_hh_mem_Tot,M_LPer_0_14_yr,M_LPer_15_24_yr,M_LPer_25_34_yr,M_LPer_35_44_yr,M_LPer_45_54_yr,M_LPer_55_64_yr,M_LPer_65_74_yr,M_LPer_75_84_yr,M_LPer_85_yr_over,M_LPer_Tot,M_Vis_from_within_Aus_0_14,M_Vis_from_within_Aus_15_24,M_Vis_from_within_Aus_25_34,M_Vis_from_within_Aus_35_44,M_Vis_from_within_Aus_45_54,M_Vis_from_within_Aus_55_64,M_Vis_from_within_Aus_65_74,M_Vis_from_within_Aus_75_84,M_Vis_from_within_Aus_85ov,M_Vis_from_within_Aus_Tot,M_OS_vis_0_14_yr,M_OS_vis_15_24_yr,M_OS_vis_25_34_yr,M_OS_vis_35_44_yr,M_OS_vis_45_54_yr,M_OS_vis_55_64_yr,M_OS_vis_65_74_yr,M_OS_vis_75_84_yr,M_OS_vis_85_yr_over,M_Overseas_v_Total,M_Tot_0_14_yr,M_Tot_15_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Part_r_mar_0_14,F_Part_r_mar_15_24,F_Part_r_mar_25_34,F_Part_r_mar_35_44,F_Part_r_mar_45_54,F_Part_r_mar_55_64,F_Part_r_mar_65_74,F_Part_r_mar_75_84,F_Part_r_mar_85ov,F_Part_r_mar_Tot,F_Part_de_f_mar_0_14,F_Part_de_f_mar_15_24,F_Part_de_f_mar_25_34,F_Part_de_f_mar_35_44,F_Part_de_f_mar_45_54,F_Part_de_f_mar_55_64,F_Part_de_f_mar_65_74,F_Part_de_f_mar_75_84,F_Part_de_f_mar_85ov,F_Part_de_f_mar_Tot,F_LPar_0_14_yr,F_LPar_15_24_yr,F_LPar_25_34_yr,F_LPar_35_44_yr,F_LPar_45_54_yr,F_LPar_55_64_yr,F_LPar_65_74_yr,F_LPar_75_84_yr,F_LPar_85_yr_over,F_LPar_Tot,F_Child_u_15_0_14_yr,F_Child_u_15_15_24_yr,F_Child_u_15_25_34_yr,F_Child_u_15_35_44_yr,F_Child_u_15_45_54_yr,F_Child_u_15_55_64_yr,F_Child_u_15_65_74_yr,F_Child_u_15_75_84_yr,F_Child_u_15_85_yr_over,F_Child_u_15_Tot,F_Dep_stu15_24_0_14,F_Dep_stu15_24_15_24,F_Dep_stu15_24_25_34,F_Dep_stu15_24_35_44,F_Dep_stu15_24_45_54,F_Dep_stu15_24_55_64,F_Dep_stu15_24_65_74,F_Dep_stu15_24_75_84,F_Dep_stu15_24_85_over,F_Dep_stu15_24_Tot,F_Non_dep_child_0_14,F_Non_dep_child_15_24,F_Non_dep_child_25_34,F_Non_dep_child_35_44,F_Non_dep_child_45_54,F_Non_dep_child_55_64,F_Non_dep_child_65_74,F_Non_dep_child_75_84,F_Non_dep_child_85_over,F_Non_dep_child_Tot,F_Oth_rel_ind_0_14,F_Oth_rel_ind_15_24,F_Oth_rel_ind_25_34,F_Oth_rel_ind_35_44,F_Oth_rel_ind_45_54,F_Oth_rel_ind_55_64,F_Oth_rel_ind_65_74,F_Oth_rel_ind_75_84,F_Oth_rel_ind_85ov,F_Oth_rel_ind_Tot
RA54,..,106,768,1219,1114,1035,639,257,34,5172,..,269,941,647,477,377,153,42,0,2914,..,10,59,119,144,95,48,18,10,506,4930,..,..,..,..,..,..,..,..,4930,..,404,..,..,..,..,..,..,..,404,..,784,294,155,76,26,0,0,0,1339,..,408,212,152,122,98,59,28,12,1091,..,58,73,39,32,28,20,3,0,249,..,87,186,81,83,96,47,14,0,595,..,117,376,366,524,592,494,162,26,2659,122,127,148,113,106,125,193,69,17,1012,3,8,16,3,3,5,0,0,0,33,5051,2379,3063,2891,2682,2478,1662,600,97,20901,..,142,1034,1360,1100,974,494,169,15,5291,..,420,1048,672,503,306,100,21,8,3076,..,134,417,445,354,182,111,56,20,1720,4636,..,..,..,..,..,..,..,..,4636,..,409,..,..,..,..,..,..,..,409,..,627,152,71,46,23,0,0,0,920,..,293,138,104,139,178,108,45,21,1030
RA55,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,10,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
RA61,..,207,6541,10277,10224,10702,10299,5837,1347,55434,..,1379,5873,3601,2738,2045,1041,340,43,17057,..,47,316,774,1087,727,278,160,94,3482,28411,..,..,..,..,..,..,..,..,28411,..,6923,..,..,..,..,..,..,..,6923,..,6016,3244,1182,868,357,61,0,0,11734,..,869,850,271,246,353,320,159,76,3145,..,811,2058,399,172,129,72,24,10,3676,..,1530,3631,784,502,525,384,150,39,7542,..,515,2044,1927,2503,3257,2869,1735,805,15655,401,678,737,475,377,325,197,87,19,3304,10,11,29,17,12,20,15,3,0,115,28818,18986,25321,19707,18740,18449,15532,8494,2431,156477,..,475,8364,10937,10890,10890,9449,4442,651,56102,..,2044,6324,3528,2671,1815,823,203,22,17427,..,459,2168,3444,3601,1852,858,619,351,13353,26901,..,..,..,..,..,..,..,..,26901,..,7030,..,..,..,..,..,..,..,7030,..,3916,1743,547,412,296,51,3,0,6970,..,723,497,165,255,591,622,405,234,3491
RA62,..,132,2467,4535,5860,7994,8234,4437,840,34499,..,779,2632,1898,1863,1716,963,253,29,10139,..,32,165,419,578,389,186,128,59,1946,15407,..,..,..,..,..,..,..,..,15407,..,3172,..,..,..,..,..,..,..,3172,..,3770,1670,675,556,239,38,0,0,6949,..,397,237,132,188,241,197,113,46,1544,..,283,339,133,107,80,58,19,5,1009,..,259,634,190,261,369,329,139,32,2214,..,299,928,1006,1710,2728,2755,1393,484,11311,302,370,399,257,234,243,157,54,15,2034,0,3,17,4,11,9,9,3,0,55,15709,9503,9486,9250,11368,14005,12934,6534,1503,90286,..,259,3292,5298,6635,8523,7522,3096,381,35004,..,1129,2923,1939,1926,1534,695,146,8,10297,..,274,1262,1789,1682,851,442,358,200,6846,14642,..,..,..,..,..,..,..,..,14642,..,3342,..,..,..,..,..,..,..,3342,..,2344,864,297,259,165,39,0,0,3964,..,281,96,55,126,352,315,249,111,1582
RA63,..,0,105,142,197,304,358,163,23,1291,..,23,100,86,76,72,44,9,0,418,..,3,5,12,21,16,4,5,3,72,492,..,..,..,..,..,..,..,..,492,..,55,..,..,..,..,..,..,..,55,..,97,50,27,24,6,3,0,0,200,..,12,15,0,10,10,4,0,0,44,..,12,19,8,0,0,5,3,0,43,..,13,27,16,19,21,15,4,0,119,..,25,67,72,129,218,207,78,24,821,4,17,21,14,10,19,15,0,0,106,0,0,0,0,0,0,0,0,0,3,495,265,414,378,488,660,645,265,55,3668,..,11,130,178,199,345,306,100,9,1273,..,45,126,86,71,87,32,6,0,449,..,13,52,37,44,25,16,13,9,212,488,..,..,..,..,..,..,..,..,488,..,61,..,..,..,..,..,..,..,61,..,50,25,5,9,4,0,0,0,97,..,6,5,6,4,11,9,13,0,52
RA64,..,6,23,46,48,76,111,61,11,387,..,11,36,31,35,26,23,8,0,168,..,0,0,4,0,4,4,0,0,20,172,..,..,..,..,..,..,..,..,172,..,19,..,..,..,..,..,..,..,19,..,20,17,7,6,0,0,0,0,51,..,4,3,0,0,0,3,0,0,18,..,0,5,0,0,0,0,0,0,6,..,6,12,7,4,3,3,0,0,40,..,0,8,30,34,56,53,33,9,220,0,5,7,4,7,4,3,3,0,26,0,0,0,0,0,0,0,0,0,3,176,63,114,133,132,174,201,113,15,1125,..,3,29,62,51,86,114,43,3,394,..,14,43,35,30,24,12,3,0,170,..,0,5,15,10,7,7,6,0,52,159,..,..,..,..,..,..,..,..,159,..,10,..,..,..,..,..,..,..,10,..,7,8,0,0,0,0,0,0,18,..,3,0,0,4,4,4,0,0,12
RA65,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
RA72,..,100,2986,5028,4262,3445,2361,963,140,19282,..,689,2543,1626,1225,814,343,85,3,7327,..,27,110,294,366,265,132,49,16,1262,13080,..,..,..,..,..,..,..,..,13080,..,2294,..,..,..,..,..,..,..,2294,..,2225,1103,425,211,71,3,0,0,4045,..,449,420,138,164,176,155,88,31,1626,..,310,667,187,134,115,61,13,4,1499,..,623,1345,433,354,318,207,65,7,3352,..,324,970,813,1031,1150,959,353,79,5676,267,250,368,253,208,324,504,172,19,2362,7,15,30,11,10,12,21,3,0,114,13364,7316,10548,9209,7975,6689,4744,1783,300,61915,..,272,4285,5579,4338,3201,1888,546,41,20161,..,983,2907,1780,1186,711,254,45,4,7856,..,162,764,1231,1128,580,279,151,67,4354,12554,..,..,..,..,..,..,..,..,12554,..,2360,..,..,..,..,..,..,..,2360,..,1438,587,208,109,65,9,0,0,2420,..,369,315,90,172,349,377,189,81,1949
RA73,..,79,901,1360,1097,1116,663,222,21,5468,..,212,820,591,459,318,132,17,4,2557,..,14,43,89,114,83,50,11,5,413,4631,..,..,..,..,..,..,..,..,4631,..,577,..,..,..,..,..,..,..,577,..,834,363,133,59,18,0,0,0,1413,..,297,199,136,107,87,62,21,10,925,..,75,169,53,35,34,10,5,0,384,..,133,323,137,110,105,55,21,0,885,..,105,344,297,369,456,366,120,18,2075,117,90,136,96,64,98,112,37,3,757,0,4,11,0,0,8,6,0,0,27,4744,2421,3317,2901,2419,2313,1458,463,66,20096,..,143,1220,1418,1124,1021,511,139,11,5586,..,284,961,589,492,262,86,11,0,2691,..,107,366,452,402,197,105,48,10,1706,4257,..,..,..,..,..,..,..,..,4257,..,530,..,..,..,..,..,..,..,530,..,612,244,85,50,13,0,0,0,1009,..,258,152,97,135,181,143,63,12,1040
RA74,..,442,1187,1279,977,658,320,78,13,4946,..,138,435,319,248,131,46,12,0,1335,..,27,75,90,96,76,60,16,8,444,4943,..,..,..,..,..,..,..,..,4943,..,418,..,..,..,..,..,..,..,418,..,1256,527,183,75,22,0,0,0,2063,..,765,441,329,282,230,96,31,10,2191,..,74,30,23,17,16,4,0,0,161,..,31,62,31,43,25,15,0,0,212,..,62,220,173,212,188,116,32,5,1001,130,123,128,73,57,55,57,15,0,634,0,4,0,0,0,0,0,0,0,3,5072,3334,3109,2508,2006,1395,714,186,34,18352,..,567,1352,1319,965,537,209,31,3,4982,..,201,476,321,229,111,17,4,0,1353,..,181,493,472,340,239,124,51,10,1905,4487,..,..,..,..,..,..,..,..,4487,..,430,..,..,..,..,..,..,..,430,..,1002,410,146,83,17,0,0,0,1661,..,577,296,251,313,317,219,66,17,2056
RA75,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,3,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
RA80,..,283,10197,20094,16661,13194,10862,5850,1393,78520,..,1887,8650,4478,3000,1852,896,248,31,21046,..,22,241,879,1311,739,280,143,88,3713,40770,..,..,..,..,..,..,..,..,40770,..,10387,..,..,..,..,..,..,..,10387,..,6587,3855,1223,781,323,55,0,0,12826,..,1197,1311,389,314,341,275,153,87,4051,..,1103,2128,493,231,161,47,21,3,4193,..,3158,4880,1165,650,529,289,98,22,10789,..,895,3961,3250,3055,2997,2402,1353,628,18538,431,755,890,549,474,334,255,105,29,3817,16,39,53,32,37,47,57,20,5,316,41215,26310,36160,32560,26514,20513,15410,7991,2283,208958,..,679,13808,20973,16146,12639,9891,4294,659,79087,..,2772,8916,4223,2810,1586,670,172,19,21172,..,207,1527,3360,3936,2106,865,560,356,12918,38252,..,..,..,..,..,..,..,..,38252,..,10172,..,..,..,..,..,..,..,10172,..,4700,2357,660,388,211,65,0,0,8380,..,1024,966,298,282,694,829,607,268,4965
RA81,..,0,14,34,30,22,20,4,0,129,..,5,13,13,6,4,0,0,0,37,..,0,0,3,0,0,0,0,0,8,90,..,..,..,..,..,..,..,..,90,..,13,..,..,..,..,..,..,..,13,..,10,6,0,0,0,0,0,0,21,..,3,0,0,0,0,0,0,0,8,..,0,3,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,6,7,0,0,17,4,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,91,36,40,50,44,33,29,9,0,330,..,0,17,35,26,27,7,4,0,125,..,8,13,7,6,0,5,0,0,37,..,0,4,4,3,0,0,0,0,11,65,..,..,..,..,..,..,..,..,65,..,18,..,..,..,..,..,..,..,18,..,8,4,0,0,0,0,0,0,9,..,0,0,0,0,0,3,0,0,8
RA85,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
RA91,..,0,0,7,0,13,6,0,0,30,..,0,3,0,3,0,0,0,0,9,..,0,0,0,4,0,3,0,0,9,17,..,..,..,..,..,..,..,..,17,..,0,..,..,..,..,..,..,..,0,..,8,0,3,0,0,0,0,0,15,..,3,6,3,0,7,0,3,0,21,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,14,14,18,20,17,12,10,0,125,..,0,6,6,7,5,3,0,0,31,..,0,3,3,0,0,0,0,0,8,..,0,0,4,3,0,0,0,0,18,35,..,..,..,..,..,..,..,..,35,..,6,..,..,..,..,..,..,..,6,..,7,4,0,0,0,0,0,0,14,..,3,0,0,4,3,3,0,0,18
RA94,..,6,55,113,123,148,146,54,13,663,..,12,35,28,44,44,13,9,0,181,..,0,0,7,6,9,0,5,0,29,355,..,..,..,..,..,..,..,..,355,..,39,..,..,..,..,..,..,..,39,..,50,19,7,6,0,0,0,0,88,..,9,0,4,0,9,3,0,7,36,..,0,3,0,0,0,0,0,0,4,..,5,0,4,0,12,5,0,0,23,..,11,26,23,31,67,50,21,4,225,4,3,5,5,10,4,7,0,0,39,0,0,0,0,3,0,0,0,0,7,358,129,147,195,220,289,237,89,25,1686,..,9,67,136,120,173,106,46,0,662,..,16,41,38,39,34,11,0,0,183,..,4,12,19,36,11,6,0,0,82,283,..,..,..,..,..,..,..,..,283,..,52,..,..,..,..,..,..,..,52,..,38,10,9,3,4,0,0,0,61,..,5,0,0,3,9,7,9,3,37
RA95,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
