RA_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85_yr_over_M,Age_85_yr_over_F,Age_85_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Count_pers_occ_private_dwgs_M,Count_pers_occ_private_dwgs_F,Count_pers_occ_private_dwgs_P,Count_persons_other_dwgs_M,Count_persons_other_dwgs_F,Count_persons_other_dwgs_P,Indig_persons_Aboriginal_M,Indig_persons_Aboriginal_F,Indig_persons_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_pe_Bo_Abor_Trs_St_Is_M,Indig_pe_Bo_Abor_Trs_St_Is_F,Indig_pe_Bo_Abor_Trs_St_Is_P,Indigenous_persons_Tot_M,Indigenous_persons_Tot_F,Indigenous_persons_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_per_att_educ_inst_0_4_M,Age_per_att_educ_inst_0_4_F,Age_per_att_educ_inst_0_4_P,Age_per_att_educ_inst_5_14_M,Age_per_att_educ_inst_5_14_F,Age_per_att_educ_inst_5_14_P,Age_per_att_educ_inst_15_19_M,Age_per_att_educ_inst_15_19_F,Age_per_att_educ_inst_15_19_P,Age_per_att_educ_inst_20_24_M,Age_per_att_educ_inst_20_24_F,Age_per_att_educ_inst_20_24_P,Age_per_att_educ_inst_25ov_M,Age_per_att_educ_inst_25ov_F,Age_per_att_educ_inst_25ov_P,Hi_yr_sch_com_Yr_12_equiv_M,Hi_yr_sch_com_Yr_12_equiv_F,Hi_yr_sch_com_Yr_12_equiv_P,Hi_yr_sch_com_Yr_11_equiv_M,Hi_yr_sch_com_Yr_11_equiv_F,Hi_yr_sch_com_Yr_11_equiv_P,Hi_yr_sch_com_Yr_10_equiv_M,Hi_yr_sch_com_Yr_10_equiv_F,Hi_yr_sch_com_Yr_10_equiv_P,Hi_yr_sch_comp_Yr_9_equiv_M,Hi_yr_sch_comp_Yr_9_equiv_F,Hi_yr_sch_comp_Yr_9_equiv_P,Hi_yr_sch_comp_Yr_8_below_M,Hi_yr_sch_comp_Yr_8_below_F,Hi_yr_sch_comp_Yr_8_below_P,Hi_yr_sc_co_Di_not_go_to_sc_M,Hi_yr_sc_co_Di_not_go_to_sc_F,Hi_yr_sc_co_Di_not_go_to_sc_P
RA25,493,72,565,0,0,0,0,0,0,0,0,0,4,0,4,30,17,52,131,14,140,163,18,182,141,24,158,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,493,74,560,6,0,10,0,0,0,0,0,3,3,3,7,122,20,138,28,6,41,141,20,163,13,0,13,148,20,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,16,86,36,3,38,47,3,49,5,0,5,4,0,4,0,0,0
RA30,1624803,1708724,3333530,99774,93788,193564,222488,210577,433064,104550,100393,204945,111313,112509,223817,234367,247620,481984,226077,241851,467925,209522,225103,434623,174501,191326,365824,139842,156786,296623,78287,90001,168288,24090,38772,62861,4425,4141,8567,1582666,1667016,3249682,42138,41705,83849,39949,41650,81600,2300,2300,4595,2480,2600,5077,44725,46549,91275,1108037,1148411,2256447,437686,480024,917716,1278989,1331430,2610420,258388,291446,549832,1349614,1418044,2767662,29073,27258,56330,208710,198168,406877,77606,79902,157508,38740,47258,86001,56875,93634,150508,783788,861181,1644962,97626,94145,191772,238769,257309,496074,57727,55503,113235,38872,45093,83965,7511,8812,16325
RA31,490965,508087,999059,26992,25433,52422,66676,63479,130153,31013,29205,60220,26037,25042,51077,53984,56338,110317,54320,59304,113623,60364,65500,125862,65870,71128,136995,62614,63796,126411,34016,35524,69542,9085,13346,22432,827,726,1561,472585,494635,967222,18378,13456,31835,23807,24126,47932,1515,1435,2953,1822,1841,3660,27137,27405,54543,393414,405177,798592,64632,71571,136200,429680,447850,877525,25899,29809,55715,430448,450152,880600,6813,6507,13312,61510,58774,120280,19738,20752,40489,4595,6730,11331,9391,20115,29508,163453,193443,356898,33048,33194,66240,115278,113451,228730,27845,24807,52657,24441,22171,46610,1959,1992,3953
RA32,367483,357036,724519,19896,18642,38540,47729,44626,92356,21367,20417,41786,21502,19847,41353,47069,46207,93280,44723,45606,90326,48073,47519,95592,49703,48679,98383,42448,39340,81792,20121,19346,39475,4848,6806,11653,2669,1298,3967,333780,339047,672821,33706,17991,51697,21181,21739,42917,4066,4234,8296,4262,4279,8549,29507,30252,59756,271596,265756,537352,50936,57108,108043,292530,290194,582723,28068,32656,60726,301611,300624,602231,4812,4537,9350,42657,40092,82748,13159,13932,27087,3465,5366,8832,7376,15138,22510,124775,142943,267722,25271,23450,48721,74582,67697,142277,17528,14642,32177,14521,12395,26919,1524,1488,3016
RA33,47272,38764,86045,2560,2370,4926,5091,4755,9845,2072,1738,3809,2541,2392,4928,6762,5827,12582,6141,4714,10857,6806,4947,11753,7321,5639,12960,5532,4284,9820,2073,1645,3719,380,448,830,298,213,510,37401,34915,72307,9877,3853,13733,5533,5713,11246,177,125,307,456,444,897,6167,6280,12450,33279,29013,62292,4785,4486,9269,35221,30598,65817,2962,3031,5998,36029,31488,67516,465,437,898,4442,4181,8618,998,852,1851,197,354,557,638,1118,1752,13432,14111,27539,2952,2472,5427,9866,7287,17161,2330,1531,3854,2030,1252,3279,194,112,307
RA34,35778,31340,67120,2013,1928,3940,4129,3916,8046,1676,1470,3151,2123,2056,4178,4986,4383,9369,4245,3619,7862,4742,3817,8559,5307,4837,10144,4678,3750,8433,1608,1216,2818,263,355,617,181,97,274,29399,28718,58117,6379,2622,9000,4963,5064,10032,2788,2847,5632,1979,1977,3955,9735,9887,19618,27337,25064,52398,2489,2355,4844,24327,21703,46024,5471,5749,11226,29120,26667,55778,355,396,747,3516,3358,6871,557,570,1127,98,240,339,442,850,1298,9875,10927,20804,2374,2296,4667,7583,6009,13586,1973,1212,3181,1904,1283,3189,168,124,293
RA35,317,65,385,0,0,0,6,0,6,8,6,11,8,9,18,69,35,102,107,7,114,77,3,79,26,5,34,23,0,23,0,0,0,0,0,0,17,10,24,9,3,12,308,61,370,5,0,5,0,0,0,0,0,0,5,0,5,76,9,87,39,12,48,89,19,109,24,7,29,82,16,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,16,69,10,0,10,36,0,33,8,0,11,4,0,7,0,0,0
RA40,653302,683716,1337027,37381,35268,72654,80852,76732,157586,39036,36992,76034,45071,43283,88353,93576,94888,188460,87629,91224,178851,82153,85384,167535,76608,83109,159719,62387,71158,133544,35165,43517,78685,13447,22165,35608,1195,1273,2464,639095,666528,1305628,14210,17192,31399,10947,11233,22178,330,339,666,326,302,634,11604,11872,23479,448921,464434,913358,180005,194635,374637,485781,506099,991884,141604,152009,293617,562084,589162,1151246,10326,9646,19972,77138,73305,150442,30597,30745,61342,18756,20871,39622,24845,36948,61786,301628,330771,632397,86638,81965,168599,72244,75930,148172,23858,24978,48835,20399,24750,45149,5538,7280,12817
RA41,85213,87432,172645,4166,3954,8128,10449,9827,20280,4857,4721,9575,4029,3747,7774,7907,8158,16062,8769,9404,18170,10954,11567,22521,12796,13373,26167,12356,12769,25122,6954,7095,14045,1982,2817,4801,72,71,140,83487,85710,169194,1728,1726,3454,1724,1749,3468,46,42,87,35,27,52,1799,1805,3607,69000,69957,138953,11372,12709,24084,77395,79659,157057,3127,3650,6777,77488,79860,157338,1041,959,1994,9773,9237,19012,3440,3583,7023,903,1257,2161,1290,2999,4289,27991,34096,62088,15047,14280,29324,14395,13205,27603,4968,4226,9192,3522,3171,6701,219,197,418
RA42,102802,99757,202554,5184,4998,10180,12153,11563,23710,5677,4970,10643,5268,4496,9764,11784,10817,22602,11020,10827,21846,12939,12716,25655,15300,14803,30105,14024,13260,27287,7243,7963,15208,2219,3336,5556,760,147,902,97999,97055,195050,4808,2699,7510,4670,4580,9253,79,84,169,110,120,230,4867,4788,9656,83443,81120,164567,10791,11267,22061,87772,87293,175069,5688,5708,11395,89384,89072,178462,1168,1173,2344,11179,10623,21799,3583,3460,7040,599,1010,1608,1340,3143,4483,27019,33250,60264,19069,17139,36207,18389,15288,33676,6513,5261,11775,5605,4866,10471,569,435,1003
RA43,24945,21922,46869,1242,1215,2459,2823,2604,5424,1117,985,2108,1129,983,2115,3304,2698,6012,3163,2563,5729,3340,2806,6148,3791,3236,7029,3038,2773,5815,1552,1434,2984,439,614,1053,38,25,66,21602,20750,42348,3345,1179,4518,850,809,1658,41,14,50,14,11,24,901,832,1739,19737,17804,37538,2407,2251,4661,21095,19351,40445,1035,888,1919,21254,19437,40690,262,242,501,2578,2378,4964,675,655,1330,122,164,289,324,665,989,7376,8246,15628,4482,3509,7991,4102,2955,7055,1273,910,2182,962,769,1730,48,28,74
RA44,9968,7776,17743,380,460,845,928,904,1834,421,347,763,517,407,925,1413,1096,2512,1327,876,2203,1454,1005,2462,1676,1210,2888,1265,991,2249,486,344,834,107,128,239,16,20,35,7570,7052,14625,2394,726,3119,1953,2066,4017,8,7,18,12,15,30,1970,2088,4057,7416,6096,13508,900,756,1654,6711,5165,11875,1668,1722,3387,8099,6601,14699,93,135,229,799,804,1602,161,173,336,32,44,76,122,184,309,2579,2507,5086,1526,1043,2567,1713,1094,2812,585,366,945,506,374,877,49,39,91
RA45,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,17,0,17,17,0,17,7,0,7,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,3,0,3,4,0,4,0,0,0,0,0,0,0,0,0
