RA_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85_yr_over_M,Age_85_yr_over_F,Age_85_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Count_pers_occ_private_dwgs_M,Count_pers_occ_private_dwgs_F,Count_pers_occ_private_dwgs_P,Count_persons_other_dwgs_M,Count_persons_other_dwgs_F,Count_persons_other_dwgs_P,Indig_persons_Aboriginal_M,Indig_persons_Aboriginal_F,Indig_persons_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_pe_Bo_Abor_Trs_St_Is_M,Indig_pe_Bo_Abor_Trs_St_Is_F,Indig_pe_Bo_Abor_Trs_St_Is_P,Indigenous_persons_Tot_M,Indigenous_persons_Tot_F,Indigenous_persons_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_per_att_educ_inst_0_4_M,Age_per_att_educ_inst_0_4_F,Age_per_att_educ_inst_0_4_P,Age_per_att_educ_inst_5_14_M,Age_per_att_educ_inst_5_14_F,Age_per_att_educ_inst_5_14_P,Age_per_att_educ_inst_15_19_M,Age_per_att_educ_inst_15_19_F,Age_per_att_educ_inst_15_19_P,Age_per_att_educ_inst_20_24_M,Age_per_att_educ_inst_20_24_F,Age_per_att_educ_inst_20_24_P,Age_per_att_educ_inst_25ov_M,Age_per_att_educ_inst_25ov_F,Age_per_att_educ_inst_25ov_P,Hi_yr_sch_com_Yr_12_equiv_M,Hi_yr_sch_com_Yr_12_equiv_F,Hi_yr_sch_com_Yr_12_equiv_P,Hi_yr_sch_com_Yr_11_equiv_M,Hi_yr_sch_com_Yr_11_equiv_F,Hi_yr_sch_com_Yr_11_equiv_P,Hi_yr_sch_com_Yr_10_equiv_M,Hi_yr_sch_com_Yr_10_equiv_F,Hi_yr_sch_com_Yr_10_equiv_P,Hi_yr_sch_comp_Yr_9_equiv_M,Hi_yr_sch_comp_Yr_9_equiv_F,Hi_yr_sch_comp_Yr_9_equiv_P,Hi_yr_sch_comp_Yr_8_below_M,Hi_yr_sch_comp_Yr_8_below_F,Hi_yr_sch_comp_Yr_8_below_P,Hi_yr_sc_co_Di_not_go_to_sc_M,Hi_yr_sc_co_Di_not_go_to_sc_F,Hi_yr_sc_co_Di_not_go_to_sc_P
RA65,299,76,378,0,0,0,0,0,5,0,4,5,9,6,15,58,13,69,67,16,78,71,18,90,63,11,77,25,9,33,4,0,3,0,0,0,8,0,13,0,0,0,299,76,378,6,0,9,0,0,0,0,0,0,3,0,5,224,61,285,34,7,42,181,59,240,16,0,16,186,61,244,0,0,0,0,0,5,3,0,3,0,0,3,0,3,8,100,34,131,21,9,27,68,13,84,3,5,6,4,0,4,0,0,0
RA72,79131,76649,155778,5124,4887,10010,9902,9572,19478,4057,3867,7921,6224,4577,10795,13877,14305,28189,11580,12046,23627,10083,9906,19990,8915,8744,17665,6668,6102,12766,2294,2136,4433,399,504,904,2077,552,2629,69115,70648,139769,10013,5994,16015,6798,6853,13648,290,241,530,700,694,1394,7785,7786,15572,49879,47412,97289,19402,21363,40762,51699,50269,101969,15988,17830,33816,59467,58708,118172,1323,1278,2601,8829,8523,17357,2490,2659,5151,1107,1415,2526,3218,5579,8802,31634,35602,67233,7212,6266,13478,10984,8623,19606,2695,2232,4922,1855,1710,3568,401,473,873
RA73,28415,28156,56571,1859,1591,3448,3670,3392,7063,1465,1375,2839,1541,1516,3056,4656,5085,9736,4020,3973,7998,3490,3709,7196,3804,4033,7838,3007,2650,5657,804,655,1463,99,166,273,122,118,238,24758,25298,50050,3658,2858,6518,7394,7562,14961,42,51,95,118,126,249,7560,7745,15299,19854,19623,39479,5112,5243,10353,17346,17078,34428,6839,7502,14336,21736,22069,43804,420,379,792,3167,2939,6106,716,650,1367,141,213,357,776,1389,2166,9254,11040,20286,2745,2581,5333,4650,3723,8372,1350,1178,2520,1171,984,2156,283,294,577
RA74,27015,24651,51671,1763,1582,3349,3841,3481,7321,1971,1782,3758,2213,2065,4278,4669,4479,9151,3787,3381,7166,3301,2936,6233,2908,2812,5712,2048,1760,3810,468,332,800,47,44,85,224,95,323,22389,22628,45015,4632,2026,6657,14889,15267,30158,47,40,83,106,106,210,15040,15413,30447,21306,20735,42042,1830,1713,3545,8972,7940,16915,13952,14390,28346,22221,21657,43878,417,398,811,3310,2995,6301,594,583,1183,67,131,198,355,550,901,5667,6366,12036,2591,2657,5250,4412,3848,8261,2016,1742,3752,2058,1946,4004,454,472,925
RA75,429,73,494,0,0,0,0,0,0,10,0,11,17,15,27,54,16,65,106,3,112,117,7,124,96,12,106,22,21,40,4,5,10,0,0,0,12,7,17,13,5,12,418,68,486,12,0,9,0,0,0,0,0,0,11,0,15,204,37,242,73,11,83,248,45,295,29,4,32,245,43,287,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,151,33,185,35,4,40,78,14,86,6,0,5,6,0,3,0,0,0
RA80,223380,229370,452747,13727,12877,26602,28839,27137,55974,13435,13036,26476,17260,17301,34559,38687,39008,77703,34286,34952,69237,27852,28250,56102,21577,23262,44848,16238,18733,34970,8610,10465,19076,2861,4340,7201,553,597,1151,215879,222286,438166,7496,7085,14583,4251,4113,8369,116,103,219,142,159,300,4511,4377,8891,151607,153438,305047,62856,67421,130279,159245,162380,321624,54088,57584,111670,191050,196725,387776,4014,3858,7865,27661,25968,53628,10906,10853,21762,8414,9091,17505,12491,15756,28245,134023,140024,274047,8497,7975,16473,19749,21910,41655,5297,5765,11067,3545,4228,7774,823,1020,1845
RA81,367,342,708,33,24,57,61,46,105,26,19,44,22,20,38,48,53,102,52,50,104,45,41,89,40,49,88,34,22,56,4,7,12,3,5,7,0,0,0,361,334,695,7,10,11,10,8,19,0,3,4,0,0,0,8,10,19,305,283,587,33,38,69,327,305,633,8,11,22,327,307,634,7,9,15,55,45,96,16,16,34,3,12,16,12,24,32,159,183,345,7,9,19,58,48,104,15,4,17,8,4,15,0,0,0
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,251,209,456,7,12,13,14,28,47,31,18,46,35,21,60,60,40,104,26,24,49,25,27,56,19,15,38,16,10,27,10,10,16,0,0,0,6,0,9,147,160,300,103,49,150,87,101,184,0,0,0,0,0,5,87,102,188,161,148,309,35,7,45,176,145,323,25,11,35,196,158,355,6,3,7,11,20,24,8,5,13,0,0,0,11,9,21,142,86,230,4,4,11,19,13,35,12,8,20,10,9,15,0,0,0
RA94,2649,2343,4993,119,102,217,297,247,543,79,93,177,114,108,220,390,249,640,338,309,649,364,352,716,432,426,856,350,296,642,139,134,271,30,31,63,13,5,17,1967,1955,3922,685,387,1069,13,20,31,4,0,4,0,0,0,16,18,39,1342,1292,2630,835,647,1481,1013,1021,2034,979,945,1924,1762,1714,3470,39,30,67,246,214,459,51,54,107,13,25,43,42,64,102,805,975,1778,141,131,268,430,366,797,74,49,126,81,50,135,50,59,107
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
