RA_CODE_2021,Cntd_home_Cen_Nt_0_14_yr,Cntd_home_Cen_Nt_15_24_yr,Cntd_home_Cen_Nt_25_34_yr,Cntd_home_Cen_Nt_35_44_yr,Cntd_home_Cen_Nt_45_54_yr,Cntd_home_Cen_Nt_55_64_yr,Cntd_home_Cen_Nt_65_74_yr,Cntd_home_Cen_Nt_75_84_yr,Cntd_home_Cen_Nt_85_yr_over,Cntd_home_Cen_Night_Tot,Vis_from_Same_SA2_0_14,Vis_from_Same_SA2_15_24,Vis_from_Same_SA2_25_34,Vis_from_Same_SA2_35_44,Vis_from_Same_SA2_45_54,Vis_from_Same_SA2_55_64,Vis_from_Same_SA2_65_74,Vis_from_Same_SA2_75_84,Vis_from_Same_SA2_85_yr_over,Vis_from_Same_SA2_Tot,Vis_fro_Diff_SA2_NSW_0_14,Vis_fr_Diff_SA2_NSW_15_24,Vis_fr_Diff_SA2_NSW_25_34,Vis_fr_Diff_SA2_NSW_35_44,Vis_fr_Diff_SA2_NSW_45_54,Vis_fr_Diff_SA2_NSW_55_64,Vis_fr_Diff_SA2_NSW_65_74,Vis_fr_Diff_SA2_NSW_75_84,Vis_fr_Diff_SA2_NSW_85_over,Vis_fr_Diff_SA2_NSW_Tot,Vis_fro_Diff_SA2_Vic_0_14,Vis_fr_Diff_SA2_Vic_15_24,Vis_fr_Diff_SA2_Vic_25_34,Vis_fr_Diff_SA2_Vic_35_44,Vis_fr_Diff_SA2_Vic_45_54,Vis_fr_Diff_SA2_Vic_55_64,Vis_fr_Diff_SA2_Vic_65_74,Vis_fr_Diff_SA2_Vic_75_84,Vis_fr_Diff_SA2_Vic_85_over,Vis_fr_Diff_SA2_Vic_Tot,Vis_fro_Diff_SA2_Qld_0_14,Vis_fr_Diff_SA2_Qld_15_24,Vis_fr_Diff_SA2_Qld_25_34,Vis_fr_Diff_SA2_Qld_35_44,Vis_fr_Diff_SA2_Qld_45_54,Vis_fr_Diff_SA2_Qld_55_64,Vis_fr_Diff_SA2_Qld_65_74,Vis_fr_Diff_SA2_Qld_75_84,Vis_fr_Diff_SA2_Qld_85_over,Vis_fr_Diff_SA2_Qld_Tot,Vis_fro_Diff_SA2_SA_0_14,Vis_fr_Diff_SA2_SA_15_24,Vis_fr_Diff_SA2_SA_25_34,Vis_fr_Diff_SA2_SA_35_44,Vis_fr_Diff_SA2_SA_45_54,Vis_fr_Diff_SA2_SA_55_64,Vis_fr_Diff_SA2_SA_65_74,Vis_fr_Diff_SA2_SA_75_84,Vis_fr_Diff_SA2_SA_85_over,Vis_fr_Diff_SA2_SA_Tot,Vis_fro_Diff_SA2_WA_0_14,Vis_fr_Diff_SA2_WA_15_24,Vis_fr_Diff_SA2_WA_25_34,Vis_fr_Diff_SA2_WA_35_44,Vis_fr_Diff_SA2_WA_45_54,Vis_fr_Diff_SA2_WA_55_64,Vis_fr_Diff_SA2_WA_65_74,Vis_fr_Diff_SA2_WA_75_84,Vis_fr_Diff_SA2_WA_85_over,Vis_fr_Diff_SA2_WA_Tot,Vis_fro_Diff_SA2_Tas_0_14,Vis_fr_Diff_SA2_Tas_15_24,Vis_fr_Diff_SA2_Tas_25_34,Vis_fr_Diff_SA2_Tas_35_44,Vis_fr_Diff_SA2_Tas_45_54,Vis_fr_Diff_SA2_Tas_55_64,Vis_fr_Diff_SA2_Tas_65_74,Vis_fr_Diff_SA2_Tas_75_84,Vis_fr_Diff_SA2_Tas_85_over,Vis_fr_Diff_SA2_Tas_Tot,Vis_fro_Diff_SA2_NT_0_14,Vis_fr_Diff_SA2_NT_15_24,Vis_fr_Diff_SA2_NT_25_34,Vis_fr_Diff_SA2_NT_35_44,Vis_fr_Diff_SA2_NT_45_54,Vis_fr_Diff_SA2_NT_55_64,Vis_fr_Diff_SA2_NT_65_74,Vis_fr_Diff_SA2_NT_75_84,Vis_fr_Diff_SA2_NT_85_over,Vis_fr_Diff_SA2_NT_Tot,Vis_fro_Diff_SA2_ACT_0_14,Vis_fr_Diff_SA2_ACT_15_24,Vis_fr_Diff_SA2_ACT_25_34,Vis_fr_Diff_SA2_ACT_35_44,Vis_fr_Diff_SA2_ACT_45_54,Vis_fr_Diff_SA2_ACT_55_64,Vis_fr_Diff_SA2_ACT_65_74,Vis_fr_Diff_SA2_ACT_75_84,Vis_fr_Diff_SA2_ACT_85_over,Vis_fr_Diff_SA2_ACT_Tot,Vis_fro_Diff_SA2_OT_0_14,Vis_fr_Diff_SA2_OT_15_24,Vis_fr_Diff_SA2_OT_25_34,Vis_fr_Diff_SA2_OT_35_44,Vis_fr_Diff_SA2_OT_45_54,Vis_fr_Diff_SA2_OT_55_64,Vis_fr_Diff_SA2_OT_65_74,Vis_fr_Diff_SA2_OT_75_84,Vis_fr_Diff_SA2_OT_85_over,Vis_fr_Diff_SA2_OT_Tot,Vis_fro_Diff_SA2_TOT_0_14,Vis_fr_Diff_SA2_TOT_15_24,Vis_fr_Diff_SA2_TOT_25_34,Vis_fr_Diff_SA2_TOT_35_44,Vis_fr_Diff_SA2_TOT_45_54,Vis_fr_Diff_SA2_TOT_55_64,Vis_fr_Diff_SA2_TOT_65_74,Vis_fr_Diff_SA2_TOT_75_84,Vis_fr_Diff_SA2_TOT_85_over,Vis_fr_Diff_SA2_TOT_TTOT,Vis_from_Tot_Viss_0_14_yr,Vis_from_Tot_Viss_15_24_yr,Vis_from_Tot_Viss_25_34_yr,Vis_from_Tot_Viss_35_44_yr,Vis_from_Tot_Viss_45_54_yr,Vis_from_Tot_Viss_55_64_yr,Vis_from_Tot_Viss_65_74_yr,Vis_from_Tot_Viss_75_84_yr,Vis_from_Tot_Viss_85_over,Vis_from_Tot_Viss_Tot,OS_vis_0_14_yr,OS_vis_15_24_yr,OS_vis_25_34_yr,OS_vis_35_44_yr,OS_vis_45_54_yr,OS_vis_55_64_yr,OS_vis_65_74_yr,OS_vis_75_84_yr,OS_vis_85_yr_over,OS_vis_Tot,Tot_pop_pl_en_0_14_yr,Tot_pop_pl_en_15_24_yr,Tot_pop_pl_en_25_34_yr,Tot_pop_pl_en_35_44_yr,Tot_pop_pl_en_45_54_yr,Tot_pop_pl_en_55_64_yr,Tot_pop_pl_en_65_74_yr,Tot_pop_pl_en_75_84_yr,Tot_pop_pl_en_85_yr_over,Tot_pop_pl_en_Tot
RA50,389550,241438,281386,287341,254814,220872,175656,96991,38908,1986947,290,226,320,328,295,430,476,338,156,2859,66,209,288,245,219,224,207,67,11,1540,91,139,272,226,217,283,249,64,9,1554,42,75,156,188,211,251,156,30,3,1113,16,32,85,93,137,118,72,32,5,577,6117,7690,7994,6217,5617,5243,4214,2585,1405,47084,20,20,44,44,57,93,127,28,7,438,31,29,68,69,43,50,32,8,0,330,20,23,56,33,23,21,15,4,0,188,10,4,8,10,15,17,17,5,0,83,6409,8214,8967,7124,6543,6303,5085,2816,1441,52905,6701,8438,9293,7451,6839,6740,5560,3156,1592,55770,373,517,1062,648,637,927,792,263,78,5293,396623,250393,291735,295438,262294,228534,182000,100405,40577,2048011
RA51,41941,22278,22653,27129,29346,28825,24614,12609,4208,213593,62,56,70,66,79,104,132,97,25,692,9,20,49,31,16,31,29,4,0,185,20,18,42,28,28,42,62,5,4,244,15,11,33,21,23,59,67,10,0,238,12,6,4,10,39,21,6,13,0,122,962,1345,1588,1240,1283,1683,1343,517,209,10174,3,9,20,13,8,31,23,7,0,115,0,6,18,4,13,11,0,0,0,60,0,5,0,5,0,7,6,0,0,27,0,0,0,0,0,3,5,0,0,7,1030,1429,1743,1349,1413,1887,1543,551,211,11165,1090,1479,1815,1412,1488,1989,1680,648,235,11852,37,102,150,76,40,39,26,17,5,493,43067,23863,24621,28619,30873,30855,26320,13278,4449,225941
RA52,33180,17733,19188,20404,22286,23804,19444,10455,3686,170190,43,52,44,56,61,88,110,67,36,546,16,11,22,26,18,74,108,20,0,289,18,10,31,24,23,74,172,12,3,366,14,8,36,27,43,91,109,8,0,332,3,8,15,14,14,64,99,19,0,242,918,1535,1891,1687,1821,2144,1500,596,178,12262,0,9,13,9,12,33,39,6,0,110,6,0,0,11,12,12,9,6,0,53,0,0,3,5,4,4,7,0,0,22,0,4,0,0,0,0,0,0,0,4,972,1581,2012,1799,1936,2491,2039,669,178,13675,1011,1634,2052,1857,1992,2579,2152,731,212,14222,21,66,145,59,27,37,41,16,7,419,34222,19435,21390,22315,24313,26422,21632,11204,3908,184833
RA53,18705,7848,12381,12887,10833,9369,5519,2465,734,80745,52,43,39,28,48,61,48,17,8,335,89,42,76,107,137,188,222,33,3,896,129,22,86,126,116,299,406,73,5,1264,54,17,88,142,155,258,213,28,3,955,23,16,51,62,82,150,192,39,0,611,752,1162,2583,2440,2684,3220,3031,1070,122,17059,14,4,23,18,27,64,49,15,0,208,3,7,32,15,12,37,10,6,0,135,10,0,4,7,0,10,10,0,0,48,0,0,0,0,0,0,0,0,0,0,1080,1271,2945,2916,3209,4219,4142,1263,137,21172,1130,1309,2985,2951,3251,4274,4190,1279,140,21509,8,48,156,45,30,45,36,4,0,379,19845,9211,15517,15879,14121,13690,9748,3751,870,102631
RA54,11320,6463,10594,9098,7851,6500,3211,1155,245,56448,49,48,76,60,87,68,48,22,0,468,202,67,272,292,251,495,564,53,4,2196,374,72,208,349,361,691,781,90,4,2937,145,86,276,396,384,634,560,67,0,2549,86,55,138,166,198,342,383,63,0,1431,1123,2639,9022,8147,8623,7808,5282,1480,124,44245,36,19,34,58,75,131,93,7,0,456,38,23,89,70,69,77,39,3,0,407,32,8,9,29,21,27,27,0,0,142,0,0,0,0,0,0,0,0,0,0,2040,2964,10047,9509,9982,10211,7727,1767,126,54372,2087,3014,10124,9573,10068,10274,7778,1791,130,54837,12,142,332,119,77,66,39,0,3,789,13416,9620,21048,18791,18000,16848,11025,2952,380,112078
RA55,0,42,113,170,111,60,13,0,0,511,0,0,0,0,0,0,0,0,0,0,0,7,3,24,59,23,22,0,0,134,0,4,8,11,32,21,8,0,0,82,0,4,24,68,28,40,24,0,0,192,0,0,11,20,13,16,3,0,0,64,0,81,342,647,628,346,104,29,0,2175,0,0,4,3,18,18,5,0,0,42,0,0,17,10,8,6,0,0,0,47,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,93,403,785,784,472,161,32,0,2739,3,93,403,785,784,472,161,32,0,2739,0,0,33,37,61,29,0,0,4,164,3,141,549,999,951,560,178,32,3,3413
RA61,57283,38238,51749,41772,40147,39335,34147,20074,7877,330625,63,52,64,59,68,84,91,87,25,603,18,74,95,54,53,76,60,19,3,439,51,137,239,139,113,146,96,33,7,964,27,70,112,72,74,120,61,12,3,557,11,29,61,38,68,60,73,16,0,352,31,27,79,47,57,72,36,10,3,360,1029,1813,1645,1178,1258,1207,908,499,238,9777,8,10,18,11,15,11,8,0,0,80,8,15,36,30,13,28,4,4,0,130,0,0,0,0,0,0,0,0,0,0,1174,2174,2290,1569,1645,1718,1247,595,254,12669,1240,2227,2357,1629,1713,1800,1336,687,279,13276,32,131,257,80,54,77,54,27,12,724,58562,40600,54369,43486,41910,41210,35536,20784,8170,344620
RA62,31572,18496,19793,20157,24377,29475,26502,13906,4345,188628,55,51,57,42,58,112,119,68,42,607,19,24,29,17,32,62,66,11,4,272,32,36,93,64,84,97,79,14,4,503,42,27,55,43,85,104,65,16,5,429,19,17,44,24,26,27,29,3,0,196,9,14,63,26,39,72,29,0,0,251,731,1037,976,698,826,955,647,279,115,6274,6,0,14,3,0,9,0,0,0,30,0,0,6,7,8,7,3,0,0,41,0,0,0,0,0,0,0,0,0,3,860,1155,1274,890,1092,1342,921,327,126,7998,918,1209,1333,934,1156,1448,1036,403,167,8602,7,34,84,53,25,24,23,12,4,259,32493,19736,21204,21145,25554,30953,27563,14322,4518,197497
RA63,1076,543,976,816,966,1386,1234,529,152,7685,9,3,5,4,6,5,3,4,0,29,0,0,4,0,6,12,6,0,0,24,9,12,10,17,14,28,8,4,0,106,0,4,10,5,10,24,11,0,0,66,0,0,13,3,10,15,11,0,0,57,0,0,15,3,17,14,10,0,0,65,39,74,152,120,142,185,129,32,3,879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,52,95,208,162,199,277,168,37,3,1204,57,95,213,165,205,277,168,44,3,1238,0,4,22,8,0,3,4,0,4,45,1135,647,1207,993,1175,1668,1411,574,160,8965
RA64,368,123,231,291,260,362,387,208,49,2280,4,0,0,0,5,0,4,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,4,3,0,0,15,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,8,6,9,24,16,20,19,27,4,4,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,31,14,27,27,30,7,0,156,6,13,31,14,26,25,34,7,0,167,0,0,0,0,0,0,0,0,0,3,376,131,265,306,293,388,421,221,56,2455
