RA_CODE_2021,Cntd_home_Cen_Nt_0_14_yr,Cntd_home_Cen_Nt_15_24_yr,Cntd_home_Cen_Nt_25_34_yr,Cntd_home_Cen_Nt_35_44_yr,Cntd_home_Cen_Nt_45_54_yr,Cntd_home_Cen_Nt_55_64_yr,Cntd_home_Cen_Nt_65_74_yr,Cntd_home_Cen_Nt_75_84_yr,Cntd_home_Cen_Nt_85_yr_over,Cntd_home_Cen_Night_Tot,Vis_from_Same_SA2_0_14,Vis_from_Same_SA2_15_24,Vis_from_Same_SA2_25_34,Vis_from_Same_SA2_35_44,Vis_from_Same_SA2_45_54,Vis_from_Same_SA2_55_64,Vis_from_Same_SA2_65_74,Vis_from_Same_SA2_75_84,Vis_from_Same_SA2_85_yr_over,Vis_from_Same_SA2_Tot,Vis_fro_Diff_SA2_NSW_0_14,Vis_fr_Diff_SA2_NSW_15_24,Vis_fr_Diff_SA2_NSW_25_34,Vis_fr_Diff_SA2_NSW_35_44,Vis_fr_Diff_SA2_NSW_45_54,Vis_fr_Diff_SA2_NSW_55_64,Vis_fr_Diff_SA2_NSW_65_74,Vis_fr_Diff_SA2_NSW_75_84,Vis_fr_Diff_SA2_NSW_85_over,Vis_fr_Diff_SA2_NSW_Tot,Vis_fro_Diff_SA2_Vic_0_14,Vis_fr_Diff_SA2_Vic_15_24,Vis_fr_Diff_SA2_Vic_25_34,Vis_fr_Diff_SA2_Vic_35_44,Vis_fr_Diff_SA2_Vic_45_54,Vis_fr_Diff_SA2_Vic_55_64,Vis_fr_Diff_SA2_Vic_65_74,Vis_fr_Diff_SA2_Vic_75_84,Vis_fr_Diff_SA2_Vic_85_over,Vis_fr_Diff_SA2_Vic_Tot,Vis_fro_Diff_SA2_Qld_0_14,Vis_fr_Diff_SA2_Qld_15_24,Vis_fr_Diff_SA2_Qld_25_34,Vis_fr_Diff_SA2_Qld_35_44,Vis_fr_Diff_SA2_Qld_45_54,Vis_fr_Diff_SA2_Qld_55_64,Vis_fr_Diff_SA2_Qld_65_74,Vis_fr_Diff_SA2_Qld_75_84,Vis_fr_Diff_SA2_Qld_85_over,Vis_fr_Diff_SA2_Qld_Tot,Vis_fro_Diff_SA2_SA_0_14,Vis_fr_Diff_SA2_SA_15_24,Vis_fr_Diff_SA2_SA_25_34,Vis_fr_Diff_SA2_SA_35_44,Vis_fr_Diff_SA2_SA_45_54,Vis_fr_Diff_SA2_SA_55_64,Vis_fr_Diff_SA2_SA_65_74,Vis_fr_Diff_SA2_SA_75_84,Vis_fr_Diff_SA2_SA_85_over,Vis_fr_Diff_SA2_SA_Tot,Vis_fro_Diff_SA2_WA_0_14,Vis_fr_Diff_SA2_WA_15_24,Vis_fr_Diff_SA2_WA_25_34,Vis_fr_Diff_SA2_WA_35_44,Vis_fr_Diff_SA2_WA_45_54,Vis_fr_Diff_SA2_WA_55_64,Vis_fr_Diff_SA2_WA_65_74,Vis_fr_Diff_SA2_WA_75_84,Vis_fr_Diff_SA2_WA_85_over,Vis_fr_Diff_SA2_WA_Tot,Vis_fro_Diff_SA2_Tas_0_14,Vis_fr_Diff_SA2_Tas_15_24,Vis_fr_Diff_SA2_Tas_25_34,Vis_fr_Diff_SA2_Tas_35_44,Vis_fr_Diff_SA2_Tas_45_54,Vis_fr_Diff_SA2_Tas_55_64,Vis_fr_Diff_SA2_Tas_65_74,Vis_fr_Diff_SA2_Tas_75_84,Vis_fr_Diff_SA2_Tas_85_over,Vis_fr_Diff_SA2_Tas_Tot,Vis_fro_Diff_SA2_NT_0_14,Vis_fr_Diff_SA2_NT_15_24,Vis_fr_Diff_SA2_NT_25_34,Vis_fr_Diff_SA2_NT_35_44,Vis_fr_Diff_SA2_NT_45_54,Vis_fr_Diff_SA2_NT_55_64,Vis_fr_Diff_SA2_NT_65_74,Vis_fr_Diff_SA2_NT_75_84,Vis_fr_Diff_SA2_NT_85_over,Vis_fr_Diff_SA2_NT_Tot,Vis_fro_Diff_SA2_ACT_0_14,Vis_fr_Diff_SA2_ACT_15_24,Vis_fr_Diff_SA2_ACT_25_34,Vis_fr_Diff_SA2_ACT_35_44,Vis_fr_Diff_SA2_ACT_45_54,Vis_fr_Diff_SA2_ACT_55_64,Vis_fr_Diff_SA2_ACT_65_74,Vis_fr_Diff_SA2_ACT_75_84,Vis_fr_Diff_SA2_ACT_85_over,Vis_fr_Diff_SA2_ACT_Tot,Vis_fro_Diff_SA2_OT_0_14,Vis_fr_Diff_SA2_OT_15_24,Vis_fr_Diff_SA2_OT_25_34,Vis_fr_Diff_SA2_OT_35_44,Vis_fr_Diff_SA2_OT_45_54,Vis_fr_Diff_SA2_OT_55_64,Vis_fr_Diff_SA2_OT_65_74,Vis_fr_Diff_SA2_OT_75_84,Vis_fr_Diff_SA2_OT_85_over,Vis_fr_Diff_SA2_OT_Tot,Vis_fro_Diff_SA2_TOT_0_14,Vis_fr_Diff_SA2_TOT_15_24,Vis_fr_Diff_SA2_TOT_25_34,Vis_fr_Diff_SA2_TOT_35_44,Vis_fr_Diff_SA2_TOT_45_54,Vis_fr_Diff_SA2_TOT_55_64,Vis_fr_Diff_SA2_TOT_65_74,Vis_fr_Diff_SA2_TOT_75_84,Vis_fr_Diff_SA2_TOT_85_over,Vis_fr_Diff_SA2_TOT_TTOT,Vis_from_Tot_Viss_0_14_yr,Vis_from_Tot_Viss_15_24_yr,Vis_from_Tot_Viss_25_34_yr,Vis_from_Tot_Viss_35_44_yr,Vis_from_Tot_Viss_45_54_yr,Vis_from_Tot_Viss_55_64_yr,Vis_from_Tot_Viss_65_74_yr,Vis_from_Tot_Viss_75_84_yr,Vis_from_Tot_Viss_85_over,Vis_from_Tot_Viss_Tot,OS_vis_0_14_yr,OS_vis_15_24_yr,OS_vis_25_34_yr,OS_vis_35_44_yr,OS_vis_45_54_yr,OS_vis_55_64_yr,OS_vis_65_74_yr,OS_vis_75_84_yr,OS_vis_85_yr_over,OS_vis_Tot,Tot_pop_pl_en_0_14_yr,Tot_pop_pl_en_15_24_yr,Tot_pop_pl_en_25_34_yr,Tot_pop_pl_en_35_44_yr,Tot_pop_pl_en_45_54_yr,Tot_pop_pl_en_55_64_yr,Tot_pop_pl_en_65_74_yr,Tot_pop_pl_en_75_84_yr,Tot_pop_pl_en_85_yr_over,Tot_pop_pl_en_Tot
RA65,0,0,4,4,7,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,7,9,10,0,0,0,0,30,0,3,17,28,18,16,7,0,0,90,0,0,9,11,8,9,4,0,0,41,0,0,3,0,0,3,0,0,0,8,0,0,0,5,0,0,0,0,0,9,5,9,20,17,47,48,21,4,0,175,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,14,63,71,82,75,33,7,0,347,5,19,63,71,82,75,33,7,0,350,0,0,3,4,0,0,0,0,0,13,5,21,69,78,90,77,33,3,0,378
RA72,27594,15639,24170,20785,17113,13570,8830,3417,783,131901,28,80,59,33,25,41,24,15,0,311,192,239,478,301,271,403,442,95,7,2424,397,212,625,520,554,1002,1148,229,19,4702,139,159,338,311,389,478,504,94,9,2420,172,173,310,283,336,598,683,221,27,2800,169,152,335,256,342,544,543,156,9,2511,13,15,24,43,66,100,86,26,0,365,672,687,1094,845,741,698,373,150,40,5307,37,41,69,62,70,75,59,6,0,415,0,0,0,0,0,0,0,0,0,0,1795,1682,3273,2609,2760,3891,3831,978,113,20940,1823,1763,3335,2642,2787,3939,3859,990,110,21248,70,1319,688,198,87,150,83,22,6,2629,29482,18723,28189,23627,19990,17665,12766,4433,904,155778
RA73,9534,5121,7964,6615,5647,4976,2933,999,242,44024,11,22,20,22,24,20,13,8,0,137,94,60,142,114,109,280,279,43,3,1111,213,118,333,266,312,750,912,152,3,3062,94,64,142,132,183,372,427,40,3,1461,98,69,202,131,203,486,487,108,4,1785,70,45,144,129,129,309,294,47,6,1181,17,27,21,18,25,76,92,9,0,290,364,339,610,526,524,484,185,36,11,3078,10,3,44,23,32,43,30,8,0,193,0,0,0,0,0,0,0,0,0,0,956,731,1644,1339,1516,2803,2700,448,32,12163,970,754,1667,1358,1539,2824,2708,450,32,12300,8,26,113,19,16,39,17,10,0,238,10508,5899,9736,7998,7196,7838,5657,1463,273,56571
RA74,9878,7064,7216,5705,4539,3209,1508,403,72,39600,77,69,89,43,31,25,5,3,0,345,71,109,124,82,97,266,303,67,0,1110,145,79,195,160,216,507,619,105,3,2022,79,137,351,292,378,527,417,63,4,2247,46,61,106,109,172,377,424,80,9,1379,24,42,131,117,132,238,223,31,0,932,17,18,33,22,25,77,66,14,0,257,322,362,771,587,603,447,197,35,4,3331,13,4,10,20,23,21,27,9,0,130,0,0,0,0,0,0,0,0,0,0,711,805,1723,1383,1641,2448,2275,402,16,11407,788,877,1813,1421,1678,2476,2285,402,13,11752,0,86,123,45,19,29,15,0,0,323,10670,8033,9151,7166,6233,5712,3810,800,85,51671
RA75,0,15,23,22,20,17,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,3,0,9,18,11,11,0,0,46,0,0,4,8,10,3,6,0,0,31,0,10,10,15,18,22,0,0,0,78,0,0,4,12,3,8,5,0,0,23,0,11,12,25,32,30,8,0,0,122,0,0,3,3,3,5,0,4,0,23,0,0,5,14,7,10,5,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,33,88,103,82,35,6,0,384,0,24,33,88,103,82,35,6,0,384,0,0,9,0,0,0,0,0,0,17,0,37,65,112,124,106,40,10,0,494
RA80,81229,57997,74814,67310,54341,43059,33540,18417,6888,437589,37,54,58,33,46,32,64,46,19,393,272,1108,846,527,599,658,559,198,85,4857,29,187,204,114,97,136,81,24,4,870,30,132,136,119,111,135,95,9,3,771,3,38,25,13,24,41,38,12,0,188,13,47,49,32,32,41,34,5,3,248,4,30,23,11,30,29,33,9,0,159,11,12,16,13,13,7,3,0,0,70,814,1301,1361,893,671,519,385,310,189,6450,0,0,0,0,0,0,0,0,0,0,1173,2854,2658,1718,1583,1569,1213,567,287,13617,1210,2909,2713,1755,1623,1599,1279,617,307,14012,129,132,177,177,139,179,152,49,7,1151,82575,61033,77703,69237,56102,44848,34970,19076,7201,452747
RA81,157,78,86,100,89,86,52,11,4,662,0,0,0,0,0,0,0,0,0,0,0,5,10,3,0,3,3,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,5,8,11,4,0,3,3,0,0,38,5,8,11,4,0,3,3,0,0,37,0,0,0,0,0,0,0,0,0,0,168,90,102,104,89,88,56,12,7,708
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,56,44,35,35,47,29,27,16,0,294,0,0,0,0,0,0,0,0,0,0,0,22,28,8,3,5,0,0,0,59,0,16,12,0,0,0,0,0,0,25,0,14,14,0,3,0,0,0,0,29,0,0,0,0,0,0,0,0,0,4,0,13,8,0,0,0,0,0,0,20,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,7,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,59,66,12,9,3,0,0,0,155,0,59,66,12,9,3,0,0,0,155,0,5,0,0,0,0,0,0,0,9,60,103,104,49,56,38,27,16,0,456
RA94,731,339,528,571,580,680,503,225,56,4209,8,11,6,7,8,3,8,0,0,44,0,3,12,20,12,7,16,0,0,63,0,8,8,0,8,0,5,0,0,27,4,4,24,7,36,42,37,14,0,170,0,0,4,0,7,0,0,0,0,10,12,27,54,43,51,109,65,26,0,382,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,3,0,0,0,4,0,0,0,0,14,8,11,5,0,9,6,7,0,4,54,26,45,109,72,123,167,133,46,4,723,34,52,115,76,127,173,136,45,4,764,0,3,3,0,3,5,0,0,0,17,759,395,640,649,716,856,642,271,63,4993
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
