RA_CODE_2021,F_Inad_desc_Ns_15_19,F_Inad_desc_Ns_20_24,F_Inad_desc_Ns_25_34,F_Inad_desc_Ns_35_44,F_Inad_desc_Ns_45_54,F_Inad_desc_Ns_55_64,F_Inad_desc_Ns_65_74,F_Inad_desc_Ns_75_84,F_Inad_desc_Ns_85_yr_over,F_Inad_desc_Ns_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Agr_fstry_fsh_15_19,P_Agr_fstry_fsh_20_24,P_Agr_fstry_fsh_25_34,P_Agr_fstry_fsh_35_44,P_Agr_fstry_fsh_45_54,P_Agr_fstry_fsh_55_64,P_Agr_fstry_fsh_65_74,P_Agr_fstry_fsh_75_84,P_Agr_fstry_fsh_85_yr_over,P_Agr_fstry_fsh_Tot,P_Min_15_19_yr,P_Min_20_24_yr,P_Min_25_34_yr,P_Min_35_44_yr,P_Min_45_54_yr,P_Min_55_64_yr,P_Min_65_74_yr,P_Min_75_84_yr,P_Min_85_yr_over,P_Min_Tot,P_Manf_15_19_yr,P_Manf_20_24_yr,P_Manf_25_34_yr,P_Manf_35_44_yr,P_Manf_45_54_yr,P_Manf_55_64_yr,P_Manf_65_74_yr,P_Manf_75_84_yr,P_Manf_85_yr_over,P_Manf_Tot,P_Elec_gas_wtr_wst_sv_15_19,P_Elec_gas_wtr_wst_sv_20_24,P_Elec_gas_wtr_wst_sv_25_34,P_Elec_gas_wtr_wst_sv_35_44,P_Elec_gas_wtr_wst_sv_45_54,P_Elec_gas_wtr_wst_sv_55_64,P_Elec_gas_wtr_wst_sv_65_74,P_Elec_gas_wtr_wst_sv_75_84,P_Elec_gas_wtr_wst_sv_85_ov,P_Elec_gas_wtr_wst_sv_Tot,P_Con_15_19_yr,P_Con_20_24_yr,P_Con_25_34_yr,P_Con_35_44_yr,P_Con_45_54_yr,P_Con_55_64_yr,P_Con_65_74_yr,P_Con_75_84_yr,P_Con_85_yr_over,P_Con_Tot,P_Whl_trd_15_19_yr,P_Whl_trd_20_24_yr,P_Whl_trd_25_34_yr,P_Whl_trd_35_44_yr,P_Whl_trd_45_54_yr,P_Whl_trd_55_64_yr,P_Whl_trd_65_74_yr,P_Whl_trd_75_84_yr,P_Whl_trd_85_yr_over,P_Whl_trd_Tot,P_Re_trd_15_19_yr,P_Re_trd_20_24_yr,P_Re_trd_25_34_yr,P_Re_trd_35_44_yr,P_Re_trd_45_54_yr,P_Re_trd_55_64_yr,P_Re_trd_65_74_yr,P_Re_trd_75_84_yr,P_Re_trd_85_yr_over,P_Re_trd_Tot,P_Acc_food_svc_15_19,P_Acc_food_svc_20_24,P_Acc_food_svc_25_34,P_Acc_food_svc_35_44,P_Acc_food_svc_45_54,P_Acc_food_svc_55_64,P_Acc_food_svc_65_74,P_Acc_food_svc_75_84,P_Acc_food_svc_85_yr_over,P_Acc_food_svc_Tot,P_Trp_pos_wh_15_19,P_Trp_pos_wh_20_24,P_Trp_pos_wh_25_34,P_Trp_pos_wh_35_44,P_Trp_pos_wh_45_54,P_Trp_pos_wh_55_64,P_Trp_pos_wh_65_74,P_Trp_pos_wh_75_84,P_Trp_pos_wh_85_yr_over,P_Trp_pos_wh_Tot,P_In_med_tcom_15_19,P_In_med_tcom_20_24,P_In_med_tcom_25_34,P_In_med_tcom_35_44,P_In_med_tcom_45_54,P_In_med_tcom_55_64,P_In_med_tcom_65_74,P_In_med_tcom_75_84,P_In_med_tcom_85_yr_over,P_In_med_tcom_Tot,P_Fin_in_svc_15_19,P_Fin_in_svc_20_24,P_Fin_in_svc_25_34,P_Fin_in_svc_35_44,P_Fin_in_svc_45_54,P_Fin_in_svc_55_64,P_Fin_in_svc_65_74,P_Fin_in_svc_75_84,P_Fin_in_svc_85_yr_over,P_Fin_in_svc_Tot,P_Rnt_hrg_rea_est_serv_15_19,P_Rnt_hrg_rea_est_serv_20_24,P_Rnt_hrg_rea_est_serv_25_34,P_Rnt_hrg_rea_est_serv_35_44,P_Rnt_hrg_rea_est_serv_45_54,P_Rnt_hrg_rea_est_serv_55_64,P_Rnt_hrg_rea_est_serv_65_74,P_Rnt_hrg_rea_est_serv_75_84,P_Rnt_hrg_rea_est_serv_85_ov,P_Rnt_hrg_rea_est_serv_Tot,P_Prof_sc_tech_serv_15_19,P_Prof_sc_tech_serv_20_24,P_Prof_sc_tech_serv_25_34,P_Prof_sc_tech_serv_35_44,P_Prof_sc_tech_serv_45_54,P_Prof_sc_tech_serv_55_64,P_Prof_sc_tech_serv_65_74,P_Prof_sc_tech_serv_75_84,P_Prof_sc_tech_serv_85_over,P_Prof_sc_tech_serv_Tot,P_Adm_sup_serv_15_19,P_Adm_sup_serv_20_24,P_Adm_sup_serv_25_34,P_Adm_sup_serv_35_44,P_Adm_sup_serv_45_54,P_Adm_sup_serv_55_64,P_Adm_sup_serv_65_74,P_Adm_sup_serv_75_84,P_Adm_sup_serv_85_over,P_Adm_sup_serv_Tot,P_PubAd_saf_15_19,P_PubAd_saf_20_24,P_PubAd_saf_25_34,P_PubAd_saf_35_44,P_PubAd_saf_45_54,P_PubAd_saf_55_64,P_PubAd_saf_65_74,P_PubAd_saf_75_84,P_PubAd_saf_85_yr_over,P_PubAd_saf_Tot,P_Ed_trng_15_19,P_Ed_trng_20_24,P_Ed_trng_25_34,P_Ed_trng_35_44,P_Ed_trng_45_54,P_Ed_trng_55_64,P_Ed_trng_65_74,P_Ed_trng_75_84,P_Ed_trng_85_yr_over,P_Ed_trng_Tot,P_Hlth_cre_socia_assist_15_19,P_Hlth_cre_socia_assist_20_24,P_Hlth_cre_socia_assist_25_34,P_Hlth_cre_socia_assist_35_44,P_Hlth_cre_socia_assist_45_54,P_Hlth_cre_socia_assist_55_64,P_Hlth_cre_socia_assist_65_74,P_Hlth_cre_socia_assist_75_84,P_Hlth_cre_socia_assist_85_ov,P_Hlth_cre_socia_assist_Tot,P_Arts_rec_svc_15_19,P_Arts_rec_svc_20_24,P_Arts_rec_svc_25_34,P_Arts_rec_svc_35_44,P_Arts_rec_svc_45_54,P_Arts_rec_svc_55_64,P_Arts_rec_svc_65_74,P_Arts_rec_svc_75_84,P_Arts_rec_svc_85_yr_over,P_Arts_rec_svc_Tot
RA10,1802,5199,14884,13306,10168,6343,1858,444,117,54119,62793,129596,334148,317550,276910,188329,45997,4510,355,1360180,368,828,2079,2049,2298,1908,867,270,42,10711,118,603,3408,4383,3465,2261,357,55,4,14661,3976,9418,29666,34948,36967,29947,6752,686,43,152404,197,1088,5028,6921,6318,4114,820,67,7,24551,10866,25106,62918,53830,43541,28641,6894,667,41,232506,1168,4758,17485,22550,20887,14630,3615,489,45,85628,28825,41464,57300,46534,38812,28588,7620,956,71,250179,41356,29452,34788,23630,17102,12541,3039,355,33,162297,2072,8532,27964,32260,32519,27079,6743,607,18,137794,947,3969,16366,18769,13289,6694,1388,176,24,61623,703,10986,47502,58112,39596,18449,4023,558,89,180017,920,4013,12341,13172,10775,7031,2649,637,113,51662,2279,22005,83030,80072,53851,32183,11870,1929,112,287334,1718,7874,22446,20935,18737,14056,3969,468,20,90223,1336,9175,36608,42954,39898,26877,5790,396,18,163053,7286,19183,54295,55058,53898,39990,11454,993,43,242203,6562,35301,98401,87509,81889,66886,18809,1919,77,397353,3223,5318,10334,8538,6576,4376,1527,256,26,40176
RA11,817,965,1997,2051,2271,1741,752,268,67,10936,23377,27338,63020,67192,75226,63801,17156,2054,198,339359,1009,1765,4179,4473,5218,6185,4605,1868,256,29551,150,767,3336,3762,3399,2068,307,31,3,13818,2104,3162,7811,7804,8522,7227,1821,253,20,38720,118,370,1473,1976,2336,2031,308,22,0,8646,4608,7673,15650,14070,13238,10955,3092,271,14,69573,564,966,2359,2762,3308,2940,848,167,10,13927,11694,7888,11554,10406,11320,10492,3118,391,32,66898,15064,7248,8856,7024,6601,5861,1805,244,18,52729,491,1101,3378,4291,6168,6614,2531,334,17,24927,266,451,999,1125,1178,1005,315,56,3,5393,127,624,2071,2639,2924,2208,628,107,11,11342,246,628,1642,1791,2121,1775,814,188,15,9215,558,1832,6247,7202,7449,6035,2915,409,21,32660,603,1538,4034,4618,5410,5039,1407,135,4,22786,1071,2843,8706,11413,13575,9706,1847,108,8,49285,1341,3481,10963,14429,16368,13449,3774,274,3,64089,2160,7800,22261,21734,24941,24691,6187,420,12,110193,1029,841,1469,1570,1662,1409,574,116,8,8671
RA12,229,232,484,489,525,529,274,120,20,2902,4810,5805,14235,14675,17230,16554,5459,972,103,79841,869,1470,3920,4379,5374,6682,4948,1704,271,29628,67,385,1425,1429,1235,774,130,8,0,5446,570,930,2195,2039,2082,1745,461,58,4,10085,27,102,371,495,587,524,83,5,0,2205,853,1253,2718,2293,2363,2226,705,67,4,12487,210,287,630,670,792,721,222,37,3,3569,2281,1316,2152,2083,2419,2413,745,91,4,13505,2469,1460,2010,1429,1652,1763,595,64,8,11448,128,284,839,922,1405,1767,725,121,6,6194,44,88,145,162,174,179,63,13,0,872,21,119,370,401,469,355,79,18,0,1828,72,141,281,291,347,282,163,28,5,1610,128,364,1112,1084,1201,1136,532,85,4,5649,111,315,803,785,1038,1103,306,31,0,4497,121,405,1704,2016,2629,2272,524,32,0,9701,250,747,2478,3029,3494,3074,836,68,5,13972,405,1241,3705,3692,4508,5027,1251,88,3,19924,189,322,505,317,365,399,128,28,4,2253
RA13,23,10,38,44,25,25,18,13,6,194,240,376,1091,962,1111,1052,360,90,5,5288,124,245,643,572,786,862,482,157,21,3900,29,104,268,209,206,164,17,5,0,1004,19,20,51,44,45,56,13,0,0,259,4,9,39,34,32,18,3,0,0,140,34,53,160,101,98,132,36,3,0,615,5,16,51,37,28,45,15,4,0,199,78,45,95,97,112,109,44,8,5,593,68,64,129,93,78,104,40,6,0,570,9,17,50,45,75,86,55,6,0,337,0,4,12,3,5,8,0,0,0,38,5,6,22,19,19,8,4,0,0,81,0,3,7,10,10,3,11,0,0,45,5,14,51,37,51,37,21,0,0,211,11,9,44,44,53,65,17,3,0,235,13,35,132,141,159,157,37,0,0,662,20,65,269,274,265,191,62,0,0,1146,25,90,244,152,215,249,61,6,0,1040,3,8,7,11,18,16,5,0,0,65
RA14,8,4,15,4,8,12,3,3,0,56,39,107,288,230,271,276,105,21,3,1335,18,50,98,82,120,159,105,35,10,666,0,11,34,28,22,18,0,0,0,116,3,3,3,7,7,14,0,0,0,36,0,0,4,8,9,6,4,0,0,35,11,20,30,42,26,43,18,3,0,187,0,3,5,6,9,0,0,0,0,23,10,15,19,20,21,39,17,3,0,137,8,14,35,35,44,54,17,9,0,212,0,3,17,6,13,30,9,5,0,85,0,0,4,0,7,4,5,0,0,17,0,3,0,0,5,3,0,0,0,15,0,0,0,3,0,3,5,0,0,14,0,3,6,12,12,9,7,0,0,51,3,7,14,15,18,18,4,0,0,86,5,20,105,82,87,51,12,0,0,364,16,21,82,75,73,59,24,4,0,351,5,23,67,43,60,78,19,0,0,295,0,7,10,0,9,3,0,0,0,33
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,4,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,1519,4379,12645,11036,8905,5542,1582,364,97,46070,56075,115958,303491,277784,239692,157757,37601,3501,246,1192104,395,1075,2903,2951,3023,2362,958,350,27,14036,18,124,719,1110,1132,740,191,22,3,4063,4421,10271,33660,39927,42202,31799,7064,733,51,170137,169,1136,6261,8313,5914,3604,680,49,8,26121,7616,24771,65833,53691,42493,26738,6329,672,38,228182,1077,4514,14966,18668,18767,12944,3215,396,46,74597,28112,43505,53971,41156,36039,25050,6839,776,33,235482,39397,30953,34473,20872,14526,9841,2352,258,17,152684,1375,8418,29271,30162,25650,20620,5296,402,10,121211,1026,3253,11358,13271,9112,4655,993,124,4,43798,350,6352,31129,38165,24982,11770,2752,374,55,115939,471,2826,10485,9761,7989,5173,1901,415,45,39081,1186,15000,69920,67482,45258,25937,9258,1508,72,235612,1403,7360,21488,18048,16472,11758,3532,429,20,80497,1012,7497,32355,35650,31678,21947,5212,569,26,135947,4893,15119,52592,53067,48020,34891,9140,799,37,218559,3480,27023,90990,79235,70003,53604,14687,1281,63,340368,4431,6426,11504,9135,6907,4095,1428,225,16,44167
RA21,551,665,1493,1554,1736,1441,569,230,62,8293,17416,21751,51155,54615,60284,50857,13471,1561,174,271283,1174,1940,4796,4974,5924,6718,5189,1951,272,32924,54,231,908,1023,964,690,142,15,3,4025,2116,3233,8258,8743,10200,8577,2057,190,9,43384,69,330,1484,1948,2189,1946,323,16,0,8294,3355,6561,14269,12503,11498,8999,2241,174,12,59626,451,727,1914,2299,2890,2579,721,104,5,11690,8977,6597,8601,7722,8945,7871,2264,252,23,51247,11117,5166,5453,4270,4174,3561,1152,131,10,35025,279,849,2874,3715,5173,5625,1910,217,13,20657,176,415,1053,1090,1140,835,244,44,0,5004,75,506,1979,2801,2825,1830,486,73,11,10593,120,421,1093,1255,1366,1124,477,95,12,5965,331,1509,5058,6292,5986,4626,2142,301,15,26265,403,997,2713,3179,3579,3274,1005,122,3,15277,544,1826,6518,8368,9379,7322,1621,109,4,35703,927,2451,9042,11545,11895,9810,2650,155,4,48483,1164,6089,18164,17690,20160,19176,4690,264,6,87411,917,969,1627,1655,1683,1414,510,74,0,8855
RA22,135,166,318,328,379,353,171,84,21,1951,3232,4132,10134,10155,12056,11658,3500,530,60,55453,552,1007,3047,2978,3501,4112,2758,968,140,19067,7,48,125,186,148,151,45,4,0,716,362,553,1224,1264,1506,1447,369,37,4,6768,7,52,270,305,336,372,81,3,0,1431,563,991,1954,1738,1723,1695,441,35,6,9151,92,217,478,553,649,664,189,27,0,2866,1795,1060,1575,1495,1818,1793,504,45,0,10097,1713,1099,1535,1112,1154,1200,396,46,0,8262,104,334,715,767,1077,1393,486,55,4,4928,21,59,112,114,139,97,43,3,0,588,17,74,280,335,371,242,63,9,3,1387,28,100,181,173,248,190,99,23,0,1045,72,235,794,861,829,698,349,60,0,3899,99,240,641,620,692,744,200,26,3,3261,38,228,1076,1350,1542,1514,356,26,0,6127,167,492,1780,1950,2247,1947,559,33,0,9169,274,994,3299,3003,3690,4122,985,41,0,16419,99,124,254,241,289,266,85,16,0,1373
RA23,0,0,0,0,0,6,0,4,0,15,17,26,89,122,111,163,64,20,0,605,16,19,55,105,81,124,111,33,5,542,0,0,0,0,3,3,0,0,0,9,5,0,8,4,6,5,0,0,0,29,0,0,0,0,5,7,0,0,0,13,5,4,10,11,8,9,5,3,0,44,0,0,3,3,5,0,0,0,0,11,0,3,16,11,14,12,3,6,0,63,3,4,3,10,5,16,7,0,0,52,6,4,7,8,13,20,7,0,0,66,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,9,3,0,0,30,0,0,0,0,0,4,0,3,0,22,0,0,7,23,5,28,11,0,0,78,5,5,28,18,22,28,8,0,0,116,8,8,32,40,35,48,13,0,0,175,0,0,5,7,6,4,0,0,0,18
