RA_CODE_2021,Uses_Eng_on_M,Uses_Eng_on_F,Uses_Eng_on_P,Uses_othr_lang_Afrikaans_M,Uses_othr_lang_Afrikaans_F,Uses_othr_lang_Afrikaans_P,Uses_othr_lang_Arabic_M,Uses_othr_lang_Arabic_F,Uses_othr_lang_Arabic_P,Uses_othr_lang_Aus_Ind_lang_M,Uses_othr_lang_Aus_Ind_lang_F,Uses_othr_lang_Aus_Ind_lang_P,Uses_othr_lan_Chin_lan_Cant_M,Uses_othr_lan_Chin_lan_Cant_F,Uses_othr_lan_Chin_lan_Cant_P,Uses_othr_lan_Chin_lan_Mand_M,Uses_othr_lan_Chin_lan_Mand_F,Uses_othr_lan_Chin_lan_Mand_P,Uses_othr_lan_Chin_lan_othr_M,Uses_othr_lan_Chin_lan_othr_F,Uses_othr_lan_Chin_lan_othr_P,Uses_othr_lan_Chin_lan_Tot_M,Uses_othr_lan_Chin_lan_Tot_F,Uses_othr_lan_Chin_lan_Tot_P,Uses_othr_lang_Croatian_M,Uses_othr_lang_Croatian_F,Uses_othr_lang_Croatian_P,Uses_othr_lang_French_M,Uses_othr_lang_French_F,Uses_othr_lang_French_P,Uses_othr_lang_German_M,Uses_othr_lang_German_F,Uses_othr_lang_German_P,Uses_othr_lang_Greek_M,Uses_othr_lang_Greek_F,Uses_othr_lang_Greek_P,Us_oth_lan_Indo_Ary_lan_Ben_M,Us_oth_lan_Indo_Ary_lan_Ben_F,Us_oth_lan_Indo_Ary_lan_Ben_P,Us_oth_lan_Indo_Ary_lan_Guj_M,Us_oth_lan_Indo_Ary_lan_Guj_F,Us_oth_lan_Indo_Ary_lan_Guj_P,Us_oth_lan_Indo_Ary_lan_Hin_M,Us_oth_lan_Indo_Ary_lan_Hin_F,Us_oth_lan_Indo_Ary_lan_Hin_P,Us_oth_lan_Indo_Ary_lan_Nep_M,Us_oth_lan_Indo_Ary_lan_Nep_F,Us_oth_lan_Indo_Ary_lan_Nep_P,Us_oth_lan_Ind_Ary_lan_Punj_M,Us_oth_lan_Ind_Ary_lan_Punj_F,Us_oth_lan_Ind_Ary_lan_Punj_P,Us_oth_lan_Ind_Ary_lan_Sinh_M,Us_oth_lan_Ind_Ary_lan_Sinh_F,Us_oth_lan_Ind_Ary_lan_Sinh_P,Us_oth_lan_Indo_Ary_lan_Urd_M,Us_oth_lan_Indo_Ary_lan_Urd_F,Us_oth_lan_Indo_Ary_lan_Urd_P,Us_oth_lan_Indo_Ary_lan_oth_M,Us_oth_lan_Indo_Ary_lan_oth_F,Us_oth_lan_Indo_Ary_lan_oth_P,Us_oth_lan_Indo_Ary_lan_Tot_M,Us_oth_lan_Indo_Ary_lan_Tot_F,Us_oth_lan_Indo_Ary_lan_Tot_P,Uses_othr_lang_Italian_M,Uses_othr_lang_Italian_F,Uses_othr_lang_Italian_P,Uses_othr_lang_Japanese_M,Uses_othr_lang_Japanese_F,Uses_othr_lang_Japanese_P,Uses_othr_lang_Khmer_M,Uses_othr_lang_Khmer_F,Uses_othr_lang_Khmer_P,Uses_othr_lang_Korean_M,Uses_othr_lang_Korean_F,Uses_othr_lang_Korean_P,Uses_othr_lang_Macedonian_M,Uses_othr_lang_Macedonian_F,Uses_othr_lang_Macedonian_P,Uses_othr_lang_Malayalam_M,Uses_othr_lang_Malayalam_F,Uses_othr_lang_Malayalam_P,Us_oth_lan_Persian_ex_Dari_M,Us_oth_lan_Persian_ex_Dari_F,Us_oth_lan_Persian_ex_Dari_P,Uses_othr_lang_Polish_M,Uses_othr_lang_Polish_F,Uses_othr_lang_Polish_P,Uses_othr_lang_Portugese_M,Uses_othr_lang_Portugese_F,Uses_othr_lang_Portugese_P,Uses_othr_lang_Russian_M,Uses_othr_lang_Russian_F,Uses_othr_lang_Russian_P,Uses_othr_lang_Samoan_M,Uses_othr_lang_Samoan_F,Uses_othr_lang_Samoan_P,Uses_othr_lang_Serbian_M,Uses_othr_lang_Serbian_F,Uses_othr_lang_Serbian_P,Us_oth_la_SE_As_Au_la_Fili_M,Us_oth_la_SE_As_Au_la_Fili_F,Us_oth_la_SE_As_Au_la_Fili_P,Us_oth_la_SE_As_Au_la_Indo_M,Us_oth_la_SE_As_Au_la_Indo_F,Us_oth_la_SE_As_Au_la_Indo_P,Us_oth_la_SE_As_Au_la_Tag_M,Us_oth_la_SE_As_Au_la_Tag_F,Us_oth_la_SE_As_Au_la_Tag_P,Us_oth_la_SE_As_Au_la_oth_M,Us_oth_la_SE_As_Au_la_oth_F,Us_oth_la_SE_As_Au_la_oth_P,Us_oth_la_SE_As_Au_la_Tot_M,Us_oth_la_SE_As_Au_la_Tot_F,Us_oth_la_SE_As_Au_la_Tot_P,Uses_othr_lang_Spanish_M,Uses_othr_lang_Spanish_F,Uses_othr_lang_Spanish_P,Uses_othr_lang_Tamil_M,Uses_othr_lang_Tamil_F,Uses_othr_lang_Tamil_P,Uses_othr_lang_Thai_M,Uses_othr_lang_Thai_F,Uses_othr_lang_Thai_P,Uses_othr_lang_Turkish_M,Uses_othr_lang_Turkish_F,Uses_othr_lang_Turkish_P,Uses_othr_lang_Vietnamese_M,Uses_othr_lang_Vietnamese_F,Uses_othr_lang_Vietnamese_P,Uses_othr_lang_Other_M,Uses_othr_lang_Other_F,Uses_othr_lang_Other_P,Uses_othr_lang_Tot_M,Uses_othr_lang_Tot_F,Uses_othr_lang_Tot_P,Lang_used_home_ns_M,Lang_used_home_ns_F,Lang_used_home_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
RA10,1842186,1857134,3699320,3353,3471,6825,112281,111188,223466,1068,1201,2273,68115,78222,146336,122990,141542,264532,6975,8180,15158,198078,227943,426024,9115,10107,19226,9848,10712,20556,7123,8273,15395,35967,40116,76087,20221,18330,38560,12971,12046,25020,39275,38729,78009,34945,28443,63387,25091,21378,46472,6221,6378,12598,25248,19919,45168,7837,7852,15691,171814,153078,324900,27473,30275,57748,6773,9743,16519,5579,6718,12297,28659,32546,61210,13755,13914,27676,9033,8979,18011,13281,12863,26141,5536,6980,12518,13904,14822,28736,8193,10914,19104,7963,8563,16525,10628,11557,22179,11952,16064,28016,14466,16899,31370,20152,27753,47910,4178,5064,9235,50745,65786,116532,31466,35495,66959,19160,18331,37493,8811,16520,25333,11630,11668,23302,53144,62434,115575,109630,111072,220700,983175,1054264,2037444,161075,156424,317501,6892,7429,14324,2993337,3075255,6068591
RA11,677828,707556,1385388,813,819,1634,1856,1573,3427,1165,1352,2517,1007,1131,2145,2322,2641,4966,118,144,256,3450,3919,7365,503,597,1096,1217,1378,2601,1776,2185,3957,1198,1097,2288,485,440,922,380,347,731,910,829,1742,2291,2100,4394,2916,2594,5508,434,416,846,694,523,1216,165,145,312,8272,7403,15675,2023,2009,4034,552,796,1352,144,187,330,452,492,941,184,183,372,1205,1232,2440,317,288,603,356,470,835,598,701,1301,330,515,845,247,100,341,289,314,604,820,1350,2168,303,440,741,1068,1857,2920,375,482,860,2565,4126,6692,1967,2167,4133,430,380,810,699,1574,2271,201,169,372,933,1141,2076,9631,10043,19679,42386,46030,88417,54838,48925,103761,1223,916,2138,776276,803425,1579705
RA12,166234,164384,330613,230,235,465,167,110,277,261,343,605,201,219,419,487,603,1088,23,18,38,705,835,1541,42,56,97,163,172,336,298,401,699,142,129,275,61,60,120,560,484,1043,143,112,253,146,144,292,756,638,1403,75,67,136,126,91,217,15,20,41,1878,1617,3496,1062,1108,2164,67,79,145,11,21,31,55,75,127,22,27,49,183,199,385,27,17,46,55,69,121,88,85,173,50,72,125,200,220,423,43,35,80,272,365,639,76,75,147,316,426,741,223,230,453,894,1095,1983,313,306,619,75,63,132,114,281,389,87,75,166,102,128,229,1735,1807,3534,8854,9358,18211,19539,17358,36897,567,347,905,195187,191441,386629
RA13,11284,10456,21742,31,17,46,16,10,21,15,30,46,17,12,28,38,48,85,0,0,0,56,59,114,9,3,13,5,9,17,19,20,42,7,8,12,3,4,3,23,30,57,7,5,11,13,5,15,32,25,62,6,3,5,17,10,21,4,0,0,99,84,181,17,11,28,3,0,5,0,4,9,12,11,21,6,5,5,18,20,36,0,0,0,0,3,0,0,0,0,0,3,7,0,3,4,13,16,33,21,27,48,12,8,18,19,28,46,35,18,54,85,82,167,36,27,61,6,0,6,11,19,26,0,0,6,10,11,26,130,132,262,598,550,1149,2498,2149,4648,44,19,62,14426,13175,27602
RA14,3092,2859,5957,4,4,6,4,0,3,14,24,40,0,0,7,4,3,13,0,0,0,3,5,9,0,0,0,0,4,3,0,9,8,0,4,4,0,0,0,0,0,0,9,4,7,15,5,20,4,0,8,0,0,0,4,0,7,0,0,0,28,13,37,3,0,3,6,6,11,0,0,0,0,0,0,0,0,0,10,12,26,0,0,0,0,0,0,6,0,6,0,0,0,3,0,5,0,0,0,0,0,0,3,4,8,0,0,6,0,0,0,8,4,11,3,6,11,0,0,0,0,0,0,0,0,0,0,4,0,43,38,83,130,107,236,634,581,1212,13,11,22,3864,3559,7425
RA15,31,4,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,3,31,4,38
RA20,1511096,1541506,3052607,2347,2452,4805,44194,44038,88232,294,387,679,37645,43204,80851,98559,115718,214284,7123,8240,15366,143330,167163,310491,8441,9653,18097,7896,8806,16701,6125,7238,13364,49139,54776,103914,7429,7141,14568,12465,10973,23438,33760,31297,65060,11108,9369,20472,53950,45659,99606,24628,23286,47912,20631,16326,36955,6061,5990,12051,170022,150048,320069,38645,45818,84467,4782,6615,11399,7829,9220,17051,7508,8813,16320,14090,14571,28666,11411,11063,22476,11372,10568,21939,5469,7321,12792,4086,4582,8670,7613,9958,17564,6055,6538,12592,8223,8923,17143,8886,12085,20969,7622,9412,17029,11156,15255,26408,4947,5756,10704,32609,42503,75112,19362,21470,40835,17097,16016,33110,4002,8737,12740,16459,17055,33513,53156,62753,115910,121949,120296,242248,823284,877068,1700345,121193,116221,237417,5416,5925,11346,2460983,2540719,5001708
RA21,518038,540107,1058137,450,494,946,1552,1362,2914,160,193,358,543,604,1150,2536,2968,5503,161,153,310,3239,3726,6967,482,516,995,673,798,1465,1067,1452,2515,1229,1231,2465,248,235,486,328,297,622,869,750,1620,637,564,1203,2377,2069,4448,709,665,1374,542,455,994,148,133,283,5869,5157,11025,2931,3041,5971,362,469,830,139,186,332,176,222,397,345,296,638,1186,1233,2421,198,167,367,311,408,717,200,260,457,187,293,485,261,186,442,295,303,595,834,1256,2086,279,381,660,785,1279,2070,542,687,1228,2435,3605,6041,922,976,1894,404,388,789,434,984,1424,446,407,850,778,973,1748,7768,7964,15733,34371,37141,71513,39174,36228,75401,623,520,1142,592201,613996,1206195
RA22,110483,112073,222561,129,145,274,133,104,236,50,68,116,184,165,349,940,918,1860,43,44,87,1170,1128,2299,57,82,137,119,161,280,205,275,474,305,309,614,40,28,70,54,44,99,116,95,207,141,131,275,471,403,875,88,75,160,65,56,117,13,10,27,988,844,1832,798,842,1638,45,86,129,71,84,156,28,58,87,17,14,33,217,217,432,42,30,71,50,54,101,37,39,72,34,50,81,85,47,131,24,29,55,206,316,520,81,96,180,217,327,551,520,494,1017,1029,1225,2263,176,176,358,98,89,187,179,322,498,241,228,474,502,521,1027,1918,1696,3618,8707,8881,17594,10544,10019,20558,240,186,428,129978,131167,261142
RA23,1541,1395,2934,0,0,6,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,4,5,3,3,8,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,5,9,8,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,10,11,0,0,0,0,0,0,0,0,5,0,0,0,4,5,6,7,10,14,46,51,96,142,128,270,0,0,7,1731,1578,3304
