RA_CODE_2021,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
RA10,442759,300305,150878,60879,3224010
RA11,142475,119201,58271,19374,795334
RA12,35258,27298,12243,3921,182511
RA13,2342,1518,675,181,12770
RA14,629,457,158,24,3380
RA15,12,0,0,0,15
RA20,334646,219428,109358,42321,2640316
RA21,102261,81888,38836,13256,595083
RA22,22845,18368,8353,2834,122930
RA23,348,241,107,46,1424
RA25,147,17,0,0,530
RA30,238405,165336,81751,28365,1743077
RA31,81684,64195,30069,8586,467786
RA32,60179,43292,17805,4435,355989
RA33,7840,5203,1579,296,43499
RA34,6118,4565,1219,213,32645
RA35,27,12,0,0,308
RA40,96758,72838,35966,13361,670777
RA41,15573,13661,6304,1853,82066
RA42,15491,12187,5759,1789,86178
RA43,3949,2775,1186,364,22413
RA44,1710,1244,379,99,8718
RA45,5,0,0,0,28
RA50,146590,101785,49966,18494,1053943
RA51,18670,14004,6285,1869,107788
RA52,15255,11273,5019,1641,86981
RA53,8530,5354,1817,346,54061
RA54,11421,6559,1455,146,68151
RA55,465,123,24,0,2853
RA61,25905,19862,10168,3487,177082
RA62,18008,14185,6428,1762,92478
RA63,1015,765,278,84,4752
RA64,217,239,110,28,1261
RA65,70,27,4,0,303
RA72,11998,7723,2365,417,84411
RA73,5192,3564,774,119,28805
RA74,3451,2188,364,18,19604
RA75,96,35,6,0,406
RA80,33455,23921,11818,3940,263052
RA81,66,40,5,0,396
RA85,0,0,0,0,0
RA91,28,26,13,0,281
RA94,547,383,155,32,2872
RA95,0,0,0,0,0
