POA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
POA2000,251,490,1316,786,439,313,135,58,15,3795,1702,4232,11451,6069,2884,2208,1386,620,166,30712
POA2007,44,134,180,123,44,37,25,13,12,610,470,1488,2610,1285,611,388,290,115,54,7317
POA2008,23,273,329,124,60,47,33,11,4,904,403,3048,3802,1354,675,487,289,93,25,10189
POA2009,122,74,289,237,134,112,91,27,13,1099,1280,975,3158,2659,1459,1317,1029,435,99,12420
POA2010,109,236,736,494,439,343,206,169,89,2824,1393,2284,8301,5215,3470,2726,1712,950,383,26434
POA2011,81,860,1274,617,435,239,146,96,72,3818,749,2148,6177,3873,2688,2158,1627,850,418,20690
POA2015,76,70,222,159,87,54,35,19,3,714,1283,942,3554,2419,1425,872,488,175,45,11209
POA2016,77,107,301,219,181,137,98,54,27,1205,1050,1278,3528,2249,1621,1357,943,561,207,12801
POA2017,281,345,835,433,248,228,141,90,32,2628,2421,4029,11122,5269,2283,1798,1309,627,223,29091
POA2018,181,174,341,225,134,125,98,55,23,1364,2637,2411,4872,3238,2223,1714,1351,946,318,19712
POA2019,161,99,195,201,134,91,59,34,9,984,2511,1421,2259,2291,1901,1366,915,490,160,13322
POA2020,179,352,677,286,192,177,91,42,13,2011,2563,3694,7633,3404,1962,1494,937,530,185,22404
POA2021,83,105,191,150,108,73,70,56,71,899,1880,1363,3153,2304,1991,1504,1130,759,250,14335
POA2022,88,110,292,171,105,85,92,70,28,1043,1928,1207,3155,2208,1608,1209,1023,680,295,13307
POA2023,86,87,112,76,74,67,49,33,7,587,1753,1164,1545,1428,1376,1230,1047,555,174,10272
POA2024,132,75,158,105,99,83,51,41,37,775,1983,1019,1852,1730,1587,1165,791,535,406,11062
POA2025,76,38,64,53,52,43,50,54,80,514,1059,614,1123,934,855,735,769,595,280,6954
POA2026,321,220,786,464,291,185,118,99,62,2555,4567,2588,9454,5814,3830,2451,1735,1042,429,31902
POA2027,62,45,105,95,79,68,67,53,19,600,821,560,1209,1025,867,922,975,792,330,7521
POA2028,38,24,65,44,20,27,25,32,15,283,565,392,964,662,484,475,520,364,138,4562
POA2029,84,77,83,105,80,74,58,62,59,676,1591,977,1373,1429,1303,1042,931,703,350,9704
POA2030,165,108,102,113,143,87,64,53,21,852,2694,1905,1256,1688,2254,1782,1362,794,412,14156
POA2031,400,303,449,358,269,216,201,207,345,2740,5308,3419,7179,5517,4353,3205,2400,1559,934,33875
POA2032,87,182,226,123,96,93,68,37,21,934,1955,2392,2844,1898,1690,1411,1114,781,389,14475
POA2033,79,242,188,97,89,53,47,21,6,814,1427,2396,2450,1659,1208,997,714,527,281,11655
POA2034,217,128,351,255,192,118,108,51,26,1442,3000,1861,4548,3264,2606,2006,1435,803,304,19837
POA2035,321,208,332,315,326,234,183,142,66,2122,5586,3741,5097,5138,4627,3890,3014,2144,997,34238
POA2036,467,332,609,606,527,430,298,158,46,3481,5706,3850,4876,4920,4582,3925,3055,1841,703,33448
POA2037,118,187,280,189,156,164,108,48,13,1259,1738,2078,3730,2682,1956,1821,1441,660,168,16282
POA2038,102,73,120,116,109,77,64,12,3,680,1497,919,1607,1553,1424,1039,799,334,128,9299
POA2039,85,39,57,83,74,56,47,15,6,455,1451,658,1270,1585,1321,925,785,333,57,8387
POA2040,197,143,203,243,210,138,105,99,88,1426,4311,2120,3244,4015,3572,2359,1667,845,424,22559
POA2041,158,87,99,160,151,157,97,63,48,1026,2589,1241,1762,2423,2518,2055,1651,831,233,15293
POA2042,101,176,315,203,174,125,71,27,16,1201,1801,2238,5124,3202,2481,1777,1003,388,137,18162
POA2043,36,33,167,121,60,44,19,13,0,494,1032,669,3041,2189,1209,780,347,139,35,9436
POA2044,66,43,104,102,55,46,35,19,11,483,1237,716,1819,1641,1074,747,563,255,103,8165
POA2045,40,40,26,36,48,48,27,21,14,290,1055,837,511,654,1038,926,697,438,278,6427
POA2046,256,127,210,256,200,187,193,135,167,1725,4699,2456,3136,4116,4059,3378,2719,1673,864,27094
POA2047,117,61,110,101,104,84,67,74,91,815,1851,1066,1682,1762,1691,1480,1163,748,398,11833
POA2048,31,52,86,79,77,46,43,40,18,456,982,880,1603,1209,1148,739,468,312,127,7476
POA2049,103,118,256,160,113,109,69,41,47,1023,1555,1384,2882,2062,1628,1174,812,433,192,12118
POA2050,76,105,238,181,155,142,139,113,111,1266,756,1699,2628,1723,1170,835,553,287,157,9810
POA2060,95,85,246,205,129,115,79,71,31,1047,1530,1270,3554,2668,1754,1573,1308,864,263,14797
POA2061,32,30,122,70,75,85,75,46,25,554,384,376,1345,933,706,831,719,499,145,5941
POA2062,46,26,34,46,55,30,37,25,6,306,1281,507,1012,1217,1054,739,633,352,80,6884
POA2063,62,41,32,36,62,31,26,25,14,326,1304,797,364,750,1021,829,653,409,273,6399
POA2064,82,40,95,106,70,29,39,12,11,479,1838,864,1447,1896,1218,846,678,336,151,9275
POA2065,250,184,411,416,256,269,279,226,195,2489,4617,2642,6925,6322,4101,3175,2666,1463,602,32516
POA2066,269,147,242,297,179,161,95,70,94,1554,6379,3308,4997,5922,4486,3356,2585,1531,692,33263
POA2067,212,133,239,235,182,139,116,67,37,1361,4577,2969,4356,4877,3535,2611,2246,1225,668,27062
POA2068,164,92,55,101,129,93,54,50,61,802,3596,2023,1277,2440,2826,2120,1513,880,449,17114
POA2069,123,79,46,67,83,79,63,51,54,639,2892,1907,1189,1924,2197,1741,1380,831,379,14436
POA2070,119,84,54,71,87,65,45,36,19,575,2949,1813,1199,2052,2153,1694,1331,854,408,14465
POA2071,98,93,39,51,79,65,48,36,73,586,2444,1916,1123,1672,2069,1693,1244,814,428,13410
POA2072,73,69,60,60,62,50,35,12,6,430,1496,1202,1062,1290,1314,1028,753,420,181,8749
POA2073,140,93,56,80,114,100,71,37,15,710,3476,2311,1303,2331,2638,2211,1561,837,352,17027
POA2074,148,107,69,90,137,120,64,81,82,900,4287,2878,1530,2912,3428,2825,2212,1912,1168,23152
POA2075,141,68,36,83,126,103,83,54,22,712,4543,2417,1280,2974,3212,2589,2137,1669,732,21543
POA2076,201,141,73,135,164,142,99,131,151,1244,4810,3207,1728,3298,3827,3041,2372,1899,1238,25412
POA2077,425,234,295,394,276,208,211,161,157,2359,8242,4328,6074,8116,5570,4338,3474,1822,806,42761
POA2079,57,38,34,39,71,48,28,9,0,326,1550,937,831,1151,1188,1075,618,330,95,7771
POA2080,20,10,8,7,16,19,0,6,0,87,371,203,133,236,282,240,161,93,23,1737
POA2081,43,35,8,32,25,27,22,12,0,209,1120,722,395,686,876,758,446,284,53,5338
POA2082,53,37,16,23,44,31,11,11,4,223,1148,659,330,759,923,637,572,290,71,5399
POA2083,13,16,14,12,25,16,25,5,4,139,210,149,139,180,254,339,236,128,18,1656
POA2084,25,34,12,18,33,37,22,5,4,201,667,468,246,379,606,530,417,298,141,3742
POA2085,76,65,30,41,82,52,55,40,23,463,2133,1429,579,1258,1869,1260,1204,1133,486,11359
POA2086,135,107,69,95,150,105,86,104,66,913,3124,1864,1066,1914,2395,1606,1165,932,314,14380
POA2087,119,83,46,73,90,74,50,46,73,650,2785,1746,704,1581,2209,1576,1027,979,457,13062
POA2088,219,176,143,187,219,177,138,127,42,1425,4496,2896,2922,3602,4109,3568,2961,2147,912,27598
POA2089,68,44,106,109,73,64,55,61,57,633,1450,941,2419,1999,1373,1176,967,594,236,11152
POA2090,88,69,96,114,91,74,63,39,28,669,1947,1089,2200,2180,1815,1547,1445,814,260,13297
POA2092,92,47,28,43,65,54,30,16,3,382,1688,940,427,893,1303,892,576,380,155,7258
POA2093,225,123,121,142,193,158,83,41,41,1126,4952,2565,2301,3313,3855,2714,1836,1109,526,23170
POA2094,72,36,51,75,54,49,20,18,3,368,1023,544,926,962,828,763,501,307,98,5963
POA2095,122,101,213,176,147,112,73,47,17,1004,2143,1316,3508,2782,1988,1798,1257,835,362,15994
POA2096,133,68,127,126,152,99,52,20,12,786,2581,1485,2684,2342,2199,1587,1023,546,190,14641
POA2097,195,123,78,112,180,120,71,43,16,940,2967,2067,1599,2054,2507,1944,1370,889,386,15783
POA2099,416,266,369,384,341,291,192,135,86,2485,7431,4785,6446,6627,6076,4766,3223,2166,918,42440
POA2100,208,142,112,149,196,117,85,76,55,1150,4368,2678,2153,3007,3476,2564,1755,1133,585,21715
POA2101,227,141,134,161,168,172,118,78,75,1274,3467,2060,2085,2554,2728,2430,1953,1450,964,19691
POA2102,134,54,33,75,73,50,38,47,68,564,1815,947,647,1187,1295,886,670,529,300,8280
POA2103,124,83,77,91,99,89,89,86,71,813,1781,1208,950,1177,1509,1448,1354,924,437,10788
POA2104,22,29,11,17,38,41,33,39,24,246,450,354,179,240,455,540,610,622,298,3746
POA2105,28,9,11,23,20,29,21,14,0,152,271,226,97,168,339,388,298,148,33,1972
POA2106,80,65,63,58,95,108,48,35,6,560,1558,1183,952,988,1445,1572,1120,587,162,9561
POA2107,170,113,70,98,124,130,89,46,15,851,2837,1784,927,1607,2254,2359,1972,1072,401,15208
POA2108,11,13,4,14,20,25,19,18,8,132,221,161,126,147,224,360,353,242,40,1866
POA2110,83,76,48,63,92,67,71,116,245,871,1681,1235,608,1027,1451,1210,1064,725,592,9592
POA2111,118,65,105,118,107,87,74,57,115,855,2584,1586,2236,2295,2192,1778,1372,847,420,15306
POA2112,360,212,366,329,237,250,194,126,169,2250,6534,3922,6744,6417,4490,4148,2992,1655,892,37799
POA2113,233,261,458,289,227,210,122,60,53,1910,4112,3846,6285,4642,2933,2575,1797,1058,640,27891
POA2114,162,127,240,211,126,134,114,86,66,1260,4004,2586,4844,4360,2960,2799,2132,1065,450,25201
POA2115,169,102,132,127,110,90,66,34,23,854,2472,1377,1913,2034,1575,1457,1037,487,226,12575
POA2116,82,50,90,83,65,63,42,21,7,490,1387,870,1039,1062,1007,920,542,297,111,7241
POA2117,278,170,175,197,173,177,106,51,33,1363,4137,2623,2664,3250,3077,2902,1905,1000,454,22006
POA2118,242,131,149,208,153,141,89,73,22,1207,5817,3009,3167,4746,3376,3169,2442,1440,556,27730
POA2119,89,53,40,71,76,69,43,35,21,497,2344,1583,861,1564,1833,1592,1302,874,337,12294
POA2120,147,129,89,101,124,82,63,42,16,799,4020,2640,1740,2882,3271,2622,1970,1234,426,20804
POA2121,246,163,234,233,156,141,90,50,35,1354,6478,4009,5205,5639,4158,3725,2817,1369,637,34031
POA2122,234,189,265,220,205,186,118,92,49,1562,4884,3418,4925,4813,3664,3695,3036,1651,860,30947
POA2125,121,65,75,80,90,78,68,36,7,636,3009,2088,1348,2110,2183,2425,2135,880,286,16471
POA2126,119,91,48,73,99,73,66,57,95,718,3506,2601,1360,2550,2808,2618,2049,1009,504,18999
POA2127,213,131,426,266,125,101,64,20,0,1353,3658,2021,7207,4899,2309,1633,1062,322,61,23164
POA2128,28,183,524,456,227,82,31,14,0,1547,473,403,937,885,480,267,146,53,16,3666
POA2130,33,43,100,68,42,56,31,6,0,379,983,699,1610,1240,982,752,505,234,131,7125
POA2131,152,156,301,195,143,165,101,57,30,1309,2691,2693,5216,3531,2565,2358,1820,1236,815,22925
POA2132,68,59,54,66,65,83,68,90,120,666,1688,1242,1403,1394,1461,1337,1000,702,448,10670
POA2133,118,93,76,83,111,80,39,34,10,645,1899,1283,1289,1438,1624,1380,1082,582,243,10816
POA2134,95,224,392,165,120,97,81,72,80,1322,1719,3348,5123,2330,1747,1667,1172,661,415,18183
POA2135,213,354,412,174,155,149,99,73,46,1677,2942,5103,5854,2899,2560,2705,1907,1255,702,25927
POA2136,97,45,90,81,63,51,33,53,35,548,1295,930,1125,1113,1032,980,658,446,196,7777
POA2137,264,178,206,196,235,164,133,69,23,1469,4456,2980,3675,3843,3829,3468,2779,1688,716,27442
POA2138,198,169,346,217,168,176,218,173,139,1811,2911,2153,5360,3582,2026,1783,1412,730,307,20264
POA2140,189,233,480,256,89,97,45,20,4,1417,3101,2698,6850,3705,1596,1369,783,339,122,20575
POA2141,303,265,575,334,283,240,125,83,55,2261,4591,4153,7621,4660,3671,3746,2340,1064,443,32296
POA2142,625,431,658,484,310,277,154,70,19,3028,5115,4083,6537,4296,2805,2394,1671,757,249,27914
POA2143,150,116,113,104,74,77,38,17,7,699,1868,1331,1610,1267,1122,1213,795,339,145,9694
POA2144,690,619,836,565,421,386,270,149,114,4040,6876,6464,8991,5322,3985,3650,2282,1205,531,39302
POA2145,1836,844,1356,1297,849,709,583,515,422,8404,18783,9572,14845,16143,9673,7910,6293,3858,1594,88674
POA2146,266,169,218,212,172,127,60,53,18,1289,3926,2227,3073,3320,2341,1903,1439,851,256,19345
POA2147,565,364,446,396,328,300,211,115,55,2779,7098,4498,5105,5592,4706,4240,3528,1755,641,37155
POA2148,1118,751,1025,821,626,543,348,285,157,5682,13039,8638,11746,10579,7528,6765,5116,2849,1290,67544
POA2150,398,355,810,544,207,174,108,63,44,2701,5608,3988,11058,7350,2581,2115,1442,663,276,35084
POA2151,242,148,220,262,186,164,110,88,70,1494,3820,2233,2918,3668,2811,2360,1791,1081,438,21118
POA2152,127,57,82,87,71,55,64,67,55,661,2154,1123,1460,1830,1505,1099,932,749,339,11189
POA2153,547,336,316,419,380,345,265,182,178,2961,12898,7115,6238,10380,8472,6794,5914,3601,1330,62744
POA2154,314,244,160,244,281,210,180,192,218,2034,7655,5065,3417,5819,5807,4886,4166,2517,1358,40696
POA2155,714,499,421,551,513,290,173,126,87,3376,17843,10477,8510,13742,11235,6754,4308,2062,559,75479
POA2156,132,116,47,64,132,91,60,52,25,722,2289,1936,900,1308,1957,1772,1532,1127,438,13267
POA2157,45,23,20,27,30,25,21,7,8,207,810,555,340,481,612,534,425,222,62,4044
POA2158,77,80,51,44,84,80,43,45,14,525,1573,1195,737,889,1369,1223,932,703,324,8941
POA2159,77,47,22,59,61,43,36,15,11,377,882,647,436,514,737,732,578,414,183,5130
POA2160,985,587,860,718,504,395,232,110,48,4440,8066,5214,7106,5772,4397,3986,2634,1448,627,39244
POA2161,1092,570,661,604,415,332,190,108,74,4047,7950,4912,5892,4507,3608,3365,2243,1215,549,34237
POA2162,605,328,295,314,269,216,147,82,112,2370,4476,3005,2687,2503,2421,2362,1554,756,470,20233
POA2163,284,218,327,302,219,150,82,42,17,1637,2044,1491,1550,1367,1314,1210,914,375,227,10495
POA2164,337,176,201,208,173,184,145,98,59,1579,4212,2714,2795,2553,2624,2581,2103,1174,484,21235
POA2165,879,553,546,548,540,471,329,161,61,4093,8394,6166,5708,5712,5926,5764,4081,2224,797,44767
POA2166,931,646,649,635,691,638,362,239,215,5013,8921,7870,7230,6489,7582,7468,4733,2227,1202,53721
POA2167,131,79,90,95,78,65,37,20,15,610,2200,1202,1521,1759,1258,1054,708,416,319,10437
POA2168,1178,638,563,595,501,515,264,119,40,4414,9821,6874,5703,5598,5583,5909,3379,1595,469,44930
POA2170,2419,1425,1766,1646,1265,1107,805,649,462,11537,24116,15149,17020,16394,14188,12391,8560,4862,1953,114636
POA2171,649,394,288,370,359,212,109,40,10,2436,9271,5987,4716,5941,5517,4024,2209,821,263,38759
POA2172,23,23,16,14,26,22,9,3,0,136,572,400,318,383,477,403,210,84,17,2862
POA2173,179,214,164,139,105,86,18,17,0,930,3258,2233,2237,2286,2061,1554,716,315,89,14755
POA2174,222,112,134,158,101,48,18,12,5,798,3271,1575,2199,2435,1345,729,379,108,38,12079
POA2175,38,31,21,30,29,29,17,10,0,206,310,245,178,183,256,262,191,149,48,1808
POA2176,643,471,396,424,465,447,382,202,132,3562,8527,6852,6002,5642,6256,7077,5766,2704,1068,49892
POA2177,289,201,160,164,144,167,94,30,10,1272,3141,2493,2296,2031,2204,2392,1692,630,264,17144
POA2178,43,47,41,51,59,43,35,16,11,338,680,634,419,432,626,552,477,230,105,4142
POA2179,274,108,167,182,112,82,77,98,126,1222,4141,1623,3330,2773,1452,1145,951,565,229,16211
POA2190,739,444,332,363,338,272,170,80,30,2767,6501,4103,3387,3467,3210,2957,2110,1187,502,27422
POA2191,84,59,51,53,63,59,34,15,8,430,1232,800,746,842,926,811,586,395,151,6494
POA2192,228,166,215,220,176,172,130,94,77,1470,2207,1678,2199,1889,1805,1610,1166,769,333,13645
POA2193,160,134,239,189,135,111,80,43,14,1104,2665,1985,3289,2738,2263,2043,1410,870,330,17595
POA2194,352,302,557,431,330,275,163,101,79,2586,3368,3218,5467,4107,3368,3014,1902,1000,528,25979
POA2195,653,319,581,443,264,218,118,62,23,2688,6548,2990,5417,4373,2604,2227,1490,846,390,26887
POA2196,655,485,468,402,370,307,191,123,59,3056,7043,4776,4947,4401,4122,3693,2525,1507,611,33620
POA2197,302,154,138,150,145,120,98,42,24,1175,2432,1379,1303,1251,1162,1102,795,472,221,10117
POA2198,273,140,123,139,120,70,76,78,114,1137,2297,1260,1118,1252,1179,886,803,671,329,9796
POA2199,511,280,313,255,231,183,127,62,23,1979,4312,2724,2804,2454,2253,2214,1615,781,388,19554
POA2200,1096,640,812,718,527,458,341,248,230,5060,10109,6408,8047,6640,5446,5106,3471,1897,908,48036
POA2203,103,123,203,155,137,111,61,31,21,939,1965,1366,2680,2393,2036,1566,950,608,230,13787
POA2204,236,182,368,271,234,195,115,101,25,1726,3479,2536,5698,4359,3572,2700,1918,1269,555,26080
POA2205,266,291,704,315,224,173,89,83,67,2218,3182,3298,8488,4251,2211,1738,1173,665,270,25276
POA2206,171,137,145,137,192,164,121,141,150,1357,3283,2259,1944,2436,3094,2473,1875,1522,740,19615
POA2207,374,239,219,271,207,181,176,155,140,1962,5030,3307,3450,3894,3667,3353,2715,1786,1031,28218
POA2208,123,92,98,100,107,78,50,42,16,708,2290,1498,1410,1738,1800,1541,1281,836,387,12778
POA2209,149,104,143,138,131,111,91,47,31,941,2618,1805,2186,2223,1987,2031,1601,882,424,15753
POA2210,409,300,310,298,297,290,198,166,69,2337,5579,3960,4109,4198,4221,4246,3306,2261,1108,32986
POA2211,201,135,155,135,139,136,82,67,59,1107,2977,2154,2206,2301,2272,2389,1593,1004,585,17481
POA2212,207,150,174,143,156,117,116,120,164,1348,3249,2126,2325,2374,2152,2061,1480,796,524,17086
POA2213,261,168,172,192,184,150,90,63,34,1306,4551,2862,2686,3249,3185,2908,2036,1086,474,23046
POA2214,46,23,18,22,30,16,19,11,0,179,849,510,455,509,547,412,438,270,49,4045
POA2216,337,269,414,361,293,219,182,126,91,2283,4013,3238,5444,4471,3344,2928,2370,1495,636,27939
POA2217,298,199,412,312,300,262,243,291,308,2628,4418,3173,5195,4415,3596,3127,2351,1786,1032,29101
POA2218,146,148,188,153,129,129,80,41,14,1034,2412,1968,2878,2400,1967,1972,1467,752,284,16094
POA2219,161,113,132,139,152,132,104,68,30,1022,2233,1356,1500,1740,2008,1836,1507,1074,442,13681
POA2220,262,311,456,235,196,190,155,119,156,2082,4539,5153,7630,4429,3487,3718,2682,1425,672,33737
POA2221,161,137,90,106,151,122,88,80,74,1008,2963,2232,1718,2049,2417,2289,1676,1043,578,16964
POA2222,120,108,175,121,101,79,67,39,61,868,1912,1575,2101,1749,1574,1593,1161,590,285,12535
POA2223,203,139,147,153,142,137,111,48,54,1123,3761,2463,2504,3078,2849,2697,2105,1104,563,21126
POA2224,176,86,66,129,114,94,73,66,42,846,2506,1645,1289,1716,2072,1781,1525,1322,639,14487
POA2225,53,21,21,31,38,23,15,9,6,218,1231,710,378,757,930,614,519,254,80,5472
POA2226,139,70,80,113,107,78,64,34,23,703,2706,1432,1319,1880,1946,1523,1196,627,293,12927
POA2227,140,101,91,102,130,77,58,37,13,754,2987,1823,1570,2068,2263,1842,1326,887,367,15132
POA2228,232,161,167,193,158,116,103,89,42,1267,3687,2250,2736,2959,2707,2261,1854,1477,917,20844
POA2229,441,219,252,275,324,248,181,168,214,2324,5847,3499,3592,4011,4195,3712,3072,1952,1107,30991
POA2230,289,215,283,232,269,288,195,100,120,1997,4403,3342,4476,3692,4065,4349,3490,1685,788,30284
POA2231,43,28,8,31,37,23,15,10,4,202,594,308,234,361,367,289,207,120,33,2521
POA2232,361,238,249,263,246,217,138,120,55,1889,6329,3928,4784,5084,4734,3835,3000,2227,1001,34921
POA2233,293,200,118,180,208,131,136,111,88,1471,6188,3637,2713,4146,4174,3281,2893,1885,710,29630
POA2234,276,191,120,166,196,196,115,45,21,1327,5705,4103,3063,3619,4149,4628,3389,1296,475,30424
POA2250,907,604,636,576,628,632,469,345,293,5085,12577,8214,8782,9051,9074,8912,7274,4737,2468,71089
POA2251,425,231,160,225,264,247,197,177,130,2045,6162,3648,2701,3832,4503,4611,4307,2771,1132,33674
POA2256,223,152,150,120,167,165,149,116,51,1298,2398,1516,1664,1806,2064,2329,2186,1578,674,16224
POA2257,486,255,242,275,300,301,306,184,71,2420,5093,2829,2656,3656,3855,4227,4346,2714,994,30373
POA2258,74,73,33,42,52,46,25,10,8,354,954,695,579,663,734,783,513,240,71,5231
POA2259,1151,724,571,599,628,510,511,447,311,5452,12685,8277,7419,7819,8500,7838,7092,4771,1699,66088
POA2260,342,206,183,248,218,224,175,96,39,1730,4935,3046,2435,3225,3657,3313,3014,1645,455,25716
POA2261,917,551,519,571,532,506,449,345,270,4666,9915,5875,6385,6624,6635,7099,6630,3904,1834,54913
POA2262,389,245,222,218,227,183,144,104,42,1773,4155,2523,2813,2309,2603,2628,2203,1469,440,21145
POA2263,462,280,286,265,262,247,182,155,62,2211,4093,2631,2946,2628,2819,3198,3125,2038,885,24364
POA2264,255,141,125,118,109,123,109,93,41,1118,2630,1768,1706,1628,1815,2137,2066,1599,611,15959
POA2265,107,59,51,48,40,45,27,35,25,440,1456,795,968,813,809,824,787,560,337,7350
POA2267,42,29,13,26,26,31,34,17,8,231,407,236,220,298,320,464,533,298,76,2850
POA2278,26,19,22,18,19,15,4,0,0,125,490,324,326,340,323,366,279,61,15,2529
POA2280,379,205,177,173,236,188,160,124,66,1717,4736,3074,2653,3080,3546,3586,3374,2075,814,26924
POA2281,169,125,79,105,108,157,125,81,41,986,2497,1507,1166,1648,2001,2329,2222,1340,478,15189
POA2282,162,114,67,91,122,119,104,50,33,866,2792,1842,1260,1949,2203,2109,2017,1354,451,15956
POA2283,376,215,180,190,227,198,186,132,88,1793,3899,2655,2426,2431,3020,3387,3459,2039,750,24074
POA2284,193,106,84,128,115,107,82,114,107,1041,2189,1367,1576,1501,1536,1654,1327,848,411,12401
POA2285,511,270,301,267,267,187,119,94,43,2054,6962,4071,4927,4913,4094,3413,2862,1665,653,33554
POA2286,78,44,34,39,30,39,23,19,3,306,922,566,710,551,554,540,487,244,55,4623
POA2287,523,401,372,327,290,257,154,95,58,2476,7757,5603,5943,5505,4879,4175,3477,2080,996,40409
POA2289,211,150,133,128,131,126,87,46,31,1037,3960,2574,2562,2869,2655,2135,1550,1178,503,19982
POA2290,468,258,297,311,269,243,203,140,101,2278,6560,3857,4498,4489,4345,4099,3323,2272,1167,34613
POA2291,135,128,112,103,123,104,54,37,21,823,2405,1951,1833,1733,1958,1816,1333,696,340,14062
POA2292,29,36,59,32,33,15,12,3,0,223,408,385,498,371,340,282,190,88,38,2596
POA2293,20,29,37,28,17,20,9,0,0,157,393,441,741,435,371,417,282,113,36,3230
POA2294,22,20,19,23,14,21,13,6,0,152,305,211,412,285,234,260,163,77,31,1987
POA2295,104,78,60,63,64,94,92,45,17,616,1408,742,822,996,878,1034,1239,670,225,8018
POA2296,17,24,21,26,19,10,11,0,0,122,258,279,450,302,288,206,125,54,12,1978
POA2297,17,14,10,22,25,13,4,3,0,111,293,234,327,269,250,215,113,52,21,1785
POA2298,79,146,137,111,93,102,127,139,197,1133,1375,1465,1884,1256,1144,1064,835,681,596,10304
POA2299,183,179,204,123,120,90,59,67,71,1091,2015,1944,2041,1505,1342,1224,867,554,300,11792
POA2300,82,148,176,135,139,126,89,40,13,945,1139,1679,2462,1488,1517,1528,1205,575,153,11756
POA2302,5,21,37,19,22,15,7,8,5,144,86,175,379,175,144,192,164,128,72,1515
POA2303,123,153,138,110,155,102,70,29,28,903,1370,1336,1310,1182,1293,1252,1049,535,279,9607
POA2304,195,172,230,154,141,117,85,71,95,1260,2458,1755,3016,2218,1789,1787,1394,767,530,15720
POA2305,270,143,134,150,137,191,176,183,97,1488,2593,1640,1412,1773,1909,1712,1372,823,380,13612
POA2306,171,73,83,67,65,48,41,18,5,578,754,412,455,382,420,435,354,184,46,3438
POA2307,61,59,69,52,24,34,22,28,12,359,703,713,934,491,361,397,446,369,128,4545
POA2308,0,393,13,3,0,0,0,0,0,409,0,1122,33,4,0,0,0,0,0,1165
POA2311,19,10,5,10,5,3,10,0,0,60,179,74,88,104,95,168,124,65,22,919
POA2312,22,12,0,14,19,6,12,7,0,93,264,150,114,157,198,263,214,109,21,1493
POA2315,139,130,89,94,118,142,164,142,148,1166,2062,1380,1125,1385,1814,2382,2666,1758,652,15210
POA2316,93,54,41,36,75,74,80,56,8,517,988,654,478,565,841,1043,1138,685,125,6509
POA2317,55,33,30,39,43,61,64,72,19,420,840,538,470,518,728,992,1123,924,318,6458
POA2318,194,108,88,87,114,81,105,60,10,844,2848,1561,1381,1652,1775,1680,1521,823,155,13403
POA2319,101,66,57,50,63,64,58,32,10,508,1099,661,627,638,802,1101,1113,604,163,6812
POA2320,746,363,368,419,328,305,197,151,70,2946,8432,4733,5187,5177,4850,4365,3647,1957,725,39081
POA2321,350,148,189,192,148,97,80,58,4,1265,4581,2229,3115,2691,2250,2021,1749,863,219,19703
POA2322,407,232,252,186,169,158,76,55,21,1566,5284,2998,3890,3198,2871,2644,1968,1022,244,24122
POA2323,421,240,262,220,211,217,124,74,73,1840,4808,3262,3343,3193,3351,3214,2697,1460,543,25871
POA2324,554,230,246,250,272,265,240,194,112,2364,4337,2729,2615,2573,2969,3634,3674,2162,660,25344
POA2325,596,504,764,676,551,392,265,155,93,3996,5826,3636,4134,3826,3918,3876,3382,1728,730,31053
POA2326,170,92,78,70,85,58,49,22,8,637,1666,939,988,949,944,1005,818,376,97,7780
POA2327,167,86,113,73,89,69,49,39,12,701,1444,971,1158,796,995,914,878,450,209,7829
POA2328,60,27,30,34,33,32,34,20,10,275,450,308,288,319,339,338,292,160,64,2555
POA2329,45,23,32,36,28,41,33,15,4,257,415,206,218,230,256,293,299,152,70,2150
POA2330,410,260,276,236,273,220,121,68,21,1884,4594,2566,3023,2728,2928,2640,1862,931,346,21610
POA2331,6,146,35,5,8,4,5,0,0,208,3,516,108,16,16,14,8,0,0,686
POA2333,320,203,269,234,211,155,85,43,24,1555,2985,1661,2041,1865,1792,1659,1167,584,201,13954
POA2334,53,34,31,24,27,19,10,10,0,212,767,417,527,477,407,308,254,126,20,3298
POA2335,160,68,70,81,54,56,26,18,0,542,1948,970,1183,1165,1011,873,653,242,59,8105
POA2336,46,18,27,29,38,50,17,9,4,236,482,301,311,285,339,392,276,144,49,2577
POA2337,123,75,89,77,80,78,59,39,27,645,1556,914,1059,1061,1017,1030,832,503,220,8189
POA2338,25,12,13,8,17,31,29,15,5,156,185,116,121,142,185,247,251,135,54,1425
POA2339,15,19,15,16,17,23,17,4,0,125,117,89,71,96,91,121,108,38,3,741
POA2340,1264,780,725,659,616,513,425,394,235,5610,10938,6500,7080,6309,6158,6010,5180,3333,1330,52833
POA2341,33,17,14,16,27,17,21,6,5,150,240,142,131,142,160,217,235,145,48,1472
POA2342,3,3,3,6,11,8,6,7,0,41,92,58,40,56,69,74,52,29,6,466
