POA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
POA3099,65,35,20,42,36,46,31,15,0,288,928,606,441,577,728,765,573,240,42,4894
POA3101,196,194,156,147,193,180,96,87,54,1312,3653,3401,3162,2823,3399,3092,2409,1463,792,24196
POA3102,50,32,34,31,46,41,23,23,0,286,1180,899,657,829,962,886,598,371,159,6540
POA3103,104,98,66,82,104,86,68,46,44,704,2474,2149,1530,1903,2139,1921,1602,1105,609,15434
POA3104,149,152,87,80,169,117,81,48,29,910,3779,3308,1830,2286,3349,2876,1880,1198,613,21115
POA3105,72,55,63,58,68,79,49,49,31,520,1611,1274,1225,1325,1525,1424,1094,1061,497,11037
POA3106,139,99,91,101,105,119,105,93,88,935,2632,1934,1581,2010,2101,2414,2055,1407,696,16829
POA3107,106,77,64,84,99,74,57,74,41,672,2357,1515,1365,1802,2041,1623,1376,1396,610,14077
POA3108,179,135,179,167,190,133,118,99,53,1266,3503,2846,3875,3468,2927,2851,2410,2027,971,24881
POA3109,199,172,134,191,170,152,132,118,53,1320,5596,3320,3350,4588,3852,3672,3079,2343,988,30794
POA3111,125,79,53,80,87,81,53,57,43,659,2082,1535,1056,1529,1814,1627,1298,1013,568,12533
POA3113,96,85,30,47,91,54,41,15,6,456,1563,1275,567,913,1527,1257,853,400,77,8437
POA3114,43,34,13,17,46,16,11,14,9,195,665,656,208,333,697,561,364,198,61,3746
POA3115,40,35,22,12,26,36,24,13,0,204,624,596,282,360,613,634,414,179,39,3731
POA3116,175,96,80,82,104,68,46,42,3,696,2299,1414,1514,1613,1493,1316,1110,662,161,11589
POA3121,183,252,684,383,272,299,165,110,63,2407,2996,3314,9819,5175,3598,2904,1983,1068,433,31296
POA3122,123,199,286,181,156,120,103,60,36,1263,2666,3420,4901,3122,2551,2053,1686,1018,399,21809
POA3123,99,105,146,96,100,81,60,47,23,748,2173,1926,2864,2085,1860,1476,1144,719,308,14554
POA3124,185,151,105,146,156,117,90,67,74,1091,3435,3046,2330,2464,3013,2692,2183,1494,1027,21683
POA3125,117,246,250,112,100,80,62,38,25,1024,2015,3000,2775,1792,1709,1385,1056,831,529,15080
POA3126,54,52,41,31,47,42,41,23,20,353,1231,1125,601,792,1072,1055,912,546,320,7669
POA3127,141,122,95,107,135,132,80,37,23,874,2946,2605,1931,2202,2813,2382,1981,960,487,18315
POA3128,182,326,396,222,189,158,154,138,136,1903,2858,3790,4878,3098,2802,2218,1715,1106,726,23188
POA3129,183,131,134,124,124,107,61,30,13,893,3050,2343,2487,2473,2512,2098,1558,902,419,17831
POA3130,250,216,193,173,213,164,130,101,111,1548,5691,4139,3731,4553,4708,3842,2828,2053,1218,32766
POA3131,220,138,170,197,182,136,114,113,86,1360,3910,2533,3020,3452,3122,2472,2042,1614,923,23081
POA3132,121,88,105,98,101,81,51,39,18,710,2965,1852,2371,2690,2295,1855,1458,880,311,16671
POA3133,149,139,76,128,120,96,118,112,149,1087,4027,2782,2029,3073,3159,2583,2538,1821,744,22754
POA3134,316,230,234,264,243,188,131,84,47,1718,6064,4179,4486,4977,4743,4023,3044,1886,836,34225
POA3135,219,124,121,172,164,139,108,100,92,1235,3971,2268,2526,3134,2904,2305,1845,1177,535,20669
POA3136,460,309,350,331,319,296,211,150,105,2534,8431,4942,6041,6590,5847,5401,4472,2778,1197,45704
POA3137,158,110,122,101,90,104,49,31,26,791,2624,1687,2061,1948,1770,1765,1297,893,345,14388
POA3138,291,211,204,179,167,148,101,57,21,1376,4544,2784,3363,3336,2877,2481,1994,1108,336,22826
POA3139,201,148,94,127,156,121,80,41,7,964,2770,1720,1865,1696,1958,1905,1371,634,153,14076
POA3140,205,140,144,135,148,144,73,64,22,1069,2965,2153,2291,2139,2404,2141,1639,1030,410,17171
POA3141,179,256,693,355,223,183,127,77,21,2112,1743,2887,8473,4128,2396,2040,1625,961,351,24609
POA3142,101,110,122,92,117,103,114,89,63,919,1367,1414,1827,1347,1477,1605,1665,1158,493,12350
POA3143,62,69,78,64,79,40,41,47,23,506,1163,970,1898,1358,1167,854,867,621,210,9112
POA3144,91,54,82,84,92,78,76,117,77,749,1570,1316,1313,1237,1476,1275,1146,960,457,10744
POA3145,207,171,217,159,139,146,105,71,68,1278,3682,3425,3556,2978,3218,2632,2029,1200,684,23386
POA3146,183,167,178,138,189,135,107,80,27,1204,4468,3570,3179,3385,3835,3119,2270,1391,545,25744
