POA_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_ns,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_yr_arr_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arr_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,USA_2016,USA_2017,USA_2018,USA_2019,USA_2020,USA_2021,USA_Yr_arrival_ns,USA_Tot,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arr_ns,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_ns,Tot_Tot
POA2000,0,0,0,7,54,50,47,62,12,30,33,58,30,34,6,430,3,0,0,0,11,4,8,8,4,0,0,7,6,0,0,57,0,4,4,13,13,18,44,19,9,8,7,6,6,0,0,163,0,0,5,19,19,17,25,14,4,3,9,16,11,9,0,147,0,0,3,3,13,10,9,0,0,0,8,0,8,6,0,61,0,0,0,5,33,43,51,68,22,27,37,28,17,5,10,342,0,0,0,0,22,72,810,1069,445,294,248,343,85,10,133,3535,9,23,69,60,95,93,158,97,23,24,49,81,49,44,15,896,0,0,4,7,21,30,52,46,12,11,18,39,34,54,0,346,0,0,0,46,35,25,51,110,39,55,54,41,21,0,12,489,18,19,55,78,118,144,257,283,113,179,251,425,188,134,19,2284,44,98,255,447,1064,1559,3534,4122,1438,1589,1707,2457,995,606,544,20458
POA2007,0,0,0,0,12,18,17,17,5,7,12,8,9,0,0,114,0,0,0,0,6,0,6,5,0,0,0,0,0,0,0,18,0,0,0,4,0,12,19,6,3,0,3,5,0,0,0,46,0,0,0,0,3,3,14,0,0,0,4,0,0,0,0,28,0,0,0,4,4,5,3,0,0,0,5,3,0,0,0,24,0,0,0,0,16,12,8,26,9,4,7,14,8,0,4,107,0,0,0,0,8,23,115,169,53,36,44,58,14,0,16,536,0,10,9,13,14,18,35,28,9,5,8,11,0,5,7,176,0,0,0,4,4,9,10,8,0,3,3,10,5,0,0,59,0,0,0,14,14,6,9,23,11,10,15,13,4,0,8,132,0,0,12,22,25,48,88,101,62,65,78,195,95,3,7,806,4,14,40,123,241,417,735,794,340,396,487,777,345,49,124,4886
POA2008,0,0,0,0,17,23,20,14,3,7,5,15,9,0,3,114,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,14,0,0,0,4,5,9,25,15,5,8,13,6,3,4,8,103,0,0,3,3,0,8,15,3,0,0,0,4,0,0,0,39,0,0,0,0,0,4,10,4,0,3,0,8,0,0,0,37,0,0,0,0,5,4,18,16,6,3,19,14,5,0,0,100,0,0,0,0,6,6,66,60,29,29,20,28,4,4,9,261,3,7,22,23,35,49,77,39,17,15,12,23,6,6,0,324,0,0,0,5,4,12,25,16,6,9,4,11,7,7,4,116,0,0,0,13,15,16,24,27,10,18,10,13,9,0,3,155,5,0,5,12,36,50,101,131,53,56,80,135,46,5,17,733,4,22,64,109,246,390,856,1013,429,533,629,929,423,123,93,5861
POA2009,0,0,0,20,47,29,22,15,7,13,13,31,3,3,0,199,0,3,0,5,7,6,8,8,0,0,0,0,0,0,0,52,0,0,4,9,14,11,16,12,3,0,3,0,12,0,0,86,0,0,0,8,9,13,15,9,4,3,3,5,3,3,0,81,0,0,0,6,7,0,3,4,0,0,0,0,4,0,6,35,0,0,0,8,13,11,15,12,4,0,6,7,0,0,0,69,0,0,0,3,4,31,111,68,35,8,11,30,7,0,5,317,12,18,55,46,70,59,136,84,20,18,35,33,13,13,3,607,0,0,8,19,12,12,32,28,15,9,7,7,13,0,0,157,0,0,0,32,42,14,25,34,11,9,8,3,6,0,7,175,3,18,25,61,82,122,213,233,90,89,135,257,72,17,15,1422,29,79,181,366,688,791,1301,1043,314,318,409,609,232,68,89,6524
POA2010,0,0,5,8,52,53,42,54,14,13,19,30,9,3,13,320,0,3,5,9,20,0,10,20,4,0,7,3,0,0,4,91,0,0,4,7,17,27,30,10,4,7,6,7,5,0,5,126,0,0,8,22,39,55,76,21,13,14,9,8,9,0,3,272,0,0,0,0,13,14,4,4,0,5,6,3,0,0,5,60,0,0,0,0,15,9,20,25,0,7,9,11,0,0,15,110,0,0,0,0,22,50,213,198,47,35,34,39,14,0,16,678,8,47,139,120,159,201,383,299,101,109,118,144,66,24,47,1971,0,0,10,26,38,54,99,104,33,28,26,59,34,16,10,532,0,0,0,29,49,18,37,36,8,18,15,18,4,3,11,244,15,37,98,153,154,212,308,362,148,162,196,298,113,24,76,2360,50,158,462,634,1086,1350,2011,1796,589,593,721,919,405,137,329,11235
POA2011,0,0,0,6,33,34,40,19,15,6,4,11,0,0,0,168,8,5,0,3,15,3,9,13,3,6,9,3,0,0,0,77,0,0,7,4,19,12,13,7,3,3,3,3,4,0,7,75,0,3,6,19,28,43,32,21,0,6,6,12,8,8,0,181,0,0,9,0,3,6,11,0,0,0,0,6,0,0,0,31,0,0,0,0,10,3,5,10,4,4,0,6,0,0,0,42,0,0,0,0,14,25,60,28,10,9,5,8,0,4,3,163,16,52,119,122,124,137,248,193,44,62,45,69,31,12,17,1289,4,0,9,21,24,43,60,56,14,17,30,24,16,0,3,338,0,0,0,20,28,17,22,3,0,7,0,0,0,0,3,110,17,49,70,115,135,158,264,295,122,121,131,172,84,12,40,1781,66,174,340,502,788,860,1231,1021,321,352,366,452,199,56,130,6873
POA2015,0,0,0,0,32,18,21,25,7,3,6,10,0,0,4,125,0,0,0,0,6,0,6,7,0,0,0,12,0,0,0,33,0,0,0,4,9,7,17,19,11,3,6,0,0,0,0,76,0,0,0,3,17,24,29,9,3,0,8,3,3,0,0,106,0,0,0,0,11,12,3,0,0,0,0,0,0,0,0,31,0,0,0,0,9,7,6,9,0,0,3,0,0,0,3,39,0,0,0,0,7,16,26,23,3,9,6,3,4,7,0,99,3,8,43,48,57,84,156,143,23,37,31,22,6,3,11,686,0,0,0,10,17,14,30,33,7,7,6,18,8,0,0,152,0,0,0,13,36,22,12,15,0,7,5,0,0,0,3,104,0,9,29,54,73,105,139,162,60,71,61,48,36,8,14,851,9,30,109,215,479,604,862,708,201,215,211,193,94,27,75,4042
POA2016,0,0,0,10,33,15,13,9,7,7,7,7,4,0,0,121,0,0,0,0,16,4,0,3,0,0,6,3,0,0,0,37,0,0,0,10,4,6,10,13,0,0,0,0,4,5,0,51,0,0,0,10,14,24,16,25,3,0,4,5,5,0,0,105,0,0,4,4,5,4,6,7,0,0,0,0,0,0,0,34,0,0,0,0,9,7,9,0,3,0,0,4,0,0,0,30,0,0,0,0,17,22,37,26,16,12,18,16,0,0,3,161,5,16,65,40,78,85,154,97,14,33,42,51,13,3,12,712,0,0,5,7,19,20,39,39,12,11,12,16,6,6,0,179,0,0,0,13,28,12,13,11,0,14,7,9,3,0,5,115,10,18,56,102,93,213,164,162,67,73,96,158,54,8,22,1292,21,81,263,332,590,755,892,699,220,245,318,449,166,42,170,5233
POA2017,0,0,0,15,64,60,68,41,20,13,13,21,3,4,10,344,0,4,3,0,17,19,13,15,5,9,8,24,0,0,8,122,0,0,0,3,10,27,43,33,0,5,15,20,9,7,0,171,0,0,3,11,16,54,49,28,11,14,3,14,5,3,0,217,0,0,0,0,6,6,9,10,0,3,0,0,0,0,0,44,0,0,0,0,10,39,40,37,10,16,26,31,3,0,6,217,0,0,0,0,23,41,63,42,20,17,9,12,5,4,11,244,5,27,73,43,73,104,239,448,189,173,200,245,51,15,27,1902,0,0,0,3,10,25,38,50,19,25,33,25,13,6,4,249,0,0,0,34,94,37,46,27,15,12,8,19,0,9,3,299,8,12,53,136,196,425,403,624,243,320,401,436,152,31,55,3497,24,75,240,436,996,1656,2910,3353,1223,1411,1590,1874,667,155,315,16923
POA2018,0,0,0,18,111,58,54,47,19,16,9,25,4,0,6,366,0,0,0,5,10,11,10,11,4,9,3,0,0,0,0,58,0,0,3,4,6,7,23,16,0,9,0,4,0,0,0,78,0,0,0,6,18,23,29,5,3,0,5,3,6,0,0,105,0,0,0,0,9,7,18,4,0,0,3,0,0,4,0,52,0,0,0,3,10,6,19,13,4,7,5,11,0,0,0,72,0,0,0,5,22,17,34,16,12,11,6,8,7,0,3,134,4,10,39,45,46,49,117,192,60,38,53,49,30,6,15,761,0,0,0,0,0,6,19,17,11,4,4,9,3,0,0,86,0,0,0,29,18,15,25,13,3,12,8,9,4,0,0,132,9,58,162,368,275,398,301,239,85,92,130,133,45,3,40,2327,32,260,664,760,1047,1341,1810,1621,472,540,538,604,222,35,156,10114
