POA_CODE_2021,P_Sol_sp_En_Tot_2011_2015,P_Sol_sp_En_Tot_2016,P_Sol_sp_En_Tot_2017,P_Sol_sp_En_Tot_2018,P_Sol_sp_En_Tot_2019,P_Sol_sp_En_Tot_2020,P_Sol_sp_En_Tot_2021,P_Sol_sp_En_Tot_Yr_arr_ns,P_Sol_sp_En_Tot_YoA_Tot,P_LanProf_En_ns_B_2005,P_LanProf_En_ns_2005_2010,P_LanProf_En_ns_2011_2015,P_LanProf_En_ns_2016,P_LanProf_En_ns_2017,P_LanProf_En_ns_2018,P_LanProf_En_ns_2019,P_LanProf_En_ns_2020,P_LanProf_En_ns_2021,P_LanProf_En_ns_Yr_arr_ns,P_LanProf_En_ns_Tot,P_Tot_B_2005,P_Tot_2005_2010,P_Tot_2011_2015,P_Tot_2016,P_Tot_2017,P_Tot_2018,P_Tot_2019,P_Tot_2020,P_Tot_2021,P_Tot_Yr_arrival_ns,P_Tot_YoA_Tot
POA2000,3559,1256,1400,1457,2074,782,414,420,16210,0,0,11,0,0,7,5,0,0,36,61,4552,2449,4122,1438,1589,1707,2457,995,606,544,20458
POA2007,675,286,337,422,664,293,30,79,3860,0,0,0,0,0,0,0,0,0,15,22,1045,525,794,340,396,487,777,345,49,124,4886
POA2008,809,378,439,531,794,357,79,63,4376,4,0,0,0,0,0,0,0,0,3,9,1136,555,1013,429,533,629,929,423,123,93,5861
POA2009,698,233,237,298,477,162,32,43,4147,0,0,0,0,0,3,0,0,0,12,18,2545,892,1043,314,318,409,609,232,68,89,6524
POA2010,956,323,338,390,522,203,43,99,5121,17,4,0,0,0,6,0,0,0,146,171,4431,1309,1796,589,593,721,919,405,137,329,11235
POA2011,467,184,182,206,257,107,20,41,2725,0,0,0,0,0,0,3,0,0,26,36,3111,856,1021,321,352,366,452,199,56,130,6873
POA2015,347,123,117,115,105,67,7,43,1852,0,0,0,0,0,0,0,0,0,0,3,1729,584,708,201,215,211,193,94,27,75,4042
POA2016,351,148,157,191,312,111,19,51,2793,4,0,0,0,0,0,0,0,0,65,71,2368,566,699,220,245,318,449,166,42,170,5233
POA2017,2207,822,1008,1094,1299,450,93,163,11079,0,0,0,3,0,0,0,0,0,69,76,4233,2102,3353,1223,1411,1590,1874,667,155,315,16923
POA2018,1093,335,408,390,442,148,22,112,7276,4,0,0,0,6,0,0,0,0,3,15,4659,1257,1621,472,540,538,604,222,35,156,10114
POA2019,381,73,80,71,78,33,3,39,2381,0,0,0,0,0,0,0,0,0,45,47,2393,701,696,131,113,103,129,51,9,111,4446
POA2020,2059,786,895,1076,1021,329,59,243,10388,0,0,0,0,0,0,0,0,0,125,131,3680,1547,2526,951,1094,1280,1261,415,79,426,13255
POA2021,190,56,63,93,116,30,13,14,1320,4,0,0,0,0,0,0,0,0,30,29,2385,556,556,180,156,195,255,122,40,95,4546
POA2022,376,142,218,218,259,112,22,48,2757,6,0,0,0,0,3,0,0,0,0,13,2579,601,861,306,406,488,518,253,59,105,6170
POA2023,149,55,54,79,68,40,11,25,1241,0,0,0,0,0,0,0,0,0,5,3,2177,407,454,133,149,155,161,67,24,57,3785
POA2024,186,46,51,46,63,11,4,53,1162,0,0,0,0,0,0,0,0,0,41,41,1796,465,558,146,156,142,178,65,26,142,3671
POA2025,133,31,27,42,51,18,6,16,759,0,0,0,0,0,0,0,0,0,83,82,1273,246,291,79,68,111,92,41,18,134,2354
POA2026,837,304,356,483,647,252,31,73,5163,3,0,6,0,0,0,0,0,0,43,59,5127,1464,2261,763,819,1034,1336,543,99,239,13684
POA2027,121,31,43,45,36,31,6,15,901,3,0,0,0,0,0,0,0,0,8,9,1574,273,343,82,82,97,87,68,13,64,2685
POA2028,107,23,22,21,21,30,8,14,554,0,0,0,0,0,0,0,0,0,3,4,893,158,225,62,63,63,71,53,15,31,1634
POA2029,189,54,51,66,55,21,17,25,1347,4,0,0,0,0,0,0,0,0,30,32,2356,469,469,99,125,125,122,76,31,89,3955
POA2030,256,46,33,41,69,43,7,31,1892,7,0,0,0,0,0,0,0,0,4,13,3585,652,551,103,63,108,120,94,22,91,5390
POA2031,783,219,249,303,369,187,39,62,4927,4,0,0,0,0,0,0,0,0,246,258,5644,1577,2051,566,607,753,921,424,98,425,13066
POA2032,546,214,283,430,642,246,39,70,4947,5,0,0,0,0,0,0,0,0,24,29,3108,701,785,275,354,526,752,288,52,131,6983
POA2033,493,191,261,305,415,198,29,66,3562,0,0,0,0,0,4,0,0,0,8,14,2057,609,729,263,327,388,525,252,47,100,5293
POA2034,341,126,132,151,239,59,21,35,2577,7,0,0,0,0,5,0,0,0,9,18,3209,818,1193,312,380,474,610,250,80,114,7448
POA2035,973,381,368,417,475,171,48,126,8749,5,0,0,0,0,0,0,0,0,108,115,7719,1754,1675,518,540,604,661,247,76,328,14133
POA2036,987,341,365,347,366,143,27,126,7721,14,0,0,0,0,0,0,0,0,240,258,6815,1593,1668,474,498,487,532,212,51,472,12791
POA2037,494,178,191,224,321,134,24,32,3193,4,0,0,0,0,0,0,0,0,4,15,2841,731,887,271,285,354,442,201,53,85,6157
POA2038,103,37,38,37,43,8,6,32,836,0,0,0,0,0,0,0,0,0,0,0,1408,318,294,67,71,65,80,36,15,68,2434
POA2039,108,32,43,42,50,16,4,10,777,0,0,0,0,0,0,0,0,0,0,0,1446,360,334,78,82,92,95,34,12,31,2556
POA2040,381,80,96,77,88,44,8,57,2774,0,0,0,0,0,0,0,0,0,8,13,3961,828,807,148,174,150,138,68,16,124,6412
POA2041,195,44,56,47,54,15,18,14,1180,0,0,0,0,0,0,0,0,0,46,48,2635,645,648,125,138,157,110,66,61,96,4685
POA2042,341,119,146,131,188,73,11,38,2260,0,0,0,0,0,0,0,0,0,8,6,2741,683,838,234,242,227,318,154,45,98,5586
POA2043,267,81,76,112,98,44,10,22,1388,0,0,0,0,0,0,0,0,0,0,0,1411,499,719,197,183,216,202,87,17,46,3580
POA2044,177,68,68,50,55,24,5,36,1539,0,0,0,0,0,0,0,0,0,0,7,1579,346,350,109,128,76,87,38,16,63,2794
POA2045,38,16,16,9,11,0,0,23,1053,0,0,0,0,0,0,0,0,0,8,8,1447,103,92,20,18,21,21,5,0,59,1792
POA2046,421,98,112,95,86,37,6,100,5074,0,0,0,0,0,0,0,0,0,92,94,5915,918,728,156,154,138,124,57,19,247,8467
POA2047,197,45,50,53,61,20,10,23,1658,6,0,0,0,0,0,0,0,0,0,4,2122,415,414,96,90,100,90,42,14,52,3443
POA2048,88,34,28,38,44,19,4,18,967,0,0,0,0,0,0,0,0,0,29,31,1315,221,206,66,61,55,68,38,7,72,2116
POA2049,225,76,80,107,72,27,6,58,1802,0,0,0,0,0,0,0,0,0,5,5,2024,399,439,116,129,144,122,61,8,111,3551
POA2050,283,78,86,107,138,91,16,11,1515,0,0,0,0,0,0,0,0,0,3,0,1398,450,497,129,146,171,234,144,42,39,3264
POA2060,636,196,216,228,304,95,64,33,3329,0,0,0,0,0,0,0,0,0,3,12,2666,878,1037,301,351,361,442,162,90,71,6349
POA2061,178,40,56,70,86,62,18,23,1300,0,0,0,0,0,0,0,0,0,0,0,1357,274,358,83,115,118,130,97,26,36,2588
POA2062,145,49,35,41,48,37,3,5,895,0,0,0,0,0,0,0,0,0,0,0,1212,322,303,74,62,77,80,70,16,23,2230
POA2063,100,23,31,18,32,27,4,12,900,0,0,0,0,0,0,0,0,0,0,4,1251,247,200,32,37,32,52,33,14,30,1929
POA2064,558,199,215,233,240,117,21,29,3370,0,0,0,0,0,0,0,0,0,0,3,1960,716,694,231,266,269,264,130,30,48,4623
POA2065,1261,377,386,459,503,214,105,72,7398,4,0,0,0,0,0,0,0,0,256,268,6362,1956,2069,560,587,646,707,320,144,409,13763
POA2066,1322,354,337,337,357,141,65,74,7295,3,0,6,0,0,0,0,0,0,3,13,6436,2003,2005,486,463,464,462,203,88,143,12747
POA2067,2153,667,785,818,1054,481,199,233,13479,5,0,0,0,0,0,0,0,0,17,24,6911,2343,2477,739,882,906,1160,548,222,309,16501
POA2068,418,82,67,95,119,48,20,45,3292,3,0,0,0,0,0,0,0,0,0,4,3728,739,676,106,118,142,156,71,33,80,5849
POA2069,460,126,111,108,118,64,19,48,3275,0,0,0,0,0,0,0,0,0,0,0,3265,709,690,153,135,151,192,86,38,78,5496
POA2070,629,135,131,146,180,103,39,65,4147,5,0,0,0,0,0,0,0,0,0,8,3472,888,842,183,182,182,216,120,54,96,6229
POA2071,623,156,168,162,157,112,64,65,4570,4,4,0,0,0,0,0,0,0,3,9,3592,1047,799,210,200,190,203,118,72,95,6531
POA2072,583,174,163,143,184,101,30,54,3432,0,0,0,0,0,0,0,0,0,0,9,2149,765,716,200,200,178,218,128,33,70,4650
POA2073,620,96,127,122,122,80,22,51,4281,8,0,0,0,0,3,0,0,0,0,16,4075,1149,875,145,169,180,147,107,28,80,6954
POA2074,657,137,149,127,211,86,23,80,4626,3,0,0,0,0,0,0,0,0,5,9,4993,1420,1052,202,201,208,270,111,52,158,8661
