POA_CODE_2021,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
POA2000,32,2773,950,630,2367,1.3,2223,2.1
POA2007,30,2500,775,500,2197,1.2,1807,2.1
POA2008,28,2600,863,525,2453,1.2,1742,1.9
POA2009,37,2800,1295,580,3035,1.1,2416,2.1
POA2010,36,2900,1468,550,3709,1.1,2291,1.7
POA2011,37,2500,1540,490,3565,1,2042,1.5
POA2015,34,2750,1581,560,3514,1.1,2593,2.1
POA2016,36,2804,1182,500,3263,1,2135,1.9
POA2017,32,2600,1206,575,2684,1.1,2102,1.9
POA2018,34,2500,971,520,2407,1,2012,2.3
POA2019,36,2773,1155,550,2834,1.1,2356,2.6
POA2020,30,2600,995,600,2394,1.2,2248,2.5
POA2021,37,3825,1647,595,4589,0.9,2815,2.1
POA2022,36,3467,1342,660,3460,1,2479,2.2
POA2023,39,3900,1573,650,4509,0.9,3308,2.5
POA2024,38,3900,1511,654,4259,1,3189,2.4
POA2025,42,4000,1616,675,4557,0.9,2992,2.2
POA2026,34,3400,1495,680,3685,1,2889,2.2
POA2027,46,3500,1696,750,4558,0.9,3007,2
POA2028,39,3000,1652,720,4250,0.9,3073,2.1
POA2029,40,3250,1396,630,3510,0.9,2529,2.3
POA2030,42,4300,1371,720,4557,0.9,3474,2.8
POA2031,36,3160,1366,580,3361,1,2511,2.3
POA2032,35,3000,794,450,2441,1,1745,2.4
POA2033,32,2760,952,500,2744,1,2116,2.3
POA2034,36,3391,1438,615,3660,1,2786,2.3
POA2035,40,3000,1003,535,2750,0.9,2148,2.5
POA2036,39,2760,925,520,2506,1,2046,2.6
POA2037,36,3000,1156,493,3183,1,1999,2
POA2038,39,3467,1437,570,3905,1,2676,2.3
POA2039,40,3500,1642,650,4372,1,3193,2.3
POA2040,38,3467,1352,580,3617,1,2722,2.4
POA2041,43,4000,1583,640,4602,0.9,3134,2.2
POA2042,34,3000,1303,531,3339,1,2320,2.1
POA2043,34,2800,1704,620,3766,1.1,3018,2
POA2044,36,2900,1230,630,3092,1,2600,2.5
POA2045,46,3674,996,535,3494,0.8,2764,2.8
POA2046,42,3007,1138,570,3051,0.9,2390,2.5
POA2047,42,3200,1382,600,3506,0.9,2765,2.3
POA2048,36,3000,1283,490,3373,1,2393,2.3
POA2049,35,2849,1248,480,3225,1,2280,2.2
POA2050,34,2817,1292,570,3384,1.1,2325,1.9
POA2060,38,3000,1572,580,3700,1,2460,1.9
POA2061,44,2995,1685,600,4008,1,2466,1.7
POA2062,40,3033,1600,580,4078,1,2863,2.2
POA2063,44,4649,1377,738,4650,0.8,3868,2.9
POA2064,37,2772,1196,525,3052,1.1,2414,2.5
POA2065,37,3000,1580,580,3693,1,2730,2.1
POA2066,38,3000,1374,520,3560,1,2748,2.5
POA2067,38,3000,944,580,2489,1.1,2179,2.5
POA2068,42,3900,1230,640,4047,0.9,3227,2.8
POA2069,41,3800,1198,640,3795,0.9,3304,2.9
POA2070,41,3500,1159,630,3455,0.9,2966,2.8
POA2071,42,3454,1063,650,3247,0.9,2829,2.9
