POA_CODE_2021,1_74_RE_agent,1_74_StateTeHAuthority,1_74_Com_house_prov,1_74_Person_not_same_hh,1_74_Oth_type,1_74_Not_stated,1_74_Total,75_99_RE_agent,75_99_StateTeHAuthority,75_99_Com_house_prov,75_99_Person_not_same_hh,75_99_Oth_type,75_99_Not_stated,75_99_Total,100_149_RE_agent,100_149_StateTeHAuthority,100_149_Com_house_prov,100_149_Person_not_same_hh,100_149_Oth_type,100_149_Not_stated,100_149_Total,150_199_RE_agent,150_199_StateTeHAuthority,150_199_Com_house_prov,150_199_Person_not_same_hh,150_199_Oth_type,150_199_Not_stated,150_199_Total,200_224_RE_agent,200_224_StateTeHAuthority,200_224_Com_house_prov,200_224_Person_not_same_hh,200_224_Oth_type,200_224_Not_stated,200_224_Total,225_274_RE_agent,225_274_StateTeHAuthority,225_274_Com_house_prov,225_274_Person_not_same_hh,225_274_Oth_type,225_274_Not_stated,225_274_Total,275_349_RE_agent,275_349_StateTeHAuthority,275_349_Com_house_prov,275_349_Person_not_same_hh,275_349_Oth_type,275_349_Not_stated,275_349_Total,350_449_RE_agent,350_449_StateTeHAuthority,350_449_Com_house_prov,350_449_Person_not_same_hh,350_449_Oth_type,350_449_Not_stated,350_449_Total,450_549_RE_agent,450_549_StateTeHAuthority,450_549_Com_house_prov,450_549_Person_not_same_hh,450_549_Oth_type,450_549_Not_stated,450_549_Total,550_649_RE_agent,550_649_StateTeHAuthority,550_649_Com_house_prov,550_649_Person_not_same_hh,550_649_Oth_type,550_649_Not_stated,550_649_Total,650_749_RE_agent,650_749_StateTeHAuthority,650_749_Com_house_prov,650_749_Person_not_same_hh,650_749_Oth_type,650_749_Not_stated,650_749_Total,750_849_RE_agent,750_849_StateTeHAuthority,750_849_Com_house_prov,750_849_Person_not_same_hh,750_849_Oth_type,750_849_Not_stated,750_849_Total,850_949_RE_agent,850_949_StateTeHAuthority,850_949_Com_house_prov,850_949_Person_not_same_hh,850_949_Oth_type,850_949_Not_stated,850_949_Total,950oveRE_agent,950oveStateTeHAuthority,950oveCom_house_prov,950ovePerson_not_same_hh,950oveOth_type,950oveNot_stated,950oveTotal,Rent_NS_RE_agent,Rent_NS_StateTeRent_Hauth,Rent_NS_Com_house_prov,Rent_NS_Person_not_same_hh,Rent_NS_Oth_type,Rent_NS_Not_stated,Rent_NS_Total,Total_RE_agent,Total_StateTer_HAuthority,Total_Com_house_prov,Total_Person_not_same_hh,Total_Oth_type,Total_NS,Total_Total
POA2025,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,4,3,0,0,12,0,0,3,6,5,0,10,0,0,4,3,0,0,12,4,0,0,5,0,0,8,7,0,3,12,0,0,23,48,0,0,7,0,0,58,139,0,0,10,0,0,146,145,0,0,34,0,0,178,142,0,0,18,0,0,159,80,0,0,15,0,0,94,46,0,0,10,0,0,63,219,0,0,50,0,0,268,11,0,0,6,0,0,22,838,13,12,181,12,0,1057
POA2026,4,5,3,3,0,0,19,0,12,0,0,0,0,15,3,116,6,4,0,0,133,3,21,10,12,0,0,48,15,8,6,11,4,0,48,15,6,8,21,3,0,58,123,0,3,45,3,0,178,432,6,0,81,5,0,530,754,8,9,147,20,0,934,1058,0,0,171,17,3,1258,1083,0,0,169,10,0,1258,845,0,0,145,3,3,996,570,0,0,86,4,0,661,1146,0,0,228,10,0,1379,106,19,5,71,14,21,233,6164,209,47,1192,92,31,7740
POA2027,3,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9,0,0,7,0,0,0,0,0,0,0,0,0,0,5,0,0,3,3,0,0,3,0,0,6,33,0,0,12,0,0,43,111,0,0,15,0,3,127,116,0,0,29,0,0,138,150,0,0,26,0,0,179,147,0,0,26,0,0,170,116,0,0,28,0,0,144,89,0,0,29,0,0,120,361,0,0,68,3,0,431,22,0,0,12,3,5,50,1156,0,3,260,11,5,1440
POA2028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,5,0,0,11,6,0,0,9,0,0,14,22,0,0,9,0,0,32,69,0,0,9,0,0,74,137,0,0,20,0,0,156,143,0,0,25,0,0,176,106,0,0,28,0,0,134,66,0,0,9,0,0,80,188,0,0,28,0,0,218,7,0,0,18,0,0,26,752,0,0,169,4,0,925
POA2029,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,5,0,0,14,0,0,0,6,0,0,11,0,0,0,3,0,0,8,5,0,0,3,0,0,15,25,0,0,13,0,0,35,103,0,10,19,3,0,128,244,0,0,28,0,0,278,317,0,0,41,4,0,366,222,0,0,33,0,0,256,119,0,0,29,0,0,148,78,0,0,21,0,0,93,221,0,0,65,3,0,292,28,0,0,25,5,6,53,1363,9,17,290,22,7,1710
POA2030,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,3,3,0,5,3,0,0,0,0,0,4,0,0,0,5,0,0,5,3,0,0,3,0,0,6,6,0,0,10,6,0,31,28,0,0,10,3,0,46,86,0,0,20,0,0,107,160,0,0,25,0,0,189,141,0,5,23,3,0,176,95,0,0,20,0,0,120,55,0,0,21,0,0,70,252,0,0,69,3,0,324,29,0,0,22,4,3,57,862,3,13,236,29,3,1146
POA2031,4,5,0,0,0,0,9,6,5,3,0,0,0,20,7,66,12,10,0,0,91,21,15,18,13,3,0,72,10,10,11,11,0,0,41,31,14,3,28,12,0,89,84,9,5,50,14,0,160,504,3,7,67,28,0,612,1231,0,3,180,7,0,1429,1556,0,0,149,11,3,1723,875,0,0,95,3,0,975,375,0,0,60,0,0,436,256,0,0,44,0,0,303,475,0,0,103,4,0,581,73,9,3,42,13,14,154,5501,135,69,863,99,16,6690
POA2032,0,18,0,0,0,0,21,3,17,4,0,0,0,26,8,237,13,8,3,0,270,21,62,16,25,0,0,120,27,33,5,18,6,0,94,47,21,0,20,4,4,98,173,20,6,29,0,3,229,449,12,9,43,0,0,523,553,10,0,50,3,0,622,308,9,0,33,0,0,352,185,5,0,30,0,0,220,115,6,0,13,0,0,136,59,0,0,5,0,0,70,112,0,0,17,0,0,132,39,31,3,22,4,4,100,2100,487,55,332,29,11,3014
POA2033,0,5,0,4,0,0,10,0,4,0,0,0,0,4,0,19,10,4,0,0,38,4,9,5,16,0,0,29,3,6,0,7,0,0,23,6,0,0,11,4,0,36,86,0,9,24,11,0,122,399,4,4,35,12,0,458,621,0,3,58,3,0,692,393,0,0,36,0,0,435,152,0,0,14,3,0,175,128,0,0,20,0,0,142,58,0,0,14,0,0,71,117,0,0,22,0,0,139,27,4,0,14,0,7,57,1999,52,36,283,46,4,2416
POA2034,0,18,0,0,0,0,17,0,27,0,0,0,0,29,3,287,14,4,0,0,305,0,89,19,3,0,0,112,5,29,10,8,0,0,51,18,34,8,12,7,0,79,42,27,7,17,15,0,113,137,19,6,41,39,0,238,454,9,0,67,6,0,534,728,8,0,80,6,0,822,650,0,0,86,0,0,739,384,0,0,48,0,0,435,216,0,0,30,0,0,252,452,0,0,65,0,0,512,40,40,3,33,5,11,128,3135,582,65,495,86,12,4378
