POA_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
POA2000,92,79,0,174,1744,286,109,2317,30,95,0,129,1133,117,56,1442,3,16,0,19,558,47,12,629,0,0,0,0,153,13,0,173,2045,325,9,2389,23076,3548,812,29820
POA2007,19,10,0,33,313,39,5,391,9,15,0,25,242,20,4,292,0,4,0,4,99,11,0,115,0,0,0,0,43,16,0,54,551,82,3,638,5657,551,73,6917
POA2008,35,11,0,44,410,40,8,494,4,27,0,32,232,25,4,290,0,10,0,10,81,8,0,94,0,0,0,0,16,3,0,25,515,109,0,625,8331,822,81,9856
POA2009,78,87,0,170,1067,83,24,1338,26,110,0,132,818,81,16,1046,3,35,0,32,373,27,0,435,0,6,0,6,88,8,0,99,1529,318,17,1869,8412,855,70,11208
POA2010,86,54,0,137,2287,300,16,2743,9,84,0,90,1413,203,12,1716,0,29,0,29,735,191,6,955,0,0,0,0,271,108,0,383,1670,355,20,2045,20536,2466,139,25180
POA2011,59,60,5,113,1859,184,19,2180,12,119,0,137,1375,122,11,1638,0,36,0,32,700,119,3,853,0,0,0,0,301,118,0,419,994,347,12,1351,15006,3584,143,20082
POA2015,55,31,0,88,750,33,3,878,11,33,0,47,421,23,0,492,0,14,0,15,159,11,0,176,0,0,0,0,38,6,0,45,1534,168,18,1718,7713,495,24,9950
POA2016,50,36,0,81,1171,111,6,1367,17,54,0,62,773,105,0,945,0,11,0,11,463,86,4,568,0,3,0,5,165,37,0,207,1170,191,17,1379,9327,1048,66,11818
POA2017,71,84,0,159,1435,198,36,1831,18,87,8,112,1070,130,11,1320,0,13,0,17,517,95,13,641,0,4,0,4,176,43,0,221,2719,356,31,3105,21403,2155,211,26872
POA2018,103,83,4,191,1437,85,13,1727,22,121,0,149,1143,60,6,1352,7,37,0,44,845,60,0,946,0,0,0,0,296,20,0,318,2906,417,29,3349,12759,965,50,17123
POA2019,97,105,0,203,1097,67,4,1368,16,114,6,130,726,56,4,919,0,30,0,30,408,60,9,498,0,6,0,6,116,45,0,160,2693,410,34,3137,7001,671,23,10835
POA2020,93,77,0,167,1195,126,58,1549,17,94,0,106,769,64,22,963,6,17,0,27,462,44,13,545,0,0,0,0,171,11,0,185,2849,367,21,3238,14940,1666,334,20176
POA2021,151,53,0,200,1256,48,3,1503,11,128,3,134,953,44,0,1136,0,42,0,47,661,49,4,764,0,0,0,0,182,66,0,250,2152,341,24,2518,9347,593,36,12492
POA2022,113,49,0,162,978,61,10,1211,11,115,0,129,834,61,14,1037,9,35,0,45,577,57,4,686,0,0,0,3,262,24,0,296,2110,309,23,2448,8155,777,103,11476
POA2023,120,112,9,239,959,29,5,1236,22,198,5,220,793,35,3,1051,3,42,0,41,491,25,0,554,0,0,0,0,162,9,0,174,1815,439,24,2277,5875,369,37,8555
POA2024,136,60,0,199,914,58,0,1165,12,133,0,151,583,58,7,800,0,33,0,33,398,104,0,533,3,3,0,3,196,200,0,406,2128,334,26,2487,5858,734,20,9097
POA2025,84,41,0,126,582,25,4,735,16,115,0,130,598,37,4,764,4,44,0,50,485,65,3,598,0,0,0,0,199,85,0,280,1140,268,17,1422,4134,338,22,5917
POA2026,285,146,9,437,1883,129,17,2463,24,193,0,225,1423,85,10,1745,0,53,0,53,898,93,4,1047,0,6,0,6,355,62,5,431,5010,762,59,5828,19721,1792,150,27487
POA2027,98,52,5,146,725,51,10,934,12,133,0,147,794,41,0,981,3,54,0,56,688,48,3,798,0,0,0,3,277,53,0,331,935,287,14,1245,5008,445,38,6736
POA2028,38,26,0,69,393,16,3,477,3,59,0,64,436,13,4,521,0,24,0,24,323,16,0,364,0,0,0,0,126,14,3,142,676,147,10,833,2998,172,17,4012
POA2029,95,75,3,165,817,58,7,1047,10,143,0,156,728,42,0,930,4,25,0,27,593,84,4,707,3,0,0,3,241,110,0,356,1684,290,17,2000,5594,525,31,8146
POA2030,229,150,0,380,1356,48,6,1792,29,219,4,246,1076,40,7,1370,3,62,0,65,685,43,4,801,3,7,0,4,344,65,0,412,2796,566,23,3382,7542,537,49,11509
POA2031,263,126,0,387,2673,142,19,3222,35,249,3,287,1961,154,17,2415,7,68,0,75,1284,200,3,1563,0,0,0,0,573,356,4,934,5887,702,64,6645,20012,1912,129,28698
POA2032,115,74,0,191,1163,54,9,1418,22,133,0,146,917,49,10,1128,10,25,0,37,707,43,4,786,0,6,0,6,328,58,0,389,2115,370,9,2498,9305,715,71,12591
POA2033,73,41,0,116,856,35,8,1014,11,77,0,88,594,28,5,720,4,12,0,14,492,19,0,521,0,3,0,3,268,9,0,281,1586,215,20,1826,7794,609,101,10331
POA2034,190,95,4,287,1654,67,13,2017,16,171,3,189,1166,84,10,1446,5,52,0,59,693,56,0,800,0,0,0,0,275,28,0,304,3211,540,38,3781,12118,930,75,16911
POA2035,308,208,4,526,3216,151,18,3907,49,315,3,368,2488,155,20,3028,15,95,0,114,1868,159,7,2151,0,7,0,13,821,159,0,997,5894,924,88,6902,20218,1527,89,28738
POA2036,236,287,9,526,3063,335,12,3934,43,366,5,409,2402,239,14,3067,8,76,0,88,1552,200,3,1846,0,6,0,7,550,145,0,706,5697,1034,57,6791,18261,2697,64,27811
POA2037,89,79,0,166,1536,121,5,1829,13,121,0,134,1226,84,11,1452,3,32,0,37,580,45,4,659,0,0,0,0,150,17,0,168,1918,370,21,2313,11312,925,75,14614
POA2038,83,46,0,125,842,67,0,1042,5,81,0,85,660,52,0,799,0,16,0,16,306,16,0,343,0,0,0,0,118,8,0,128,1708,204,19,1934,5437,441,15,7816
POA2039,62,42,0,105,798,27,6,936,7,86,0,88,674,24,0,789,5,14,0,18,302,10,0,333,0,0,0,0,54,4,0,57,1619,206,11,1842,4888,213,12,6949
POA2040,227,81,0,316,1971,74,3,2367,21,187,7,215,1381,67,11,1675,0,39,0,40,724,82,3,848,0,0,0,0,335,84,0,424,4752,480,50,5281,12129,835,26,18273
POA2041,184,80,0,268,1699,88,3,2056,21,222,0,246,1343,54,10,1654,4,49,0,55,731,45,4,830,0,0,0,0,180,49,0,233,2907,465,38,3410,8743,552,33,12746
POA2042,125,40,0,164,1517,103,9,1785,10,49,0,61,892,52,9,1010,0,15,0,11,358,24,0,388,0,0,0,0,122,18,0,137,2214,268,17,2495,13025,837,61,16419
POA2043,50,25,0,72,684,25,5,781,6,28,5,32,288,20,0,349,0,10,0,10,122,15,4,137,0,0,0,0,35,0,0,35,1298,138,17,1451,6654,305,30,8441
POA2044,55,27,3,82,644,21,0,747,10,26,4,41,501,22,5,566,0,5,0,10,234,14,0,255,0,0,0,0,92,6,0,103,1386,141,18,1542,5113,273,20,6940
POA2045,76,42,0,117,798,9,0,926,4,81,0,95,593,14,3,700,7,18,0,22,400,17,0,438,5,0,0,0,262,13,0,278,1123,183,4,1314,3936,124,8,5383
POA2046,253,173,3,426,2850,103,11,3387,24,314,0,340,2255,122,3,2725,3,91,0,98,1463,117,3,1677,0,0,0,3,699,164,0,864,5128,762,40,5932,15474,993,41,22436
POA2047,119,94,0,210,1228,34,0,1479,12,149,0,162,957,42,4,1162,5,31,0,36,641,72,0,748,0,0,0,4,295,101,0,398,2074,367,13,2455,7033,491,7,9985
POA2048,69,16,0,84,629,31,0,739,4,41,0,44,393,31,0,471,5,15,0,20,257,42,0,312,0,3,0,3,107,15,0,127,1190,131,10,1331,4850,312,13,6503
POA2049,89,41,0,134,967,71,0,1177,7,64,4,80,667,72,3,821,0,21,0,25,355,49,0,433,0,0,0,3,134,60,0,192,1809,236,34,2072,7752,733,24,10585
POA2050,38,31,0,70,638,124,5,839,8,49,0,53,361,133,0,555,0,3,0,5,164,116,0,286,0,0,0,0,45,111,0,157,904,173,15,1090,6895,1069,34,9091
POA2060,102,76,3,181,1308,86,5,1579,19,188,0,206,1045,58,10,1319,0,48,0,53,749,64,4,872,0,0,0,5,215,47,0,268,1895,426,21,2347,10128,792,67,13325
POA2061,34,33,0,67,700,69,0,831,9,78,0,86,578,55,13,730,0,24,0,24,431,41,4,503,0,0,0,0,117,22,0,144,501,186,8,691,4424,434,38,5596
POA2062,71,31,0,103,616,16,0,741,6,80,0,92,520,21,4,636,0,26,0,27,308,20,0,354,0,0,0,0,77,7,0,81,1456,194,14,1657,3798,148,7,5615
POA2063,111,37,0,147,669,12,5,831,6,109,0,122,516,12,0,654,3,26,0,28,365,19,0,415,0,0,0,0,255,15,0,273,1347,216,15,1576,3375,147,12,5112
POA2064,75,37,0,114,712,15,3,847,14,74,3,93,558,25,8,687,3,12,0,14,315,12,3,341,0,0,0,0,142,8,0,150,2036,192,19,2242,4917,275,24,7458
POA2065,230,146,6,379,2583,208,15,3191,39,339,0,378,2054,237,26,2699,7,67,0,75,1171,221,10,1471,0,5,0,5,397,200,0,602,5400,775,64,6237,19806,1852,115,28008
POA2066,342,182,4,526,2740,86,22,3371,33,365,0,401,2109,76,16,2600,4,79,0,84,1392,52,6,1537,0,4,0,4,588,97,0,694,7043,888,73,8007,18005,878,76,26961
POA2067,232,146,4,379,2129,99,50,2668,74,268,6,342,1820,77,33,2277,16,60,0,69,1104,52,3,1230,0,0,0,5,639,31,0,671,5175,630,41,5850,15669,973,220,22705
POA2068,191,83,0,270,1802,48,4,2123,25,213,0,244,1240,30,6,1517,3,54,0,60,781,46,3,885,0,10,0,10,381,65,0,451,3717,485,40,4242,8887,396,41,13560
POA2069,182,114,0,296,1402,43,13,1754,36,219,5,257,1086,37,12,1389,5,51,0,60,729,37,0,833,0,0,0,3,325,51,0,379,3084,499,35,3608,7607,328,53,11598
POA2070,169,99,3,275,1391,30,13,1711,45,217,4,264,1036,27,9,1340,8,48,0,51,774,26,6,862,0,5,0,6,388,9,0,410,3185,464,22,3678,7566,272,48,11564
POA2071,207,111,8,326,1343,31,17,1710,35,187,4,222,995,29,8,1250,4,46,0,53,734,32,0,819,0,5,0,5,354,75,0,430,2744,440,25,3203,7457,300,62,11021
POA2072,96,59,0,155,838,29,7,1036,31,125,0,158,570,21,0,757,0,28,0,30,378,8,0,423,0,0,0,3,171,11,0,182,1743,279,12,2029,4951,270,30,7282
POA2073,216,117,5,338,1823,47,14,2226,34,288,0,315,1209,38,7,1570,9,45,0,50,763,26,0,839,0,3,0,3,342,9,0,352,3726,557,21,4308,8911,327,37,13591
POA2074,274,207,7,492,2277,60,18,2840,42,352,5,396,1763,46,15,2224,16,122,0,139,1706,68,8,1919,0,4,0,4,1039,127,0,1171,4664,862,46,5571,12819,475,55,18924
POA2075,266,184,6,458,2080,53,13,2604,71,334,3,411,1672,56,22,2152,5,88,0,97,1535,35,9,1674,0,3,0,3,702,30,0,732,4835,749,46,5631,11042,335,66,17062
POA2076,314,207,5,520,2452,68,14,3052,57,365,0,422,1876,71,26,2394,10,93,0,101,1689,114,7,1915,0,4,0,3,1075,154,0,1238,5241,859,40,6140,13769,700,80,20688
POA2077,274,278,12,570,3650,115,30,4366,86,434,4,528,2789,151,51,3524,5,73,0,81,1598,144,18,1841,0,4,0,3,641,161,0,808,9159,1131,92,10378,22661,1481,144,34666
POA2079,54,92,0,142,909,17,6,1078,12,72,0,82,518,15,7,627,7,18,0,21,306,6,8,336,0,0,0,0,90,3,0,95,1627,262,22,1908,4203,123,29,6255
POA2080,13,15,0,31,201,11,0,240,0,26,0,34,130,0,0,161,0,11,0,9,83,0,0,93,0,0,0,0,22,0,0,23,373,73,0,444,890,30,0,1368
POA2081,69,59,0,127,627,4,0,758,4,54,0,56,376,7,0,446,0,14,0,14,257,13,0,281,0,0,0,0,52,4,0,53,1124,169,21,1306,2849,57,4,4227
POA2082,46,36,0,84,545,7,0,639,5,95,0,102,465,8,0,575,0,24,0,23,258,9,0,290,0,0,0,0,62,6,0,71,1190,221,8,1414,2760,69,0,4250
POA2083,21,26,0,46,281,5,0,341,0,7,0,13,208,18,0,236,0,6,0,12,107,13,0,128,0,0,0,0,17,0,0,21,264,61,5,330,1030,87,0,1447
POA2084,48,46,4,95,422,13,0,530,11,66,3,76,334,9,5,417,0,12,0,15,276,0,0,298,0,0,0,0,130,11,0,141,676,161,11,845,2158,75,8,3085
POA2085,111,88,0,198,1039,23,3,1261,15,180,0,197,992,18,4,1209,8,55,0,63,1051,25,0,1133,0,0,0,0,455,21,0,486,2254,406,26,2680,6384,160,8,9237
POA2086,167,106,5,272,1271,62,3,1608,20,175,3,203,902,66,3,1170,0,44,0,51,809,73,0,932,0,0,0,0,248,62,0,314,3238,439,28,3707,7061,485,13,11268
POA2087,171,83,7,258,1271,42,0,1574,17,141,3,159,843,21,0,1029,0,44,0,47,886,44,9,980,3,5,0,9,387,64,0,457,2847,377,41,3264,6715,304,18,10302
POA2088,373,180,5,554,2927,88,18,3582,58,449,3,510,2373,74,9,2968,9,151,0,161,1899,81,5,2147,0,3,0,3,856,45,0,912,4911,990,48,5948,16430,719,77,23174
POA2089,81,54,0,130,1012,31,5,1187,10,122,0,131,794,45,5,971,3,20,0,23,521,47,5,596,0,0,0,0,182,58,0,235,1694,294,20,2011,7286,405,30,9735
POA2090,128,63,0,190,1307,41,0,1545,27,199,0,220,1178,44,8,1448,0,39,0,41,753,23,3,819,0,0,0,0,234,28,0,260,2203,401,20,2626,8338,383,32,11382
POA2092,96,47,6,144,724,22,4,896,6,94,0,96,456,16,3,582,4,26,0,24,328,18,0,380,0,0,0,0,139,16,0,155,1669,228,19,1923,3465,180,17,5585
POA2093,299,138,4,446,2199,69,8,2721,46,289,0,336,1453,50,7,1841,3,67,0,67,1013,28,0,1107,0,0,0,3,499,23,0,522,5283,707,67,6058,11680,477,36,18256
POA2094,75,44,0,123,630,13,4,772,9,86,0,94,400,9,3,502,0,29,0,27,272,5,3,313,0,4,0,4,90,5,0,98,1158,218,15,1395,3382,162,20,4955
POA2095,153,134,7,293,1446,69,10,1813,14,188,0,203,1011,43,7,1265,4,58,0,59,743,38,4,843,0,0,0,0,339,21,0,362,2508,556,36,3095,10111,646,91,13943
POA2096,127,113,0,244,1311,36,0,1590,12,197,4,207,780,30,4,1021,4,42,0,44,485,18,0,546,0,0,0,0,185,10,0,192,2832,476,48,3358,8343,360,20,12080
POA2097,148,139,4,290,1600,54,4,1948,26,253,0,281,1056,37,4,1377,3,56,0,61,807,27,0,889,0,0,0,0,364,19,0,386,3078,590,38,3704,8699,406,28,12839
POA2099,346,326,13,684,3927,157,10,4776,55,422,5,482,2618,120,5,3232,6,89,0,98,1960,107,10,2171,0,7,0,8,826,81,4,922,7984,1276,113,9372,24220,1417,74,35087
POA2100,208,171,0,379,2132,57,5,2573,18,301,3,320,1373,60,7,1760,5,63,0,60,990,80,0,1133,0,4,0,6,436,133,0,585,4487,741,57,5284,11398,666,32,17379
POA2101,171,213,6,387,1967,84,6,2435,23,310,5,338,1534,79,0,1953,4,65,0,71,1295,82,0,1451,0,3,0,4,859,102,0,964,3698,792,55,4541,10966,715,25,16246
POA2102,60,90,0,151,712,22,4,888,10,120,0,127,508,32,0,670,0,16,0,15,438,79,0,529,0,0,0,0,145,155,0,300,1813,318,23,2149,3876,437,7,6468
POA2103,99,128,0,230,1160,53,3,1453,14,224,0,238,1056,65,5,1357,5,43,0,49,775,98,0,924,0,0,0,0,323,116,0,440,1824,511,32,2365,6097,544,22,9028
POA2104,33,58,0,93,422,25,0,540,3,101,0,104,493,19,0,610,3,18,0,18,559,38,0,622,0,0,0,0,260,31,0,298,456,203,10,671,2456,164,3,3298
POA2105,35,28,0,64,316,10,0,388,0,40,0,41,243,22,0,298,0,10,0,10,130,13,0,148,0,0,0,0,27,0,0,33,312,88,0,405,1216,85,11,1712
POA2106,121,130,3,250,1266,50,3,1575,14,166,0,181,912,23,3,1120,0,33,0,33,535,24,0,592,0,0,0,5,153,10,0,161,1676,434,39,2153,5597,258,8,8016
POA2107,223,176,0,407,1901,51,4,2361,19,368,3,389,1551,38,0,1979,3,72,0,80,944,44,0,1072,0,0,0,0,326,69,3,402,2876,760,52,3683,8267,425,37,12411
POA2108,19,25,0,48,297,14,0,356,6,46,0,47,295,4,3,351,0,19,0,20,207,12,0,242,0,0,0,0,34,5,0,40,226,103,3,333,1239,78,4,1652
POA2110,112,96,0,207,956,47,6,1214,21,186,0,205,791,71,8,1066,0,55,0,53,562,104,0,725,0,3,0,3,357,228,0,592,1682,443,18,2146,5147,620,22,7933
POA2111,102,95,3,204,1529,48,3,1782,17,171,0,190,1144,38,4,1378,3,47,0,48,740,55,0,847,0,0,0,3,301,116,0,420,2694,463,28,3182,9031,500,15,12734
POA2112,281,276,6,568,3437,151,18,4165,66,382,3,450,2396,137,41,3031,8,59,0,72,1460,128,5,1660,0,4,0,11,706,183,0,892,7127,1017,59,8202,21559,1504,107,31372
POA2113,162,153,3,320,2092,163,38,2607,39,225,0,266,1433,92,17,1819,7,43,0,47,944,67,3,1062,0,0,0,0,577,62,0,640,4610,625,32,5269,16974,1535,124,23901
POA2114,192,169,6,365,2340,91,21,2817,47,278,6,332,1724,72,22,2158,9,34,0,46,957,69,4,1068,0,5,0,0,376,74,0,452,4457,675,33,5161,15167,868,76,21270
POA2115,91,103,0,189,1200,61,3,1456,17,83,0,103,881,53,3,1039,0,22,0,24,431,30,4,495,0,0,0,0,199,26,0,228,2344,319,17,2688,6858,558,25,10129
POA2116,59,46,0,98,774,50,0,921,18,59,0,76,436,34,0,542,0,9,0,6,264,25,0,299,0,0,0,0,101,7,0,108,1332,167,10,1503,4003,346,12,5862
POA2117,183,188,0,366,2410,123,5,2904,49,189,3,237,1586,81,14,1918,4,29,0,35,922,39,3,1003,0,10,0,10,423,23,0,457,4052,607,29,4682,12339,847,48,17922
POA2118,262,247,0,512,2567,86,24,3194,87,342,6,432,1944,65,20,2460,15,72,5,82,1317,43,12,1452,0,5,0,3,528,27,0,562,5942,813,36,6794,14387,726,81,21990
POA2119,140,118,6,258,1293,41,12,1600,26,223,5,257,1020,30,11,1313,10,49,0,54,785,40,10,880,0,6,0,6,279,52,0,335,2488,494,20,2999,6648,301,39,9985
POA2120,195,164,3,356,2225,41,15,2636,38,288,0,325,1610,35,18,1990,0,60,0,65,1135,33,4,1238,6,0,0,3,415,10,0,426,4237,658,45,4945,11479,363,49,16838
POA2121,284,233,3,524,3134,61,33,3754,118,436,14,566,2186,62,30,2846,16,71,0,89,1255,27,12,1380,0,0,0,4,604,37,4,638,7009,942,56,8010,18734,816,119,27678
POA2122,255,198,8,465,3099,135,34,3735,127,360,5,497,2457,86,21,3058,16,70,0,84,1481,80,13,1664,3,4,0,12,801,47,0,860,5524,816,46,6388,18567,1109,122,26190
POA2125,152,194,4,351,2057,21,12,2438,60,332,4,393,1696,45,14,2144,0,49,0,51,807,16,8,885,0,6,0,6,281,9,0,291,3153,733,44,3925,9283,248,51,13509
POA2126,180,228,0,409,2174,34,8,2629,41,302,5,349,1667,35,16,2061,10,54,0,64,869,73,4,1011,0,4,0,0,332,172,0,506,3745,708,37,4488,10509,496,49,15549
POA2127,108,112,4,224,1363,55,25,1653,39,130,0,174,849,44,17,1081,3,17,0,21,282,15,4,326,0,0,0,0,53,0,0,61,4255,434,43,4725,13825,956,92,19593
POA2128,14,16,0,30,162,74,0,272,0,13,0,16,106,24,3,144,0,3,0,6,38,12,0,53,0,0,0,0,16,0,0,16,424,62,4,490,1199,1502,3,3197
POA2130,59,28,0,83,638,34,3,757,3,40,0,49,437,21,0,508,0,5,0,5,216,12,0,233,0,0,0,0,126,0,0,131,1184,143,10,1334,4568,241,14,6155
POA2131,161,105,3,266,1985,108,16,2376,20,129,4,158,1577,89,16,1835,6,34,0,42,1134,59,0,1236,0,0,0,0,782,33,0,815,3111,469,21,3603,15685,945,66,20300
POA2132,103,79,0,180,1111,55,3,1340,31,112,4,145,810,44,8,1003,6,29,0,36,589,74,0,702,0,6,0,5,332,110,0,448,1890,291,21,2199,6349,447,27,9019
POA2133,96,69,0,167,1175,42,4,1386,13,106,0,123,936,23,4,1085,3,27,0,28,530,20,3,584,0,0,0,0,231,14,0,243,1907,290,26,2224,6357,334,12,8931
POA2134,119,103,3,224,1358,83,12,1679,47,100,3,141,965,72,8,1183,10,26,0,36,556,67,5,660,0,3,0,3,329,80,0,412,2076,317,16,2411,12847,1206,90,16551
POA2135,186,166,5,355,2252,98,21,2730,40,238,7,288,1547,72,15,1924,9,65,4,75,1119,58,14,1266,3,6,0,12,653,39,3,702,3010,688,28,3734,17890,1366,109,23096
POA2136,51,53,0,108,829,44,0,976,9,79,0,92,546,21,4,656,0,19,0,23,377,46,0,451,0,0,0,0,162,30,0,196,1263,200,12,1475,4634,371,14,6489
POA2137,232,264,5,502,2875,93,14,3484,52,356,3,415,2290,78,12,2794,4,55,4,68,1560,66,5,1701,0,3,0,6,662,51,6,718,4787,890,55,5737,16405,842,64,23045
POA2138,104,128,0,229,1409,142,24,1806,24,153,8,186,1041,181,8,1421,5,24,0,31,531,170,0,731,0,3,0,3,168,140,0,307,3281,429,27,3738,12153,1462,74,17434
POA2140,104,86,0,185,1108,75,20,1388,19,57,0,75,669,44,19,802,5,11,0,11,314,18,4,352,0,0,0,0,111,10,0,122,3391,297,17,3712,12501,1263,76,17545
POA2141,211,201,4,418,3128,198,19,3758,49,177,5,233,2003,101,15,2348,6,32,0,42,948,73,4,1072,0,3,0,7,366,66,0,441,4409,740,37,5190,20576,1931,84,27780
POA2142,137,131,0,270,1891,233,17,2417,48,114,0,166,1377,132,13,1688,4,13,0,12,679,59,0,755,0,0,0,0,231,15,0,249,4070,525,47,4644,15864,2286,88,22880
POA2143,66,57,3,131,1029,50,3,1214,13,54,0,70,684,40,3,801,5,8,0,11,314,14,0,339,0,0,0,0,136,5,0,149,1465,234,11,1710,5654,463,16,7843
POA2144,223,172,14,403,2901,342,13,3660,46,133,3,179,1873,230,7,2292,13,21,0,37,1024,143,4,1214,0,4,0,4,407,113,0,531,5199,746,57,6003,23014,3413,128,32558
POA2145,424,451,8,893,6473,550,62,7969,77,493,3,576,5217,506,61,6352,18,106,5,133,3257,473,21,3881,0,10,0,8,1169,422,3,1604,17070,1789,142,19000,44967,5921,221,70110
POA2146,90,136,6,226,1600,74,13,1915,17,127,3,155,1241,45,7,1452,4,37,0,37,767,44,3,858,0,0,0,0,232,21,0,256,3800,502,27,4330,10186,898,33,15451
POA2147,198,285,0,481,3566,193,21,4261,54,343,4,405,2977,144,24,3546,5,62,0,70,1567,120,5,1760,0,5,0,3,571,62,0,642,6628,1115,73,7815,20519,1725,66,30122
POA2148,367,477,11,858,5515,396,33,6799,80,371,3,458,4352,310,37,5158,10,62,0,72,2500,278,0,2856,0,3,0,9,1095,189,0,1286,11612,1794,146,13548,36948,4009,129,54643
POA2150,122,93,10,230,1751,136,38,2153,34,87,4,124,1229,94,27,1469,8,16,0,18,585,63,4,672,0,0,0,0,231,43,0,275,6092,371,41,6511,20635,2328,145,29623
POA2151,124,138,4,263,1979,117,9,2369,34,187,0,224,1493,67,13,1804,10,41,0,49,939,90,0,1081,0,0,0,0,366,72,0,438,3914,556,42,4517,11763,1015,46,17338
POA2152,51,54,0,108,962,28,8,1108,10,76,3,84,795,48,7,933,3,16,0,19,678,57,0,749,0,0,0,0,281,56,0,339,2142,239,19,2397,6255,384,18,9055
POA2153,406,567,7,975,5616,199,29,6823,137,871,13,1019,4730,173,49,5969,17,158,0,175,3264,168,13,3614,4,0,0,6,1169,161,5,1337,13230,2082,135,15447,32809,1591,147,49994
POA2154,295,419,9,725,4069,89,19,4905,115,624,8,743,3319,109,34,4204,13,106,0,120,2215,179,6,2524,0,0,0,3,1141,216,0,1363,7931,1486,77,9492,22398,1147,107,33148
POA2155,437,577,11,1028,5569,157,49,6798,103,659,16,777,3422,110,66,4374,14,114,0,131,1789,137,6,2074,6,3,0,7,399,153,0,563,17598,2158,182,19932,35872,1830,175,57809
POA2156,128,193,0,322,1418,31,3,1773,18,198,0,218,1278,31,4,1536,6,32,0,38,1048,44,0,1136,0,0,0,0,405,28,0,435,2201,579,31,2810,7888,277,18,10987
POA2157,34,44,3,83,434,16,0,534,0,78,0,78,335,15,0,425,0,9,0,9,208,7,0,222,0,0,0,0,59,3,0,62,696,181,14,884,2258,87,0,3235
POA2158,88,103,0,195,982,41,4,1226,13,123,0,136,772,31,0,934,0,34,0,38,632,39,0,709,0,4,0,4,273,45,3,321,1550,369,16,1940,5140,288,17,7387
POA2159,58,55,3,116,599,24,0,732,7,85,0,94,467,23,0,578,0,17,0,17,386,8,0,414,0,0,0,0,167,13,0,183,845,219,21,1085,2983,171,10,4246
POA2160,235,222,8,463,3175,341,10,3994,36,178,4,219,2211,200,30,2659,19,39,3,54,1278,121,3,1452,0,0,0,0,564,63,0,625,5891,811,65,6768,21167,3250,81,31259
POA2161,186,195,6,387,2714,258,3,3365,30,113,6,146,1915,184,3,2243,7,21,0,30,1057,133,6,1222,0,0,0,0,427,125,6,553,5062,730,75,5863,17777,2647,41,26333
POA2162,140,97,0,237,1963,165,0,2362,19,101,0,119,1317,113,4,1558,5,16,0,19,647,83,4,758,0,0,0,4,362,109,0,470,2887,435,22,3342,10906,1503,23,15780
POA2163,63,58,6,121,940,148,0,1213,16,42,0,55,752,107,0,914,0,7,0,4,279,90,0,375,0,0,0,0,128,101,0,227,1335,221,20,1572,5445,1430,8,8462
POA2164,138,145,3,284,2169,132,4,2584,40,132,0,168,1815,116,5,2108,13,39,0,47,1034,84,0,1171,0,6,0,8,417,59,0,484,2920,525,32,3479,12585,961,21,17045
POA2165,339,186,14,539,4823,399,15,5773,67,166,3,246,3556,279,8,4086,17,36,0,49,2004,171,3,2230,3,0,0,0,696,101,6,801,5321,779,66,6167,27385,2817,66,36438
POA2166,538,327,15,879,6118,467,29,7499,105,285,0,389,4040,297,17,4749,14,52,0,69,1918,241,5,2229,3,0,0,3,934,265,0,1201,7026,1146,70,8239,33085,3471,117,44914
POA2167,43,86,0,135,881,46,6,1058,11,60,0,74,579,56,9,715,0,11,0,17,258,142,0,415,0,0,0,0,122,201,0,319,2081,278,21,2380,5146,712,19,8254
POA2168,289,322,12,621,4889,394,15,5921,56,224,4,281,2880,218,10,3395,8,42,0,54,1424,119,4,1600,3,3,0,9,426,37,0,469,6161,1184,113,7452,25110,2549,44,35150
POA2170,668,738,23,1429,10113,852,36,12427,108,601,7,717,7181,661,45,8606,18,103,3,123,4107,627,13,4872,3,4,0,13,1443,504,13,1963,18582,2748,227,21561,61232,7722,179,90697
POA2171,256,266,10,535,3363,133,0,4031,40,203,0,242,1886,82,3,2214,4,25,0,28,755,36,0,829,0,4,0,4,247,11,0,263,7419,953,87,8463,19797,1224,30,29512
