POA_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
POA3015,166,155,0,321,1630,55,6,2019,15,220,6,237,871,54,7,1166,5,32,6,38,495,46,0,583,0,9,0,9,268,35,0,316,4152,637,75,4867,8979,580,29,14453
POA3016,199,186,0,389,2003,70,3,2455,16,306,0,319,1357,62,0,1729,3,48,0,52,721,49,0,827,0,4,0,4,283,24,0,311,2912,720,45,3681,8885,478,14,13054
POA3018,85,176,0,262,1265,61,11,1597,20,221,3,242,1048,45,6,1338,4,59,0,62,762,46,0,872,0,3,0,4,354,30,0,386,2403,602,64,3071,7460,486,20,11040
POA3019,65,69,9,137,788,77,6,1008,11,82,3,91,628,65,0,783,0,12,0,13,260,16,0,287,0,5,0,5,105,12,0,113,1293,278,24,1592,5941,656,17,8209
POA3020,289,396,21,708,3750,285,22,4765,67,414,7,487,3023,208,13,3739,14,92,4,107,2116,186,4,2412,0,4,0,7,962,77,0,1047,6047,1498,127,7670,26419,2813,99,37003
POA3021,372,577,13,967,4787,474,28,6254,84,629,3,721,4569,384,27,5697,19,106,0,127,2511,358,6,2993,4,8,0,13,809,277,6,1100,7020,2031,131,9181,32109,4415,121,45826
POA3022,7,20,0,28,219,40,0,284,6,37,0,41,186,23,0,254,3,7,0,7,128,11,0,149,0,0,0,0,94,5,0,103,457,126,10,590,1742,334,4,2665
POA3023,387,662,14,1059,4898,373,35,6368,66,644,10,720,3466,236,34,4460,18,100,0,117,1682,161,3,1966,0,9,0,9,486,78,3,572,12078,2422,212,14712,32899,5136,120,52865
POA3024,130,294,9,426,1753,94,32,2307,24,198,0,218,1129,62,27,1433,3,27,0,28,461,29,0,517,0,4,0,4,132,11,0,151,7733,1145,149,9025,14257,1433,82,24801
POA3025,67,83,0,152,842,50,5,1048,12,126,0,140,766,42,0,949,0,35,0,42,878,66,0,984,0,4,0,5,511,50,0,560,2171,423,43,2635,7024,659,8,10324
POA3026,61,60,0,121,514,48,4,692,7,62,5,72,234,21,3,329,0,9,0,10,103,6,3,120,0,0,0,0,20,0,0,20,1999,254,38,2283,3672,371,17,6350
POA3027,50,67,4,121,386,32,19,552,16,60,0,75,212,19,10,311,0,5,0,3,42,0,0,49,0,0,0,0,10,0,0,10,2163,260,54,2471,4222,461,41,7184
POA3028,155,373,0,528,2959,159,9,3658,42,338,0,381,2102,106,11,2602,13,50,0,59,1062,62,0,1192,0,0,0,0,458,33,0,494,4548,1157,85,5789,16132,1345,44,23308
POA3029,569,1085,28,1690,6859,459,156,9159,164,930,8,1110,4378,291,130,5901,11,116,5,133,2085,141,26,2388,0,4,0,4,481,41,0,533,28004,4036,415,32457,55499,7594,426,95975
POA3030,622,1081,25,1726,7771,429,70,9996,180,1087,14,1285,5095,341,117,6833,14,155,5,172,2646,249,25,3092,6,3,0,7,962,184,0,1159,26123,4149,518,30787,54163,5248,311,90502
POA3031,98,97,0,200,1301,88,3,1585,12,157,0,169,928,63,0,1161,0,29,0,27,451,30,0,507,0,0,0,0,213,20,0,232,2461,513,72,3040,11072,824,31,14972
POA3032,197,270,5,472,2590,129,13,3202,27,373,3,393,1656,95,8,2161,6,70,0,74,832,51,5,953,0,0,0,0,306,45,0,353,4740,1064,76,5884,17938,1238,61,25126
POA3033,88,192,5,291,1294,42,5,1623,12,288,3,310,1098,44,10,1456,3,82,0,85,1265,66,0,1420,0,5,0,5,484,18,0,509,2582,732,36,3352,8508,471,15,12348
POA3034,65,147,0,213,1110,40,3,1375,16,245,3,268,1092,48,0,1412,7,61,0,68,1128,52,0,1248,0,0,0,0,562,33,0,595,1947,584,30,2563,7335,419,13,10333
POA3036,44,105,0,146,663,15,0,824,14,162,3,175,521,25,3,726,6,38,0,49,403,12,0,468,0,5,0,5,204,16,0,224,961,368,21,1349,3454,173,7,4986
POA3037,338,625,13,973,4601,213,9,5803,73,469,0,544,2829,133,14,3518,9,81,0,91,1421,69,8,1588,0,0,0,0,545,37,3,586,9410,1959,149,11518,27630,1810,61,41018
POA3038,195,646,10,847,3461,112,4,4434,46,618,7,673,2360,108,9,3149,11,86,0,99,1282,48,0,1430,0,3,0,3,439,20,0,459,3639,1718,75,5432,16443,890,28,22800
POA3039,135,161,4,296,1501,67,4,1869,10,262,0,271,1002,46,4,1327,8,49,0,61,617,54,0,724,0,6,0,6,393,16,0,411,2426,664,50,3138,10141,486,37,13795
POA3040,202,307,5,509,2718,100,3,3335,36,479,0,519,1683,69,0,2262,15,93,0,107,1012,38,4,1158,3,5,0,10,574,39,0,620,4388,1185,63,5630,15910,802,31,22375
POA3041,108,182,3,288,1252,44,0,1590,18,283,0,306,879,38,6,1224,4,52,0,53,507,30,0,597,0,0,0,0,271,9,0,286,2404,649,38,3099,7220,372,15,10701
POA3042,85,204,4,294,1526,68,0,1894,18,301,5,320,1207,52,9,1583,11,65,0,73,933,64,3,1078,0,5,0,9,439,35,0,481,2935,774,57,3763,9499,521,24,13810
POA3043,88,220,5,312,1607,83,10,2010,12,314,6,334,1628,76,6,2043,4,76,0,82,1182,80,0,1341,0,4,0,10,332,40,0,380,2750,846,50,3639,10456,806,71,14971
POA3044,207,237,4,449,2402,95,7,2948,31,282,0,315,1423,76,6,1816,5,48,0,55,1099,69,8,1220,0,6,0,9,903,64,6,973,5330,905,95,6321,16099,949,38,23405
POA3045,3,0,0,3,14,24,7,47,0,0,0,0,4,19,0,24,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,19,3,0,24,64,227,58,373
POA3046,139,283,7,428,2763,165,13,3368,29,286,0,324,1765,132,10,2227,4,66,4,74,1593,139,3,1810,0,0,0,7,1014,156,0,1181,5756,1077,93,6929,21138,2101,67,30231
POA3047,102,138,9,246,1676,223,4,2158,20,99,3,122,1090,120,3,1339,0,27,0,33,747,107,0,889,0,0,0,0,276,41,0,322,2815,580,36,3436,11411,2043,28,16918
POA3048,107,145,3,255,1719,144,3,2120,13,110,0,129,1169,81,0,1372,3,17,0,19,677,52,3,749,0,0,0,0,196,15,0,209,2273,553,34,2862,10216,1155,20,14246
POA3049,41,184,5,229,1089,56,5,1377,10,170,3,182,777,42,3,998,4,21,0,25,431,33,5,487,0,0,0,0,150,15,0,164,1444,512,35,1987,5780,426,17,8214
POA3051,76,54,0,134,874,128,4,1145,21,87,0,105,612,78,5,802,3,18,0,21,279,32,0,328,0,3,0,0,106,13,0,130,1601,333,25,1962,10044,1298,53,13354
POA3052,32,23,0,55,394,101,0,549,8,51,0,60,318,69,6,447,0,24,0,24,273,59,0,351,0,0,0,0,188,49,0,238,698,204,13,917,6295,901,52,8163
POA3053,42,39,3,80,679,46,11,819,11,95,0,106,504,36,4,652,0,28,0,28,364,37,0,431,0,0,0,0,191,18,0,209,865,308,12,1180,12813,1013,127,15142
POA3054,66,50,5,122,639,22,0,789,13,147,0,161,512,25,0,701,0,52,0,52,321,16,0,386,0,0,0,0,123,7,0,139,1014,370,23,1405,5416,247,20,7094
POA3055,98,75,6,177,1097,43,3,1320,10,131,0,143,723,39,3,909,3,33,0,41,486,42,0,568,0,4,0,0,249,28,3,286,2068,462,50,2573,9599,495,21,12691
POA3056,134,124,3,260,1724,63,7,2059,11,176,0,198,1172,72,4,1442,3,59,0,65,822,51,4,943,4,0,0,3,405,26,0,439,2912,716,56,3692,17540,802,54,22087
POA3057,73,61,0,132,740,36,6,913,4,81,0,88,465,31,6,585,4,32,0,30,319,13,0,375,0,3,0,3,157,9,0,167,1501,392,45,1935,9368,470,25,11797
POA3058,255,233,4,490,2815,131,11,3453,30,290,0,326,1932,114,6,2367,8,59,0,65,1438,118,0,1627,0,3,0,4,845,140,4,991,5871,1028,132,7027,20721,1359,52,29161
POA3059,111,312,7,426,2063,76,6,2564,21,246,0,266,1214,55,0,1537,0,45,0,44,507,18,3,572,0,6,0,6,124,0,0,126,3901,916,55,4864,11186,594,17,16670
