POA_CODE_2021,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
POA2000,2667,5180,1611,1745,1561,1139,465,1482,402,16249
POA2007,468,1346,348,455,400,296,159,351,84,3908
POA2008,800,2475,399,555,625,411,102,239,92,5703
POA2009,1541,2626,484,598,793,441,153,309,144,7082
POA2010,3475,7583,910,1089,1595,969,234,571,305,16722
POA2011,2635,4781,927,1206,1218,624,161,324,178,12059
POA2015,1630,3344,529,462,849,482,139,207,115,7754
POA2016,1251,3212,499,520,761,421,152,320,144,7277
POA2017,2955,6859,1404,1133,1905,1175,395,711,299,16834
POA2018,1617,3286,1047,896,1409,823,487,637,196,10401
POA2019,1252,1799,860,696,1116,554,395,438,125,7234
POA2020,1553,3610,1426,1255,1699,989,653,1001,287,12473
POA2021,1999,4124,376,439,845,557,80,150,134,8706
POA2022,1464,2939,543,516,728,460,128,313,156,7243
POA2023,1262,2353,240,290,563,394,43,110,164,5408
POA2024,1309,2610,388,353,592,357,57,132,106,5907
POA2025,828,1759,129,177,321,250,18,58,75,3606
POA2026,4185,7981,1251,1226,1648,1318,328,561,385,18888
POA2027,1033,1718,129,192,403,266,21,68,127,3962
POA2028,620,1152,92,116,273,175,23,37,77,2553
POA2029,1188,1903,302,351,572,383,62,112,123,4995
POA2030,1778,2615,285,398,756,515,47,122,166,6683
POA2031,3563,8025,1486,1370,2045,1152,355,631,291,18926
POA2032,883,2459,651,652,852,517,277,449,116,6854
POA2033,859,2293,510,519,762,460,160,307,91,5959
POA2034,2370,4695,900,800,1249,699,147,312,220,11393
POA2035,2889,5624,1662,1448,2129,1193,550,893,300,16684
POA2036,2370,4047,1848,1563,2216,1226,818,1053,273,15406
POA2037,1617,4041,510,629,978,509,137,287,167,8878
POA2038,1121,2372,325,340,559,327,71,112,76,5305
POA2039,1286,2003,287,223,520,304,72,126,55,4878
POA2040,2728,5086,843,858,1340,753,213,341,158,12326
POA2041,2186,3636,393,418,842,475,69,143,98,8264
POA2042,2036,5232,838,936,1291,648,223,356,166,11736
POA2043,1408,3232,390,334,703,323,78,108,90,6670
POA2044,910,1760,433,338,618,298,158,228,70,4818
POA2045,624,1173,244,230,425,252,72,110,29,3153
POA2046,3013,4644,1152,906,2000,1036,320,508,231,13809
POA2047,1486,2416,407,379,857,456,89,183,121,6390
POA2048,760,2016,320,350,536,264,85,145,40,4524
POA2049,1206,3074,517,537,873,383,151,275,79,7091
POA2050,1069,2755,362,505,628,341,72,135,66,5940
POA2060,1864,4179,461,488,1065,468,71,179,158,8937
POA2061,864,1619,107,125,376,205,23,48,53,3415
POA2062,947,1706,194,225,456,235,33,76,44,3909
POA2063,718,1250,122,172,323,181,28,51,71,2921
POA2064,807,2189,299,328,592,295,83,167,76,4829
POA2065,4233,8942,1018,1066,2165,996,176,376,273,19243
POA2066,3831,7733,1114,1169,2180,1156,253,468,284,18189
POA2067,2294,5102,942,943,1596,978,252,549,254,12918
