POA_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
POA2440,4103,2612,2500,2379,2778,3515,3203,1682,595,23372
POA2441,713,417,327,427,573,811,742,210,57,4275
POA2443,941,579,481,580,896,1513,1898,1350,573,8804
POA2444,8304,5585,4995,5508,6254,6724,7239,5068,2205,51886
POA2445,1128,719,449,672,966,1128,1291,751,148,7249
POA2446,2865,1629,1486,1530,1883,2052,1966,1118,398,14929
POA2447,1363,689,692,755,886,1349,1303,679,255,7968
POA2448,1360,774,734,835,1043,1634,1860,1151,419,9820
POA2449,385,242,204,185,271,395,318,131,32,2167
POA2450,8328,5200,5226,5621,6097,6364,5952,3540,1434,47778
POA2452,2769,1563,1626,1698,1906,1993,1971,1235,530,15281
POA2453,425,165,212,254,330,553,488,256,82,2760
POA2454,1482,775,640,858,1160,1285,1111,507,213,8028
POA2455,459,220,260,272,384,574,695,368,115,3332
POA2456,3160,1611,2163,2119,2028,2358,2569,1126,377,17505
POA2460,5328,3298,3498,3283,3881,4501,4030,2342,937,31084
POA2462,370,225,174,246,325,467,517,216,55,2595
POA2463,1304,702,623,768,1006,1371,1469,789,327,8343
POA2464,947,522,579,691,755,1203,1598,958,319,7576
POA2465,63,36,35,40,46,50,42,26,5,341
POA2466,175,85,84,111,181,395,549,314,71,1962
POA2469,589,352,324,389,573,984,782,311,78,4388
POA2470,3017,1803,1596,1536,1789,1979,2044,1230,507,15509
POA2471,507,364,246,326,366,406,364,173,66,2818
POA2472,366,186,184,233,257,321,286,123,30,1981
POA2473,467,268,248,295,390,542,717,363,151,3439
POA2474,1089,541,495,645,803,1171,1109,473,191,6505
POA2475,52,36,33,27,62,68,78,36,14,412
POA2476,120,66,90,55,119,175,152,70,17,870
POA2477,2190,1329,1143,1341,1666,1853,1732,1106,472,12845
POA2478,5112,2909,3049,3778,4006,4400,4731,2791,1339,32120
POA2479,1139,484,622,786,846,875,728,251,97,5833
POA2480,7871,5142,4997,5406,6250,6977,5766,2731,1166,46308
POA2481,1982,1243,2544,2100,1838,1873,1638,611,206,14035
POA2482,1171,641,708,856,1082,1084,928,347,124,6937
POA2483,1890,1054,1354,1569,1704,1778,1499,604,180,11635
POA2484,3443,2029,1653,2301,2695,3313,2762,1297,583,20081
POA2485,1904,1251,1817,1674,1638,2146,2489,1845,829,15603
POA2486,5135,3307,3062,3421,3893,4328,4629,3465,1630,32879
POA2487,2779,1407,1164,1937,2108,2322,2216,1135,411,15479
POA2488,712,347,380,478,496,558,343,158,60,3539
POA2489,1733,633,579,1121,975,938,1062,644,246,7938
POA2490,145,67,83,81,78,127,73,23,8,690
POA2500,5352,7958,8424,5020,4735,4663,3749,2487,1070,43461
POA2502,2403,1422,1674,1495,1474,1469,1204,928,423,12500
POA2505,875,527,660,626,631,713,507,325,196,5054
POA2506,1483,947,975,915,989,1061,764,424,208,7781
POA2508,1976,1103,997,1294,1348,1222,784,374,142,9252
POA2515,2291,1261,1059,1503,1671,1724,1315,587,210,11625
POA2516,1463,815,602,976,992,849,628,299,141,6764
POA2517,2658,1512,1347,1836,1912,1653,1405,962,526,13810
POA2518,3356,2286,2565,2434,2482,2620,2036,1306,653,19724
POA2519,2927,2245,2081,2106,2163,2086,1733,1252,462,17066
POA2525,2435,1623,1260,1627,1684,1336,1189,841,383,12375
POA2526,3141,2100,2115,2088,2089,2135,1546,905,503,16626
POA2527,5469,3197,3930,3298,3126,2982,2225,1127,514,25868
POA2528,3990,2701,2602,2552,2871,3220,2921,2061,679,23599
POA2529,5468,3727,3192,3697,3922,3767,3059,1598,627,29055
POA2530,6935,4322,4321,4547,4308,4010,3400,2229,778,34853
POA2533,2819,1670,1505,1868,2050,2507,2595,1433,552,17008
POA2534,977,599,540,631,703,848,805,473,207,5775
POA2535,1177,585,572,762,822,1333,1561,975,405,8202
POA2536,2889,1694,1648,1787,2392,3188,3425,1940,687,19653
POA2537,1765,1063,1028,1160,1558,2422,2495,1212,438,13141
POA2538,399,212,158,262,287,420,470,220,151,2584
POA2539,3074,1646,1737,2014,2293,3378,3765,2002,605,20509
POA2540,7476,4809,4830,4914,5775,7229,7560,4391,1359,48347
POA2541,5358,3109,3774,3251,3077,3384,3181,2026,940,28097
POA2545,128,106,79,103,135,217,247,83,10,1104
POA2546,1306,671,751,837,1053,1829,2325,1062,442,10260
POA2548,1093,702,783,749,1013,1404,1622,963,341,8667
POA2549,673,333,334,380,517,669,673,318,136,4038
POA2550,2797,1609,1533,1720,2147,3079,2502,1185,401,16962
POA2551,599,304,288,327,461,612,707,354,138,3783
POA2555,30,14,22,26,22,15,29,14,6,167
POA2556,397,380,256,253,332,346,305,113,33,2422
POA2557,5312,2180,4224,3430,2003,1475,946,380,101,20060
POA2558,2291,1454,1550,1603,1379,1499,920,294,73,11068
POA2559,899,416,434,476,288,232,158,52,11,2968
POA2560,17455,10803,11970,11517,9474,8973,7629,3689,980,82494
POA2563,48,45,37,37,30,36,17,17,4,269
POA2564,3226,1829,1814,2082,1726,1590,1168,601,117,14147
POA2565,7422,3536,5202,5636,3355,3132,2089,917,280,31561
POA2566,6302,3457,3694,4214,3310,3316,2367,834,197,27685
POA2567,9635,5928,4836,5984,6262,4257,2547,1076,239,40771
POA2568,177,141,82,106,127,130,163,204,121,1257
POA2569,262,186,123,166,185,196,182,55,18,1364
POA2570,15746,7368,10126,9740,7162,5460,4570,2356,961,63487
POA2571,2969,1594,1600,1794,1861,1633,1076,423,103,13055
POA2572,1058,685,732,588,637,629,576,358,175,5436
POA2573,1340,690,845,686,757,558,490,272,87,5730
POA2574,1172,757,613,710,834,729,625,354,90,5881
POA2575,3388,1879,2130,2095,2340,2288,2049,1217,388,17785
POA2576,2069,1249,796,1209,1734,1851,2453,2110,860,14336
POA2577,2881,1766,1597,1697,2272,2570,2481,1395,368,17036
POA2578,333,214,173,231,309,473,639,367,126,2863
POA2579,905,417,472,534,580,708,690,388,67,4770
POA2580,5601,3636,4128,3697,3991,4322,3789,2081,835,32085
POA2581,535,228,249,312,396,363,254,127,31,2503
POA2582,2693,1523,1371,1735,2170,1789,1468,731,301,13787
POA2583,715,440,383,406,535,865,723,405,158,4616
POA2584,114,42,42,73,73,86,69,45,11,555
POA2585,31,36,26,21,25,32,38,16,4,231
POA2586,499,257,282,259,375,467,414,239,72,2876
POA2587,518,270,277,274,354,452,453,281,72,2957
POA2588,46,35,20,26,35,52,54,24,7,297
POA2590,1173,656,585,658,803,1076,1143,760,273,7126
POA2594,2450,1373,1297,1332,1397,1585,1426,852,356,12066
POA2619,2085,1332,933,1360,1722,1216,558,235,56,9498
POA2620,8638,4883,7706,6681,6148,5432,3619,1700,588,45392
POA2621,1423,701,702,935,1071,885,573,258,49,6590
POA2622,686,278,357,445,628,743,625,358,89,4196
POA2623,115,56,86,78,86,89,66,15,0,587
POA2624,199,282,274,184,249,287,167,32,3,1680
POA2625,317,215,250,231,302,313,169,35,0,1837
POA2626,90,46,54,54,96,96,43,24,9,505
POA2627,1136,1548,1447,870,1032,848,542,202,45,7665
POA2628,400,223,247,243,330,385,286,107,45,2268
POA2629,55,44,99,116,118,135,92,72,18,762
POA2630,1442,876,1035,1044,1213,1327,1022,696,284,8941
POA2631,102,63,59,52,83,115,95,37,9,614
POA2632,329,188,201,198,223,279,277,158,54,1908
POA2633,45,20,27,39,31,68,64,33,7,328
POA2640,7590,4819,5135,4957,4910,4919,4002,2401,1030,39761
POA2641,3080,2103,2244,1956,1820,1895,1852,1081,366,16399
POA2642,1220,615,488,639,733,806,584,244,73,5403
POA2643,502,267,275,323,334,401,490,251,98,2940
POA2644,407,229,233,237,286,391,354,191,66,2392
POA2645,34,25,26,18,31,78,60,31,18,328
POA2646,1048,643,597,599,830,1050,1019,650,264,6695
POA2647,393,216,195,216,286,349,458,288,79,2484
POA2648,402,217,326,300,355,514,470,223,84,2896
POA2649,10,0,0,10,3,6,4,0,0,26
POA2650,12610,8347,8880,7517,7038,6940,5555,3342,1516,61744
POA2651,660,962,541,428,291,194,132,60,13,3276
POA2652,992,491,499,539,621,693,577,254,79,4735
POA2653,429,242,271,311,331,386,369,202,77,2629
POA2655,325,129,123,152,157,194,173,93,48,1400
POA2656,243,134,97,110,144,218,188,115,61,1313
POA2658,263,146,106,139,157,223,207,146,54,1452
POA2659,168,127,62,93,109,154,85,76,9,879
POA2660,338,182,111,190,187,196,231,139,37,1609
POA2661,78,457,177,64,22,0,3,0,0,800
POA2663,854,603,833,761,695,662,529,297,105,5337
POA2665,377,172,142,209,243,300,324,154,61,1968
POA2666,1027,595,503,522,670,841,768,475,222,5626
POA2668,79,44,20,35,72,67,55,25,7,399
POA2669,312,142,153,173,204,258,185,86,24,1530
POA2671,780,431,514,506,493,546,470,306,148,4203
POA2672,317,155,187,196,155,210,171,97,42,1534
POA2675,313,182,363,221,211,229,145,79,45,1784
POA2678,0,593,45,3,3,0,0,0,0,647
POA2680,4933,3052,3866,3246,3256,3034,2187,1321,669,25554
POA2681,338,260,221,196,265,240,165,104,20,1812
POA2700,965,503,486,532,565,687,577,383,171,4874
POA2701,516,274,271,254,279,304,290,172,91,2459
POA2702,148,82,63,70,108,98,113,75,14,782
POA2703,178,186,66,52,83,65,70,36,5,728
POA2705,2215,1323,1311,1222,1299,1388,969,653,277,10650
POA2706,153,130,146,109,136,175,128,52,10,1037
POA2707,209,116,122,136,146,180,125,57,35,1128
POA2710,1681,966,973,963,1212,1468,1289,781,317,9650
POA2711,527,347,369,305,381,571,386,264,92,3243
POA2712,207,127,109,123,142,205,219,137,70,1347
POA2713,470,248,241,250,331,423,388,266,111,2727
POA2714,420,193,216,250,284,401,607,346,110,2823
POA2715,255,121,158,129,202,249,188,87,45,1433
POA2716,162,77,110,86,108,168,157,86,25,976
POA2717,204,165,108,123,180,169,146,93,21,1216
POA2720,1637,893,892,1018,1066,1199,974,621,227,8529
POA2721,54,18,21,22,38,33,29,16,0,233
POA2722,645,404,374,378,414,499,444,240,81,3482
POA2725,54,20,19,30,53,57,67,30,5,335
POA2726,47,21,34,33,20,51,29,14,10,263
POA2727,75,42,28,50,35,51,44,13,0,345
POA2729,274,150,135,178,213,273,201,125,37,1585
POA2730,218,116,115,128,184,213,201,99,46,1319
POA2731,1273,623,675,751,871,993,1152,699,213,7253
POA2732,261,115,159,140,211,349,317,199,108,1853
POA2733,115,41,73,66,53,98,89,42,19,592
POA2734,82,64,38,49,58,81,63,31,9,473
POA2735,75,43,33,37,53,60,56,23,8,393
POA2736,69,39,66,61,68,44,49,27,6,429
POA2737,177,85,130,101,103,107,109,24,8,851
POA2738,518,243,219,279,267,264,205,96,21,2110
POA2739,287,155,191,180,192,189,134,77,17,1431
POA2745,7289,4552,3972,4690,4510,3446,2167,856,206,31690
POA2747,12868,6725,9256,8884,6199,4720,3765,1794,571,54781
POA2748,246,278,168,165,266,298,192,139,40,1794
POA2749,3890,2263,2549,2314,2155,1984,1206,458,116,16929
POA2750,8808,6333,7446,6849,5906,5152,4776,2755,1073,49091
POA2752,1272,759,818,739,792,693,414,164,44,5694
POA2753,2993,2353,2402,1968,2326,2194,1655,1050,504,17456
POA2754,1344,803,977,837,875,724,797,535,190,7084
POA2756,7386,4619,4779,4461,4746,4487,2923,1448,379,35226
POA2757,151,112,107,81,119,123,92,55,22,851
POA2758,1585,1130,856,958,1404,1346,978,450,126,8838
POA2759,5390,3429,3745,3580,3239,3707,2333,685,182,26284
POA2760,8858,4586,5950,5866,4254,3509,2573,1449,514,37555
POA2761,7950,5034,4856,5148,4570,3890,2110,742,285,34582
POA2762,6033,2334,4251,5256,1902,1093,676,187,51,21779
POA2763,7589,3985,4911,6077,4047,3206,2274,800,254,33141
POA2765,11826,4669,8348,9342,4650,3204,2322,981,241,45590
POA2766,3503,2197,2352,2451,2029,1859,1429,725,567,17118
POA2767,4678,3109,3238,3553,3033,2739,2011,744,220,23308
POA2768,5984,4182,3249,5253,4430,2967,1882,778,150,28873
POA2769,4791,1662,1508,4092,1992,899,790,398,139,16274
POA2770,14842,8781,8625,7910,7328,6449,4685,2344,495,61468
POA2773,1102,742,433,686,888,857,711,375,111,5901
POA2774,2650,1463,1360,1801,1709,1540,1477,728,150,12884
POA2775,174,107,104,158,276,312,227,129,25,1506
POA2776,860,449,417,568,583,544,437,198,54,4099
POA2777,3315,1988,1604,2175,2490,2321,2113,1157,588,17755
POA2778,399,281,237,281,367,409,314,101,31,2411
POA2779,975,577,500,671,730,644,562,263,51,4975
POA2780,1754,1188,1250,1537,1956,2122,2255,1083,366,13511
POA2782,1083,547,477,694,834,947,1094,569,224,6466
POA2783,427,297,244,324,370,467,322,130,38,2619
POA2784,218,140,129,159,195,211,145,67,9,1273
POA2785,673,313,378,513,681,884,827,451,111,4834
POA2786,167,99,106,131,173,216,218,115,18,1237
POA2787,777,427,467,508,580,694,724,347,101,4629
POA2790,2435,1593,1749,1605,1987,2337,2055,1292,440,15493
POA2791,52,16,25,24,52,67,46,29,10,323
POA2792,54,35,52,31,52,71,38,29,15,374
POA2793,154,78,97,83,126,209,222,110,11,1091
POA2794,1851,1159,1100,1012,1268,1401,1448,889,385,10511
POA2795,8509,6114,5863,5330,5666,5458,4607,2603,1061,45216
POA2797,92,28,36,54,60,57,55,34,9,427
POA2798,496,212,172,265,326,295,272,121,27,2179
POA2799,856,466,508,413,477,595,453,254,100,4127
POA2800,10435,5897,6380,6126,5921,5493,4672,2721,1091,48738
POA2803,41,16,19,30,42,54,51,36,3,285
POA2804,486,282,238,263,361,425,403,269,83,2817
POA2805,70,43,31,49,56,53,64,33,11,409
POA2806,153,69,83,87,77,140,142,75,35,864
POA2807,59,41,38,41,60,86,83,36,3,450
POA2808,18,16,16,9,29,45,59,23,0,217
POA2809,37,11,24,21,19,52,25,20,6,207
POA2810,469,276,245,278,362,482,510,304,128,3056
POA2817,62,28,47,40,43,70,49,16,4,368
POA2818,179,89,89,83,115,118,107,46,17,839
POA2820,1311,738,889,757,819,981,847,509,190,7049
POA2821,1063,550,510,528,516,614,521,337,113,4757
POA2822,84,43,43,45,47,87,68,17,6,440
POA2823,259,127,168,131,138,180,175,102,42,1324
POA2824,395,211,237,196,251,321,254,178,82,2129
POA2825,427,260,316,202,319,285,225,189,70,2279
POA2826,28,28,19,15,26,30,20,10,9,170
POA2827,693,328,375,361,470,541,497,334,119,3713
POA2828,167,74,84,91,101,163,112,45,17,863
POA2829,656,348,390,316,339,387,345,184,64,3031
POA2830,9653,5288,7069,5518,5129,5048,4006,2528,959,45196
POA2831,421,176,238,244,261,324,200,98,19,1981
POA2832,461,230,292,244,281,330,252,92,18,2207
POA2833,122,86,79,56,83,93,91,36,12,655
POA2834,300,169,219,204,274,441,412,248,49,2313
POA2835,793,451,608,520,464,566,378,204,75,4056
POA2836,200,126,143,100,133,135,130,46,10,1020
POA2838,48,25,30,33,31,33,49,15,0,254
POA2839,214,149,174,105,135,182,96,41,16,1117
POA2840,526,289,336,283,324,382,269,127,38,2565
POA2842,138,62,66,67,81,101,121,56,10,711
POA2843,218,131,124,109,143,178,166,129,38,1249
POA2844,219,128,130,123,147,195,196,152,49,1344
POA2845,431,227,253,226,249,285,228,94,25,2020
POA2846,28,16,18,17,39,52,57,24,4,257
POA2847,421,233,233,276,283,368,365,191,48,2418
POA2848,237,140,107,116,200,251,252,196,48,1541
POA2849,251,149,118,164,233,284,297,150,42,1692
POA2850,3907,2014,2427,2289,2569,2546,1961,1217,421,19359
POA2852,782,356,407,471,453,525,496,253,81,3819
POA2864,167,81,57,101,107,110,102,69,21,806
POA2865,175,93,87,111,142,108,148,46,23,931
POA2866,671,364,260,352,366,409,357,214,100,3094
POA2867,151,54,54,74,59,101,76,49,9,637
POA2868,110,55,50,65,54,95,65,53,19,570
POA2869,274,134,132,144,201,261,221,111,45,1531
POA2870,2490,1462,1451,1369,1415,1529,1225,803,344,12081
POA2871,1857,1059,985,956,1044,1159,1060,719,267,9107
POA2873,80,41,51,48,72,92,90,45,36,549
POA2874,59,24,34,34,42,66,46,34,16,360
POA2875,136,69,75,79,97,141,126,52,27,796
POA2876,111,49,44,47,73,63,59,27,8,481
POA2877,767,367,434,392,412,504,375,226,112,3584
POA2878,44,38,45,59,52,55,36,14,3,355
POA2879,80,57,59,53,83,124,129,61,10,647
POA2880,3102,1941,2254,1977,2132,2749,2398,1293,591,18444
POA2898,76,16,72,62,53,80,56,30,15,460
POA3000,1628,12762,18072,6319,2802,1879,1032,342,73,44905
POA3002,354,395,1202,854,614,719,706,362,157,5358
POA3003,593,1312,3195,1371,705,427,229,92,15,7934
POA3004,814,1220,3511,2240,1288,1165,1071,663,247,12226
POA3006,1400,3344,9498,4264,1794,1343,843,357,69,22921
POA3008,1219,1829,6067,2912,1392,1196,693,194,43,15547
POA3011,2674,2314,6135,4136,2507,1983,1229,709,392,22080
POA3012,4522,2615,5997,4898,3439,2413,1508,864,461,26727
POA3013,2972,1402,2610,2861,2361,1565,866,495,291,15426
POA3015,3983,1633,2444,3450,2822,2005,1164,583,316,18402
POA3016,2774,1891,1296,1921,2621,2455,1736,828,312,15820
POA3018,2354,1099,1563,2200,1980,1592,1337,871,386,13371
POA3019,1512,1256,2210,1427,1106,1002,783,289,113,9698
POA3020,7245,5258,8051,6349,5324,4739,3726,2409,1047,44146
POA3021,9368,6957,9201,7163,6396,6225,5670,2989,1097,55074
POA3022,560,292,613,561,409,284,256,149,103,3220
POA3023,14278,9053,9524,11285,9587,6333,4426,1963,573,67023
POA3024,9167,4064,6209,6695,3405,2276,1404,511,151,33881
POA3025,2623,1156,2029,2080,1510,1047,946,984,560,12936
POA3026,2432,1043,1172,1831,1139,686,327,118,20,8762
POA3027,2298,1128,1968,2198,961,532,298,47,10,9445
POA3028,4808,3032,4463,4213,3635,3643,2590,1194,494,28066
POA3029,34007,15258,24774,25534,12299,9010,5772,2365,535,129556
POA3030,28887,13565,18345,22776,14643,9925,6720,3064,1159,119080
POA3031,2525,1897,4188,3208,2168,1582,1158,507,233,17469
POA3032,4563,3486,5984,4934,4005,3188,2151,951,353,29627
POA3033,2645,1610,1632,1966,2132,1618,1449,1420,505,14972
POA3034,1968,1177,1380,1646,1498,1370,1409,1248,595,12292
POA3036,952,715,555,650,815,824,726,465,220,5931
POA3037,10287,7552,6589,7459,7905,5792,3509,1579,582,51244
POA3038,3876,3607,3155,2806,3749,4426,3142,1427,459,26645
POA3039,2224,1823,3093,2403,2124,1864,1318,722,411,15981
POA3040,4093,3658,3805,3570,3948,3332,2263,1150,620,26443
POA3041,2328,1745,1453,1798,2008,1584,1219,597,286,13014
POA3042,2870,1708,2284,2456,2304,1892,1583,1077,481,16658
POA3043,2978,1892,2581,2460,2207,2004,2036,1339,375,17882
POA3044,5070,3105,4784,4663,3871,2942,1810,1216,967,28436
POA3045,26,42,71,79,47,42,24,8,0,335
POA3046,6461,4271,7588,5808,3948,3349,2216,1807,1180,36628
POA3047,4601,2993,3957,2950,2289,2148,1336,889,317,21490
POA3048,3828,2603,2725,2265,2187,2118,1372,747,209,18055
POA3049,1654,1219,1340,1275,1337,1376,999,487,164,9855
POA3051,1739,2747,4273,2384,1514,1140,797,328,123,15040
POA3052,604,3213,1840,928,565,544,443,351,238,8721
POA3053,871,4853,5358,1739,972,811,647,432,210,15884
POA3054,867,1049,2108,1073,839,785,701,386,138,7943
POA3055,1868,1738,3678,2474,1704,1320,910,568,287,14534
POA3056,2506,2944,7098,4369,2766,2051,1441,935,436,24548
POA3057,1253,1429,4347,2585,1388,907,580,373,167,13026
POA3058,5482,3796,6266,5788,4839,3442,2361,1625,993,34591
POA3059,4513,2875,3104,3040,2840,2564,1531,564,126,21165
POA3060,3021,1736,2381,2117,1505,1265,891,787,528,14226
POA3061,989,589,690,626,581,523,482,367,108,4956
POA3062,0,0,0,0,4,0,0,0,0,10
POA3063,82,101,43,53,102,89,58,33,10,574
POA3064,29538,15212,20965,19846,12224,9154,4878,1823,522,114170
POA3065,1076,1014,3053,1874,1231,1179,789,379,164,10759
POA3066,886,834,3291,1710,995,651,385,188,70,9010
POA3067,720,843,3226,1750,885,662,487,244,97,8920
POA3068,2564,1769,4445,3026,2330,1881,1591,900,370,18874
POA3070,3701,2460,5057,3898,3749,2572,1621,1089,514,24667
POA3071,2749,1846,3803,3271,2662,1840,1205,835,477,18689
POA3072,5040,3413,6669,5925,4744,3398,2285,1469,726,33673
POA3073,7942,5235,9383,7982,6392,5160,3931,3036,1701,50765
POA3074,3166,2328,3209,2658,2221,2238,2252,1561,528,20158
POA3075,4263,2755,3476,3348,2758,2315,2113,1515,622,23160
POA3076,6991,4042,5315,5462,4129,3599,2500,1216,585,33833
POA3078,1827,1326,2107,1882,1712,1482,958,466,209,11967
POA3079,2584,2100,2233,2306,2371,2269,1742,980,543,17118
POA3081,2352,1602,2867,2111,1595,1622,1045,488,243,13920
POA3082,4455,3630,4127,3671,3732,4445,2913,1196,415,28591
POA3083,4516,5058,5245,3926,4031,3501,2721,1957,836,31781
POA3084,4925,2888,3061,3901,3746,3187,2621,1912,996,27241
POA3085,2568,1744,1815,2020,1974,1463,1272,759,438,14064
POA3087,1686,908,1277,1395,1199,1008,874,556,194,9090
POA3088,5027,2773,2871,4016,3686,3231,2926,1648,657,26826
POA3089,2402,1786,1400,1603,1888,1691,1024,430,123,12354
POA3090,433,426,181,266,464,369,191,118,107,2546
POA3091,227,264,119,134,277,261,160,98,20,1559
POA3093,657,427,413,497,578,490,454,290,142,3964
POA3094,1852,862,917,1390,1289,1082,1043,545,146,9127
POA3095,5375,3590,2260,3482,4419,4052,3170,1296,360,28013
POA3096,329,279,213,194,270,290,167,115,62,1919
POA3097,257,230,122,156,248,233,171,80,13,1498
POA3099,928,606,441,577,728,765,573,240,42,4894
POA3101,3653,3401,3162,2823,3399,3092,2409,1463,792,24196
POA3102,1180,899,657,829,962,886,598,371,159,6540
POA3103,2474,2149,1530,1903,2139,1921,1602,1105,609,15434
POA3104,3779,3308,1830,2286,3349,2876,1880,1198,613,21115
POA3105,1611,1274,1225,1325,1525,1424,1094,1061,497,11037
POA3106,2632,1934,1581,2010,2101,2414,2055,1407,696,16829
POA3107,2357,1515,1365,1802,2041,1623,1376,1396,610,14077
POA3108,3503,2846,3875,3468,2927,2851,2410,2027,971,24881
POA3109,5596,3320,3350,4588,3852,3672,3079,2343,988,30794
POA3111,2082,1535,1056,1529,1814,1627,1298,1013,568,12533
POA3113,1563,1275,567,913,1527,1257,853,400,77,8437
POA3114,665,656,208,333,697,561,364,198,61,3746
POA3115,624,596,282,360,613,634,414,179,39,3731
POA3116,2299,1414,1514,1613,1493,1316,1110,662,161,11589
POA3121,2996,3314,9819,5175,3598,2904,1983,1068,433,31296
POA3122,2666,3420,4901,3122,2551,2053,1686,1018,399,21809
POA3123,2173,1926,2864,2085,1860,1476,1144,719,308,14554
POA3124,3435,3046,2330,2464,3013,2692,2183,1494,1027,21683
POA3125,2015,3000,2775,1792,1709,1385,1056,831,529,15080
POA3126,1231,1125,601,792,1072,1055,912,546,320,7669
POA3127,2946,2605,1931,2202,2813,2382,1981,960,487,18315
POA3128,2858,3790,4878,3098,2802,2218,1715,1106,726,23188
POA3129,3050,2343,2487,2473,2512,2098,1558,902,419,17831
POA3130,5691,4139,3731,4553,4708,3842,2828,2053,1218,32766
POA3131,3910,2533,3020,3452,3122,2472,2042,1614,923,23081
POA3132,2965,1852,2371,2690,2295,1855,1458,880,311,16671
POA3133,4027,2782,2029,3073,3159,2583,2538,1821,744,22754
POA3134,6064,4179,4486,4977,4743,4023,3044,1886,836,34225
POA3135,3971,2268,2526,3134,2904,2305,1845,1177,535,20669
POA3136,8431,4942,6041,6590,5847,5401,4472,2778,1197,45704
POA3137,2624,1687,2061,1948,1770,1765,1297,893,345,14388
POA3138,4544,2784,3363,3336,2877,2481,1994,1108,336,22826
POA3139,2770,1720,1865,1696,1958,1905,1371,634,153,14076
POA3140,2965,2153,2291,2139,2404,2141,1639,1030,410,17171
POA3141,1743,2887,8473,4128,2396,2040,1625,961,351,24609
POA3142,1367,1414,1827,1347,1477,1605,1665,1158,493,12350
POA3143,1163,970,1898,1358,1167,854,867,621,210,9112
POA3144,1570,1316,1313,1237,1476,1275,1146,960,457,10744
POA3145,3682,3425,3556,2978,3218,2632,2029,1200,684,23386
POA3146,4468,3570,3179,3385,3835,3119,2270,1391,545,25744
POA3147,2732,1839,1736,2032,2177,1789,1280,818,481,14881
POA3148,1494,1108,2083,1548,1099,884,655,437,175,9478
POA3149,6018,4726,4311,4824,4842,4096,2943,2339,1170,35259
POA3150,10119,8159,6779,8280,8273,7258,6593,5170,2552,63173
POA3151,1468,1331,1605,1365,1369,1186,998,983,360,10671
POA3152,5954,4038,3978,4887,4355,4420,4087,2162,1186,35071
POA3153,3705,2177,3342,3400,2593,2355,1854,1123,593,21140
POA3154,851,499,527,600,650,544,418,228,125,4436
POA3155,4043,2393,3726,3607,2973,2623,2284,1363,527,23536
POA3156,6699,4720,4736,5299,5480,5090,3616,1952,675,38266
POA3158,1304,770,726,950,1027,952,690,219,59,6695
POA3159,503,329,218,380,405,351,239,97,19,2543
POA3160,1662,1068,966,1333,1359,1199,883,331,75,8874
POA3161,2649,2144,3008,2202,1859,1593,1717,858,571,16602
POA3162,3101,1989,2219,2407,2441,2033,2065,1077,681,18022
POA3163,4707,3693,6826,5264,3926,3266,2548,1495,699,32432
POA3165,6106,3468,3076,4674,4703,3330,2347,1409,805,29929
POA3166,3823,3226,4388,3574,3384,2634,1752,1222,688,24700
POA3167,1628,992,1466,1424,1227,1182,957,615,270,9764
POA3168,1973,6041,6640,2570,1512,1272,979,779,559,22322
POA3169,2984,2497,3983,2897,2347,2146,2009,1321,560,20751
POA3170,3502,2171,2705,2894,2586,2090,1965,1443,553,19903
POA3171,3236,2942,4520,2980,2507,2328,1814,1188,606,22111
POA3172,3929,2947,2783,3060,3095,2974,2360,1412,544,23105
POA3173,5895,3828,4258,4707,3828,3185,2486,1254,447,29895
POA3174,6500,4928,7372,5674,4530,4185,3365,2125,882,39554
POA3175,9745,6515,9679,7991,6099,5388,4430,2840,1265,53953
POA3177,2323,1449,2267,1789,1299,1157,887,513,201,11881
POA3178,5607,4539,3776,4159,4985,5070,3020,1613,543,33309
POA3179,1049,835,691,907,873,736,592,263,63,6016
POA3180,1278,915,925,1124,994,899,782,540,126,7581
POA3181,1511,1984,6199,3313,2040,1631,1208,933,568,19389
POA3182,1661,1836,6392,4241,3000,2554,1552,659,175,22061
POA3183,2727,1877,4438,3105,2124,1564,1151,540,223,17757
POA3184,1920,1203,3212,2771,2339,1701,988,407,133,14685
POA3185,2267,1449,2292,1959,1803,1418,1119,597,281,13184
POA3186,3575,2679,1820,2422,3429,3259,2737,1914,952,22791
POA3187,3157,2043,1142,1930,2635,2092,1578,1197,828,16608
POA3188,3237,2289,1644,2318,3008,2592,1740,1042,385,18252
POA3189,1168,619,834,1055,873,694,546,369,206,6367
POA3190,2182,1187,1592,1857,1843,1301,1035,590,282,11863
POA3191,1727,1196,832,1275,1727,1541,1212,751,477,10739
POA3192,4336,2452,3023,3751,3363,2612,2010,1428,936,23907
POA3193,3443,2513,1121,1919,3301,2961,2477,1456,612,19792
POA3194,2071,1322,1708,1894,1982,1582,1265,872,402,13093
POA3195,6915,4581,3569,5046,6084,4784,3222,1878,850,36937
POA3196,4804,2408,3476,4179,3743,3151,2487,1542,689,26481
POA3197,1996,1184,1305,1561,1832,1694,1352,690,242,11857
POA3198,3031,1572,2328,2669,2426,2028,1623,998,359,17029
POA3199,9733,6233,7516,7535,7480,6698,5699,3499,1601,55993
POA3200,1003,633,970,697,655,700,464,339,196,5662
