POA_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_ns,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_ns,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_ns,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arr_ns,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_ns,Japan_Tot,Korea_Rep_South_Before_1951,Korea_Rep_South_1951_1960,Korea_Rep_South_1961_1970,Korea_Rep_South_1971_1980,Korea_Rep_South_1981_1990,Korea_Rep_South_1991_2000,Korea_Rep_South_2001_2010,Korea_Rep_South_2011_2015,Korea_Rep_South_2016,Korea_Rep_South_2017,Korea_Rep_South_2018,Korea_Rep_South_2019,Korea_Rep_South_2020,Korea_Rep_South_2021,Korea_Rep_South_Yr_arrival_ns,Korea_Rep_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_ns,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_ns,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_ns,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_ns,Pakistan_Tot
POA2019,0,5,5,0,0,0,0,42,0,0,0,0,0,12,0,5,0,0,0,0,0,0,0,18,0,0,3,8,14,19,88,103,15,16,14,29,0,0,0,318,0,12,17,14,3,7,4,18,0,3,0,0,0,0,4,94,0,0,0,0,3,3,11,3,0,0,0,0,0,0,0,25,0,0,0,0,6,12,7,6,3,0,3,0,3,0,0,34,0,0,4,17,6,4,4,3,0,0,0,0,0,0,4,47,0,0,4,5,12,10,39,22,0,0,6,0,0,0,0,95,0,0,0,0,0,4,5,0,0,0,3,0,0,0,0,10,0,0,3,4,0,0,0,4,0,0,0,0,0,0,0,17,0,0,11,46,52,66,91,39,3,0,5,3,4,0,8,332,0,0,12,7,0,6,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,6,0,0,0,3,4,0,0,16
POA2020,3,0,5,4,6,0,4,65,0,0,0,6,0,17,5,0,5,0,0,0,0,0,5,34,0,0,4,0,11,13,49,97,37,65,66,97,21,0,7,472,3,20,27,4,4,4,11,34,10,9,12,9,0,0,4,151,0,0,0,0,8,17,18,34,8,10,3,15,0,0,3,115,0,0,0,0,10,27,44,46,14,7,12,5,0,0,6,164,0,0,18,19,4,8,3,6,3,0,4,0,0,0,9,69,0,0,5,12,40,26,83,56,32,20,28,23,8,5,9,350,0,0,0,0,0,4,11,15,0,9,40,15,10,0,16,118,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,12,0,0,10,25,38,70,67,44,15,11,10,12,4,4,6,318,0,0,3,10,0,0,3,0,5,0,0,3,0,0,0,26,0,0,0,0,6,11,9,13,4,3,6,0,0,0,4,61
POA2021,0,0,0,0,0,0,0,32,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,11,0,0,6,9,10,16,41,24,3,0,0,5,5,0,0,125,0,11,10,6,3,4,10,15,4,4,5,8,0,0,4,90,0,0,0,7,5,17,10,9,0,4,0,0,0,0,0,57,0,0,0,4,0,9,11,4,0,0,0,0,0,0,0,35,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,10,0,0,11,11,17,12,16,8,0,0,5,0,0,0,5,86,0,0,0,0,0,0,0,3,0,0,4,0,0,0,4,12,3,3,4,3,4,4,0,3,3,0,0,9,0,0,0,32,4,10,42,56,82,80,82,60,12,13,20,10,13,11,7,497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,9
POA2022,0,5,0,0,0,0,0,45,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,4,5,15,23,55,76,14,32,50,58,36,3,3,368,3,15,17,6,0,5,17,48,13,16,9,11,0,0,0,188,0,0,4,11,12,14,23,15,0,0,0,4,0,5,3,90,0,0,0,0,13,10,32,0,0,5,5,5,3,0,0,82,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,12,0,0,6,15,17,9,15,0,7,0,0,0,0,0,0,62,0,0,0,0,0,0,7,3,0,0,6,3,0,0,0,18,0,0,4,0,0,0,10,3,0,0,3,0,5,0,0,27,0,0,23,36,50,60,49,37,4,7,8,9,7,8,8,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,4,0,0,0,0,15
POA2023,0,0,0,0,0,0,5,30,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,0,3,0,6,8,3,22,9,9,7,10,10,0,0,0,76,0,3,14,3,3,4,0,20,0,7,0,3,0,0,0,63,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,16,0,0,0,0,5,4,6,0,0,0,0,0,0,0,0,13,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,14,0,0,3,12,12,4,4,0,4,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,9,4,0,0,3,6,0,0,6,9,0,0,0,0,26,0,8,17,25,42,29,50,28,5,12,0,4,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2024,0,3,0,0,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,9,10,17,18,41,35,6,8,6,17,5,0,9,181,0,26,23,11,3,0,14,20,0,0,5,4,0,0,6,120,0,0,0,0,7,12,14,0,0,0,0,0,4,0,0,39,0,0,0,0,0,4,3,3,0,0,0,0,0,0,0,14,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,11,3,3,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,3,3,4,0,4,5,5,3,4,0,0,0,0,32,0,3,11,42,44,46,60,27,7,7,12,10,7,6,14,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2025,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,0,4,3,4,3,9,7,0,3,9,4,0,0,0,46,0,4,5,3,0,0,8,5,0,6,0,3,0,0,7,46,0,0,0,0,10,0,7,6,3,3,4,0,0,4,0,34,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,12,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,5,11,4,5,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,3,5,0,3,0,0,0,0,0,0,0,0,0,24,0,0,10,24,42,30,28,28,5,8,8,0,5,6,12,201,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2026,0,0,0,0,0,0,0,43,0,0,3,6,4,0,0,0,0,0,0,0,0,0,0,18,0,0,11,6,25,36,94,86,17,29,52,77,31,10,5,476,5,29,16,8,4,13,62,144,32,49,46,35,14,0,12,467,0,0,3,4,12,18,30,14,5,0,9,4,3,0,0,92,0,0,0,3,12,9,19,15,4,0,0,3,0,0,0,67,0,0,7,14,14,0,6,3,0,0,0,0,0,0,0,52,0,0,5,15,15,6,0,0,0,3,0,0,0,0,0,56,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,12,0,6,0,5,4,7,16,28,18,15,9,23,4,0,0,134,5,5,21,68,115,112,189,123,14,36,29,38,20,9,19,792,0,0,3,5,4,0,5,0,0,0,0,0,0,0,0,20,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,11
POA2027,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,4,3,9,16,19,3,0,8,0,0,0,4,64,4,10,4,0,3,0,3,8,4,0,6,0,3,0,6,70,0,0,0,9,0,10,8,0,0,0,3,0,0,0,0,35,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,13,0,0,7,4,4,0,0,0,0,0,0,0,0,0,0,13,0,0,8,12,7,3,10,4,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,0,0,0,0,0,0,0,0,0,0,3,0,13,3,4,22,25,35,29,34,27,6,3,12,6,6,6,7,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6
POA2028,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,5,4,3,6,9,0,0,6,0,0,0,0,31,8,3,0,0,0,4,0,7,0,0,0,0,0,0,0,33,0,0,0,4,0,0,0,0,0,3,0,0,3,0,0,22,0,0,0,5,5,3,0,3,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,4,3,0,0,3,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,0,8,19,15,18,22,14,0,6,7,16,0,5,4,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
