POA_CODE_2021,Separate_house_NB0_i_sa_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sd_r_or_t_h_t_1_s_NB0_i_sa_b,Sd_r_or_t_h_t_1_st_NofB_1,Sd_r_or_t_h_t_1_st_NofB_2,Sd_r_or_t_h_t_1_st_NofB_3,Sd_r_or_t_h_t_1_st_NofB_4,Sd_r_or_t_h_t_1_st_NofB_5,Sd_r_or_t_h_t_1_st_NofB_6_m,Sd_r_or_t_h_t_1_st_NofB_NS,Sd_r_or_t_h_t_1_st_Total,Sd_r_or_t_h_t_2m_s_NB0_i_sa_b,Sd_r_or_t_h_t_2m_sts_NofB_1,Sd_r_or_t_h_t_2m_sts_NofB_2m,Sd_r_or_t_h_t_2m_sts_NofB_3,Sd_r_or_t_h_t_2m_sts_NofB_4,Sd_r_or_t_h_t_2m_sts_NofB_5,Sd_r_or_t_h_t_2m_st_NofB_6_m,Sd_r_or_t_h_t_2m_sts_NofB_NS,Sd_r_or_t_h_t_2m_sts_Total,Sd_r_or_t_h_t_T_NB0_i_sa_b,Sd_r_or_t_h_t_Total_NofB_1,Sd_r_or_t_h_t_Total_NofB_2,Sd_r_or_t_h_t_Total_NofB_3,Sd_r_or_t_h_t_Total_NofB_4,Sd_r_or_t_h_t_Total_NofB_5,Sd_r_or_t_h_t_Tot_NofB_6_m,Sd_r_or_t_h_t_Tot_NofB_NS,Sd_r_or_t_h_t_Total_Total,Fl_a_1_or2_st_bl_NB0_i_sa_b,Fl_a_1_or2_st_bl_NofB_1,Fl_a_1_or2_st_bl_NofB_2,Fl_a_1_or2_st_bl_NofB_3,Fl_a_1_or2_st_bl_NofB_4,Fl_a_1_or2_st_bl_NofB_5,Fl_a_1_or2_st_bl_NofB_6_m,Fl_a_1_or2_st_bl_NofB_NS,Fl_a_1_or2_st_bl_Total,Fl_a_3_st_bl_NB0_i_sa_b,Fl_a_In_3_st_bl_NofB_1,Fl_a_In_3_st_bl_NofB_2,Fl_a_In_3_st_bl_NofB_3,Fl_a_In_3_st_bl_NofB_4,Fl_a_In_3_st_bl_NofB_5,Fl_a_In_3_s_bl_NofB_6_m,Fl_a_In_3_st_bl_NofB_NS,Fl_a_In_3_st_bl_Total,Fl_a_4_to_8_s_b_NB0_i_sa_b,Fl_a_4_to_8_s_b_NofB_1,Fl_a_4_to_8_s_b_NofB_2,Fl_a_4_to_8_s_b_NofB_3,Fl_a_4_to_8_s_b_NofB_4,Fl_a_4_to_8_s_b_NofB_5,Fl_a_4_to_8_s_b_NofB_6_m,Fl_a_4_to_8_s_b_NofB_NS,Fl_a_4_to_8_s_b_Total,Fl_a_9_or_m_s_b_NB0_i_sa_b,Fl_a_9_or_m_s_b_NofB_1,Fl_a_9_or_m_s_b_NofB_2,Fl_a_9_or_m_s_b_NofB_3,Fl_a_9_or_m_s_b_NofB_4,Fl_a_9_or_m_s_b_NofB_5,Fl_a_9_or_m_s_b_NofB_6_m,Fl_a_9_or_m_s_b_NofB_NS,Fl_a_9_or_m_s_b_Total,Fl_a_At_to_a_h_NB0_i_sa_b,Fl_a_At_to_a_hse_NofB_1,Fl_a_At_to_a_hse_NofB_2,Fl_a_At_to_a_hse_NofB_3,Fl_a_At_to_a_hse_NofB_4,Fl_a_At_to_a_hse_NofB_5,Fl_a_At_to_a_hse_NofB_6_m,Fl_a_At_to_a_hse_NofB_NS,Fl_a_At_to_a_hse_Total,Fl_a_Total_NB0_i_sa_b,Fl_a_Total_NofB_1,Fl_a_Total_NofB_2,Fl_a_Total_NofB_3,Fl_a_Total_NofB_4,Fl_a_Total_NofB_5,Fl_a_Tot_NofB_6_or_m,Fl_a_Total_NofB_NS,Fl_a_Total_Total,Other_dwelling_NB0_i_sa_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dw_struct_NS_NB0_i_sa_b,Dw_struct_NS_NofB_1,Dw_struct_NS_NofB_2,Dw_struct_NS_NofB_3,Dw_struct_NS_NofB_4,Dw_struct_NS_NofB_5,Dw_struct_NS_NofB_6_or_m,Dw_struct_NS_NofB_NS,Dw_struct_NS_Total,Total_NB0_i_sa_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
POA2019,14,32,114,573,412,139,37,40,1360,0,20,125,126,14,0,0,15,304,0,21,111,448,138,8,0,22,746,0,40,235,578,156,11,0,32,1048,24,83,93,21,0,0,0,39,259,12,55,364,155,13,0,0,27,627,13,492,946,242,0,0,0,130,1828,0,6,15,4,0,0,0,13,38,0,4,10,4,0,0,0,0,10,49,642,1421,429,11,0,0,214,2764,0,10,14,14,5,0,0,6,38,0,0,4,6,0,0,0,0,13,60,720,1790,1596,578,144,41,290,5220
POA2020,0,20,229,830,441,123,39,61,1754,0,5,95,135,44,13,5,18,323,0,0,0,7,12,0,0,0,19,0,5,95,140,54,13,10,19,341,3,81,187,42,7,9,0,29,359,4,76,242,61,4,0,0,20,401,5,533,1134,261,7,0,0,146,2082,5,757,1804,755,20,0,0,185,3529,0,0,4,3,0,0,0,0,14,16,1448,3370,1116,46,10,5,376,6387,0,3,23,7,0,3,0,0,35,7,5,8,3,0,0,0,9,34,26,1483,3729,2104,543,155,47,478,8553
POA2021,4,17,59,202,122,45,19,18,484,4,36,98,83,26,3,0,6,253,17,104,814,1555,629,76,15,76,3281,19,138,908,1639,656,77,17,87,3538,33,137,134,29,4,0,0,15,346,81,186,357,63,0,0,0,36,720,216,483,371,84,5,0,5,53,1201,44,255,158,5,0,0,0,28,496,0,0,0,0,0,0,0,0,0,373,1055,1014,180,4,0,4,126,2762,4,13,27,14,0,0,0,6,60,0,0,0,0,0,0,0,0,4,400,1226,2006,2028,787,127,40,238,6850
POA2022,3,0,57,260,229,81,22,17,662,0,13,158,224,115,12,0,9,537,0,19,165,444,251,58,13,36,985,0,34,324,671,363,70,15,40,1522,7,123,185,49,11,3,4,40,418,22,214,391,76,0,0,6,45,747,43,118,188,80,0,0,0,50,486,56,519,728,297,10,0,4,163,1775,4,0,0,6,0,0,0,0,15,130,978,1489,502,33,5,7,300,3440,21,96,81,56,4,0,0,41,300,10,0,0,4,0,0,0,0,16,161,1110,1956,1493,626,156,41,399,5941
POA2023,4,13,35,256,551,391,125,34,1401,0,0,13,29,8,9,0,0,58,0,0,11,51,44,4,6,0,122,0,0,19,79,49,15,6,6,171,0,23,121,115,20,8,0,12,296,16,138,625,347,29,7,0,55,1210,4,102,494,284,17,6,0,48,950,0,36,60,31,0,0,0,7,133,0,0,8,3,0,0,0,0,13,24,298,1300,784,64,14,0,128,2610,3,7,6,6,0,0,0,0,16,0,0,4,0,0,0,0,0,6,28,315,1357,1127,668,419,128,167,4213
POA2024,5,4,74,321,452,187,36,35,1112,0,10,119,169,96,13,0,20,425,3,11,80,185,167,45,0,6,499,5,12,202,355,265,58,0,32,925,5,116,326,99,11,6,3,53,621,28,264,712,62,9,0,0,76,1144,24,76,214,35,4,0,0,27,384,0,13,74,34,0,0,0,3,126,0,0,0,3,0,0,0,0,10,59,466,1332,230,26,8,3,163,2290,0,16,18,12,3,0,0,5,54,0,0,0,0,0,0,0,4,11,70,505,1627,918,742,252,36,236,4393
POA2025,0,9,52,150,208,95,26,22,552,0,23,96,104,42,11,0,6,276,4,15,123,322,164,33,0,24,686,0,40,219,422,207,39,0,28,965,0,62,167,75,14,3,0,9,335,5,134,376,110,16,0,0,23,663,18,83,193,57,5,0,0,19,369,0,62,62,65,0,0,0,14,200,0,5,0,0,0,0,0,0,10,22,344,806,305,34,6,0,63,1576,0,0,5,0,0,0,0,5,11,0,0,3,0,0,0,0,0,9,27,394,1082,877,453,133,25,119,3114
POA2026,3,13,60,410,550,189,50,68,1342,0,10,338,534,168,38,5,44,1144,0,7,81,346,442,92,10,39,1017,0,16,419,883,613,131,13,79,2160,31,480,1295,398,75,14,5,139,2428,158,1145,3141,572,47,8,4,353,5431,75,595,1299,272,16,0,0,158,2409,79,75,197,122,4,0,0,57,541,0,0,0,5,0,0,0,3,11,345,2294,5935,1366,137,17,11,705,10812,5,21,48,16,0,0,0,12,94,4,11,0,4,0,0,0,8,27,356,2350,6468,2671,1302,336,81,874,14436
POA2027,0,9,24,86,103,74,41,15,353,0,0,13,9,3,0,0,3,30,0,4,131,177,63,9,4,20,402,0,6,144,181,60,9,4,24,438,0,29,67,64,4,3,4,6,176,15,145,282,192,29,3,4,33,707,22,215,445,336,29,7,0,80,1141,7,174,427,279,11,0,0,53,964,0,0,4,4,0,4,0,0,19,54,561,1213,879,81,14,9,179,3002,0,0,0,0,0,0,0,0,0,4,3,3,3,0,0,0,9,30,55,582,1390,1155,245,103,53,233,3823
POA2028,0,0,15,104,113,62,6,10,303,0,0,7,9,0,0,0,0,13,0,0,13,109,30,10,8,3,179,0,0,21,119,35,7,8,3,195,0,6,75,78,3,0,0,12,179,0,70,414,149,7,0,0,27,669,0,82,455,217,13,0,0,33,809,0,5,34,10,0,0,0,0,45,0,0,0,0,0,0,0,0,0,4,161,980,449,25,0,0,76,1699,0,8,5,0,0,0,0,0,21,0,0,6,0,0,0,0,0,3,7,181,1018,667,172,66,9,97,2220
