POA_CODE_2021,Separate_house_NB0_i_sa_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sd_r_or_t_h_t_1_s_NB0_i_sa_b,Sd_r_or_t_h_t_1_st_NofB_1,Sd_r_or_t_h_t_1_st_NofB_2,Sd_r_or_t_h_t_1_st_NofB_3,Sd_r_or_t_h_t_1_st_NofB_4,Sd_r_or_t_h_t_1_st_NofB_5,Sd_r_or_t_h_t_1_st_NofB_6_m,Sd_r_or_t_h_t_1_st_NofB_NS,Sd_r_or_t_h_t_1_st_Total,Sd_r_or_t_h_t_2m_s_NB0_i_sa_b,Sd_r_or_t_h_t_2m_sts_NofB_1,Sd_r_or_t_h_t_2m_sts_NofB_2m,Sd_r_or_t_h_t_2m_sts_NofB_3,Sd_r_or_t_h_t_2m_sts_NofB_4,Sd_r_or_t_h_t_2m_sts_NofB_5,Sd_r_or_t_h_t_2m_st_NofB_6_m,Sd_r_or_t_h_t_2m_sts_NofB_NS,Sd_r_or_t_h_t_2m_sts_Total,Sd_r_or_t_h_t_T_NB0_i_sa_b,Sd_r_or_t_h_t_Total_NofB_1,Sd_r_or_t_h_t_Total_NofB_2,Sd_r_or_t_h_t_Total_NofB_3,Sd_r_or_t_h_t_Total_NofB_4,Sd_r_or_t_h_t_Total_NofB_5,Sd_r_or_t_h_t_Tot_NofB_6_m,Sd_r_or_t_h_t_Tot_NofB_NS,Sd_r_or_t_h_t_Total_Total,Fl_a_1_or2_st_bl_NB0_i_sa_b,Fl_a_1_or2_st_bl_NofB_1,Fl_a_1_or2_st_bl_NofB_2,Fl_a_1_or2_st_bl_NofB_3,Fl_a_1_or2_st_bl_NofB_4,Fl_a_1_or2_st_bl_NofB_5,Fl_a_1_or2_st_bl_NofB_6_m,Fl_a_1_or2_st_bl_NofB_NS,Fl_a_1_or2_st_bl_Total,Fl_a_3_st_bl_NB0_i_sa_b,Fl_a_In_3_st_bl_NofB_1,Fl_a_In_3_st_bl_NofB_2,Fl_a_In_3_st_bl_NofB_3,Fl_a_In_3_st_bl_NofB_4,Fl_a_In_3_st_bl_NofB_5,Fl_a_In_3_s_bl_NofB_6_m,Fl_a_In_3_st_bl_NofB_NS,Fl_a_In_3_st_bl_Total,Fl_a_4_to_8_s_b_NB0_i_sa_b,Fl_a_4_to_8_s_b_NofB_1,Fl_a_4_to_8_s_b_NofB_2,Fl_a_4_to_8_s_b_NofB_3,Fl_a_4_to_8_s_b_NofB_4,Fl_a_4_to_8_s_b_NofB_5,Fl_a_4_to_8_s_b_NofB_6_m,Fl_a_4_to_8_s_b_NofB_NS,Fl_a_4_to_8_s_b_Total,Fl_a_9_or_m_s_b_NB0_i_sa_b,Fl_a_9_or_m_s_b_NofB_1,Fl_a_9_or_m_s_b_NofB_2,Fl_a_9_or_m_s_b_NofB_3,Fl_a_9_or_m_s_b_NofB_4,Fl_a_9_or_m_s_b_NofB_5,Fl_a_9_or_m_s_b_NofB_6_m,Fl_a_9_or_m_s_b_NofB_NS,Fl_a_9_or_m_s_b_Total,Fl_a_At_to_a_h_NB0_i_sa_b,Fl_a_At_to_a_hse_NofB_1,Fl_a_At_to_a_hse_NofB_2,Fl_a_At_to_a_hse_NofB_3,Fl_a_At_to_a_hse_NofB_4,Fl_a_At_to_a_hse_NofB_5,Fl_a_At_to_a_hse_NofB_6_m,Fl_a_At_to_a_hse_NofB_NS,Fl_a_At_to_a_hse_Total,Fl_a_Total_NB0_i_sa_b,Fl_a_Total_NofB_1,Fl_a_Total_NofB_2,Fl_a_Total_NofB_3,Fl_a_Total_NofB_4,Fl_a_Total_NofB_5,Fl_a_Tot_NofB_6_or_m,Fl_a_Total_NofB_NS,Fl_a_Total_Total,Other_dwelling_NB0_i_sa_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dw_struct_NS_NB0_i_sa_b,Dw_struct_NS_NofB_1,Dw_struct_NS_NofB_2,Dw_struct_NS_NofB_3,Dw_struct_NS_NofB_4,Dw_struct_NS_NofB_5,Dw_struct_NS_NofB_6_or_m,Dw_struct_NS_NofB_NS,Dw_struct_NS_Total,Total_NB0_i_sa_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
POA2478,23,122,1032,3586,3061,604,105,355,8885,5,64,703,787,75,10,3,125,1770,3,114,534,707,89,9,3,103,1562,3,178,1234,1492,168,17,7,228,3334,0,76,303,108,9,3,0,52,545,0,4,103,49,0,0,0,11,160,0,10,25,39,0,0,0,16,88,0,0,12,3,0,0,0,0,17,3,20,9,5,0,0,0,0,39,9,105,449,207,9,3,4,74,846,23,113,168,46,7,0,0,206,568,4,33,10,9,6,0,0,8,76,67,554,2897,5328,3250,621,113,868,13706
POA2479,10,101,236,724,577,138,57,199,2047,0,0,9,4,0,0,0,8,22,0,0,0,8,0,0,0,0,17,0,4,6,11,0,0,0,11,37,0,0,9,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,4,0,0,0,19,0,11,3,3,5,0,0,0,27,0,10,5,0,0,0,0,5,24,0,0,0,0,0,0,0,0,4,14,125,261,746,582,137,57,217,2139
POA2480,114,496,1757,6927,4386,922,215,1047,15867,14,147,725,266,29,5,0,96,1269,7,60,233,173,14,13,3,64,574,18,209,960,435,41,19,3,157,1846,18,135,361,124,25,0,4,70,734,0,6,62,3,0,0,0,11,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,27,18,9,0,0,10,87,21,156,452,146,40,0,3,93,911,57,144,55,15,4,5,3,68,344,7,9,23,14,4,0,0,17,71,219,1018,3243,7537,4476,951,223,1380,19041
POA2481,59,252,364,1270,1064,261,80,309,3654,0,29,154,155,12,0,0,33,381,5,46,178,389,51,7,0,71,744,5,73,334,541,67,7,0,98,1120,3,87,91,74,8,0,0,32,301,0,3,17,21,4,0,0,4,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,6,0,0,5,0,4,39,9,107,111,105,16,3,0,41,391,50,99,54,17,3,0,0,52,275,3,9,9,5,4,5,3,8,55,126,544,879,1931,1147,275,89,511,5498
POA2482,30,177,407,969,489,114,34,314,2539,0,0,26,11,3,4,0,3,44,0,6,11,3,0,0,0,0,25,0,3,36,17,7,4,0,6,71,3,21,23,7,0,0,0,10,59,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,4,6,3,0,0,38,3,41,33,10,7,3,0,9,103,13,21,4,0,0,0,0,16,62,4,9,0,3,0,0,0,0,17,53,255,487,1006,509,120,33,340,2788
POA2483,37,134,442,1769,970,187,49,336,3926,0,9,36,70,9,0,0,16,141,0,16,37,93,3,0,0,12,166,0,25,72,164,14,0,0,31,308,12,77,104,50,14,0,0,32,284,0,12,36,0,0,0,0,4,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,12,9,4,0,0,0,51,18,110,155,54,18,0,0,43,388,28,63,55,8,7,0,0,37,204,0,11,0,4,0,0,0,4,19,88,343,732,1997,1008,184,55,448,4853
POA2484,82,242,864,2892,1798,391,104,569,6941,4,17,96,48,10,0,0,16,183,0,6,28,36,3,0,0,3,69,4,17,122,78,9,0,0,21,255,11,75,282,49,6,4,3,68,495,0,10,31,3,0,0,0,0,49,0,0,13,4,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,4,12,13,93,328,63,8,5,3,68,571,19,36,4,9,9,0,3,78,159,8,8,3,4,3,0,6,4,37,127,392,1327,3047,1824,397,109,739,7970
POA2485,5,76,472,1133,657,132,26,178,2684,0,26,407,329,10,3,0,45,822,4,97,520,406,22,4,3,76,1125,3,122,928,737,27,7,5,124,1951,13,62,515,164,9,0,0,78,846,0,17,560,107,0,5,0,71,757,3,52,291,116,7,0,0,30,493,3,77,348,83,6,0,0,72,593,0,3,0,0,0,0,0,0,9,23,211,1709,477,18,3,0,250,2692,16,11,3,3,0,0,0,73,101,3,19,14,4,0,0,0,4,42,48,434,3132,2349,703,139,35,627,7466
POA2486,27,181,723,3277,3345,692,165,412,8825,3,163,873,1404,69,3,0,137,2655,0,26,199,599,59,0,0,50,933,3,183,1079,2002,131,4,4,190,3591,11,104,220,70,3,0,0,44,464,0,74,147,28,0,0,0,27,278,0,17,8,0,0,0,0,0,18,0,0,4,52,5,0,0,3,57,0,12,9,4,3,0,0,0,27,11,195,395,154,11,0,0,73,846,56,109,65,9,0,0,0,34,265,7,5,3,3,0,0,0,0,32,103,676,2267,5443,3491,697,167,713,13562
POA2487,9,126,498,1210,1383,371,70,131,3804,0,7,172,159,5,0,0,14,357,0,15,156,266,27,8,0,32,500,0,20,328,424,29,7,0,39,863,0,54,114,72,5,0,0,18,272,0,24,245,174,8,0,0,24,475,0,16,73,55,0,0,0,4,153,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,14,7,99,436,307,17,0,0,56,915,50,258,177,14,6,5,0,110,605,8,22,3,4,5,0,0,0,45,74,527,1446,1960,1434,385,67,334,6225
POA2488,0,16,58,421,253,59,11,50,861,0,14,82,111,5,0,0,21,244,0,0,14,77,9,0,0,3,108,0,14,97,197,9,0,0,26,347,0,15,31,16,0,0,0,4,74,0,0,39,10,0,0,0,8,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,22,71,27,4,0,0,16,136,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,6,5,51,225,646,273,60,11,87,1356
POA2489,9,31,127,822,958,145,16,93,2199,0,0,59,160,10,0,0,15,246,0,16,16,207,6,0,0,14,254,0,14,80,368,15,0,0,25,503,8,10,43,12,0,0,0,7,83,0,15,92,7,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,6,3,0,0,0,10,8,30,142,23,3,0,0,11,210,32,51,49,10,3,0,0,22,166,0,0,3,0,0,0,0,0,9,45,127,396,1223,981,144,18,154,3085
POA2490,0,13,28,117,55,19,5,16,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,13,24,117,55,19,5,15,254
POA2500,9,73,720,2905,1909,536,157,235,6542,7,49,212,238,17,12,0,33,562,0,54,448,765,88,11,0,68,1433,5,99,655,1000,106,21,4,99,1995,39,524,1180,234,41,4,8,137,2162,16,273,1479,271,10,0,0,201,2257,8,349,1921,841,37,0,3,183,3340,12,243,1114,657,35,0,0,95,2168,0,9,10,7,10,4,0,3,51,69,1406,5707,2016,130,13,9,620,9976,0,37,65,23,0,0,0,14,147,6,16,16,10,3,0,9,24,82,95,1635,7168,5951,2156,571,184,996,18744
POA2502,4,54,535,1956,790,171,53,178,3736,3,30,55,39,16,0,0,11,163,0,27,36,154,23,6,0,43,294,3,61,93,193,38,7,0,54,453,0,91,216,110,14,3,3,44,485,0,7,44,21,4,0,0,18,93,0,25,14,0,0,0,0,4,41,0,0,0,0,0,0,0,0,0,0,13,17,11,3,0,0,4,50,3,138,287,149,24,7,4,70,679,0,0,0,7,3,0,0,0,14,0,3,0,0,0,0,0,0,7,15,253,922,2300,857,180,58,306,4887
POA2505,4,23,231,787,385,83,11,69,1596,0,17,29,14,0,0,0,9,69,0,0,31,33,3,0,0,3,70,0,16,61,45,10,0,0,10,141,0,37,107,26,5,0,0,16,186,3,39,79,10,0,0,0,29,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,7,6,74,184,34,9,0,0,45,356,0,0,0,0,3,0,0,0,11,0,0,4,0,0,0,0,0,4,11,125,483,871,405,88,12,128,2111
POA2506,0,10,330,1429,629,92,32,147,2671,0,0,9,9,0,0,0,0,25,0,0,23,29,0,0,0,9,63,0,0,31,35,4,0,0,9,85,15,92,66,20,0,0,0,29,225,0,4,10,8,0,0,0,6,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,19,11,100,82,34,0,0,5,35,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,109,442,1508,630,93,33,196,3026
POA2508,6,42,154,1111,974,270,56,68,2678,0,0,11,13,0,0,0,0,25,0,3,19,47,5,0,0,0,77,0,3,28,58,3,0,0,0,99,0,0,98,130,10,0,0,3,241,0,0,59,17,0,0,0,3,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,3,0,3,0,21,0,10,156,143,14,0,3,13,341,0,0,3,13,4,0,0,0,16,0,0,7,5,4,0,0,0,16,6,51,354,1333,995,271,63,84,3145
POA2515,8,62,322,1401,1193,330,71,79,3469,0,11,50,30,4,0,0,13,108,0,3,103,168,27,4,0,6,316,0,17,158,202,30,4,0,21,428,0,14,110,39,3,3,3,13,182,0,8,57,55,3,0,0,3,125,0,0,11,12,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,8,9,3,0,0,0,0,19,0,35,185,108,7,6,3,19,355,0,0,7,4,0,0,0,0,17,0,0,0,3,0,3,0,0,13,11,121,671,1713,1232,339,71,124,4281
POA2516,0,15,194,733,698,190,53,51,1935,0,21,46,31,0,0,0,9,101,0,4,43,64,10,0,0,7,126,0,24,87,93,7,0,0,18,226,5,37,100,58,0,6,0,15,220,0,0,6,6,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,22,6,44,117,61,6,3,0,19,250,4,8,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,7,93,393,894,711,195,53,84,2434
POA2517,4,16,246,1494,1278,295,46,77,3456,0,27,130,74,4,0,0,9,249,0,66,181,362,29,0,0,21,661,0,89,315,437,35,0,0,29,912,0,44,394,253,14,0,0,48,755,0,9,89,14,0,0,0,7,124,0,0,63,6,0,0,0,4,74,0,0,0,0,0,0,0,0,0,0,9,6,0,5,0,0,0,14,0,61,548,280,20,0,0,56,971,0,6,15,5,0,0,0,4,29,0,0,0,5,0,0,0,0,4,6,175,1122,2212,1333,297,49,170,5370
POA2518,8,52,511,2336,1310,325,70,164,4780,0,103,509,264,34,0,0,59,971,0,168,483,621,47,9,0,106,1432,4,269,990,882,82,8,0,159,2399,0,80,426,63,15,8,0,35,623,0,25,241,22,0,0,0,19,301,7,21,108,7,0,0,0,4,147,0,0,0,0,0,0,0,0,0,0,6,14,11,4,0,0,0,33,7,135,780,96,20,7,0,53,1108,18,12,17,8,6,6,0,4,73,0,0,3,7,3,0,0,0,9,37,474,2309,3327,1422,345,73,381,8379
POA2519,5,39,464,1976,1468,460,90,160,4669,0,46,240,190,16,0,0,33,526,0,61,262,385,35,5,0,41,792,0,109,507,570,54,7,0,74,1325,0,59,191,29,4,3,0,31,327,0,0,35,8,0,0,0,3,46,3,75,215,95,0,0,0,38,427,0,0,0,0,0,0,0,0,0,0,3,15,4,3,0,0,5,31,8,145,457,131,7,4,3,71,826,0,5,11,10,3,0,0,4,37,0,3,0,5,0,0,0,0,6,12,304,1443,2698,1530,472,97,306,6864
POA2525,0,19,96,1461,1478,405,66,61,3578,9,33,91,82,0,0,0,9,227,0,0,46,147,9,0,0,12,217,9,33,133,221,13,0,0,24,444,0,29,95,17,0,0,0,11,149,0,0,20,5,0,0,0,4,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,27,119,26,3,0,0,15,191,8,52,74,10,0,0,0,20,172,0,0,0,3,0,0,0,0,6,18,138,427,1725,1498,405,66,111,4385
POA2526,9,39,327,2200,1955,499,96,158,5283,0,18,94,53,8,0,0,20,194,0,8,47,116,5,0,3,17,206,0,24,144,171,21,4,3,34,402,0,73,147,24,4,0,0,20,267,0,0,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,14,0,78,149,33,5,0,0,24,289,0,0,5,0,0,0,0,0,17,0,0,6,4,0,0,0,0,5,7,140,628,2414,1981,498,100,218,5990
POA2527,6,40,227,3180,3338,668,127,226,7814,0,31,360,337,28,4,0,29,791,0,6,104,331,78,0,0,23,550,0,36,473,670,114,0,0,55,1341,0,3,19,12,0,0,0,4,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,3,7,0,0,0,27,0,5,26,16,10,0,0,4,65,0,0,0,0,0,0,0,0,5,0,0,0,4,6,0,0,0,15,11,85,731,3865,3460,679,135,285,9242
POA2528,15,162,543,4304,1824,354,75,433,7697,10,46,220,75,0,0,0,31,387,0,51,264,195,32,10,0,48,600,10,99,487,268,36,10,0,73,989,4,146,454,108,7,0,3,68,793,0,4,15,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,0,0,0,0,20,4,154,482,113,11,0,3,71,841,7,106,223,14,0,0,0,80,431,0,3,3,0,0,0,0,4,13,32,522,1737,4712,1872,356,80,657,9968
POA2529,4,36,313,2693,3929,811,120,255,8161,0,31,344,367,18,0,0,56,816,0,57,188,651,121,7,0,47,1080,0,87,530,1020,145,8,0,100,1896,0,68,118,52,13,0,0,18,276,0,3,45,44,0,0,0,3,93,0,25,68,9,0,0,0,7,103,0,0,0,0,0,0,0,0,0,0,3,9,15,11,5,0,6,47,0,98,244,112,24,6,0,25,519,0,5,6,9,4,0,0,4,28,0,0,5,3,0,0,0,3,15,10,228,1099,3838,4100,830,117,390,10615
POA2530,15,55,484,5332,4181,785,163,351,11370,9,74,336,361,31,0,0,48,862,0,56,126,249,15,0,5,32,476,11,127,458,612,44,3,0,79,1344,0,45,121,9,0,0,0,17,189,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,6,3,5,0,0,28,0,49,139,14,4,5,0,16,231,0,0,0,3,0,0,0,0,8,0,3,5,8,0,0,0,0,11,27,234,1091,5973,4231,794,167,454,12964
POA2533,8,33,262,1886,2031,498,108,158,4982,0,4,116,114,13,4,0,17,268,0,18,201,433,51,3,0,34,739,0,23,318,550,62,7,0,48,1009,9,20,106,49,11,0,0,24,220,0,8,80,50,0,0,0,9,152,0,69,162,59,6,0,5,21,325,0,0,0,0,0,0,0,0,0,0,3,6,3,3,0,0,0,24,10,106,362,168,22,0,5,55,720,7,14,14,6,3,0,0,6,58,0,0,3,3,0,0,0,9,11,26,181,954,2613,2115,505,111,274,6782
POA2534,3,19,114,650,750,180,40,70,1817,0,31,60,39,11,0,0,13,147,0,4,46,67,15,0,0,7,141,0,37,106,107,28,0,0,13,286,0,10,31,5,3,0,0,4,54,0,4,31,8,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,13,61,11,3,0,0,4,91,3,7,8,0,0,0,0,3,28,0,3,3,0,0,0,0,0,5,7,80,287,767,778,180,41,91,2233
POA2535,7,34,315,1065,984,225,65,121,2812,0,19,157,73,0,0,0,24,266,0,8,79,33,0,0,0,0,127,0,29,236,102,4,0,0,24,393,0,0,0,7,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,6,0,0,0,16,0,3,4,10,6,0,0,9,37,4,53,132,19,10,0,0,38,252,0,15,35,10,0,0,0,3,66,12,136,725,1209,1001,229,67,189,3558
POA2536,29,115,661,2875,2141,447,106,402,6771,0,14,177,182,7,3,0,38,426,0,30,131,163,28,3,0,38,395,0,43,314,347,32,4,0,80,828,0,75,391,196,10,8,0,57,741,0,0,21,3,0,0,0,0,26,0,0,19,6,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,11,0,75,431,211,10,8,0,61,809,7,58,66,19,6,0,0,34,188,0,7,16,5,4,0,0,10,40,43,292,1490,3457,2206,461,111,576,8632
POA2537,21,112,734,2158,1419,288,62,333,5138,0,18,143,102,6,0,0,35,306,0,18,40,63,3,0,3,16,149,0,40,187,161,10,0,3,50,453,0,6,34,14,0,0,0,4,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,9,0,9,33,20,0,0,0,9,74,20,45,53,14,9,0,0,52,192,5,4,4,3,0,0,0,4,22,49,212,1013,2360,1442,285,65,450,5873
POA2538,10,26,101,325,301,77,17,59,918,0,6,8,0,0,0,0,6,24,0,0,4,0,3,0,0,0,10,0,9,13,3,4,0,0,6,32,0,10,5,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,23,0,13,4,0,0,0,0,12,33,0,0,0,0,0,0,0,0,5,11,54,123,334,307,77,17,80,1010
POA2539,21,112,891,3509,2531,454,93,400,8008,3,22,107,119,11,0,0,19,285,0,27,106,123,15,0,0,19,294,3,53,212,245,24,0,0,38,577,5,20,53,37,4,0,4,7,130,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,0,0,0,0,20,5,21,64,47,4,0,0,11,158,11,45,221,60,3,0,0,61,397,4,3,20,9,4,0,0,5,39,41,228,1406,3867,2564,459,92,517,9174
POA2540,47,262,1966,7167,6085,1222,291,808,17852,4,41,543,351,42,3,3,84,1072,0,0,100,87,4,4,0,11,206,5,40,647,428,48,7,3,98,1272,8,30,101,92,16,0,0,32,277,0,0,0,0,0,0,0,0,6,0,0,3,7,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,8,21,14,9,0,3,3,58,8,41,124,109,19,4,0,38,348,23,103,121,30,13,6,0,56,338,8,39,36,8,3,0,0,75,170,85,479,2894,7747,6169,1235,302,1072,19986
POA2541,18,130,807,4289,3119,521,103,577,9573,0,139,690,228,19,0,5,108,1181,0,72,117,57,3,0,0,35,284,0,215,802,289,25,4,5,141,1468,5,105,144,48,5,0,0,49,357,0,0,10,9,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,7,4,0,0,0,28,5,109,167,71,8,0,0,50,417,0,3,8,0,0,0,0,33,55,0,9,5,4,3,0,0,10,23,24,461,1793,4650,3155,524,106,806,11528
POA2545,9,30,64,205,102,15,0,43,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,8,22,0,0,0,0,0,0,0,0,0,7,31,68,208,101,17,0,54,497
POA2546,25,126,646,1713,881,176,46,271,3888,0,13,83,75,0,0,0,19,191,0,23,52,39,6,0,0,6,135,3,39,133,114,7,0,0,25,323,3,28,119,42,13,0,0,26,231,0,5,16,17,0,0,0,0,38,0,0,5,7,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,7,4,37,137,60,13,0,0,31,285,21,48,90,10,3,0,0,27,204,0,10,5,6,0,0,0,0,25,54,260,1018,1907,904,184,47,357,4731
POA2548,16,81,199,1296,820,146,32,82,2663,0,18,145,107,5,0,0,32,303,0,18,110,143,22,0,0,14,302,0,36,258,242,28,0,0,40,608,8,44,312,104,0,0,0,32,502,0,0,19,5,0,0,0,3,29,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,43,331,112,0,3,0,32,536,17,12,15,4,3,0,0,36,86,0,3,5,15,3,0,0,5,41,39,172,815,1669,858,154,36,198,3930
POA2549,4,47,267,615,381,91,17,68,1477,0,0,66,13,0,0,0,7,89,0,0,22,21,0,0,0,3,51,0,7,85,36,0,0,0,8,138,3,4,8,3,0,0,0,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,12,3,0,0,0,4,26,5,16,0,0,0,0,0,0,16,4,3,5,0,0,0,0,0,8,10,74,372,653,383,90,17,80,1671
POA2550,86,245,958,2829,1668,310,83,427,6612,0,51,149,33,0,0,0,24,256,0,5,56,25,5,0,0,5,95,0,56,207,55,9,0,0,24,350,3,24,34,7,0,0,0,9,84,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,3,22,47,7,4,0,0,9,98,24,45,22,12,3,0,0,21,139,0,0,0,4,6,0,0,3,15,117,365,1238,2910,1681,312,90,496,7209
POA2551,4,31,165,628,316,56,19,87,1300,4,19,56,32,0,0,0,14,135,0,0,28,12,0,0,0,6,48,4,23,94,48,0,0,0,19,185,0,4,37,0,0,0,0,7,47,0,3,4,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,40,3,0,0,0,7,58,9,33,43,4,3,0,0,10,102,0,3,7,0,0,0,0,0,13,16,90,342,688,323,55,22,119,1658
POA2555,0,0,3,23,18,5,0,5,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,18,5,0,5,55
POA2556,0,7,28,166,305,91,56,62,726,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,5,0,0,0,4,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,30,175,310,95,56,67,736
POA2557,6,60,149,945,3883,609,122,223,5997,0,0,7,11,25,0,0,0,42,0,3,6,36,45,4,0,0,99,0,6,13,44,69,3,0,0,139,0,4,7,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,9,0,0,0,20,0,10,11,4,7,0,0,0,37,0,0,0,0,0,0,0,0,3,0,0,0,6,3,0,0,0,11,6,77,176,993,3958,616,121,228,6180
