POA_CODE_2021,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85_yr_over,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
POA2799,3,6,20,7,15,15,3,0,0,77,3,5,7,13,16,15,3,0,0,66,123,157,402,319,357,368,127,20,3,1878
POA2800,61,98,228,199,184,130,39,3,0,951,57,70,166,122,143,106,44,10,5,729,1544,1975,5132,4978,4733,3666,1156,182,20,23380
POA2803,0,0,0,0,0,0,0,0,0,6,3,0,0,0,3,3,0,0,0,11,0,9,20,30,28,26,18,4,0,133
POA2804,8,5,9,9,8,5,3,0,0,44,3,3,12,16,7,9,4,3,0,60,73,75,173,207,269,254,108,30,4,1182
POA2805,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,5,14,15,21,41,44,32,16,0,0,178
POA2806,0,0,4,0,4,4,0,0,0,11,4,6,0,0,0,5,3,0,0,14,22,19,53,67,63,95,43,6,0,361
POA2807,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,4,0,0,11,7,8,23,25,35,38,15,3,0,161
POA2808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,5,21,19,5,0,0,69
POA2809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,13,14,15,22,8,3,0,86
POA2810,4,0,6,5,4,9,0,0,0,32,0,0,8,0,11,11,8,0,0,42,83,66,195,222,255,278,126,34,5,1257
POA2817,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,9,3,4,37,34,31,49,25,8,0,195
POA2818,3,0,3,3,6,3,0,0,0,18,0,0,6,5,0,5,0,0,0,13,27,32,60,71,96,89,31,4,0,423
POA2820,6,10,13,8,16,18,5,3,0,87,5,8,24,12,25,21,13,8,0,124,154,198,486,403,455,538,192,48,6,2489
POA2821,4,3,24,12,11,19,9,0,0,76,10,8,19,13,22,19,8,0,0,94,116,162,362,372,375,387,159,28,3,1952
POA2822,0,0,0,6,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,3,10,11,31,29,34,51,17,4,5,198
POA2823,0,3,3,5,0,4,0,0,0,20,0,6,5,5,5,8,0,4,0,32,25,41,124,92,100,120,54,14,0,570
POA2824,0,3,5,5,9,4,0,0,0,22,9,3,7,6,4,10,8,0,4,44,46,71,169,147,177,208,48,14,4,881
POA2825,0,0,3,5,3,12,0,0,0,25,5,7,10,7,6,9,8,4,0,52,59,101,255,154,251,208,75,19,3,1129
POA2826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,19,13,18,21,13,0,0,103
POA2827,0,3,10,4,16,6,3,5,0,56,3,3,14,9,16,17,6,4,0,70,76,71,264,246,319,309,133,36,0,1450
POA2828,0,0,0,5,3,0,0,0,0,4,0,0,5,0,3,9,0,6,0,20,16,19,56,61,74,85,33,9,0,346
POA2829,0,5,8,5,6,11,5,0,0,34,6,3,12,13,11,7,4,0,0,55,48,73,240,190,215,216,101,18,0,1108
POA2830,56,100,214,152,135,125,54,8,4,851,63,80,234,152,140,103,50,25,0,843,1430,1861,5536,4419,3977,3390,1068,166,22,21867
POA2831,0,0,4,10,3,0,0,4,0,20,3,4,8,8,9,6,0,0,0,39,39,44,154,177,184,195,71,29,5,898
POA2832,0,3,6,3,0,4,0,0,0,17,0,0,0,4,0,3,3,3,0,21,20,47,153,116,132,149,74,14,0,706
POA2833,0,0,0,3,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,3,5,17,42,35,28,46,28,9,0,199
POA2834,3,0,3,3,8,0,5,0,0,19,5,0,3,6,3,4,0,0,0,28,30,48,115,124,140,164,59,13,0,693
POA2835,0,6,14,13,9,14,3,0,0,60,6,5,10,11,14,14,7,0,0,62,95,149,434,377,343,365,100,11,7,1888
POA2836,0,0,0,0,4,4,0,0,0,7,4,3,0,0,0,3,0,0,0,18,12,21,53,34,56,61,42,4,0,285
POA2838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,10,13,15,18,12,0,0,74
POA2839,0,0,4,4,0,0,0,0,0,12,0,0,3,0,0,3,0,0,0,8,10,31,102,62,69,79,33,0,0,379
POA2840,5,9,3,5,7,13,5,0,0,33,4,8,10,4,16,9,5,7,0,62,42,101,218,188,216,241,93,25,0,1122
POA2842,0,0,0,0,0,0,0,0,0,5,0,0,3,3,0,0,0,4,0,13,10,10,45,40,51,57,34,12,0,252
POA2843,0,4,0,0,0,0,4,0,0,11,0,0,7,3,0,8,4,0,0,30,29,35,83,80,100,107,52,20,7,497
POA2844,5,0,0,3,5,4,0,0,0,16,0,0,3,3,5,3,0,0,0,20,24,28,85,92,108,119,56,22,0,532
POA2845,0,8,5,0,8,5,3,4,0,25,4,3,9,0,3,7,0,0,0,31,67,79,183,176,178,149,40,3,0,881
POA2846,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,5,3,15,10,28,19,15,3,0,94
POA2847,5,5,3,9,5,7,8,0,0,40,0,10,3,3,11,5,0,0,0,37,45,76,158,197,185,197,54,3,0,918
POA2848,0,5,0,0,0,3,0,0,0,8,0,3,0,0,3,3,0,0,0,14,13,27,53,56,98,99,19,5,0,386
POA2849,5,0,0,0,8,8,0,0,0,22,0,0,0,5,8,9,5,0,0,22,34,32,81,126,158,160,66,22,0,674
POA2850,28,39,96,57,71,59,22,0,0,371,14,23,70,50,66,50,22,22,0,315,578,679,1877,1798,1953,1593,483,109,22,9084
POA2852,6,3,19,11,6,7,3,5,0,61,4,4,14,9,9,10,3,0,3,59,85,100,312,342,329,293,124,27,5,1614
POA2864,0,4,0,5,0,0,4,0,0,12,0,0,4,7,3,5,0,0,0,20,24,26,49,86,82,75,24,14,4,381
POA2865,0,3,7,0,5,5,5,0,0,16,0,0,6,5,8,6,0,0,0,20,15,30,67,90,102,75,51,8,0,435
POA2866,4,7,10,12,5,6,0,0,0,48,12,3,9,10,16,8,8,0,0,68,73,127,210,292,302,265,119,21,0,1416
POA2867,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,5,14,10,39,61,40,67,23,16,3,265
POA2868,0,0,0,3,0,0,0,0,0,3,0,0,4,0,5,5,0,0,0,9,10,16,30,44,37,60,22,10,0,237
POA2869,0,0,3,3,4,0,4,0,0,18,3,0,5,0,4,7,3,0,0,23,19,30,83,79,120,138,75,18,0,554
POA2870,28,32,59,32,40,36,10,7,0,241,20,20,54,35,40,26,10,7,4,202,392,512,1125,1033,1088,930,277,56,5,5420
POA2871,19,15,32,30,25,32,13,0,0,165,20,16,31,29,28,34,18,4,3,181,286,342,764,726,774,751,288,61,16,3998
POA2873,0,0,0,0,0,4,0,0,0,9,0,5,3,3,4,4,0,0,0,14,4,13,41,38,54,64,33,13,3,255
POA2874,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,23,28,29,36,20,9,0,141
POA2875,0,0,0,0,3,0,3,0,0,7,0,3,0,0,5,0,0,0,0,11,10,17,50,63,71,79,45,7,7,355
POA2876,0,0,3,0,0,0,0,0,0,7,0,0,3,3,0,0,0,0,0,11,13,8,28,33,46,41,21,8,0,202
POA2877,3,0,10,4,6,20,5,0,0,50,4,12,17,13,19,14,10,6,0,85,71,102,302,264,284,296,129,31,9,1485
POA2878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,3,13,27,26,28,29,15,8,0,157
POA2879,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,4,5,11,37,31,39,53,20,8,0,203
POA2880,19,36,51,46,45,63,23,0,0,295,18,30,42,50,50,56,22,5,0,257,482,638,1637,1372,1443,1558,437,42,10,7621
POA2898,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,4,0,0,0,9,4,8,50,55,42,52,21,4,0,243
POA3000,11,120,340,126,49,38,8,0,0,691,26,294,549,175,77,48,16,6,0,1190,686,5644,12675,4354,1709,1011,270,41,3,26385
POA3002,0,4,20,27,16,24,7,0,0,88,0,7,21,21,8,11,9,9,0,87,43,220,1044,683,460,468,240,58,5,3210
POA3003,0,19,76,25,10,8,0,0,0,131,5,33,114,39,16,7,6,0,0,211,65,706,2496,1054,530,283,68,7,0,5206
POA3004,0,13,61,34,16,17,15,3,0,166,3,22,136,78,38,30,16,3,0,330,105,593,2745,1738,897,684,360,91,3,7217
POA3006,4,44,160,88,31,21,9,0,0,348,0,73,362,139,43,45,10,0,0,679,154,1936,7757,3408,1339,809,260,31,0,15698
POA3008,0,16,109,43,28,25,8,0,0,231,0,37,190,80,40,23,5,0,0,377,72,824,4420,2206,1015,707,211,20,0,9472
POA3011,0,28,144,103,65,29,12,0,0,388,9,57,206,138,76,53,9,0,0,544,233,1174,4881,3337,1825,1095,217,11,0,12768
POA3012,12,31,163,105,93,42,14,0,0,455,11,57,236,151,108,57,15,9,0,643,373,1073,4774,3985,2623,1361,268,21,5,14486
POA3013,9,22,68,57,47,41,12,0,0,254,3,24,86,95,63,41,9,0,0,318,317,554,2248,2475,1983,1095,215,20,0,8905
POA3015,9,18,58,85,81,48,13,0,0,302,11,27,80,97,78,51,12,6,0,347,366,574,2106,2974,2355,1444,246,25,0,10091
POA3016,7,22,30,47,63,56,18,0,0,250,5,19,36,53,77,42,19,5,0,263,446,652,1044,1628,2209,1723,452,40,0,8204
POA3018,4,16,33,63,40,34,11,0,0,205,6,17,59,71,58,27,12,4,0,261,253,401,1260,1817,1619,1020,245,33,3,6664
POA3019,0,12,61,44,36,20,9,0,0,184,7,27,124,65,54,36,4,0,0,319,134,440,1604,978,676,421,102,5,0,4357
POA3020,9,62,216,182,142,99,28,5,0,738,39,141,449,275,229,171,29,9,0,1337,608,1995,5640,4345,3364,2316,494,44,5,18812
POA3021,23,109,323,246,191,102,28,0,0,1021,46,185,475,382,330,234,47,3,4,1712,649,2372,5971,4289,3604,2659,614,54,4,20209
POA3022,0,4,11,15,16,5,0,0,0,49,0,6,29,30,22,18,0,0,0,107,36,87,410,378,257,141,33,6,0,1352
POA3023,23,100,284,290,272,134,37,0,0,1145,68,166,424,458,374,207,53,3,3,1756,1526,2733,6165,7917,6940,3613,701,37,4,29640
POA3024,14,60,114,121,71,50,13,0,0,452,26,90,251,252,147,45,12,0,0,828,691,1353,4436,5209,2494,1281,252,15,0,15721
POA3025,3,15,53,58,35,23,10,0,0,200,7,28,76,81,49,27,10,0,3,280,157,372,1532,1601,1082,585,142,12,4,5485
POA3026,0,10,41,41,23,12,4,0,0,142,7,15,62,72,52,27,0,0,0,234,173,280,869,1427,857,382,56,4,0,4048
POA3027,0,10,32,41,8,9,0,0,0,101,4,32,90,95,29,18,4,0,0,267,129,451,1479,1810,751,291,62,0,0,4981
POA3028,12,43,119,113,108,84,14,0,0,498,13,50,196,131,123,97,19,4,0,642,532,1106,3302,3164,2593,2132,397,27,0,13259
POA3029,33,200,516,472,297,193,37,0,0,1744,94,414,1170,1010,465,255,46,8,0,3457,2071,5489,16876,19162,9015,5076,898,52,3,58656
POA3030,55,157,474,429,369,204,43,0,0,1732,77,272,769,794,499,257,51,7,3,2723,2344,4627,13353,17710,11182,6045,1257,89,8,56617
POA3031,7,31,81,61,40,31,7,0,0,268,13,26,127,77,63,41,5,0,0,354,224,897,3497,2632,1662,899,229,11,4,10044
POA3032,6,31,134,102,90,82,20,0,0,467,9,61,187,157,112,81,26,4,0,640,488,1568,4825,4010,3194,2079,525,47,4,16743
POA3033,3,8,59,60,66,44,4,6,0,250,8,27,64,63,74,44,18,3,0,298,363,531,1313,1618,1709,1100,285,38,3,6968
POA3034,0,15,42,46,43,48,15,0,0,204,5,24,59,59,67,42,18,12,0,276,218,454,1104,1317,1158,819,266,35,0,5361
POA3036,3,7,9,15,30,13,15,0,0,101,9,12,22,18,38,25,13,6,0,147,173,264,449,536,686,584,192,38,3,2930
POA3037,30,101,200,218,220,115,22,4,0,921,67,133,284,286,329,173,34,0,0,1309,1568,2665,5008,5712,6154,3559,595,30,0,25294
POA3038,15,40,89,76,130,134,22,5,0,495,18,71,133,112,126,127,31,0,0,628,730,1394,2499,2087,2886,2856,659,39,0,13149
POA3039,4,15,63,43,40,39,17,5,0,233,10,31,107,75,62,49,10,0,0,344,327,839,2686,2059,1751,1290,342,33,5,9321
POA3040,14,29,101,83,91,60,25,3,0,410,19,45,119,139,134,76,25,7,3,567,717,1582,3197,3046,3315,2358,632,68,8,14918
POA3041,3,15,35,46,52,41,12,5,0,219,10,28,53,67,68,47,13,3,0,277,393,676,1192,1540,1697,1125,326,37,0,6989
POA3042,4,22,72,64,65,66,10,4,0,312,7,15,76,81,75,65,23,0,0,356,389,669,1887,2069,1877,1268,331,19,0,8524
POA3043,11,31,99,85,54,53,10,0,0,345,7,24,89,77,81,59,27,0,0,366,318,657,1958,1864,1637,1189,333,29,0,7995
POA3044,5,50,136,117,97,71,19,0,0,497,18,48,160,157,113,58,11,4,0,573,601,1244,3993,3895,3116,2025,394,36,4,15309
POA3045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,15,7,8,0,0,49
POA3046,6,53,162,137,121,81,22,0,0,573,22,101,293,190,102,77,14,8,0,819,524,1879,5767,4351,2714,1863,355,37,0,17495
POA3047,3,31,62,66,37,25,10,0,0,231,19,75,185,104,89,51,7,0,0,532,220,865,2231,1390,970,698,130,11,0,6533
POA3048,0,24,47,46,54,31,4,0,0,203,16,65,127,99,76,61,10,0,0,459,219,734,1462,1032,979,763,121,11,0,5313
POA3049,11,17,34,31,39,28,12,0,0,176,6,15,45,37,41,42,3,3,0,195,228,422,1024,943,1010,866,218,12,0,4731
POA3051,3,25,84,45,30,28,5,0,0,218,12,54,113,68,47,32,8,0,0,325,224,1183,3250,1767,1033,617,188,19,3,8282
POA3052,12,21,32,17,10,9,6,0,0,109,14,18,52,21,18,3,3,0,0,129,572,968,1339,632,359,260,120,28,0,4284
POA3053,3,37,102,37,14,19,4,0,0,228,16,85,172,42,29,25,7,3,0,377,342,1797,3758,1259,620,406,174,38,0,8404
POA3054,0,16,54,27,26,17,9,0,0,145,3,13,74,27,28,17,0,0,0,163,92,624,1855,923,686,553,223,52,3,4997
POA3055,4,23,118,57,35,23,8,0,0,273,5,29,117,72,53,38,11,4,0,320,206,910,3095,2061,1369,851,219,23,0,8745
POA3056,7,58,167,111,67,53,7,0,0,470,3,54,236,118,74,41,12,0,0,539,256,1685,6039,3769,2196,1324,295,35,3,15598
POA3057,3,25,107,69,34,22,13,0,0,268,5,29,152,79,35,14,3,0,0,322,135,782,3755,2234,1125,589,148,17,0,8782
POA3058,4,60,122,167,121,83,15,3,0,577,13,67,202,157,122,78,16,0,0,654,633,1635,5031,4841,3852,2085,462,46,7,18584
POA3059,8,33,86,82,80,64,11,0,0,374,19,62,122,117,108,65,14,0,0,517,511,1078,2427,2288,2097,1627,335,16,0,10377
POA3060,0,17,57,51,38,33,12,0,0,210,12,46,105,86,55,33,12,0,0,346,190,630,1623,1392,969,671,137,13,0,5623
POA3061,0,7,29,27,15,12,3,0,0,85,4,3,33,25,21,9,3,0,0,103,64,155,382,332,264,198,49,3,0,1455
POA3062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
POA3063,3,0,0,0,4,5,0,0,0,14,0,0,0,0,0,4,0,0,0,9,26,35,33,47,83,56,18,6,0,295
POA3064,41,193,518,437,274,168,25,0,0,1665,91,313,937,771,491,299,40,3,0,2950,2104,5023,14223,13730,7675,4574,711,33,0,48073
POA3065,4,18,50,53,33,13,5,0,0,167,4,21,117,73,33,18,6,0,0,266,97,498,2481,1418,844,605,144,23,0,6118
POA3066,0,4,60,33,23,12,3,0,0,143,12,19,121,63,36,12,4,0,0,260,57,415,2789,1377,666,350,103,8,0,5769
POA3067,5,16,60,43,19,16,6,0,0,161,5,24,107,68,17,17,6,0,0,237,76,503,2809,1486,657,416,139,17,0,6102
POA3068,12,28,101,70,49,45,22,0,0,321,11,14,162,98,57,28,8,0,0,387,261,836,3916,2643,1915,1268,415,61,0,11317
POA3070,16,28,135,79,86,51,10,0,0,408,17,36,167,116,106,51,24,3,0,511,434,979,4468,3346,3127,1784,452,28,5,14623
POA3071,7,27,96,86,79,42,13,7,0,354,3,37,105,96,59,32,17,5,0,356,316,738,3252,2835,2220,1201,265,21,3,10857
POA3072,8,32,173,153,104,71,14,3,0,555,9,58,248,197,134,79,19,3,0,752,525,1426,5389,4759,3607,2027,400,34,5,18175
POA3073,13,63,249,213,185,116,31,4,0,865,29,136,373,289,200,149,38,12,3,1227,672,2133,7242,6116,4549,2848,653,62,4,24275
POA3074,0,43,86,81,57,53,15,0,0,328,18,58,155,124,102,83,21,4,0,556,274,865,2255,1715,1339,1054,295,20,0,7832
POA3075,8,34,93,100,80,46,12,0,0,371,21,68,144,162,119,78,18,0,0,607,333,1013,2417,2352,1635,1041,235,23,0,9039
POA3076,11,42,147,149,131,83,21,3,0,588,23,88,244,225,170,122,25,3,0,898,587,1441,3747,3971,2855,1994,439,23,0,15067
POA3078,3,13,50,50,38,35,9,0,0,204,0,17,60,52,45,26,11,0,0,217,219,568,1780,1574,1395,1023,293,27,0,6883
POA3079,15,23,52,47,52,41,14,0,0,249,11,27,64,72,73,45,19,5,0,311,424,873,1927,1918,1979,1574,511,78,4,9291
POA3081,4,21,84,61,42,33,8,0,0,255,3,38,92,56,50,53,11,4,0,306,148,629,2214,1556,1062,888,195,16,5,6702
POA3082,8,63,123,115,103,107,13,0,0,540,17,64,182,139,147,134,39,4,0,723,609,1452,3163,2728,2834,2805,576,44,0,14207
POA3083,15,56,117,105,121,93,25,3,0,543,15,95,224,149,147,101,23,7,0,764,711,1946,3875,3007,3080,2146,560,60,8,15391
POA3084,10,33,78,78,81,77,25,5,4,395,8,37,86,126,114,63,27,10,3,468,578,1093,2585,3303,3168,2191,665,90,10,13674
POA3085,11,9,43,41,61,23,11,0,0,191,3,19,52,53,40,41,12,6,0,224,377,685,1510,1775,1670,1011,282,34,0,7329
POA3087,4,15,34,44,39,25,9,0,0,166,6,13,27,41,30,25,12,0,0,150,177,340,1094,1187,981,650,182,12,0,4625
POA3088,11,45,81,112,102,88,26,4,0,471,22,26,65,116,104,70,30,3,0,434,651,1030,2447,3433,3086,2281,703,68,0,13697
POA3089,15,22,46,46,61,59,3,0,0,262,11,33,51,53,66,55,14,4,0,282,469,694,1212,1392,1662,1279,261,28,0,7007
POA3090,3,4,6,5,13,14,0,0,0,55,0,8,7,11,19,7,3,0,0,55,107,176,148,223,401,280,51,6,0,1395
POA3091,0,7,7,5,4,9,3,0,0,38,0,5,8,10,11,9,6,0,0,48,56,107,101,106,232,201,42,14,0,866
POA3093,0,8,6,22,11,11,3,0,0,68,0,6,14,23,17,13,12,0,0,73,97,166,308,403,476,338,133,19,0,1936
POA3094,3,6,27,30,33,24,10,0,0,149,7,3,36,37,36,29,8,3,0,156,230,325,783,1209,1117,769,259,28,0,4712
POA3095,19,57,65,85,127,114,29,7,0,503,23,36,58,102,138,98,35,5,0,488,872,1262,1894,2965,3834,2965,919,113,4,14836
POA3096,4,4,16,7,11,3,6,0,0,50,0,3,4,9,4,3,0,0,0,26,58,124,181,162,235,224,33,9,0,1030
POA3097,0,0,9,8,11,15,3,0,0,41,0,8,0,5,16,12,0,0,0,43,59,72,91,128,210,165,56,6,0,785
POA3099,3,6,19,24,26,15,11,0,0,107,4,3,10,19,19,12,11,0,0,82,145,222,375,472,629,548,173,24,0,2608
POA3101,15,33,84,47,53,55,29,8,0,314,24,42,114,105,103,85,26,7,3,512,536,1293,2670,2321,2632,2043,856,153,11,12521
POA3102,10,12,6,14,17,13,9,0,0,81,4,10,18,25,32,21,8,0,0,121,185,340,541,699,810,635,174,33,3,3426
POA3103,0,21,33,36,33,44,12,4,0,180,13,26,60,80,66,63,18,9,3,340,306,732,1236,1467,1569,1277,447,83,10,7121
POA3104,17,28,35,37,66,57,22,5,0,256,18,40,76,93,120,61,23,3,0,437,570,1015,1467,1806,2607,1949,549,98,7,10071
POA3105,4,16,41,28,49,46,10,6,0,195,8,18,41,33,48,37,10,0,0,208,223,496,1017,1091,1206,913,253,58,0,5260
POA3106,14,25,43,43,58,53,18,4,0,255,11,18,60,77,81,60,29,10,0,342,364,668,1253,1570,1618,1563,580,109,7,7735
POA3107,4,14,34,67,53,36,9,0,0,217,8,19,51,72,67,38,19,5,0,279,286,484,1073,1489,1635,1082,339,71,0,6463
POA3108,10,41,98,85,77,62,20,3,0,392,4,47,154,151,104,70,21,6,0,557,368,1109,2980,2616,2161,1685,509,96,9,11539
POA3109,12,27,82,120,129,100,28,9,0,504,13,54,162,179,139,106,28,7,5,684,544,1211,2644,3590,2951,2348,673,108,15,14073
POA3111,9,8,26,56,57,52,17,6,0,227,10,29,44,63,62,49,20,3,0,281,337,572,853,1244,1459,1072,354,62,0,5945
POA3113,7,16,13,27,53,35,5,0,0,169,9,15,17,40,42,36,12,4,0,169,330,430,459,770,1296,923,271,41,5,4531
POA3114,0,6,6,6,21,14,0,0,0,54,9,9,5,6,14,17,9,4,0,67,182,236,170,274,600,409,111,11,0,1998
POA3115,0,10,3,14,18,12,5,0,0,71,0,10,15,23,21,27,7,0,0,102,154,246,236,320,523,474,151,25,0,2124
POA3116,13,33,53,71,48,36,18,6,0,280,13,23,53,67,60,43,11,5,0,282,367,572,1272,1367,1248,945,284,32,0,6086
POA3121,0,42,209,124,94,69,22,4,0,576,5,71,287,148,98,69,19,0,3,698,336,1918,8654,4338,2759,1779,541,82,5,20400
POA3122,12,46,100,52,51,33,11,3,0,320,11,51,173,97,87,49,22,8,0,488,450,1545,4154,2596,2068,1441,579,110,10,12958
POA3123,4,29,56,26,30,20,9,0,0,178,8,30,84,60,54,35,18,6,0,292,257,897,2495,1772,1508,967,378,72,4,8345
POA3124,18,24,48,39,53,52,17,3,0,261,6,45,67,80,75,67,29,4,0,378,551,1168,1947,2056,2452,1911,694,106,5,10884
POA3125,9,31,67,43,42,32,9,0,0,225,6,56,122,72,48,31,7,5,0,347,391,1185,1990,1385,1326,858,237,36,0,7412
POA3126,3,7,14,12,26,18,9,0,0,93,10,8,30,33,34,25,13,0,3,162,183,381,504,636,879,721,301,59,3,3662
POA3127,11,30,28,41,56,58,16,0,0,243,7,32,58,62,75,49,14,4,0,306,562,958,1643,1848,2346,1690,583,84,11,9727
POA3128,4,43,113,67,70,60,18,5,0,386,10,81,191,128,81,70,13,0,0,574,383,1536,3443,2272,2002,1285,335,43,3,11300
POA3129,0,18,74,54,73,35,10,4,0,269,5,42,111,85,69,39,16,4,0,382,407,825,1951,1960,2026,1349,366,40,0,8921
POA3130,18,43,88,121,141,99,34,8,0,549,18,63,144,139,160,92,22,4,3,644,871,1520,3010,3807,3883,2570,649,90,7,16411
POA3131,12,32,84,79,99,59,14,9,0,389,5,34,109,111,94,67,17,10,4,451,502,938,2400,2810,2447,1535,372,47,6,11073
POA3132,4,20,65,59,69,37,19,3,0,282,4,31,94,99,74,39,12,4,0,355,390,759,1996,2262,1911,1207,331,37,3,8898
POA3133,8,34,61,68,99,74,24,3,0,373,12,45,76,114,122,75,27,11,0,475,576,967,1633,2514,2578,1706,550,81,9,10617
POA3134,18,59,131,133,162,121,38,4,0,664,23,58,181,178,177,100,26,10,0,751,939,1591,3721,4103,3903,2785,756,97,8,17895
POA3135,17,24,73,70,100,72,27,4,0,387,19,31,98,82,106,59,15,6,0,411,573,844,2078,2543,2361,1581,411,55,6,10450
POA3136,25,100,191,212,195,159,41,10,0,929,27,90,244,241,191,144,49,13,6,1006,1131,1977,4965,5474,4823,3726,984,118,11,23211
POA3137,15,36,80,71,42,63,8,0,0,315,16,35,92,87,82,50,23,0,0,390,424,698,1744,1635,1470,1238,279,25,6,7515
POA3138,25,41,146,124,108,91,21,3,0,557,30,73,149,158,112,76,19,4,0,626,623,1130,2825,2761,2352,1705,436,49,3,11895
POA3139,23,40,98,92,84,77,16,4,0,425,14,24,55,55,95,64,26,3,0,352,427,660,1557,1419,1615,1332,364,50,3,7426
POA3140,19,49,105,67,84,73,16,0,0,409,15,34,88,74,83,66,13,0,0,373,560,867,1908,1751,1965,1497,358,32,4,8944
POA3141,8,53,162,94,61,30,13,0,0,409,4,62,287,133,69,55,32,12,0,652,217,1510,7212,3350,1757,1320,588,118,9,16077
POA3142,3,18,40,16,23,25,9,3,0,143,6,30,66,59,57,50,40,18,0,327,138,561,1557,1050,1077,1034,722,216,32,6375
POA3143,5,18,36,24,22,23,9,0,0,129,0,17,75,41,25,28,8,5,0,201,98,485,1702,1130,919,592,318,58,4,5308
POA3144,8,11,27,29,15,15,9,0,0,115,3,26,42,44,43,34,16,8,4,215,226,505,1129,1027,1181,912,417,108,13,5516
POA3145,7,35,63,52,65,42,16,4,0,282,12,40,135,99,127,65,35,7,3,520,578,1378,2867,2491,2703,1840,632,88,14,12591
POA3146,18,47,70,64,80,62,18,8,0,367,22,46,107,118,116,62,15,0,0,479,664,1431,2760,2900,3223,2253,709,113,12,14070
POA3147,5,21,33,41,40,37,9,3,0,191,11,12,77,74,61,51,24,7,0,318,344,655,1384,1682,1777,1159,337,47,4,7387
POA3148,0,20,48,42,24,13,21,0,0,179,5,18,91,65,36,23,10,0,0,244,129,490,1633,1246,846,517,154,14,0,5028
POA3149,14,47,110,91,127,82,25,8,0,499,29,62,175,207,176,103,28,4,5,786,772,1638,3406,3965,3815,2674,651,89,12,17036
POA3150,26,79,142,169,206,164,70,14,0,862,51,111,312,315,303,199,63,29,6,1384,1226,2801,5208,6503,6335,4568,1441,261,23,28351
POA3151,0,21,41,33,30,37,4,5,0,177,3,26,75,66,42,21,11,4,0,251,179,565,1261,1072,1008,723,194,32,0,5022
POA3152,11,65,110,129,146,109,51,3,0,622,28,57,149,211,161,129,46,7,0,788,784,1527,3198,3973,3497,2908,963,67,0,16910
POA3153,19,45,117,110,71,67,22,4,0,447,10,37,146,143,101,87,18,0,0,541,421,868,2735,2770,1988,1543,362,37,0,10723
POA3154,5,3,25,22,22,19,0,0,0,103,5,12,24,22,24,30,7,0,0,128,147,182,426,518,543,376,97,8,0,2299
POA3155,10,45,135,110,99,76,10,6,0,487,6,33,143,148,133,92,28,3,0,598,434,967,3027,2906,2312,1710,474,43,4,11875
POA3156,28,88,150,151,194,158,38,3,0,811,27,62,182,232,223,175,44,9,0,957,1174,1782,3872,4360,4538,3481,848,90,0,20159
POA3158,4,11,28,30,34,32,14,0,0,146,5,13,20,18,38,22,0,3,0,119,210,280,608,808,889,697,176,11,0,3679
POA3159,3,0,3,5,13,10,0,0,0,38,5,0,5,11,11,6,5,0,0,43,86,100,184,324,340,243,71,7,4,1340
POA3160,7,24,43,68,53,39,14,0,0,257,7,4,41,33,45,32,14,4,0,177,248,383,796,1152,1136,881,245,21,0,4862
