POA_CODE_2021,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85_yr_over,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
POA2024,9,11,47,32,34,16,3,0,0,147,6,10,80,75,49,27,3,5,0,264,172,321,1568,1446,1305,820,245,31,3,5907
POA2025,0,3,16,16,10,18,8,5,0,76,5,6,36,38,33,28,12,3,0,158,75,251,961,789,651,505,283,83,10,3606
POA2026,7,32,224,120,83,43,19,4,0,537,16,62,522,290,146,73,23,8,3,1144,326,998,7687,4688,2978,1598,521,80,7,18888
POA2027,0,0,20,18,10,7,13,4,0,79,9,9,57,55,42,22,28,7,0,238,52,227,1019,819,658,589,413,169,26,3962
POA2028,0,0,16,8,6,12,6,0,0,49,0,7,33,26,14,11,13,10,0,122,36,191,837,521,367,318,204,75,7,2553
POA2029,9,9,33,33,39,19,7,0,0,151,8,10,77,70,54,31,7,9,9,287,114,362,1170,1153,1036,697,347,98,15,4995
POA2030,6,11,23,25,35,28,10,0,0,152,11,25,79,77,117,67,24,9,0,413,256,518,980,1305,1686,1215,570,130,20,6683
POA2031,24,36,171,105,97,59,17,5,0,511,17,54,282,208,135,74,31,7,0,810,470,1286,6029,4592,3550,2190,698,99,12,18926
POA2032,4,22,55,44,30,28,8,0,0,192,10,34,84,46,36,35,17,3,0,280,220,868,1878,1485,1256,838,269,37,5,6854
POA2033,4,19,43,41,24,20,8,0,0,164,4,27,71,57,40,25,8,0,0,236,197,810,1786,1321,941,668,201,31,3,5959
POA2034,11,25,115,61,48,41,3,0,0,311,6,36,182,126,74,50,20,0,3,506,275,753,3798,2712,2042,1339,400,62,6,11393
POA2035,14,32,118,130,103,85,22,3,0,505,21,77,224,194,152,81,32,9,0,786,566,1312,3957,4072,3589,2441,661,96,8,16684
POA2036,17,44,140,124,132,83,27,6,0,580,6,57,178,184,136,83,39,9,0,691,556,1324,3414,3628,3371,2329,708,80,0,15406
POA2037,4,25,72,50,46,30,12,3,0,239,4,29,154,94,60,41,17,6,0,402,146,936,2880,2065,1422,1012,355,55,3,8878
POA2038,0,5,40,43,31,18,14,0,0,153,7,14,45,49,32,35,5,0,0,189,137,387,1305,1327,1179,705,242,24,3,5305
POA2039,0,4,33,35,25,25,14,0,0,138,0,9,34,49,56,15,13,3,0,180,101,241,1118,1369,1113,662,249,27,0,4878
POA2040,14,21,79,92,74,47,28,0,0,356,8,29,88,107,99,41,18,0,0,403,336,829,2683,3414,2930,1612,480,43,4,12326
POA2041,6,20,41,37,42,39,20,4,0,196,0,9,57,77,82,34,21,6,0,291,182,409,1489,2056,2059,1392,577,109,3,8264
POA2042,10,47,155,95,55,37,15,0,0,411,9,50,188,99,53,34,8,0,0,436,225,1170,4234,2704,1977,1142,265,26,0,11736
POA2043,3,6,53,43,31,10,4,0,0,146,5,16,119,71,38,17,0,0,0,271,77,330,2689,1938,1013,523,92,13,0,6670
POA2044,3,6,59,46,34,21,10,0,0,178,3,14,75,47,21,25,6,0,0,192,73,307,1552,1398,859,495,128,13,0,4818
POA2045,4,3,17,18,20,25,3,0,0,88,4,6,24,31,30,27,3,0,0,128,180,284,424,531,861,661,189,25,3,3153
POA2046,13,20,79,107,120,96,36,0,0,468,10,38,115,158,147,78,29,4,0,587,461,833,2632,3429,3348,2227,779,90,7,13809
POA2047,0,7,33,26,46,29,16,0,0,164,0,14,57,59,55,32,18,10,3,254,178,419,1448,1487,1395,1035,361,63,13,6390
POA2048,0,9,37,40,37,21,3,0,0,153,4,4,60,29,41,14,5,6,0,162,106,381,1373,1031,953,502,142,20,0,4524
POA2049,5,20,68,53,39,24,7,0,0,210,3,19,88,64,48,23,9,3,0,249,146,620,2350,1721,1298,742,189,22,0,7091
POA2050,0,25,60,42,26,13,3,0,0,174,3,17,96,64,31,20,3,0,0,236,247,707,2123,1357,858,503,131,14,0,5940
POA2060,0,15,59,47,26,28,7,4,0,186,0,31,135,92,53,44,25,0,0,385,127,627,3035,2209,1374,1016,429,109,9,8937
POA2061,0,5,19,8,17,12,0,0,0,57,0,10,45,36,26,25,5,3,0,152,21,206,1120,770,528,484,219,62,0,3415
POA2062,8,8,32,28,27,10,5,0,0,112,0,6,42,39,31,21,13,0,0,152,85,185,916,1075,888,511,219,27,6,3909
POA2063,0,5,6,19,7,17,3,3,0,63,0,7,19,29,36,21,6,7,0,131,132,224,300,607,820,560,225,52,4,2921
POA2064,0,9,37,24,12,21,11,0,0,115,5,11,43,67,29,19,13,0,0,185,104,347,1197,1527,932,507,189,23,4,4829
POA2065,12,32,142,96,101,66,14,8,0,469,5,37,241,220,109,83,27,8,0,733,347,1228,5995,5308,3340,2119,769,138,4,19243
POA2066,14,43,126,139,96,76,27,7,0,533,15,37,184,210,122,89,32,9,0,704,569,1198,4292,4984,3765,2377,848,149,10,18189
POA2067,5,28,75,102,64,54,15,0,0,354,11,42,173,198,120,68,15,11,0,640,297,1048,3310,3730,2511,1461,478,71,7,12918
POA2068,17,19,28,50,56,28,12,3,0,221,8,20,40,79,95,54,20,0,0,321,360,602,1068,2061,2302,1460,477,66,6,8409
POA2069,12,11,22,34,47,36,9,4,0,175,13,19,39,65,69,43,21,7,4,267,327,602,968,1598,1778,1186,439,94,12,7010
POA2070,7,11,24,32,35,33,5,0,0,152,14,14,49,78,74,35,21,4,0,278,296,572,998,1663,1707,1135,377,69,3,6813
