POA_CODE_2021,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
POA4378,37,27,20,3,240
POA4380,728,703,323,82,3874
POA4381,82,59,22,3,332
POA4382,66,71,15,4,290
POA4383,59,59,14,3,235
POA4384,0,7,4,0,24
POA4385,103,73,36,12,466
POA4387,103,68,46,10,530
POA4388,17,17,17,0,111
POA4390,464,293,153,40,3013
POA4400,140,70,25,6,946
POA4401,324,232,105,45,2207
POA4402,32,19,16,0,136
POA4403,70,43,8,5,333
POA4404,45,18,4,0,214
POA4405,899,517,219,65,6425
POA4406,134,79,39,8,741
POA4407,47,20,8,3,218
POA4408,42,35,12,4,213
POA4410,104,74,38,10,488
POA4411,22,16,0,0,125
POA4412,11,7,4,0,91
POA4413,610,346,143,58,4530
POA4415,213,162,66,26,1182
POA4416,27,19,8,0,218
POA4417,53,50,19,4,324
POA4418,5,4,3,0,37
POA4419,154,65,22,4,1075
POA4420,57,58,32,3,501
POA4421,175,148,38,7,846
POA4422,31,27,3,0,202
POA4423,18,10,5,3,92
POA4424,13,11,5,0,86
POA4425,7,14,0,0,63
POA4426,17,12,0,5,86
POA4427,19,27,14,5,124
POA4428,80,36,4,0,425
POA4454,123,56,14,4,638
POA4455,627,368,150,74,4397
POA4461,3,3,0,0,19
POA4462,11,12,3,0,64
POA4465,91,104,27,8,527
POA4467,15,10,3,0,67
POA4468,26,23,4,0,113
POA4470,346,229,69,25,1582
POA4472,111,115,51,27,672
POA4474,19,9,0,0,49
POA4477,56,35,13,4,245
POA4478,58,44,18,5,267
POA4479,7,0,0,0,8
POA4480,89,76,23,9,398
POA4481,26,30,12,0,135
POA4482,22,13,6,0,128
POA4486,57,45,10,3,283
POA4487,233,147,73,27,1433
POA4488,20,27,3,0,123
POA4489,13,6,0,0,31
POA4490,155,163,63,7,757
POA4491,19,14,3,0,58
POA4492,66,44,6,0,294
POA4493,5,0,0,0,10
POA4494,13,3,0,0,72
POA4496,6,8,4,0,87
POA4497,34,18,7,0,138
POA4498,17,3,0,0,78
POA4500,2963,1820,673,148,21678
POA4501,343,239,111,43,2743
POA4502,690,363,124,18,4134
POA4503,2785,1710,831,286,24562
POA4504,1133,639,283,72,9529
POA4505,1654,1177,592,140,11976
POA4506,1541,972,418,105,11040
