POA_CODE_2021,0_299_Separate_house,0_299_Sd_rw_tce_hse_th,0_299_Flat_apartment,0_299_Other_dwelling,0_299_Dwelling_structure_NS,0_299_Tot,300_449_Separate_house,300_449_Sd_rw_tce_hse_th,300_449_Flat_apartment,300_449_Other_dwelling,300_449_Dwg_structure_NS,300_449_Tot,450_599_Separate_house,450_599_Sd_rw_tce_hse_th,450_599_Flat_apartment,450_599_Other_dwelling,450_599_Dwg_structure_NS,450_599_Tot,600_799_Separate_house,600_799_Sd_rw_tce_hse_th,600_799_Flat_apartment,600_799_Other_dwelling,600_799_Dwg_structure_NS,600_799_Tot,800_999_Separate_house,800_999_Sd_rw_tce_hse_th,800_999_Flat_apartment,800_999_Other_dwelling,800_999_Dwg_structure_NS,800_999_Tot,1000_1399_Separate_house,1000_1399_Sd_rw_tce_hse_th,1000_1399_Flat_apartmnt,1000_1399_Other_dwelling,1000_1399_Dwg_structure_NS,1000_1399_Tot,1400_1799_Separate_house,1400_1799_Sd_rw_tce_hse_th,1400_1799_Flat_apartmnt,1400_1799_Other_dwelling,1400_1799_Dwg_structure_NS,1400_1799_Tot,1800_2399_Separate_house,1800_2399_Sd_rw_tce_hse_th,1800_2399_Flat_apartmnt,1800_2399_Other_dwelling,1800_2399_Dwg_structure_NS,1800_2399_Tot,2400_2999_Separate_house,2400_2999_Sd_rw_tce_hse_th,2400_2999_Flat_apartmnt,2400_2999_Other_dwelling,2400_2999_Dwg_structure_NS,2400_2999_Tot,3000_3999_Separate_house,3000_3999_Sd_rw_tce_hse_th,3000_3999_Flat_apartmnt,3000_3999_Other_dwelling,3000_3999_Dwg_structure_NS,3000_3999_Tot,4000_over_Separate_house,4000_over_Sd_rw_tce_hse_th,4000_over_Flat_apartmnt,4000_over_Other_dwelling,4000_over_Dwg_structure_NS,4000_over_Tot,M_rep_NS_Sep_house,M_rep_NS_Sd_rw_tce_hse_th,M_rep_NS_Flat_apart,M_rep_NS_Other_dwelling,M_rep_NS_Dwg_structu_ns,M_rep_NS_Tot,Tot_Sep_hse,Tot_Sd_row_tce_hse_th,Tot_Flat_apartment,Tot_Other_dwelling,Tot_Dwelling_structure_NS,Tot_Tot
POA6165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,10
POA6166,62,4,0,0,0,63,22,0,0,0,0,22,12,0,0,0,0,13,28,0,0,0,0,30,54,0,0,0,0,53,121,8,3,0,0,134,209,14,0,0,0,220,400,4,3,0,0,405,261,7,0,0,0,264,219,0,0,0,0,220,132,3,0,0,0,137,123,0,0,0,0,120,1623,38,16,3,0,1683
POA6167,188,0,0,0,0,194,93,0,0,0,0,100,83,3,0,0,0,90,152,3,5,0,0,155,291,12,13,0,0,317,942,22,20,0,0,986,1092,15,5,0,0,1113,1012,10,3,0,0,1022,354,0,0,0,0,357,204,0,0,0,0,201,118,0,0,0,0,116,234,0,0,0,0,238,4764,71,64,0,3,4898
POA6168,139,20,7,0,0,167,76,10,6,0,0,88,64,7,5,0,0,75,111,27,8,5,0,145,186,31,16,0,0,233,610,50,33,0,0,701,603,25,24,0,0,655,497,21,12,0,0,536,143,7,10,0,0,164,106,6,7,0,0,123,73,5,9,0,0,83,166,12,3,0,0,182,2765,226,137,5,7,3140
POA6169,239,4,8,0,0,247,96,4,0,0,0,102,86,0,0,0,0,86,177,0,7,0,0,182,248,11,11,0,0,273,1060,21,17,0,0,1096,1332,12,9,0,0,1348,1132,8,12,5,0,1144,384,0,3,0,0,390,245,0,4,0,0,243,136,0,0,0,0,138,317,9,4,0,0,325,5444,70,71,5,0,5582
POA6170,62,0,0,0,0,61,27,0,0,0,0,30,22,0,0,0,0,24,53,0,0,0,0,52,76,0,0,0,0,77,469,8,4,0,0,480,852,11,4,0,0,867,1104,10,6,0,0,1118,343,0,0,0,0,348,175,3,0,0,0,176,103,0,0,0,0,105,176,4,0,0,0,185,3470,39,10,0,0,3526
POA6171,128,4,0,0,0,131,51,0,0,0,0,50,41,4,0,0,0,47,101,5,0,0,0,104,140,6,0,0,0,150,818,31,0,3,3,850,1739,23,0,0,0,1764,2439,18,0,0,0,2456,801,4,0,0,0,811,389,0,0,0,0,396,253,0,0,0,0,252,372,4,0,0,0,375,7271,93,4,4,4,7380
POA6172,75,6,0,0,0,76,34,0,0,0,0,36,23,0,0,0,0,27,58,0,0,0,0,58,90,5,0,0,0,92,395,4,0,0,0,400,555,6,0,0,0,554,593,4,0,0,0,596,172,0,0,0,0,172,105,0,0,0,0,105,63,0,0,0,0,63,147,0,0,0,0,147,2313,18,0,0,0,2337
POA6173,73,0,0,0,0,69,27,0,0,0,0,27,12,0,0,0,0,13,29,0,0,0,0,29,38,0,0,0,0,38,241,5,0,0,0,243,397,0,0,0,0,399,729,3,0,0,0,735,315,0,0,0,0,317,229,0,0,0,0,229,119,0,0,0,0,119,140,0,0,0,0,140,2356,9,0,0,0,2370
POA6174,15,0,0,0,0,20,12,0,0,0,0,13,15,0,0,0,0,15,17,0,0,0,0,17,31,0,0,0,0,31,184,0,0,0,0,190,265,11,0,0,9,278,327,0,0,0,12,335,107,0,0,0,0,107,74,0,0,0,0,74,24,0,0,0,0,28,53,0,0,0,0,57,1112,14,0,0,22,1156
