POA_CODE_2021,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_lt_rail_M,OneMeth_Tram_lt_rail_F,OneMeth_Tram_lt_rail_P,OneMeth_Taxi_rs_serv_M,OneMeth_Taxi_rs_serv_F,OneMeth_Taxi_rs_serv_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_lt_rl_M,TwoMeth_Trn_Trm_lt_rl_F,TwoMeth_Trn_Trm_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_lt_rl_M,TwoMeth_Bus_Trm_lt_rl_F,TwoMeth_Bus_Trm_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
POA2000,599,544,1141,384,406,796,3,3,13,123,122,247,15,27,46,955,334,1290,54,122,177,10,0,10,108,18,124,181,37,216,120,59,169,1474,1200,2672,4030,2867,6902,179,211,396,6,0,6,17,19,38,8,9,15,4,10,17,24,11,30,237,255,488,3,0,3,19,25,40,5,0,6,3,8,8,10,7,17,37,40,75,28,20,48,299,312,613,61,51,111,3,5,8,0,4,7,62,54,123,3501,2802,6301,1062,1162,2215,45,46,91,9004,7246,16249
POA2007,106,83,192,91,111,197,0,0,0,13,22,36,13,8,19,253,112,369,10,43,53,3,0,3,33,10,44,89,26,117,13,10,24,250,264,518,883,697,1580,38,47,85,4,0,4,3,4,11,0,0,0,0,0,3,6,0,7,61,51,109,0,0,0,7,5,13,0,0,0,0,0,0,0,4,4,7,10,19,11,3,14,77,68,144,22,7,22,3,0,3,0,0,0,20,7,28,852,745,1593,238,318,554,3,13,18,2071,1840,3908
POA2008,161,145,304,89,110,202,0,0,0,22,12,34,11,19,31,357,192,549,17,44,63,0,6,4,34,5,41,81,22,103,14,17,35,299,262,556,1090,822,1915,44,51,90,0,0,0,7,8,16,0,0,0,4,4,5,7,4,7,58,65,118,0,0,0,4,0,6,0,0,0,0,0,0,5,4,11,10,10,17,7,9,14,75,78,158,12,17,25,4,0,8,0,0,0,20,19,36,1455,1385,2838,334,402,735,14,6,20,2986,2710,5703
POA2009,50,33,86,60,114,167,0,0,0,29,27,55,14,7,18,566,344,917,36,73,110,3,0,3,54,5,57,77,33,106,26,13,38,417,369,782,1322,1023,2344,39,27,70,0,0,0,0,4,6,0,0,3,0,0,0,5,0,3,49,37,84,0,0,0,7,10,15,0,0,0,0,5,5,0,0,4,9,13,25,14,3,23,74,61,139,24,13,36,3,5,11,0,0,0,30,15,43,1932,1761,3692,397,456,856,12,5,16,3760,3327,7082
POA2010,368,210,573,217,237,458,4,0,4,61,46,105,30,31,63,1061,523,1587,55,83,142,6,0,6,93,16,116,189,51,235,39,40,75,1307,755,2055,3440,1986,5427,98,58,156,0,0,0,11,3,16,7,0,8,0,0,4,21,0,24,138,65,209,0,0,0,14,0,18,6,0,3,5,4,6,11,5,11,28,14,40,32,15,44,201,90,287,22,19,42,5,6,7,5,0,5,31,27,57,5339,3949,9279,815,791,1609,25,35,57,9845,6871,16722
POA2011,335,209,545,70,74,149,12,0,12,0,0,0,43,21,65,818,408,1223,50,68,116,6,0,7,69,12,86,102,17,120,641,173,819,973,561,1535,3117,1548,4667,89,81,175,4,0,4,6,0,8,10,3,11,7,3,7,11,9,26,117,105,226,0,0,4,0,0,3,0,0,0,0,0,7,4,4,7,4,7,12,15,11,25,140,116,260,23,7,26,0,0,0,0,0,0,24,7,31,3172,2884,6050,503,500,998,34,17,52,6989,5069,12059
POA2015,156,120,276,44,50,94,0,0,0,0,0,0,12,19,27,780,503,1282,32,64,99,6,0,6,60,7,69,103,47,154,20,15,32,182,194,381,1399,1022,2421,41,43,87,0,0,0,4,4,5,0,0,3,5,4,4,9,6,10,60,58,118,0,0,0,0,0,0,0,0,0,0,4,4,3,4,9,9,7,12,14,12,25,82,76,157,11,7,19,0,0,0,0,0,0,11,10,20,2243,2168,4415,309,413,721,13,6,23,4056,3693,7754
POA2016,228,147,374,69,56,128,0,0,4,9,12,21,18,7,26,579,344,923,37,44,73,3,0,3,46,5,49,142,54,191,18,13,30,286,221,507,1440,892,2334,59,44,108,0,0,0,8,0,3,5,4,4,0,6,6,10,7,16,84,61,140,0,0,0,5,0,3,0,5,5,0,4,4,5,0,5,8,9,22,12,11,16,103,81,183,22,4,23,3,0,0,0,0,4,23,4,30,2065,1863,3925,378,397,779,15,12,23,4027,3248,7277
POA2017,270,207,474,317,340,656,0,0,0,0,0,3,23,23,49,1954,964,2920,85,177,262,41,0,39,153,25,180,217,74,294,46,32,76,401,379,784,3512,2223,5738,123,96,224,0,0,0,4,3,9,8,4,13,3,6,12,13,0,17,157,120,277,0,0,0,3,9,14,10,5,13,4,10,15,13,11,26,38,34,71,40,18,59,233,165,401,26,25,53,4,0,9,0,0,4,37,31,64,4569,4175,8738,820,1002,1830,36,20,57,9207,7623,16834
POA2018,71,49,115,183,244,422,0,0,0,4,0,4,13,24,42,1953,1073,3024,112,253,367,35,0,35,80,11,87,81,26,103,24,19,50,204,193,399,2745,1899,4647,76,65,134,0,4,4,0,0,0,3,0,11,0,0,0,12,0,13,85,72,154,4,0,4,0,4,3,12,3,12,6,16,22,4,9,14,22,29,57,29,9,40,142,110,253,12,17,32,4,5,10,0,0,0,20,21,39,1961,2254,4213,540,673,1218,21,14,31,5426,4973,10401
