POA_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
POA2000,15016,13990,29012,5236,3351,8587,2724,2745,5467,1044,1146,2193,637,600,1241,9642,7848,17493,3496,4673,8177,6.6,7.7,7.1,64.2,56.1,60.3,60,51.8,56,2090,1967,4059,237,292,532,4449,4526,8967,1923,2020,3940,793,478,1263,74,71,144,168,200,366,1032,749,1782,8447,8121,16567,5482,5158,10637,3397,3267,6668,10133,9641,19777
POA2007,3485,3360,6844,1136,849,1983,684,708,1396,252,286,534,252,179,435,2322,2022,4345,912,1090,1999,10.9,9,10,66.7,60.2,63.5,59.4,54.8,57.2,587,539,1129,56,77,131,1064,1102,2161,329,391,720,216,125,344,16,23,39,33,35,62,262,182,449,2046,1957,4001,1382,1377,2757,885,810,1698,2456,2441,4895
POA2008,5005,4780,9783,1882,1455,3335,783,911,1697,324,342,669,290,284,573,3274,2997,6273,1330,1415,2747,8.8,9.4,9.1,65.5,62.7,64.1,59.7,56.8,58.3,870,832,1696,97,125,220,1649,1750,3399,421,341,760,240,158,400,14,26,46,29,35,66,290,214,507,2713,2462,5171,2079,2118,4200,1081,849,1933,3615,3650,7263
POA2009,5610,5526,11135,2558,1946,4502,851,994,1847,352,384,739,203,207,406,3966,3530,7499,1215,1609,2821,5.2,5.8,5.5,70.7,63.9,67.3,67,60.2,63.6,942,887,1833,148,196,343,1787,1793,3581,549,583,1136,428,282,710,32,46,75,60,91,154,517,425,943,4027,4060,8085,1709,1605,3316,2024,2169,4192,3464,3262,6723
POA2010,14677,10367,25044,7162,4525,11691,1897,1695,3592,788,652,1433,524,309,828,10372,7182,17548,2802,2300,5101,5.1,4.3,4.7,70.7,69.3,70.1,67.1,66.3,66.8,2262,1661,3922,416,375,787,4951,3817,8771,1238,939,2172,1008,414,1425,72,68,135,158,133,285,1235,607,1848,9556,6672,16223,4251,3352,7597,4927,3246,8175,8577,6521,15101
POA2011,11638,8303,19941,5352,3489,8846,1178,1181,2350,459,402,865,346,247,592,7328,5318,12654,1783,1907,3684,4.7,4.7,4.7,63,64.1,63.4,60.1,61.1,60.5,1490,1233,2721,267,322,591,3112,2695,5808,935,842,1773,1015,407,1425,65,55,117,156,149,305,1238,605,1848,6672,5261,11935,2783,2330,5112,3332,2677,6011,5963,4785,10746
POA2015,5131,4791,9925,3097,2450,5551,694,903,1601,263,339,606,145,118,261,4207,3810,8016,679,760,1441,3.5,3,3.3,82,79.4,80.7,79.1,77,78.1,765,825,1584,161,195,352,1805,1841,3644,460,464,923,498,241,734,30,40,65,56,61,117,581,337,921,3788,3440,7224,1688,1662,3348,1837,1719,3550,3379,3174,6554
POA2016,6498,5259,11754,2778,1992,4766,889,919,1808,366,341,706,293,162,460,4321,3409,7733,1577,1430,3006,6.8,4.8,5.9,66.5,64.9,65.8,62,61.8,61.9,885,780,1665,168,167,339,1907,1816,3726,555,449,1003,525,235,762,49,45,91,88,74,159,657,353,1013,4425,3605,8026,1896,1680,3577,2525,2032,4557,3607,3056,6667
POA2017,14154,12511,26664,6551,4828,11385,1789,1912,3699,862,883,1748,589,518,1106,9792,8147,17937,3228,3433,6659,6,6.4,6.2,69.2,65.1,67.3,65,60.9,63.1,2133,2151,4287,302,323,623,4397,4312,8716,1221,1125,2350,1298,578,1875,64,88,153,151,155,312,1515,824,2339,8796,7804,16597,5198,4709,9903,3572,3245,6815,9910,8782,18695
POA2018,8537,8541,17077,3581,2917,6497,1281,1514,2800,565,543,1109,271,249,521,5694,5226,10924,2340,2878,5210,4.7,4.8,4.8,66.7,61.2,64,63.6,58.3,60.9,1046,1049,2096,106,207,315,2044,2383,4425,723,873,1598,1134,508,1643,32,69,109,129,186,308,1296,763,2063,7013,7047,14060,2245,2169,4411,4111,4320,8429,4669,4485,9154
