POA_CODE_2021,Num_mot_veh_per_dwg_None_Dwgs,Nu_mo_veh_pe_dw_1_mo_veh_Dwgs,Nu_mo_ve_pe_dw_2_mot_veh_Dwgs,Nu_mo_ve_pe_dw_3_mot_veh_Dwgs,Nu_mo_ve_pe_dw_4_mo_veh_Dwgs,Num_mot_veh_per_dwg_Tot_Dwgs,Num_mot_veh_ns_Dwgs,Total_Dwellings
POA2515,154,1369,1758,572,305,4152,129,4281
POA2516,132,701,1005,326,186,2351,81,2434
POA2517,378,1853,2007,615,346,5197,178,5370
POA2518,852,3100,2787,807,452,7994,384,8379
POA2519,567,2376,2356,767,480,6544,322,6864
POA2525,183,1243,1843,604,391,4277,105,4385
POA2526,326,1661,2355,890,541,5765,229,5990
POA2527,313,2493,3792,1395,956,8948,288,9242
POA2528,870,3800,3093,958,598,9325,648,9968
POA2529,381,3118,4173,1574,993,10240,379,10615
POA2530,656,3940,5010,1811,1103,12514,451,12964
POA2533,234,2099,2781,870,532,6513,262,6782
POA2534,81,677,917,274,196,2146,85,2233
POA2535,123,1289,1288,420,250,3362,191,3558
POA2536,402,3344,2978,881,459,8058,573,8632
POA2537,193,2029,2119,682,397,5425,448,5873
POA2538,34,268,389,151,96,927,80,1010
POA2539,319,3565,3329,953,482,8652,521,9174
POA2540,616,7137,7283,2373,1517,18929,1057,19986
POA2541,829,4368,3776,1179,555,10709,824,11528
POA2545,8,131,186,76,49,443,53,497
POA2546,203,1857,1661,462,194,4381,344,4731
POA2548,158,1650,1402,375,151,3740,192,3930
POA2549,26,551,648,240,133,1599,76,1671
POA2550,253,2217,2711,1015,528,6724,487,7209
POA2551,108,618,558,171,76,1531,126,1658
POA2555,0,18,7,13,7,49,5,55
POA2556,7,128,193,136,213,680,64,736
POA2557,115,1387,2931,889,633,5961,225,6180
POA2558,133,1059,1426,564,333,3515,149,3659
POA2559,146,331,220,65,33,807,134,939
POA2560,2314,10523,9621,3296,1792,27541,1743,29282
POA2563,4,20,29,11,11,79,6,91
POA2564,539,1981,1465,400,176,4556,380,4932
POA2565,606,3624,3797,1090,623,9745,483,10224
POA2566,499,2911,3256,1142,714,8522,457,8976
POA2567,252,2876,5399,2342,1630,12500,355,12851
POA2568,21,136,101,63,70,402,27,429
POA2569,7,69,142,95,107,422,20,443
POA2570,500,5082,9010,3166,2367,20121,760,20887
POA2571,106,835,1679,814,762,4187,196,4388
POA2572,71,537,711,308,272,1898,87,1979
POA2573,102,599,778,310,212,2009,83,2090
POA2574,47,484,706,357,369,1966,101,2068
POA2575,196,2032,2561,1004,710,6511,295,6808
POA2576,221,2278,2233,688,389,5814,212,6018
POA2577,229,2030,2555,982,651,6456,391,6849
POA2578,36,523,446,138,83,1227,32,1263
POA2579,15,457,696,319,226,1717,153,1873
POA2580,742,4134,4221,1782,1094,11981,827,12805
POA2581,5,185,372,174,139,871,79,943
POA2582,138,1223,1891,910,652,4808,258,5072
POA2583,67,545,696,318,241,1870,156,2023
POA2584,4,78,76,30,32,214,20,239
POA2585,0,29,27,16,10,82,15,98
POA2586,39,338,412,176,125,1085,156,1244
POA2587,53,417,417,177,125,1188,102,1289
POA2588,0,34,46,28,13,124,7,128
POA2590,252,1162,1010,332,178,2941,211,3153
POA2594,303,1628,1610,639,381,4562,329,4892
POA2619,17,638,1428,623,417,3121,59,3182
POA2620,777,5731,6325,2284,1618,16730,988,17717
POA2621,19,410,978,465,363,2231,96,2333
POA2622,33,529,702,291,159,1706,160,1857
POA2623,0,95,91,29,22,237,12,250
POA2624,8,16,4,0,0,26,19,49
POA2625,17,147,47,12,10,231,37,271
POA2626,3,40,70,34,30,178,19,199
POA2627,47,689,791,359,291,2183,115,2294
POA2628,17,262,336,149,110,880,63,941
POA2629,31,102,93,34,20,283,31,317
POA2630,226,1338,1259,454,288,3555,239,3795
POA2631,5,75,90,51,24,237,31,272
POA2632,37,253,282,136,62,770,70,836
POA2633,4,59,54,23,7,142,15,155
POA2640,1072,5713,5993,1819,912,15515,863,16376
POA2641,577,2892,2184,666,356,6683,471,7155
POA2642,35,386,674,375,298,1761,191,1950
POA2643,43,403,501,166,88,1199,74,1274
POA2644,41,306,361,149,105,959,86,1043
POA2645,6,48,40,17,26,139,13,150
POA2646,163,1118,1020,335,187,2819,221,3042
POA2647,40,374,409,115,67,1006,93,1095
POA2648,45,295,334,152,83,907,237,1146
POA2649,0,3,6,6,0,14,0,14
POA2650,1501,8245,8754,2973,1590,23071,1339,24407
POA2651,20,262,379,106,54,829,49,877
POA2652,55,385,637,345,250,1673,164,1836
POA2653,32,311,389,156,83,970,91,1058
POA2655,14,130,200,84,65,486,41,522
POA2656,36,165,177,85,63,520,31,549
POA2658,28,188,204,95,58,568,48,617
POA2659,8,91,106,59,47,308,40,349
POA2660,19,221,204,91,61,595,41,641
POA2661,0,9,37,8,0,51,0,52
POA2663,101,605,587,240,134,1667,119,1782
POA2665,42,238,288,122,110,802,59,856
POA2666,141,768,782,334,210,2236,115,2355
POA2668,6,61,43,20,23,155,15,169
POA2669,22,141,195,123,101,578,85,665
POA2671,77,563,592,224,127,1584,178,1764
POA2672,50,208,193,79,34,558,77,638
POA2675,39,196,219,84,45,589,94,687
POA2678,0,0,0,0,0,0,0,0
POA2680,459,2779,3215,1270,857,8576,797,9369
POA2681,15,166,246,120,94,641,47,683
POA2700,132,669,617,240,155,1812,201,2010
POA2701,36,262,349,154,106,897,54,952
POA2702,6,108,101,68,26,307,22,331
POA2703,3,67,70,34,17,196,4,199
POA2705,188,1214,1361,593,378,3742,404,4145
POA2706,15,150,149,51,39,410,53,460
POA2707,21,126,161,70,61,436,43,482
POA2710,199,1400,1454,509,265,3830,441,4272
POA2711,75,449,437,178,115,1257,165,1422
POA2712,28,190,190,88,48,543,44,583
POA2713,40,396,383,137,84,1041,156,1196
POA2714,33,397,435,155,81,1102,150,1260
POA2715,39,182,172,73,48,507,83,596
POA2716,26,144,129,57,26,380,51,441
POA2717,46,112,131,51,39,387,103,484
POA2720,183,1157,1182,482,254,3251,284,3539
POA2721,3,26,19,22,14,87,5,94
POA2722,54,414,455,193,119,1238,157,1391
POA2725,3,36,54,24,20,148,11,159
POA2726,3,22,39,18,13,95,8,104
POA2727,3,21,33,25,23,105,31,133
POA2729,11,200,214,115,84,628,42,671
POA2730,20,187,195,77,61,539,44,578
POA2731,122,997,1144,380,182,2825,186,3015
POA2732,53,268,280,115,67,787,69,851
POA2733,12,75,77,26,19,215,37,252
POA2734,0,19,79,29,29,159,15,170
POA2735,5,26,68,26,27,143,8,152
POA2736,7,38,63,20,9,131,28,154
POA2737,4,62,106,41,25,234,60,293
POA2738,13,126,335,156,84,716,44,757
POA2739,17,163,202,77,38,502,54,559
POA2745,184,2219,4218,1772,1417,9803,291,10092
POA2747,1238,6396,7047,2144,1154,17976,1182,19154
POA2748,10,89,166,113,180,554,24,573
POA2749,203,1480,2171,914,645,5407,282,5689
POA2750,1935,7904,6198,1961,1074,19076,1095,20164
POA2752,39,325,714,351,372,1796,69,1865
POA2753,338,1874,1978,906,883,5977,313,6293
POA2754,93,824,1011,382,277,2586,90,2679
POA2756,418,2923,4508,1981,1890,11716,581,12300
POA2757,5,63,108,46,53,280,9,288
POA2758,25,471,1097,607,709,2903,89,2998
POA2759,216,2112,3414,1499,993,8230,376,8608
POA2760,1104,5130,4258,1178,614,12282,1188,13475
POA2761,346,2738,4130,1594,875,9683,498,10182
POA2762,157,2686,2719,633,280,6476,333,6812
POA2763,364,3775,4104,1311,682,10233,409,10639
POA2765,319,3862,6093,1790,1200,13267,676,13943
POA2766,333,1718,1738,657,345,4790,331,5121
POA2767,565,2324,2721,888,464,6960,460,7428
POA2768,177,2353,3619,1265,623,8035,191,8223
POA2769,77,1367,2270,549,224,4486,123,4610
POA2770,2434,7493,5455,1924,1066,18371,2068,20446
POA2773,60,595,911,310,223,2100,38,2134
POA2774,161,1438,1997,665,369,4627,118,4743
POA2775,19,239,233,94,72,655,83,737
POA2776,48,441,637,233,121,1472,34,1506
POA2777,315,2042,2653,947,589,6550,142,6689
POA2778,36,296,397,136,82,947,25,965
POA2779,80,698,717,264,136,1894,54,1949
POA2780,728,2967,1720,432,207,6057,291,6350
POA2782,119,1085,1006,269,118,2601,131,2733
POA2783,66,456,365,131,66,1082,33,1118
POA2784,21,184,180,83,33,500,18,515
POA2785,165,1064,723,176,76,2207,108,2312
POA2786,27,254,201,46,28,560,26,588
POA2787,62,580,675,268,169,1756,217,1975
POA2790,601,2397,1983,755,516,6247,451,6699
POA2791,0,44,46,27,12,136,17,148
POA2792,3,38,61,25,26,163,5,164
POA2793,6,126,195,56,48,432,51,488
POA2794,301,1597,1460,555,286,4199,326,4526
POA2795,950,5572,6105,2329,1461,16417,991,17410
POA2797,5,33,66,35,18,158,21,180
POA2798,9,156,317,152,100,737,68,807
POA2799,67,536,586,262,138,1590,73,1663
POA2800,1050,6194,6925,2350,1283,17799,1062,18858
POA2803,0,30,49,23,18,121,4,126
POA2804,35,351,406,168,106,1070,114,1187
POA2805,9,47,58,28,22,159,24,180
POA2806,0,88,144,49,30,316,48,369
POA2807,4,57,72,30,22,188,25,213
POA2808,9,31,35,14,5,99,13,108
POA2809,3,17,32,17,8,81,12,90
POA2810,79,446,447,209,129,1316,86,1405
POA2817,0,30,55,26,17,131,29,157
POA2818,0,79,122,45,50,301,25,323
POA2820,188,965,810,293,182,2442,334,2775
POA2821,91,574,594,234,171,1663,212,1869
POA2822,4,31,57,26,26,144,25,175
POA2823,33,163,147,74,65,482,64,544
POA2824,57,282,266,112,67,780,79,863
POA2825,52,306,280,136,85,854,81,934
POA2826,0,17,18,14,13,68,5,72
POA2827,92,455,493,219,95,1352,184,1539
POA2828,17,95,90,49,37,296,71,364
POA2829,86,386,333,125,87,1019,174,1199
POA2830,865,5600,6171,2115,1167,15923,1421,17336
POA2831,7,146,254,138,72,619,106,720
POA2832,40,224,194,77,57,593,288,879
POA2833,36,86,48,20,13,203,60,264
POA2834,55,412,272,71,53,863,217,1078
POA2835,98,531,490,166,98,1376,275,1654
POA2836,56,148,60,31,24,318,78,391
POA2838,14,26,22,7,8,73,42,113
POA2839,84,151,87,28,28,373,99,472
