POA_CODE_2021,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr_over,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85ov,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr_over,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
POA2000,0,22,100,51,35,27,43,29,12,316,5,33,182,107,27,31,19,4,8,417,63,411,1316,770,401,285,138,57,19,3456,438,3561,11424,6062,2883,2206,1381,620,166,28737
POA2007,0,6,13,7,9,11,21,22,9,93,0,7,29,26,9,10,8,4,5,99,26,91,168,96,36,41,23,16,17,511,203,1241,2606,1285,612,388,290,115,55,6789
POA2008,0,3,9,4,8,12,14,9,3,57,0,9,19,9,6,0,0,3,3,44,27,216,293,113,52,40,31,4,0,782,369,2614,3800,1350,675,487,289,93,25,9706
POA2009,0,0,4,13,6,27,27,14,9,110,0,0,15,17,3,16,6,7,7,66,5,58,259,200,108,86,96,42,11,867,131,689,3155,2655,1459,1314,1029,435,99,10968
POA2010,0,3,19,26,30,39,60,64,40,285,0,7,22,22,27,17,16,16,14,133,40,160,645,424,361,309,213,223,124,2493,222,1903,8300,5214,3472,2719,1706,946,383,24866
POA2011,0,0,9,15,16,26,26,29,14,144,0,3,20,9,3,8,12,4,3,64,108,728,1220,582,390,204,140,120,102,3595,217,1840,6179,3865,2688,2158,1627,851,418,19842
POA2015,0,0,0,8,4,13,30,16,8,80,0,0,4,3,0,6,13,7,8,39,8,39,189,109,51,41,24,23,4,495,115,700,3554,2419,1426,872,488,176,45,9791
POA2016,0,0,10,15,18,50,69,63,26,247,0,4,9,10,11,12,24,36,36,137,18,69,259,191,152,134,134,113,44,1110,140,1027,3523,2246,1622,1356,938,559,207,11627
POA2017,0,11,25,27,30,81,111,44,31,352,3,11,43,16,15,24,32,21,13,174,82,219,766,371,205,211,188,121,59,2210,401,3420,11117,5266,2285,1797,1309,629,219,26433
POA2018,0,0,19,16,35,80,196,270,113,735,0,3,24,12,24,49,66,88,41,310,47,94,280,181,107,99,87,68,28,984,359,1620,4866,3235,2216,1703,1350,938,322,16623
POA2019,0,0,3,12,20,32,94,89,36,281,0,0,8,4,5,3,11,16,11,64,24,42,162,138,72,64,66,71,46,688,268,740,2259,2295,1903,1360,915,490,160,10389
POA2020,3,5,28,26,21,55,114,123,62,432,0,11,46,15,23,25,43,50,19,224,66,245,644,259,145,137,81,50,19,1653,414,2932,7620,3403,1958,1489,936,530,189,19466
POA2021,0,0,7,7,6,11,22,29,31,103,0,0,8,3,5,8,8,6,5,34,24,47,132,101,81,52,54,61,78,629,188,850,3150,2302,1991,1504,1130,759,250,12134
POA2022,0,3,15,6,8,9,21,41,39,137,0,0,5,4,4,0,6,10,6,32,21,60,257,135,68,67,78,71,34,799,154,731,3157,2203,1610,1204,1024,673,289,11043
POA2023,0,0,4,3,4,5,8,13,11,41,0,0,7,0,0,6,0,0,0,14,32,20,88,54,40,42,43,36,9,366,201,525,1545,1428,1376,1226,1043,555,174,8081
POA2024,0,0,5,11,0,4,21,43,40,128,0,0,0,7,0,0,0,9,11,20,23,14,129,63,68,59,65,123,217,757,219,426,1852,1730,1584,1165,791,532,406,8708
POA2025,0,0,3,0,0,0,7,10,20,40,0,0,3,0,0,0,3,0,0,6,11,13,38,32,37,24,39,75,82,358,79,335,1123,934,855,735,769,595,278,5699
POA2026,0,0,19,18,4,23,37,67,51,229,0,6,15,8,12,12,17,16,14,91,48,93,628,366,197,130,102,106,73,1740,366,1464,9450,5814,3827,2442,1734,1042,429,26577
POA2027,0,0,0,0,0,0,7,12,10,32,0,0,3,0,3,0,0,5,0,17,15,27,79,63,52,55,48,58,53,452,82,328,1209,1027,867,922,978,790,330,6531
POA2028,0,0,0,0,0,4,3,7,12,28,0,0,5,0,0,0,0,0,0,12,0,15,49,29,13,20,19,22,17,187,42,256,964,662,486,475,520,364,138,3904
POA2029,0,0,4,4,5,12,17,25,17,70,0,0,3,0,5,5,5,4,4,24,19,24,49,71,47,58,51,90,124,529,146,514,1373,1429,1303,1042,928,702,350,7796
POA2030,0,0,5,0,12,9,20,33,29,111,0,0,0,7,4,0,0,3,9,26,43,20,75,83,87,53,43,63,69,540,360,809,1256,1688,2257,1784,1362,794,412,10729
POA2031,5,0,9,5,13,23,78,131,74,347,0,7,5,18,10,13,18,15,21,95,112,112,351,262,172,146,189,236,389,1978,675,1893,7175,5513,4350,3198,2401,1556,934,27702
POA2032,0,8,6,12,20,31,92,184,114,455,0,7,13,8,13,15,19,39,40,153,25,105,206,89,65,63,66,76,66,763,308,1666,2842,1898,1690,1410,1114,781,385,12084
POA2033,0,3,7,3,8,12,30,63,45,172,0,7,9,4,5,9,10,9,18,66,58,150,170,76,51,38,40,48,47,677,457,1700,2445,1658,1206,1001,714,521,277,9980
POA2034,4,0,9,3,11,26,51,61,40,202,0,4,9,10,9,14,13,9,12,73,34,50,283,187,135,67,95,72,49,960,302,999,4545,3264,2605,2005,1436,799,304,16268
POA2035,3,4,27,23,37,83,194,319,219,905,0,5,14,11,20,26,60,99,52,293,55,70,256,238,210,168,205,196,174,1579,670,1967,5099,5134,4621,3885,3001,2139,993,27505
POA2036,4,4,21,35,58,114,246,216,123,822,0,8,26,25,20,52,36,42,40,240,63,167,525,512,422,349,297,261,150,2756,688,2120,4869,4917,4577,3925,3048,1837,703,26687
