POA_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
POA2000,3,29,1614,0,5,1653,0,46,1256,0,4,1309,7,132,7066,8,40,7247,0,16,20,0,6,31,0,3,24,0,0,26,3,18,864,3,15,902,7,5,146,0,9,168,0,0,38,0,0,40,19,159,8157,10,71,8416,5,3,253,3,3,261,3,15,951,51,22,1038,39,255,12222,65,98,12683
POA2007,0,85,273,5,0,365,5,36,319,0,0,363,0,109,1298,9,9,1419,0,49,44,0,0,95,0,3,89,0,0,98,0,40,285,0,4,328,0,5,62,0,0,69,0,0,4,0,0,7,0,200,1793,12,17,2020,0,8,34,0,0,38,0,37,294,4,3,342,5,378,2708,12,20,3128
POA2008,4,200,273,0,0,485,12,211,422,0,0,647,16,384,2296,11,24,2727,0,24,70,0,0,95,0,10,64,13,0,95,8,122,245,6,5,385,0,11,43,0,6,60,0,0,5,0,0,14,23,553,2733,33,31,3374,0,14,50,0,0,66,0,38,340,11,7,398,41,1022,3813,46,42,4964
POA2009,0,61,948,0,0,1014,0,69,936,0,0,1012,0,107,2508,3,18,2635,0,38,166,0,0,201,0,0,232,0,0,234,0,29,321,0,0,356,0,0,43,0,0,47,0,0,13,0,0,14,0,185,3282,4,22,3489,0,9,71,0,0,82,0,18,406,0,3,431,0,340,5645,7,34,6025
POA2010,31,715,1238,3,4,1995,39,809,1638,5,8,2507,46,1284,5071,55,44,6498,0,99,652,0,0,752,0,11,77,0,0,84,10,337,739,10,12,1105,0,28,56,4,0,91,0,4,16,0,0,17,53,1771,6612,65,57,8558,4,35,122,0,3,162,9,163,733,15,9,920,136,3488,10342,92,75,14136
POA2011,14,119,1690,10,7,1836,10,147,1439,5,8,1602,4,348,4796,31,20,5200,0,237,176,0,0,417,0,10,44,0,0,57,4,64,725,13,9,815,0,7,50,0,5,63,0,6,16,0,0,24,12,678,5809,46,36,6572,0,8,129,3,3,143,3,67,598,3,19,687,37,1019,9656,66,71,10853
POA2015,56,351,233,7,3,649,119,555,1070,15,6,1761,88,452,1620,6,18,2178,5,60,46,0,0,113,0,12,115,0,0,128,26,96,177,3,10,314,4,12,54,0,3,77,0,0,4,0,0,9,120,634,2014,15,30,2815,0,16,24,0,0,39,15,49,214,0,0,275,307,1604,3558,32,32,5539
POA2016,23,431,405,10,0,868,25,499,678,6,0,1206,21,524,1571,36,13,2166,0,47,921,0,0,974,0,11,103,0,6,119,11,132,220,16,8,387,0,5,17,0,0,24,0,0,16,0,0,12,32,716,2848,56,33,3690,0,28,42,0,0,72,6,86,423,8,4,537,90,1766,4396,81,44,6372
POA2017,12,139,809,0,0,960,12,246,2394,0,0,2654,22,336,6954,9,18,7344,0,259,1416,0,0,1676,0,11,199,0,0,214,0,50,673,6,0,736,0,5,220,0,0,226,0,5,33,0,0,36,32,669,9501,17,19,10240,3,19,182,0,0,201,6,72,989,3,3,1066,63,1136,13868,17,27,15116
POA2018,1019,53,674,3,0,1757,606,110,1321,0,5,2042,261,79,2793,51,4,3179,12,57,405,0,0,467,9,7,37,0,0,48,54,12,300,5,0,377,3,0,61,0,0,70,0,0,12,0,0,12,345,148,3603,61,6,4153,31,4,86,0,0,121,79,19,402,4,10,510,2071,346,6092,69,13,8589
