SOS_CODE_2021,P_15_19_Mgrs,P_15_19_Profnls,P_15_19_Techs_trades_workers,P_15_19_Comm_psnl_serv_wrkrs,P_15_19_Cler_admin_wrkrs,P_15_19_Sales_wrkrs,P_15_19_Mach_oper_dvrs,P_15_19_Labrs,P_15_19_Inad_desc_Ns,P_15_19_Tot,P_20_24_Mgrs,P_20_24_Profnls,P_20_24_Techs_trades_wrkrs,P_20_24_Comm_psnl_serv_wrkrs,P_20_24_Cler_admin_wrkrs,P_20_24_Sales_wrkrs,P_20_24_Mach_oper_dvrs,P_20_24_Labrs,P_20_24_Inad_desc_Ns,P_20_24_Tot,P_25_34_Mgrs,P_25_34_Profnls,P_25_34_Techs_trades_wrkrs,P_25_34_Comm_psnl_serv_wrkrs,P_25_34_Cler_admin_wrkrs,P_25_34_Sales_wrkrs,P_25_34_Mach_oper_dvrs,P_25_34_Labrs,P_25_34_Inad_desc_Ns,P_25_34_Tot,P_35_44_Mgrs,P_35_44_Profnls,P_35_44_Techs_trades_wrkrs,P_35_44_Comm_psnl_serv_wrkrs,P_35_44_Cler_admin_wrkrs,P_35_44_Sales_wrkrs,P_35_44_Mach_oper_dvrs,P_35_44_Labrs,P_35_44_Inad_desc_Ns,P_35_44_Tot,P_45_54_Mgrs,P_45_54_Profnls,P_45_54_Techs_trades_wrkrs,P_45_54_Comm_psnl_serv_wrkrs,P_45_54_Cler_admin_wrkrs,P_45_54_Sales_wrkrs,P_45_54_Mach_oper_dvrs,P_45_54_Labrs,P_45_54_Inad_desc_Ns,P_45_54_Tot,P_55_64_Mgrs,P_55_64_Profnls,P_55_64_Techs_trades_wrkrs,P_55_64_Comm_psnl_serv_wrkrs,P_55_64_Cler_admin_wrkrs,P_55_64_Sales_wrkrs,P_55_64_Mach_oper_dvrs,P_55_64_Labrs,P_55_64_Inad_desc_Ns,P_55_64_Tot,P_65_74_Mgrs,P_65_74_Profnls,P_65_74_Techs_trades_wrkrs,P_65_74_Comm_psnl_serv_wrkrs,P_65_74_Cler_admin_wrkrs,P_65_74_Sales_wrkrs,P_65_74_Mach_oper_dvrs,P_65_74_Labrs,P_65_74_Inad_desc_Ns,P_65_74_Tot,P_75_84_Mgrs,P_75_84_Profnls,P_75_84_Techs_trades_wrkrs,P_75_84_Comm_psnl_serv_wrkrs,P_75_84_Cler_admin_wrkrs,P_75_84_Sales_wrkrs,P_75_84_Mach_oper_dvrs,P_75_84_Labrs,P_75_84_Inad_desc_Ns,P_75_84_Tot,P_85_yr_over_Mgrs,P_85_yr_over_Profnls,P_85ov_Techs_trades_wrkrs,P_85ov_Com_psnl_serv_wrkrs,P_85_yr_over_Cler_admin_wrkrs,P_85_yr_over_Sales_wrkrs,P_85_yr_over_Mach_oper_dvrs,P_85_yr_over_Labrs,P_85_yr_over_Inad_desc_Ns,P_85_yr_over_Tot,P_Tot_Mgrs,P_Tot_Profnls,P_Tot_Techs_trades_wrkrs,P_Tot_Comm_psnl_serv_wrkrs,P_Tot_Cler_admin_wrkrs,P_Tot_Sales_wrkrs,P_Tot_Mach_oper_dvrs,P_Tot_Labrs,P_Tot_Inad_desc_Ns,P_Tot_Tot
SOS52,12,23,207,177,42,212,55,308,38,1077,76,166,364,243,149,153,173,333,37,1699,405,794,974,608,448,205,544,674,96,4747,669,801,915,543,495,221,600,508,102,4858,792,756,837,626,535,265,725,668,118,5323,843,767,749,566,605,294,885,672,102,5483,351,241,186,113,167,98,273,227,64,1716,96,28,13,10,23,13,25,38,19,258,8,4,0,0,0,0,0,0,9,26,3252,3574,4248,2889,2461,1455,3286,3432,592,25180
SOS53,110,52,751,681,139,967,244,1208,108,4258,366,592,1516,782,412,467,804,1242,131,6316,1937,2809,3872,1126,1172,455,2271,2186,230,16051,3753,3064,4199,1191,1736,548,2606,1742,285,19113,5204,3230,4093,1640,2316,817,3323,1967,382,22971,5066,2845,3144,1451,2276,828,3078,2011,319,21014,2804,878,738,318,632,262,728,687,137,7188,835,81,60,17,82,31,50,133,81,1373,121,4,0,0,0,0,0,9,14,147,20193,13557,18371,7209,8771,4373,13098,11183,1679,98440
SOS57,0,0,0,0,0,0,0,3,0,10,0,10,21,12,0,0,0,31,0,71,11,60,106,20,4,0,19,80,0,297,19,93,212,16,11,0,58,116,10,516,29,100,183,6,23,0,63,77,10,486,27,57,93,12,9,0,32,32,4,267,8,10,10,0,0,0,4,7,0,40,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,96,324,627,58,45,6,172,344,23,1697
SOS60,69,81,462,839,215,1479,122,814,76,4177,374,1174,1354,1818,919,1431,265,877,129,8342,2219,6649,3737,4318,2856,2047,1172,2585,483,26065,3079,6048,2347,2487,2497,994,761,1455,361,20036,3072,5071,1881,2140,2806,985,704,1163,289,18112,2016,3645,1486,1583,2341,811,772,1139,206,13999,554,1158,399,375,550,248,208,378,66,3930,97,101,37,22,64,41,22,30,31,450,6,8,0,4,0,4,0,0,7,32,11492,23943,11700,13591,12252,8036,4018,8453,1661,95146
SOS61,107,59,771,887,210,1996,195,1207,98,5521,403,804,1785,1801,763,1341,492,1257,150,8792,1898,4261,3807,3335,2025,1687,1543,2745,382,21684,2374,4125,2505,2515,2131,1296,1368,1929,340,18585,2600,3571,2293,2702,2701,1455,1551,2168,319,19367,1992,2786,2000,2191,2401,1240,1633,2100,258,16608,556,804,485,468,559,314,405,513,109,4206,86,77,41,31,63,28,37,47,50,446,13,5,0,0,4,4,0,0,16,48,10031,16495,13680,13931,10858,9361,7228,11974,1717,95263
SOS62,9,7,111,104,28,208,14,136,5,621,47,62,197,162,79,112,55,157,18,894,230,400,491,328,203,164,201,346,38,2406,356,552,408,267,293,119,172,317,59,2554,452,602,407,330,335,197,225,366,64,2988,426,482,397,353,376,180,282,409,48,2960,152,164,106,67,117,63,83,87,28,866,24,19,4,4,13,9,6,17,15,115,0,4,0,0,0,0,0,0,4,8,1714,2278,2119,1616,1447,1047,1057,1832,287,13402
SOS63,101,29,514,407,88,705,108,649,56,2652,222,215,802,500,271,391,219,607,58,3287,1062,1344,1600,963,706,440,535,1039,132,7816,1798,1997,1579,1021,1021,491,703,988,194,9786,2250,2217,1559,1269,1436,625,912,1247,225,11742,2232,1886,1445,1098,1313,555,1058,1254,216,11060,1104,572,351,182,353,142,256,344,101,3393,332,57,24,13,35,21,19,48,40,593,37,6,0,0,4,0,0,0,12,59,9137,8319,7870,5451,5218,3379,3799,6179,1039,50394
SOS67,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,9,0,15,18,8,0,0,5,9,0,58,3,27,22,5,0,0,0,15,0,76,10,13,17,5,4,0,4,18,0,70,3,18,12,3,3,0,4,3,0,53,0,5,0,4,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,78,74,21,9,0,18,58,0,277
SOS70,49,67,319,621,228,957,110,559,66,2974,309,736,989,1598,835,692,290,522,141,6116,1745,5029,2750,3386,2529,1159,844,1274,362,19078,2375,4280,2243,2201,2189,740,675,992,274,15969,2266,2959,1606,1552,1891,598,658,900,221,12651,1687,2146,1006,888,1428,487,621,681,142,9084,452,694,276,215,422,174,161,202,50,2655,57,58,15,9,39,19,14,15,9,238,7,0,0,0,4,0,0,0,7,20,8952,15965,9202,10468,9567,4831,3383,5147,1277,68792
SOS71,4,35,106,202,76,268,16,149,45,891,55,282,243,365,175,142,38,125,49,1467,504,1734,795,1135,656,315,170,384,184,5877,646,1349,647,867,580,182,203,283,127,4878,653,976,444,658,536,145,192,298,110,4007,530,898,396,468,473,142,187,269,89,3456,191,276,103,99,115,54,56,87,25,1004,18,16,8,13,15,4,11,5,4,87,0,0,0,0,0,0,0,0,0,0,2600,5553,2737,3808,2633,1254,874,1592,631,21677
