SOS_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
SOS10,1193314,3618494,103136,222787,182695,475406,285830,698191,115108,220196,171537,342546,206370,426032,131161,270833,9600,24123,633770,1283736,1626,2493,2002,2937,369,441,7757,16588,11754,22462,4874,9840,2129544,5632719,177368,..,2306910,5632719
SOS11,534467,1339246,52841,86201,18322,34681,71165,120881,28067,44562,3876,6351,2941,4715,406,693,1228,2499,36510,58822,3816,6311,4345,6487,434,554,1759,3647,10348,16996,2681,4604,655167,1540553,79454,..,734621,1540553
SOS12,56506,139851,1084,1861,512,1050,1598,2911,762,1355,169,348,27,53,0,4,99,207,1063,1963,771,1272,637,983,64,102,195,392,1661,2750,351,691,61185,148159,11738,..,72927,148159
SOS13,204759,551633,1041,2495,302,756,1344,3250,334,593,9,26,7,12,23,52,417,944,781,1626,1353,2266,1313,2184,673,1136,427,1080,3768,6665,1717,3522,212373,566693,30951,..,243326,566693
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,..,0,5
SOS20,1273380,3633571,179579,363237,134652,330572,314231,693814,94002,168748,56568,92709,67022,109790,81394,140364,1120,2433,300106,514051,616,847,1887,2432,761,788,4167,8221,7436,12292,2359,4583,1897524,4858309,200502,..,2098025,4858309
SOS21,358905,894569,29513,45152,3671,7217,33183,52369,9340,13648,268,412,51,69,7,20,164,319,9826,14459,1402,2174,1757,2671,201,258,779,1463,4141,6565,729,1461,406788,969427,54161,..,460948,969427
SOS22,38161,88614,721,1121,140,287,860,1402,359,631,103,283,280,485,29,70,22,41,790,1511,367,571,159,248,38,61,196,403,761,1287,109,199,40686,93019,14218,..,54901,93019
SOS23,158570,410461,518,1115,165,387,683,1501,157,254,0,5,0,3,5,14,79,161,243,438,1107,1685,1193,1911,243,371,118,260,2662,4227,475,977,162638,417607,29150,..,191791,417607
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SOS30,941592,2680736,72718,128775,124387,271955,197106,400736,62894,106536,61328,107531,52655,95070,55458,98533,2391,4825,234730,412493,4999,8422,3080,4560,1009,1174,652,1372,9744,15535,3997,7306,1387158,3516801,114065,..,1501226,3516801
SOS31,309846,797952,23640,39017,10984,19447,34621,58465,15271,24830,1403,2330,1389,2387,566,992,335,647,18968,31181,7721,14147,2517,4023,1018,1533,480,1004,11742,20711,3181,5849,378361,914148,43109,..,421473,914148
SOS32,52465,128933,1215,2311,320,600,1530,2919,972,1616,23,58,11,11,5,4,56,133,1063,1817,3336,6394,510,811,359,651,154,294,4363,8146,840,1629,60265,143439,11039,..,71306,143439
SOS33,158524,418592,1119,2745,235,548,1356,3296,415,792,13,22,0,3,11,27,371,771,810,1615,5998,11495,1193,2095,1433,2753,255,602,8878,16948,2666,5323,172232,445767,24183,..,196412,445767
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,8,9,5,12,0,..,5,12
SOS40,362297,955225,64085,118969,24497,52662,88582,171631,31064,52002,4649,7493,5973,9894,4043,6751,356,848,46079,76992,667,1108,394,556,142,147,475,1012,1673,2825,1267,2413,499902,1209092,36353,..,536259,1209092
SOS41,120505,287282,15818,26972,730,1450,16547,28427,3548,4883,106,156,44,62,0,0,61,148,3760,5248,1228,2233,510,832,177,223,129,281,2045,3566,731,1309,143589,325833,23398,..,166985,325833
SOS42,20832,46949,618,949,21,39,639,989,201,267,0,0,0,0,0,0,5,10,208,275,571,1022,177,294,18,46,95,196,861,1554,173,302,22708,50071,7042,..,29755,50071
SOS43,54341,136787,368,879,58,129,424,1007,41,61,51,60,0,5,10,10,27,57,123,204,758,1404,354,589,162,320,117,310,1395,2629,665,1214,56953,141847,17024,..,73981,141847
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SOS50,599829,1630729,83044,155431,32585,65616,115629,221045,20290,32668,15501,24564,17585,28536,10139,17352,789,1624,64306,104740,1146,1665,1167,1696,1395,1491,398,777,4103,5638,1012,1793,784879,1963937,70264,..,855144,1963937
SOS51,127941,326181,13960,23697,2650,5111,16613,28813,2440,3831,361,538,248,399,229,343,87,164,3362,5275,5037,9716,1530,2456,695,873,240,554,7502,13598,969,1686,156386,375551,26219,..,182603,375551
SOS52,22053,52730,1006,1741,101,164,1106,1913,269,414,11,10,0,0,0,0,12,21,295,446,1941,3728,189,316,126,201,109,215,2368,4459,365,554,26193,60102,8111,..,34301,60102
SOS53,53138,136520,412,994,40,92,450,1091,109,192,5,17,0,3,4,4,95,210,217,424,5138,10400,572,961,872,1494,170,426,6751,13273,1737,3237,62293,154547,13513,..,75806,154547
SOS57,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,0,0,0,5,12,8,23,13,37,0,..,13,37
SOS60,64937,163938,3235,5414,2576,5194,5817,10602,6284,11225,1118,1868,634,1113,31,47,142,285,8214,14538,76,114,96,158,101,96,179,402,446,766,200,368,79611,190215,5336,..,84947,190215
SOS61,80508,190882,6570,9976,1481,2940,8049,12907,3583,5603,167,244,85,131,11,26,155,295,3997,6295,403,611,203,366,131,165,263,516,1007,1651,193,372,93757,212105,8621,..,102376,212105
SOS62,12845,28910,284,384,42,98,325,478,113,162,6,4,0,0,0,0,6,14,120,181,123,196,72,119,16,21,41,85,252,425,85,144,13631,30143,4590,..,18223,30143
