SOS_CODE_2021,F_Tot_LF_15_19_yr,F_Tot_LF_20_24_yr,F_Tot_LF_25_34_yr,F_Tot_LF_35_44_yr,F_Tot_LF_45_54_yr,F_Tot_LF_55_64_yr,F_Tot_LF_65_74_yr,F_Tot_LF_75_84_yr,F_Tot_LF_85_yr_over,F_Tot_LF_Tot,F_NILF_15_19_yr,F_NILF_20_24_yr,F_NILF_25_34_yr,F_NILF_35_44_yr,F_NILF_45_54_yr,F_NILF_55_64_yr,F_NILF_65_74_yr,F_NILF_75_84_yr,F_NILF_85_yr_over,F_NILF_Tot,F_LF_st_ns_15_19,F_LF_st_ns_20_24,F_LF_st_ns_25_34,F_LF_st_ns_35_44,F_LF_st_ns_45_54,F_LF_st_ns_55_64,F_LF_st_ns_65_74,F_LF_st_ns_75_84,F_LF_st_ns_85_yr_over,F_LF_st_ns_Total,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Emp_wrk_Ft_15_19,P_Emp_wrk_Ft_20_24,P_Emp_wrk_Ft_25_34,P_Emp_wrk_Ft_35_44,P_Emp_wrk_Ft_45_54,P_Emp_wrk_Ft_55_64,P_Emp_wrk_Ft_65_74,P_Emp_wrk_Ft_75_84,P_Emp_wrk_Ft_85_yr_over,P_Emp_wrk_Ft_Tot,P_Emp_wrk_Pt_15_19,P_Emp_wrk_Pt_20_24,P_Emp_wrk_Pt_25_34,P_Emp_wrk_Pt_35_44,P_Emp_wrk_Pt_45_54,P_Emp_wrk_Pt_55_64,P_Emp_wrk_Pt_65_74,P_Emp_wrk_Pt_75_84,P_Emp_wrk_Pt_85_yr_over,P_Emp_wrk_Pt_Tot,P_Emp_a_f_wrk_15_19,P_Emp_a_f_wrk_20_24,P_Emp_a_f_wrk_25_34,P_Emp_a_f_wrk_35_44,P_Emp_a_f_wrk_45_54,P_Emp_a_f_wrk_55_64,P_Emp_a_f_wrk_65_74,P_Emp_a_f_wrk_75_84,P_Emp_a_f_wrk_85_yr_over,P_Emp_a_f_wrk_Tot,P_Hr_wrk_ns_15_19,P_Hr_wrk_ns_20_24,P_Hr_wrk_ns_25_34,P_Hr_wrk_ns_35_44,P_Hr_wrk_ns_45_54,P_Hr_wrk_ns_55_64,P_Hr_wrk_ns_65_74,P_Hr_wrk_ns_75_84,P_Hr_wrk_ns_85_yr_over,P_Hr_wrk_ns_Tot,P_Tot_emp_15_19,P_Tot_emp_20_24,P_Tot_emp_25_34,P_Tot_emp_35_44,P_Tot_emp_45_54,P_Tot_emp_55_64,P_Tot_emp_65_74,P_Tot_emp_75_84,P_Tot_emp_85_yr_over,P_Tot_emp_Tot,P_UE_lk_fr_Ft_wrk_15_19,P_UE_lk_fr_Ft_wrk_20_24,P_UE_lk_fr_Ft_wrk_25_34,P_UE_lk_fr_Ft_wrk_35_44,P_UE_lk_fr_Ft_wrk_45_54,P_UE_lk_fr_Ft_wrk_55_64,P_UE_lk_fr_Ft_wrk_65_74,P_UE_lk_fr_Ft_wrk_75_84,P_UE_lk_for_Ft_wrk_85_over,P_UE_looking_for_Ft_wk_Tot,P_UE_lk_for_Pt_wk_15_19,P_UE_lk_for_Pt_wk_20_24,P_UE_lk_for_Pt_wk_25_34,P_UE_lk_for_Pt_wk_35_44,P_UE_lk_for_Pt_wk_45_54,P_UE_lk_for_Pt_wk_55_64,P_UE_lk_for_Pt_wk_65_74,P_UE_lk_for_Pt_wk_75_84,P_UE_looking_for_Pt_wk_85ov,P_UE_lk_for_Pt_wrk_Tot,P_Tot_unemp_15_19,P_Tot_unemp_20_24,P_Tot_unemp_25_34,P_Tot_unemp_35_44,P_Tot_unemp_45_54,P_Tot_unemp_55_64,P_Tot_unemp_65_74,P_Tot_unemp_75_84,P_Tot_unemp_85_yr_over,P_Tot_unemp_Total,P_Tot_LF_15_19_yr,P_Tot_LF_20_24_yr,P_Tot_LF_25_34_yr,P_Tot_LF_35_44_yr,P_Tot_LF_45_54_yr,P_Tot_LF_55_64_yr,P_Tot_LF_65_74_yr,P_Tot_LF_75_84_yr,P_Tot_LF_85_yr_over,P_Tot_LF_Tot,P_NILF_15_19_yr,P_NILF_20_24_yr,P_NILF_25_34_yr,P_NILF_35_44_yr,P_NILF_45_54_yr,P_NILF_55_64_yr,P_NILF_65_74_yr,P_NILF_75_84_yr,P_NILF_85_yr_over,P_NILF_Tot,P_LF_st_ns_15_19,P_LF_st_ns_20_24,P_LF_st_ns_25_34,P_LF_st_ns_35_44,P_LF_st_ns_45_54,P_LF_st_ns_55_64,P_LF_st_ns_65_74,P_LF_st_ns_75_84,P_LF_st_ns_85_yr_over,P_LF_st_ns_Total,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SOS10,66188,132596,333911,314498,271148,184438,44433,4313,354,1351875,83273,41411,87140,90496,84814,129505,200399,136393,61434,914869,6471,9425,25261,20322,14822,12419,11769,12333,13720,126529,155928,183430,446312,425318,370790,326362,256602,153035,75503,2393279,16172,101075,409989,413390,350690,217398,41193,2941,164,1553013,68402,101596,159497,158628,135335,114964,46203,7472,581,792672,26128,38523,65317,51299,39980,36530,11908,1525,155,271373,1780,5524,14138,10038,6626,4436,1372,439,138,44486,112486,246715,648946,633355,532628,373322,100682,12375,1040,2661549,3980,11157,21523,17025,14965,11170,1544,79,15,81460,13848,11929,11540,7993,6603,6920,2132,223,24,61216,17821,23088,33066,25020,21571,18092,3679,304,35,142685,130315,269806,682009,658377,554194,391412,104360,12687,1074,2804230,177788,86958,148355,141749,140773,218761,360713,248846,100796,1624732,13682,20624,52506,42290,31290,26184,22712,21881,20561,251727,321781,377389,882873,842414,726261,636361,487779,283404,122435,4680692
SOS11,25517,31310,73329,71017,72976,61269,15299,1524,134,352381,15707,7868,18166,16031,17891,39650,81052,58643,26398,281415,2736,2768,6356,5609,5040,4988,5263,5664,4576,43004,43960,41949,97851,92656,95908,105899,101618,65831,31111,676798,11058,32369,88801,86074,89570,66111,12636,1014,81,387710,29226,22176,42069,42335,40503,43324,18298,2797,206,240929,3598,3381,9346,6323,5642,6870,2463,329,50,38001,1018,1461,3012,2183,1855,1605,601,293,105,12121,44900,59386,143226,136912,137562,117909,33997,4431,438,678763,2064,2994,4310,3340,3470,2906,391,15,9,19490,3883,2082,2424,1895,1886,2273,700,68,22,15232,5947,5080,6735,5234,5354,5176,1087,85,30,34722,50849,64466,149959,142145,142911,123088,35087,4518,462,713482,33734,14480,28904,26703,32120,68873,149939,107692,42461,504914,5734,5892,12958,11492,10783,10426,10323,9848,6953,84422,90318,84837,191821,180345,185811,202385,195352,122058,49878,1302817
SOS12,2237,2349,5374,6385,7653,6818,1694,171,18,32706,1621,607,1450,1370,1918,4564,8322,4438,1462,25740,297,250,588,623,617,704,703,488,260,4524,4161,3207,7412,8382,10180,12078,10718,5096,1738,62977,993,2443,6307,7601,9137,7204,1450,143,15,35292,2548,1806,3320,3907,4561,5163,2070,305,24,23704,384,322,725,632,688,927,325,36,5,4038,108,116,246,235,243,209,94,22,11,1278,4033,4686,10599,12374,14623,13500,3944,511,48,64316,165,238,319,244,332,386,49,6,0,1731,284,127,169,162,170,283,86,6,0,1298,453,360,490,410,503,673,135,8,0,3028,4485,5051,11095,12783,15125,14171,4079,520,44,67347,3426,1066,2201,2202,3322,8212,16348,9029,2557,48370,631,517,1215,1265,1350,1518,1485,949,445,9377,8544,6636,14511,16244,19795,23898,21909,10498,3050,125089
SOS13,9270,9261,18604,24244,32531,28402,9391,1767,191,133644,7008,2120,4824,5075,6589,14867,23796,12271,3526,80079,1190,971,1979,2506,3029,3292,2637,1540,561,17706,17467,12349,25400,31819,42148,46562,35829,15570,4270,231426,5432,11043,22977,29693,41612,34114,11238,2247,213,158559,10214,6288,10623,14410,18201,20743,10284,2391,314,93468,1742,1496,2846,2461,2891,3341,1340,267,47,16421,637,542,927,981,1174,1058,548,379,81,6327,18019,19368,37367,47543,63876,59257,23407,5288,652,274771,436,642,937,781,1041,1086,146,5,0,5087,1020,418,519,498,570,821,246,24,5,4125,1462,1068,1457,1279,1616,1908,393,30,5,9209,19476,20433,38827,48819,65489,61163,23806,5320,656,283980,14866,4199,8214,8616,11699,26817,47711,25460,6549,154129,2630,2177,4162,5057,6277,7074,5803,3198,1030,37405,36968,26815,51196,62494,83466,95058,77313,33977,8238,475521
SOS17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,16,7,4,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,12,4,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,12,4,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,8,3,0,0,32
SOS20,67313,125948,315640,286747,246999,163762,38359,3524,267,1248554,62511,30185,66539,70007,63963,99699,167636,119050,56906,736498,5140,7587,20817,16289,12130,9438,9015,8682,7912,97013,134967,163724,402991,373049,323095,272896,215000,131252,65082,2082063,12931,93942,409590,388259,327974,202114,36970,2499,136,1474420,80097,119624,168226,159870,135829,111946,45068,6875,442,827966,11561,15307,31647,23470,14664,14668,5506,834,102,117760,1560,5079,12643,8728,5870,3700,1223,417,153,39363,106147,233954,622096,580332,484334,332427,88762,10628,825,2459511,3082,10164,19753,14357,12694,8917,1200,64,14,70244,20526,13073,11122,8235,6704,6318,1831,200,22,68034,23610,23234,30873,22592,19399,15226,3032,263,41,138276,129757,257191,652970,602925,503737,347657,91792,10892,870,2597785,136372,61777,102987,100747,99777,160570,294216,213112,92354,1261909,10701,16624,43863,33781,25573,19582,16955,15422,12069,194569,276823,335583,799816,737455,629087,527811,402966,239429,105296,4054265
SOS21,15061,18987,48076,47433,47352,38486,9249,809,90,225539,10054,4280,12435,11556,11672,23377,47960,32590,15075,168999,1445,1454,3821,3578,3080,2821,3163,3215,2560,25148,26559,24722,64334,62567,62103,64683,60370,36620,17728,419682,5442,19706,60207,57600,58066,41612,7726,575,50,250995,17909,14001,26749,29504,27513,27891,11422,1558,101,156654,2423,2046,6019,4138,3376,4473,1586,215,32,24317,644,948,2063,1649,1415,1020,436,177,61,8407,26418,36704,95042,92897,90375,75007,21171,2523,243,440377,952,1738,2654,2031,2047,1677,232,11,3,11341,2770,1191,1566,1289,1114,1308,367,47,12,9663,3718,2923,4218,3321,3164,2989,600,52,12,21004,30137,39630,99256,96219,93540,77992,21773,2576,261,461380,21884,8011,18117,17256,19436,39081,86968,59674,24160,294586,3025,3092,7672,7188,6463,5868,6094,5610,3960,48984,55050,50735,125046,120662,119438,122943,114832,67864,28378,804949
SOS22,1378,1635,3778,4166,4954,4605,1126,96,5,21747,967,300,860,949,1117,2790,5057,2874,1141,16060,204,217,344,409,435,516,379,298,243,3043,2554,2150,4983,5529,6501,7906,6558,3271,1392,40848,554,1616,4391,4833,5850,4675,988,104,3,23031,1511,1325,2404,2776,3085,3686,1473,180,13,16449,263,230,579,463,437,640,250,25,3,2890,91,97,193,166,179,144,71,21,3,974,2425,3275,7569,8232,9552,9154,2788,337,24,43347,62,102,181,133,216,237,41,0,0,966,139,67,104,92,111,155,45,0,0,719,203,167,287,225,327,392,81,0,0,1689,2624,3436,7858,8460,9881,9546,2865,337,25,45032,2098,576,1234,1456,1925,5003,9959,5714,1915,29888,408,444,724,797,911,1037,893,576,374,6161,5131,4456,9820,10716,12716,15584,13721,6622,2320,81088
SOS23,6816,6869,14126,18065,24528,22326,7277,1296,133,101432,4937,1340,2945,3606,4655,10288,17515,8711,2462,56468,904,645,1394,1777,2143,2304,1894,1132,392,12583,12664,8853,18465,23449,31328,34925,26686,11135,2986,170485,3331,8182,17726,22434,30932,26415,8385,1701,161,119274,7826,4970,7887,11409,14471,16743,8410,1851,237,73806,1250,780,1891,1516,1928,2591,1011,189,36,11188,493,432,766,751,1044,906,588,311,65,5358,12902,14363,28270,36115,48377,46652,18397,4056,501,209629,248,435,603,464,709,728,102,4,4,3296,880,301,293,266,417,610,180,21,0,2967,1132,737,901,733,1121,1339,278,32,0,6267,14031,15102,29165,36845,49497,47990,18674,4081,507,215895,10478,2767,5606,6349,8353,18274,34997,18268,4577,109660,1880,1432,2839,3562,4437,4853,4166,2338,736,26238,26388,19304,37612,46759,62285,71112,57831,24688,5814,351794
SOS27,0,0,7,5,7,5,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,16,8,13,16,0,0,0,49,0,0,17,14,18,24,0,0,0,72,0,4,12,42,45,44,5,0,0,147,0,0,0,5,0,0,0,0,0,7,0,0,0,0,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,4,16,44,56,44,5,0,0,170,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,20,44,52,44,5,0,0,174,0,0,0,0,0,3,0,0,0,9,0,9,38,96,129,106,13,0,0,385,0,4,52,140,182,158,16,0,0,565
