SOS_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_ns,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_ns,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_ns,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arr_ns,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_ns,Japan_Tot,Korea_Rep_South_Before_1951,Korea_Rep_South_1951_1960,Korea_Rep_South_1961_1970,Korea_Rep_South_1971_1980,Korea_Rep_South_1981_1990,Korea_Rep_South_1991_2000,Korea_Rep_South_2001_2010,Korea_Rep_South_2011_2015,Korea_Rep_South_2016,Korea_Rep_South_2017,Korea_Rep_South_2018,Korea_Rep_South_2019,Korea_Rep_South_2020,Korea_Rep_South_2021,Korea_Rep_South_Yr_arrival_ns,Korea_Rep_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_ns,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_ns,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_ns,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_ns,Pakistan_Tot
SOS10,929,1044,852,1124,460,200,482,26567,13,15,662,993,1089,10213,13937,10618,4547,3152,1828,4089,927,103,816,52996,69,359,1530,1657,2932,2339,4911,4472,650,847,1047,1265,506,102,412,23094,1179,11505,13441,3383,1246,1040,1816,3126,575,569,511,633,219,44,1989,41280,26,99,147,476,1550,2640,3529,1872,467,478,570,707,355,211,319,13438,9,3,58,2021,7511,9667,17235,7218,1522,1338,1400,1560,628,160,1185,51519,222,1373,7899,14332,11558,8418,8083,3570,740,843,770,866,444,213,2175,61502,57,261,1481,3620,7857,3801,6681,4093,1558,1829,1703,1571,565,142,810,36020,0,0,4,14,87,1328,12608,8740,3806,7551,12444,10254,2494,139,1077,60540,495,3323,1045,622,649,618,1077,683,205,174,209,231,102,44,307,9797,372,805,4079,9975,15189,18345,19730,10588,1849,1854,1927,1966,988,899,2888,91456,30,363,5152,4975,2168,1706,1108,433,106,105,71,87,29,17,495,16850,4,19,92,400,1671,3176,6642,8677,2226,2368,2480,2364,1189,400,499,32201
SOS11,34,26,28,28,24,5,30,648,0,3,24,16,8,55,103,103,141,226,474,753,124,4,49,2095,15,126,382,352,372,250,482,372,17,40,21,42,23,0,80,2574,252,1179,868,194,108,69,137,222,39,44,74,83,26,11,226,3519,9,24,14,44,74,157,319,144,25,32,45,73,24,18,38,1044,0,0,3,36,124,116,351,247,37,53,65,83,25,3,50,1182,10,41,138,123,69,58,73,43,18,7,3,8,0,0,73,664,23,58,216,317,254,131,314,257,166,225,251,246,72,21,94,2640,0,0,0,3,13,33,747,929,522,728,658,452,92,5,56,4236,254,1973,519,262,237,154,216,91,16,34,28,36,21,0,131,3961,155,347,1658,3488,3795,2736,2887,1468,213,162,220,256,131,86,870,18469,0,14,102,65,41,36,20,3,0,0,0,0,0,0,16,297,4,0,17,21,32,52,256,496,122,97,127,151,67,21,35,1496
SOS12,0,0,0,0,0,0,0,34,0,0,4,0,3,5,0,0,0,0,0,0,0,0,0,23,3,5,34,41,51,21,45,28,0,0,4,0,0,0,5,237,9,91,90,18,8,9,20,7,3,5,0,4,5,0,12,273,0,3,0,0,8,11,32,11,0,0,4,8,0,0,3,81,0,0,0,3,8,15,17,7,4,0,0,3,0,0,4,55,0,5,9,17,11,10,3,0,0,0,0,0,0,0,0,51,0,3,32,27,29,12,8,13,13,12,14,6,5,0,9,191,0,0,0,0,0,0,0,5,8,5,8,19,5,0,0,57,23,158,61,40,29,16,18,18,4,0,5,6,0,0,5,393,13,29,169,432,428,261,229,95,11,16,11,5,4,3,94,1806,0,0,6,7,0,0,5,0,0,0,0,0,0,0,0,18,0,3,0,0,0,5,5,9,3,0,3,0,5,0,4,39
SOS13,0,5,3,0,0,0,31,265,0,0,28,25,19,70,31,22,5,0,3,4,0,0,16,236,3,33,128,164,193,117,159,103,8,17,13,25,9,4,31,1015,119,789,693,161,63,40,48,32,3,5,0,12,4,0,108,2084,4,13,8,21,36,42,84,37,6,6,12,15,7,3,17,309,0,0,0,21,42,77,49,15,6,8,8,18,3,0,14,264,9,36,188,243,217,126,114,32,9,12,4,4,5,0,57,1056,5,28,103,117,113,36,55,43,36,52,53,49,12,0,47,746,0,0,0,0,0,7,18,16,5,5,10,14,6,0,7,81,67,621,243,141,146,98,137,45,10,8,6,14,5,0,42,1586,38,125,586,1434,1537,960,889,321,52,36,39,52,27,35,441,6585,0,0,55,32,26,12,7,0,3,0,0,0,0,0,12,143,0,4,5,23,17,23,29,23,4,9,3,8,0,0,6,152
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS20,1085,1065,985,1090,369,308,290,21327,0,6,57,169,350,4704,6497,4690,2539,1952,941,2111,582,65,348,25015,70,516,1255,1236,1946,952,2935,2759,422,453,595,801,295,69,273,14588,1777,20471,21044,3675,1264,906,1558,2558,484,427,423,406,130,34,2298,57460,19,69,84,240,619,1389,2684,1299,335,336,420,501,268,110,198,8570,4,3,15,185,804,1493,6308,3089,608,631,616,590,258,58,231,14886,32,226,1799,4430,3186,2256,2801,1369,300,304,285,290,141,91,598,18093,39,218,1338,3774,9633,5336,13767,9031,3196,3360,3252,2638,1038,181,890,57680,0,0,4,11,45,392,4403,3255,1228,2172,3088,3157,832,48,307,18932,421,5637,1263,675,734,487,915,474,128,143,147,141,54,21,313,11560,211,487,2158,5966,9996,11901,20099,14865,2475,2482,2665,2765,1113,1105,2042,80339,56,437,4432,5266,2915,2003,1430,654,126,119,130,102,33,27,461,18183,8,12,64,193,670,1479,6179,9481,1970,2369,2434,2338,1049,433,454,29130
SOS21,23,24,22,18,5,0,19,468,0,0,4,3,8,236,272,219,66,51,38,34,6,6,29,975,25,117,292,234,319,124,334,260,17,27,21,37,23,5,55,1878,271,1996,1453,295,87,68,104,138,25,10,11,28,15,0,292,4798,0,4,7,14,25,66,158,78,11,23,11,26,13,3,21,486,0,0,0,6,37,40,172,82,25,16,18,34,9,0,11,449,0,10,41,59,51,44,62,29,15,7,7,3,3,0,20,350,3,22,91,157,201,111,436,625,415,525,436,403,90,10,178,3716,0,0,0,0,0,16,262,295,146,153,139,83,28,6,14,1138,140,2510,453,230,241,101,162,70,16,16,15,28,6,3,131,4120,54,112,592,1520,2039,2006,2709,1765,290,243,268,218,88,82,468,12453,10,21,149,124,83,60,60,18,9,7,5,0,3,0,9,547,0,8,0,8,35,68,401,590,123,150,113,88,52,32,24,1693
SOS22,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,40,26,34,11,38,21,0,5,0,3,3,0,4,191,14,95,79,19,5,6,10,9,0,0,0,3,3,0,17,261,0,0,0,4,3,6,16,4,0,0,4,0,0,0,3,43,3,0,0,0,9,0,6,0,4,0,8,0,0,0,0,28,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,15,20,28,14,20,23,3,12,22,11,7,0,3,174,0,0,0,0,0,0,6,10,3,10,5,5,0,0,0,39,24,235,59,23,33,17,10,12,0,0,0,4,0,0,13,431,9,20,86,211,252,176,175,80,19,4,13,9,4,6,41,1101,0,0,8,6,3,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,13,5,0,0,0,3,0,0,0,23
SOS23,4,0,0,4,5,0,15,92,0,0,4,5,0,39,11,0,0,0,0,0,0,0,20,71,8,55,104,94,119,52,132,64,3,4,7,15,5,3,24,690,114,919,613,104,34,15,19,31,0,3,5,7,0,0,150,2020,0,6,8,20,17,26,52,17,3,4,0,10,4,0,8,159,0,0,0,0,12,4,30,11,3,0,0,8,0,0,5,74,0,4,29,56,33,21,36,13,0,5,0,0,0,0,28,224,3,18,53,68,78,34,82,131,91,87,105,87,27,13,69,937,0,0,0,0,0,0,7,11,0,0,3,4,0,0,0,37,58,961,234,146,203,83,124,49,10,4,10,8,0,5,56,1951,20,56,284,779,975,824,1026,408,54,44,41,46,26,20,372,4979,0,23,80,64,25,19,14,3,0,5,0,4,0,0,20,256,0,0,4,9,0,0,34,24,0,6,4,8,0,4,6,97
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
