SOS_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Prim_Other_Non_Govt_M,Prim_Other_Non_Govt_F,Prim_Other_Non_Govt_P,Primary_Tot_M,Primary_Tot_F,Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_Ed_Ft_15_24_yr_M,Tert_Voc_Ed_Ft_15_24_yr_F,Tert_Voc_Ed_Ft_15_24_yr_P,Tert_Voc_Ed_Ft_25_yr_over_M,Tert_Voc_Ed_Ft_25_yr_over_F,Tert_Voc_Ed_Ft_25_yr_over_P,Tert_Voc_Ed_Pt_15_24_yr_M,Tert_Voc_Ed_Pt_15_24_yr_F,Tert_Voc_Ed_Pt_15_24_yr_P,Tert_Voc_Ed_Pt_25_yr_over_M,Tert_Voc_Ed_Pt_25_yr_over_F,Tert_Voc_Ed_Pt_25_yr_over_P,Tert_Voc_Ed_Ft_Pt_st_ns_M,Tert_Voc_Ed_Ft_Pt_st_ns_F,Tert_Voc_Ed_Ft_Pt_st_ns_P,Tert_Voc_Ed_Tot_M,Tert_Voc_Ed_Tot_F,Tert_Voc_Ed_Tot_P,Tert_Uni_oth_edu_Ft_15_24_M,Tert_Uni_oth_edu_Ft_15_24_F,Tert_Uni_oth_edu_Ft_15_24_P,Tert_Uni_oth_edu_Ft_25ov_M,Tert_Uni_oth_edu_Ft_25ov_F,Tert_Uni_oth_edu_Ft_25ov_P,Tert_Uni_oth_edu_Pt_15_24_M,Tert_Uni_oth_edu_Pt_15_24_F,Tert_Uni_oth_edu_Pt_15_24_P,Tert_Uni_oth_edu_Pt_25ov_M,Tert_Uni_oth_edu_Pt_25ov_F,Tert_Uni_oth_edu_Pt_25ov_P,Tert_Uni_oth_edu_F_Pt_st_ns_M,Tert_Uni_oth_edu_F_Pt_st_ns_F,Tert_Uni_oth_edu_F_Pt_st_ns_P,Tert_Uni_oth_edu_Tot_M,Tert_Uni_oth_edu_Tot_F,Tert_Uni_oth_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Oth_type_Edu_inst_Ftime_stu_M,Oth_type_Edu_inst_Ftime_stu_F,Oth_type_Edu_inst_Ftime_stu_P,Oth_type_Edu_inst_Ptime_stu_M,Oth_type_Edu_inst_Ptime_stu_F,Oth_type_Edu_inst_Ptime_stu_P,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_M,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_F,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_P,Oth_type_educ_institut_Tot_M,Oth_type_educ_institut_Tot_F,Oth_type_educ_institut_Tot_P,Type_educ_institution_ns_M,Type_educ_institution_ns_F,Type_educ_institution_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
SOS10,62831,56928,119758,165917,154240,320161,44353,43745,88100,28483,27913,56395,239175,226287,465456,105465,100096,205555,45616,45850,91469,35421,34812,70231,186815,181033,367845,10303,10488,20793,12725,18657,31382,21157,11028,32180,25640,40439,66080,302,283,584,70124,80890,151020,76724,89922,166646,27905,32831,60734,10582,12329,22911,25373,39401,64778,380,379,758,140959,174865,315822,211506,256204,467706,12315,11976,24295,15651,21495,37147,322,286,612,28286,33758,62049,149230,144466,293691,6758,7272,14029,884598,905948,1790544
SOS11,17595,16280,33868,44714,42270,86992,13195,13255,26449,6651,6587,13232,64651,62182,126833,30307,28892,59197,10749,11465,22219,6721,7059,13777,47819,47472,95296,2103,2382,4489,1705,3231,4934,7077,5025,12106,6652,12503,19153,111,94,201,17642,23229,40876,5149,9586,14733,2697,5043,7735,1284,2431,3713,5027,10480,15504,34,64,103,14187,27606,41793,31873,50888,82761,1397,1382,2780,2105,3833,5930,84,67,156,3586,5282,8867,56348,51945,108299,1339,937,2281,223210,234988,458201
SOS12,1536,1431,2967,4595,4229,8830,1025,982,2004,661,650,1309,6290,5867,12159,2950,2908,5859,953,1031,1986,785,752,1538,4693,4691,9384,118,178,297,110,210,321,679,386,1069,547,1045,1600,11,12,28,1470,1840,3310,402,689,1090,138,348,484,104,190,292,358,965,1328,5,10,11,1005,2204,3202,2481,4038,6520,121,99,221,180,326,511,5,6,17,306,441,748,5828,5494,11313,143,98,241,21274,22060,43330
SOS13,5392,5051,10446,15036,13590,28622,5543,5221,10763,3531,3260,6793,24132,22087,46213,10062,9676,19740,5261,5152,10409,4550,4667,9221,19888,19510,39406,601,751,1352,300,666,962,3094,1564,4660,1697,3370,5070,50,38,91,5746,6392,12133,2257,3679,5938,535,1180,1714,511,883,1391,1148,3312,4458,28,24,51,4473,9083,13554,10232,15485,25720,413,430,844,560,1120,1682,23,23,46,996,1575,2573,26038,21864,47906,490,411,907,87183,85979,173164
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3
SOS20,56487,51596,108080,140250,130637,270883,39422,38339,77755,23193,24076,47273,203170,193321,396486,91391,84293,175683,34891,35940,70825,34029,34906,68934,160536,155346,315883,12333,10916,23247,12396,16593,28993,14936,6932,21864,20286,28540,48830,239,185,424,60196,63165,123364,69298,83700,152998,26968,33033,59999,8192,9906,18100,22072,36330,58403,301,330,635,126838,163304,290140,187350,226764,414112,11618,11130,22745,14600,21413,36011,293,281,574,26504,32825,59330,117023,112535,229556,5388,5842,11234,756457,778230,1534689
SOS21,11406,10535,21941,28830,26568,55398,10045,10183,20232,3368,3241,6608,42301,40039,82343,18522,17758,36280,7969,8529,16498,4375,4407,8782,30888,30726,61614,1505,1725,3228,1126,2244,3372,3890,2334,6221,3453,6041,9495,83,60,144,10052,12407,22462,3313,5781,9094,1417,3186,4602,625,1159,1779,2519,6068,8589,28,49,80,7896,16251,24147,17977,28698,46673,1271,1179,2452,1907,3199,5106,73,63,132,3243,4448,7689,30241,30416,60658,588,557,1145,136648,145409,282054
SOS22,920,897,1817,3020,2816,5836,540,497,1040,307,297,607,3871,3617,7488,1803,1827,3632,545,586,1129,477,437,916,2831,2849,5684,86,124,204,71,168,239,330,187,511,279,511,785,0,11,11,763,986,1749,250,458,707,121,255,370,45,118,159,189,556,739,3,6,9,605,1387,1988,1366,2374,3741,80,80,158,148,230,380,7,6,9,235,316,547,3708,3594,7308,85,71,155,13011,13721,26735
SOS23,3919,3553,7473,11480,10291,21773,3805,3804,7617,1811,1810,3619,17113,15921,33030,7590,7193,14777,3961,4134,8098,2959,3132,6087,14513,14462,28976,487,574,1055,215,544,757,1894,849,2743,1071,2022,3097,41,22,70,3714,4010,7725,1545,2644,4188,339,964,1298,269,508,776,730,2270,2999,15,31,43,2898,6410,9308,6623,10419,17047,410,354,772,516,1024,1538,32,33,66,965,1410,2378,19860,15272,35131,221,166,391,63210,61209,124422
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,49,384,0,0,0,337,49,389
