SOS_CODE_2021,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Agr_fstry_fsh_15_19,F_Agr_fstry_fsh_20_24,F_Agr_fstry_fsh_25_34,F_Agr_fstry_fsh_35_44,F_Agr_fstry_fsh_45_54,F_Agr_fstry_fsh_55_64,F_Agr_fstry_fsh_65_74,F_Agr_fstry_fsh_75_84,F_Agr_fstry_fsh_85_yr_over,F_Agr_fstry_fsh_Tot,F_Min_15_19_yr,F_Min_20_24_yr,F_Min_25_34_yr,F_Min_35_44_yr,F_Min_45_54_yr,F_Min_55_64_yr,F_Min_65_74_yr,F_Min_75_84_yr,F_Min_85_yr_over,F_Min_Tot,F_Manf_15_19_yr,F_Manf_20_24_yr,F_Manf_25_34_yr,F_Manf_35_44_yr,F_Manf_45_54_yr,F_Manf_55_64_yr,F_Manf_65_74_yr,F_Manf_75_84_yr,F_Manf_85_yr_over,F_Manf_Tot,F_Elec_gas_wtr_wst_sv_15_19,F_Elec_gas_wtr_wst_sv_20_24,F_Elec_gas_wtr_wst_sv_25_34,F_Elec_gas_wtr_wst_sv_35_44,F_Elec_gas_wtr_wst_sv_45_54,F_Elec_gas_wtr_wst_sv_55_64,F_Elec_gas_wtr_wst_sv_65_74,F_Elec_gas_wtr_wst_sv_75_84,F_Elec_gas_wtr_wst_sv_85_over,F_Elec_gas_wtr_wst_sv_Tot,F_Con_15_19_yr,F_Con_20_24_yr,F_Con_25_34_yr,F_Con_35_44_yr,F_Con_45_54_yr,F_Con_55_64_yr,F_Con_65_74_yr,F_Con_75_84_yr,F_Con_85_yr_over,F_Con_Tot,F_Whl_trd_15_19_yr,F_Whl_trd_20_24_yr,F_Whl_trd_25_34_yr,F_Whl_trd_35_44_yr,F_Whl_trd_45_54_yr,F_Whl_trd_55_64_yr,F_Whl_trd_65_74_yr,F_Whl_trd_75_84_yr,F_Whl_trd_85_yr_over,F_Whl_trd_Tot,F_Re_trd_15_19_yr,F_Re_trd_20_24_yr,F_Re_trd_25_34_yr,F_Re_trd_35_44_yr,F_Re_trd_45_54_yr,F_Re_trd_55_64_yr,F_Re_trd_65_74_yr,F_Re_trd_75_84_yr,F_Re_trd_85_yr_over,F_Re_trd_Tot,F_Acc_food_svc_15_19,F_Acc_food_svc_20_24,F_Acc_food_svc_25_34,F_Acc_food_svc_35_44,F_Acc_food_svc_45_54,F_Acc_food_svc_55_64,F_Acc_food_svc_65_74,F_Acc_food_svc_75_84,F_Acc_food_svc_85_yr_over,F_Acc_food_svc_Tot,F_Trp_pos_wh_15_19,F_Trp_pos_wh_20_24,F_Trp_pos_wh_25_34,F_Trp_pos_wh_35_44,F_Trp_pos_wh_45_54,F_Trp_pos_wh_55_64,F_Trp_pos_wh_65_74,F_Trp_pos_wh_75_84,F_Trp_pos_wh_85_yr_over,F_Trp_pos_wh_Tot,F_In_med_tcom_15_19,F_In_med_tcom_20_24,F_In_med_tcom_25_34,F_In_med_tcom_35_44,F_In_med_tcom_45_54,F_In_med_tcom_55_64,F_In_med_tcom_65_74,F_In_med_tcom_75_84,F_In_med_tcom_85_yr_over,F_In_med_tcom_Tot,F_Fin_in_svc_15_19,F_Fin_in_svc_20_24,F_Fin_in_svc_25_34,F_Fin_in_svc_35_44,F_Fin_in_svc_45_54,F_Fin_in_svc_55_64,F_Fin_in_svc_65_74,F_Fin_in_svc_75_84,F_Fin_in_svc_85_yr_over,F_Fin_in_svc_Tot,F_Rnt_hrg_rea_est_serv_15_19,F_Rnt_hrg_rea_est_serv_20_24,F_Rnt_hrg_rea_est_serv_25_34,F_Rnt_hrg_rea_est_serv_35_44,F_Rnt_hrg_rea_est_serv_45_54,F_Rnt_hrg_rea_est_serv_55_64,F_Rnt_hrg_rea_est_serv_65_74,F_Rnt_hrg_rea_est_serv_75_84,F_Rnt_hrg_rea_est_serv_85_ov,F_Rnt_hrg_rea_est_serv_Tot,F_Prof_sc_tech_serv_15_19,F_Prof_sc_tech_serv_20_24,F_Prof_sc_tech_serv_25_34,F_Prof_sc_tech_serv_35_44,F_Prof_sc_tech_serv_45_54,F_Prof_sc_tech_serv_55_64,F_Prof_sc_tech_serv_65_74,F_Prof_sc_tech_serv_75_84,F_Prof_sc_tech_serv_85_over,F_Prof_sc_tech_serv_Tot,F_Adm_sup_serv_15_19,F_Adm_sup_serv_20_24,F_Adm_sup_serv_25_34,F_Adm_sup_serv_35_44,F_Adm_sup_serv_45_54,F_Adm_sup_serv_55_64,F_Adm_sup_serv_65_74,F_Adm_sup_serv_75_84,F_Adm_sup_serv_85_over,F_Adm_sup_serv_Tot,F_PubAd_saf_15_19,F_PubAd_saf_20_24,F_PubAd_saf_25_34,F_PubAd_saf_35_44,F_PubAd_saf_45_54,F_PubAd_saf_55_64,F_PubAd_saf_65_74,F_PubAd_saf_75_84,F_PubAd_saf_85_over,F_PubAd_saf_Tot,F_Ed_trng_15_19,F_Ed_trng_20_24,F_Ed_trng_25_34,F_Ed_trng_35_44,F_Ed_trng_45_54,F_Ed_trng_55_64,F_Ed_trng_65_74,F_Ed_trng_75_84,F_Ed_trng_85_yr_over,F_Ed_trng_Tot,F_Hlth_cre_socia_assist_15_19,F_Hlth_cre_socia_assist_20_24,F_Hlth_cre_socia_assist_25_34,F_Hlth_cre_socia_assist_35_44,F_Hlth_cre_socia_assist_45_54,F_Hlth_cre_socia_assist_55_64,F_Hlth_cre_socia_assist_65_74,F_Hlth_cre_socia_assist_75_84,F_Hlth_cre_socia_assist_85ov,F_Hlth_cre_socia_assist_Tot,F_Arts_rec_svc_15_19,F_Arts_rec_svc_20_24,F_Arts_rec_svc_25_34,F_Arts_rec_svc_35_44,F_Arts_rec_svc_45_54,F_Arts_rec_svc_55_64,F_Arts_rec_svc_65_74,F_Arts_rec_svc_75_84,F_Arts_rec_svc_85_yr_over,F_Arts_rec_svc_Tot,F_Oth_svc_15_19_yr,F_Oth_svc_20_24_yr,F_Oth_svc_25_34_yr,F_Oth_svc_35_44_yr,F_Oth_svc_45_54_yr,F_Oth_svc_55_64_yr,F_Oth_svc_65_74_yr,F_Oth_svc_75_84_yr,F_Oth_svc_85_yr_over,F_Oth_svc_Tot
SOS10,54602,123717,329719,331131,271593,196470,57467,8146,701,1373536,96,239,631,676,761,556,204,50,5,3238,5,69,386,431,365,215,40,10,0,1531,1524,2724,9195,11267,11400,8025,1682,134,9,45963,27,288,1318,1706,1474,748,126,10,0,5695,499,2225,9099,9417,7618,4556,1151,131,8,34708,359,1817,7128,8767,7851,4775,1056,105,13,31876,15695,20656,27881,22899,20499,15050,3539,344,25,126579,21139,14164,15468,10218,8152,5915,1246,108,6,76422,509,2176,7094,7947,7739,5340,1061,92,6,31962,440,1879,7410,6964,4672,2237,477,55,3,24146,379,5310,23573,27165,18267,8419,1614,143,19,84885,446,2113,6158,6165,4980,2977,965,211,39,24050,1176,11274,39758,33438,22434,12443,3785,493,12,124820,643,3493,11096,10132,9139,6542,1590,156,7,42800,565,3986,15965,19302,17621,11141,2103,110,9,70809,4540,12556,37013,37769,37912,26828,6810,481,19,163921,4864,26505,70690,62395,59360,47882,12037,953,26,284715,1593,2582,4890,3918,3017,1878,625,100,10,18608,1718,3971,10052,8838,8092,5301,1335,151,8,39468
SOS11,22077,30189,72800,68387,67072,58925,19074,2942,304,341779,182,421,1023,826,873,768,421,143,15,4670,26,228,743,606,434,190,21,3,0,2247,773,908,2510,2326,2305,1841,424,40,0,11124,28,77,324,412,493,331,48,3,0,1721,202,534,1832,1834,1628,1346,401,42,5,7820,123,292,772,807,898,724,201,24,0,3845,6942,4744,7444,6694,7187,6348,1653,136,6,41161,8539,4697,5626,4418,4099,3513,883,89,4,31866,96,326,901,1035,1333,1289,417,51,0,5449,131,241,504,508,440,353,120,21,0,2323,85,467,1693,1710,1637,1150,211,28,0,6981,143,439,1124,963,1035,734,296,54,0,4795,263,1103,3639,3675,3315,2488,892,79,8,15451,249,857,2498,2766,2996,2644,593,38,4,12644,290,1142,4596,5591,5829,3649,639,34,0,21773,953,2820,9167,10982,11476,8892,2156,142,0,46579,1872,7148,19967,18047,19533,18980,4259,225,0,90027,459,492,823,779,729,518,190,35,4,4032,753,1281,3118,2522,2369,1734,525,65,8,12373
SOS12,2010,2466,5441,6187,7196,6951,2287,339,32,32915,31,55,110,119,126,125,56,25,8,653,0,15,30,29,40,15,3,0,0,132,67,59,160,170,274,192,40,7,0,962,0,5,23,39,47,35,6,0,0,159,29,46,187,253,231,153,54,0,0,954,11,24,60,84,106,82,22,3,0,388,542,337,493,550,710,701,156,12,0,3509,778,403,513,415,458,417,88,19,4,3092,12,36,81,121,196,176,70,8,0,695,11,16,27,50,45,45,14,0,0,205,12,26,121,178,180,117,20,9,0,652,14,45,78,77,83,93,17,4,0,416,39,71,339,348,377,302,79,12,0,1580,28,62,190,231,297,282,65,7,0,1147,14,76,359,516,591,407,67,4,0,2037,91,247,733,1085,1254,1041,247,15,0,4725,153,477,1168,1419,1832,1943,451,19,0,7468,46,44,85,66,88,79,27,4,0,433,65,106,217,226,261,157,64,3,0,1097
SOS13,9482,10574,19397,23872,32081,31627,14139,3532,469,145170,414,621,1452,1914,2801,3494,2864,996,128,14676,16,61,213,234,254,113,20,6,0,910,305,276,567,756,1069,914,242,34,7,4180,17,25,87,154,226,124,23,3,0,657,159,249,787,1150,1296,960,274,26,0,4905,81,171,306,383,545,447,133,28,0,2093,2301,1207,1526,1726,2515,2251,553,61,4,12153,2597,1055,950,979,1248,1161,320,31,3,8331,68,130,335,465,774,736,222,37,0,2769,34,80,132,155,213,176,55,4,0,857,24,138,419,593,693,440,100,13,0,2423,76,166,303,408,540,352,155,30,3,2037,170,516,1336,1648,1938,1426,492,53,0,7586,96,229,540,733,1026,881,228,31,0,3765,143,357,1182,1847,2432,1533,256,15,0,7765,433,884,2419,4054,5199,4085,1026,68,0,18181,614,1677,3587,4430,6403,6495,1541,77,3,24828,241,208,332,320,408,340,110,21,0,1973,328,361,803,866,1019,780,192,20,0,4363
SOS17,0,0,0,4,16,10,4,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS20,50288,118031,320797,305199,246846,175315,51464,7176,576,1275696,116,375,1159,1162,1175,795,263,69,0,5128,5,35,223,318,298,111,27,3,0,1030,2430,3486,10647,12705,13271,8891,1759,154,7,53351,33,366,2171,2920,1849,812,122,6,0,8271,362,2228,8478,8245,6696,4187,1000,114,0,31319,323,1646,5787,6932,6663,4028,893,96,5,26378,16694,24476,28163,20919,20239,14133,3292,284,12,128211,22473,16788,16544,9559,7721,4970,1026,94,7,79174,337,1964,6336,6595,6215,4049,783,48,5,26329,574,1490,4870,4726,3234,1522,347,42,6,16801,177,2908,15095,17722,11571,5317,1087,86,8,53963,253,1547,5515,4549,3865,2342,754,134,17,18979,586,7697,33433,28601,19292,10275,3043,343,20,103283,540,3465,10851,8976,8331,5559,1465,131,9,39321,410,3503,15835,18009,16192,10498,2114,202,7,66776,2981,10129,36527,37619,35631,24951,5659,414,14,153929,2717,22224,70960,61031,54994,41969,10252,649,19,264812,2164,3223,5333,4396,3440,1933,575,82,8,21163,1190,4065,10950,9317,8123,5288,1283,123,11,40354
SOS21,13080,18892,48863,47115,44540,37869,12124,1739,159,224391,162,354,954,772,686,579,292,94,14,3907,4,20,59,51,68,49,3,0,0,267,714,683,1881,1965,2031,1576,322,20,0,9197,14,89,335,397,373,224,43,4,0,1476,108,402,1379,1391,1280,943,230,17,0,5746,74,198,644,658,721,552,127,14,0,2992,4303,3292,4511,4109,4744,4153,940,55,0,26107,5058,2535,2868,2261,2194,1804,464,37,3,17224,73,307,1057,1069,1205,1036,244,21,0,5018,72,157,363,380,343,246,63,14,0,1633,36,285,1254,1445,1240,741,124,13,0,5153,46,291,657,610,648,407,134,19,0,2811,114,658,2404,2574,2036,1447,507,47,3,9802,152,480,1414,1596,1625,1368,333,35,0,7015,118,625,2879,3588,3695,2717,581,37,0,14241,491,1622,6302,7241,6944,5166,1180,66,0,29016,731,4063,13115,11938,12645,11665,2622,105,4,56881,326,351,636,660,564,411,139,17,0,3099,347,823,2053,1723,1481,1049,322,41,5,7849
SOS22,1152,1705,3913,4179,4745,4708,1687,235,19,22344,22,34,126,110,131,119,67,21,0,633,0,3,3,12,3,0,3,0,0,31,58,49,122,143,214,166,37,4,0,799,0,8,19,24,37,21,0,0,0,114,13,37,125,133,135,105,25,5,0,574,16,27,40,47,69,75,12,0,0,277,334,216,345,378,462,440,116,11,0,2298,495,327,381,235,267,311,66,4,0,2084,38,115,102,96,150,155,39,4,0,699,0,12,25,34,35,23,11,0,0,137,5,17,104,100,146,78,11,0,0,453,9,30,38,50,69,40,21,0,0,259,7,58,203,244,266,185,66,9,0,1035,29,40,116,123,153,178,42,3,0,676,4,38,198,330,357,280,56,0,0,1258,50,137,494,688,740,626,144,5,0,2875,75,264,858,972,1191,1349,274,7,0,4997,35,40,80,94,76,69,32,3,0,430,39,74,153,143,141,95,30,4,0,681
SOS23,6636,7808,14528,18399,24372,24895,11201,2774,371,110990,372,486,1321,1656,2257,2882,2339,778,81,12189,3,30,31,54,70,45,12,0,0,245,401,259,544,752,1157,936,264,30,0,4346,11,28,107,163,178,129,15,0,0,643,59,175,555,787,951,730,183,17,3,3462,76,109,250,309,452,380,95,16,7,1685,1716,1045,1089,1258,1947,1713,395,37,3,9203,2024,799,663,658,892,824,243,25,0,6121,43,95,251,349,611,543,177,24,0,2081,26,40,111,130,169,137,40,9,0,664,12,86,303,468,499,375,89,4,0,1845,33,71,180,217,242,207,69,11,0,1037,98,314,825,1229,1349,1019,332,28,0,5200,66,139,359,457,695,601,149,17,3,2471,87,316,796,1297,1646,1275,234,14,0,5668,236,562,1747,2599,3364,2784,685,35,0,12012,315,1255,3173,3769,5472,5539,1255,52,0,20830,213,230,311,318,406,321,79,8,0,1887,188,281,611,625,747,577,171,18,0,3220
SOS27,0,4,11,39,44,43,5,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,6,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
