SOS_CODE_2021,P_400_499_15_19_yr,P_400_499_20_24_yr,P_400_499_25_34_yr,P_400_499_35_44_yr,P_400_499_45_54_yr,P_400_499_55_64_yr,P_400_499_65_74_yr,P_400_499_75_84_yr,P_400_499_85_yr_over,P_400_499_Tot,P_500_649_15_19_yr,P_500_649_20_24_yr,P_500_649_25_34_yr,P_500_649_35_44_yr,P_500_649_45_54_yr,P_500_649_55_64_yr,P_500_649_65_74_yr,P_500_649_75_84_yr,P_500_649_85_yr_over,P_500_649_Tot,P_650_799_15_19_yr,P_650_799_20_24_yr,P_650_799_25_34_yr,P_650_799_35_44_yr,P_650_799_45_54_yr,P_650_799_55_64_yr,P_650_799_65_74_yr,P_650_799_75_84_yr,P_650_799_85_yr_over,P_650_799_Tot,P_800_999_15_19_yr,P_800_999_20_24_yr,P_800_999_25_34_yr,P_800_999_35_44_yr,P_800_999_45_54_yr,P_800_999_55_64_yr,P_800_999_65_74_yr,P_800_999_75_84_yr,P_800_999_85_yr_over,P_800_999_Tot,P_1000_1249_15_19_yr,P_1000_1249_20_24_yr,P_1000_1249_25_34_yr,P_1000_1249_35_44_yr,P_1000_1249_45_54_yr,P_1000_1249_55_64_yr,P_1000_1249_65_74_yr,P_1000_1249_75_84_yr,P_1000_1249_85_yr_over,P_1000_1249_Tot,P_1250_1499_15_19_yr,P_1250_1499_20_24_yr,P_1250_1499_25_34_yr,P_1250_1499_35_44_yr,P_1250_1499_45_54_yr,P_1250_1499_55_64_yr,P_1250_1499_65_74_yr,P_1250_1499_75_84_yr,P_1250_1499_85_yr_over,P_1250_1499_Tot,P_1500_1749_15_19_yr,P_1500_1749_20_24_yr,P_1500_1749_25_34_yr,P_1500_1749_35_44_yr,P_1500_1749_45_54_yr,P_1500_1749_55_64_yr,P_1500_1749_65_74_yr,P_1500_1749_75_84_yr,P_1500_1749_85_yr_over,P_1500_1749_Tot,P_1750_1999_15_19_yr,P_1750_1999_20_24_yr,P_1750_1999_25_34_yr,P_1750_1999_35_44_yr,P_1750_1999_45_54_yr,P_1750_1999_55_64_yr,P_1750_1999_65_74_yr,P_1750_1999_75_84_yr,P_1750_1999_85_yr_over,P_1750_1999_Tot,P_2000_2999_15_19_yr,P_2000_2999_20_24_yr,P_2000_2999_25_34_yr,P_2000_2999_35_44_yr,P_2000_2999_45_54_yr,P_2000_2999_55_64_yr,P_2000_2999_65_74_yr,P_2000_2999_75_84_yr,P_2000_2999_85_yr_over,P_2000_2999_Tot,P_3000_3499_15_19_yr,P_3000_3499_20_24_yr,P_3000_3499_25_34_yr,P_3000_3499_35_44_yr,P_3000_3499_45_54_yr,P_3000_3499_55_64_yr,P_3000_3499_65_74_yr,P_3000_3499_75_84_yr,P_3000_3499_85_yr_over,P_3000_3499_Tot,P_3500_more_15_19_yr,P_3500_more_20_24_yr,P_3500_more_25_34_yr,P_3500_more_35_44_yr,P_3500_more_45_54_yr,P_3500_more_55_64_yr,P_3500_more_65_74_yr,P_3500_more_75_84_yr,P_3500_more_85_yr_over,P_3500_more_Tot,P_Personal_inc_ns_15_19_yr,P_Personal_inc_ns_20_24_yr,P_Personal_inc_ns_25_34_yr,P_Personal_inc_ns_35_44_yr,P_Personal_inc_ns_45_54_yr,P_Personal_inc_ns_55_64_yr,P_Personal_inc_ns_65_74_yr,P_Personal_inc_ns_75_84_yr,P_Personal_inc_ns_85_yr_over,P_Personal_inc_ns_Tot,P_OS_vis_15_19_yr,P_OS_vis_20_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_OS_vis_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SOS30,9403,18070,20736,17350,19005,24661,49042,38248,17768,214282,10481,26621,34005,26344,25008,27486,39309,24416,8400,222075,7025,31093,43382,33006,28734,27143,25566,14006,3994,213945,4381,34221,63527,46229,42080,34942,21527,9127,2513,258542,1921,26328,72623,57747,51481,41960,20104,6639,1585,280384,632,14803,56934,47615,41696,30792,12012,3460,830,208781,264,6952,48075,45423,39409,27018,9220,2913,837,180108,121,2617,30353,36796,33155,21157,6109,1643,377,132326,80,2168,39972,67180,61625,34749,8283,2113,535,216706,43,334,6234,14814,14339,7988,2209,683,195,46842,122,501,6481,24037,28865,16464,5423,1957,581,84430,12791,17436,37904,30021,25502,20742,19497,17673,14021,195586,312,827,2263,1127,1057,1426,1304,479,123,8911,223919,246490,527767,505947,469859,398179,322187,182628,68796,2945773
SOS31,2506,3142,5296,5095,6208,9580,19492,14267,6670,72257,3304,5018,8082,7377,7522,9587,13684,7809,2442,64829,2313,6612,10147,8287,8389,8502,8657,4614,1146,58673,1527,7772,14193,11021,10902,10185,6323,2463,649,65041,721,5515,14378,12414,12512,11658,5467,1670,321,64642,252,3292,10288,9759,9321,8089,3105,778,169,45053,143,1822,8811,8920,8843,6937,2245,760,239,38728,53,1008,6062,7093,7154,5322,1365,324,77,28452,50,1230,9222,12373,12655,8769,1896,388,76,46664,9,120,1675,2867,2862,1965,459,127,37,10131,40,131,1424,3108,3564,2677,988,380,98,12404,4897,5285,12616,10956,10742,10338,9476,7490,4460,76261,39,400,1389,462,183,239,197,94,23,3027,55691,51439,118935,113894,116955,123313,113792,63854,22123,779988
SOS32,333,450,710,808,1130,2057,3867,2354,717,12418,379,632,1074,1136,1312,1874,2503,1132,236,10275,282,717,1216,1177,1427,1735,1717,694,117,9080,175,805,1558,1441,1633,1983,1186,410,77,9264,103,634,1643,1647,1913,2189,1136,296,40,9601,31,332,1196,1233,1504,1458,590,137,23,6514,15,225,896,1139,1320,1188,468,144,25,5416,10,103,690,847,1003,876,261,55,3,3844,3,123,866,1413,1740,1286,333,78,8,5863,0,18,182,328,359,302,74,16,0,1280,8,18,155,388,492,440,196,61,19,1770,966,818,1922,1773,1910,2218,2186,1259,379,13422,4,37,221,60,21,34,46,22,0,452,7362,6460,14786,15750,18971,24095,22915,10470,2314,123116
SOS33,1185,1132,1926,2371,3321,5514,9677,5132,1307,31569,1586,1852,2828,3218,4166,5729,6260,2760,572,28962,1229,2479,3437,3628,4605,5403,4463,1893,269,27405,769,2846,4565,4563,6025,6408,3735,1134,190,30239,419,2347,5226,5410,6911,7095,3506,974,132,32030,128,1263,3728,4202,5209,4847,1966,443,52,21847,63,689,3206,4144,5208,4427,1564,406,82,19779,29,330,2156,3105,4068,3142,985,201,45,14069,25,423,3109,5796,6948,4943,1302,290,36,22871,5,34,626,1427,1748,1209,380,121,14,5568,22,47,576,1947,2919,2147,868,303,36,8872,3052,3133,7768,7845,9056,8734,6628,3238,713,50173,16,245,783,304,147,92,112,38,3,1732,26935,20966,46059,55002,70611,78733,64173,26888,5166,394529
SOS37,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,3,0,0,0,4,0,0,4,0,0,0,0,0,0,4,0,0,4,5,4,0,0,0,0,12,0,0,11,4,4,0,0,0,0,17,0,0,4,3,6,0,0,0,0,11,0,0,5,8,6,0,0,0,0,14,0,0,4,3,3,3,0,0,0,16,0,0,4,7,7,4,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,8,56,77,54,16,6,0,0,221,0,5,15,6,0,0,4,0,0,24,11,18,102,114,79,34,23,0,0,380
SOS40,2600,6767,7923,6951,7867,11131,20251,16747,9902,90137,2705,9482,12983,9732,9136,10579,14459,9356,4357,82791,1419,9202,14811,11790,10112,10082,10124,5724,2219,75487,823,9783,21617,16501,14460,12924,8283,3908,1491,89787,421,8013,26583,20954,18179,15875,7845,2871,805,101542,122,4154,19799,16814,14361,11394,4717,1439,397,73198,75,1775,15511,14926,12790,9663,3506,1124,417,59781,27,646,9123,11767,10263,7262,2189,657,199,42135,29,434,10746,18924,17758,11657,3072,886,237,63724,15,84,1463,3662,3661,2422,771,267,90,12429,37,180,1515,5529,7070,5048,1921,714,257,22272,3015,3791,8363,7120,6265,5524,5212,5225,4580,49088,92,132,418,297,284,400,415,132,42,2208,69913,82852,177588,166999,154288,147206,122775,72511,33295,1027419
SOS41,837,1288,2028,1868,2408,3843,7558,6296,3342,29463,1074,1934,2826,2606,2804,3571,5306,3400,1430,24955,596,2223,3549,2962,3158,3370,3644,2294,719,22516,357,2569,4918,4038,4140,4049,2601,1277,390,24343,189,1931,5293,4590,4967,4651,2314,773,219,24923,44,1022,3787,3411,3700,3183,1352,378,105,16975,24,458,3045,3051,3239,2707,952,389,114,13983,11,241,1933,2326,2504,1980,566,127,30,9710,8,198,2282,3686,4178,2761,746,179,47,14094,7,30,320,657,776,521,174,69,17,2574,13,48,344,863,1173,937,375,153,69,3972,1274,1101,2683,2464,2587,2574,2554,2491,1610,19346,9,66,346,162,62,58,55,18,11,793,18328,17171,38733,37463,41496,44528,42956,26839,10636,278149
SOS42,105,151,284,260,382,734,1438,969,458,4786,118,218,404,385,449,652,872,462,180,3742,82,277,400,439,505,649,679,306,87,3427,51,326,606,581,642,751,474,160,42,3644,38,206,641,558,733,842,438,104,16,3580,7,122,481,433,536,597,242,41,11,2475,6,46,363,404,422,442,166,65,19,1919,5,34,224,292,306,290,97,26,3,1279,0,30,245,430,512,465,122,34,11,1847,0,0,46,50,100,85,25,10,0,318,0,5,38,79,107,115,68,26,10,451,285,194,403,443,534,694,734,520,370,4170,0,0,6,3,0,11,7,0,0,42,2496,2178,5043,5167,6282,8455,8150,4153,1601,43526
SOS43,360,485,654,754,1066,1836,2870,1596,417,10034,520,664,939,1065,1294,1778,1987,860,183,9293,332,826,1064,1247,1597,1822,1639,640,135,9307,208,904,1546,1552,2026,2230,1351,419,84,10317,97,765,1765,1830,2432,2640,1260,339,33,11169,40,383,1263,1485,1971,1839,791,171,16,7963,33,187,1080,1455,1711,1503,637,145,24,6770,13,95,702,1022,1315,1113,364,101,13,4734,0,115,1015,1723,2111,1715,533,135,18,7368,3,16,183,403,501,394,155,33,3,1697,3,40,227,599,912,838,325,130,13,3092,825,674,1781,1860,2198,2233,1746,893,219,12437,13,58,153,73,34,15,27,12,3,386,8389,6734,14280,17164,22253,25719,20137,8252,1723,124656
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,6,0,0,0,0,0,5,0,0,0,4,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,8,0,0,0,5,0,0,0,0,0,7,0,0,0,19,15,0,0,0,0,40
