SOS_CODE_2021,P_400_499_15_19_yr,P_400_499_20_24_yr,P_400_499_25_34_yr,P_400_499_35_44_yr,P_400_499_45_54_yr,P_400_499_55_64_yr,P_400_499_65_74_yr,P_400_499_75_84_yr,P_400_499_85_yr_over,P_400_499_Tot,P_500_649_15_19_yr,P_500_649_20_24_yr,P_500_649_25_34_yr,P_500_649_35_44_yr,P_500_649_45_54_yr,P_500_649_55_64_yr,P_500_649_65_74_yr,P_500_649_75_84_yr,P_500_649_85_yr_over,P_500_649_Tot,P_650_799_15_19_yr,P_650_799_20_24_yr,P_650_799_25_34_yr,P_650_799_35_44_yr,P_650_799_45_54_yr,P_650_799_55_64_yr,P_650_799_65_74_yr,P_650_799_75_84_yr,P_650_799_85_yr_over,P_650_799_Tot,P_800_999_15_19_yr,P_800_999_20_24_yr,P_800_999_25_34_yr,P_800_999_35_44_yr,P_800_999_45_54_yr,P_800_999_55_64_yr,P_800_999_65_74_yr,P_800_999_75_84_yr,P_800_999_85_yr_over,P_800_999_Tot,P_1000_1249_15_19_yr,P_1000_1249_20_24_yr,P_1000_1249_25_34_yr,P_1000_1249_35_44_yr,P_1000_1249_45_54_yr,P_1000_1249_55_64_yr,P_1000_1249_65_74_yr,P_1000_1249_75_84_yr,P_1000_1249_85_yr_over,P_1000_1249_Tot,P_1250_1499_15_19_yr,P_1250_1499_20_24_yr,P_1250_1499_25_34_yr,P_1250_1499_35_44_yr,P_1250_1499_45_54_yr,P_1250_1499_55_64_yr,P_1250_1499_65_74_yr,P_1250_1499_75_84_yr,P_1250_1499_85_yr_over,P_1250_1499_Tot,P_1500_1749_15_19_yr,P_1500_1749_20_24_yr,P_1500_1749_25_34_yr,P_1500_1749_35_44_yr,P_1500_1749_45_54_yr,P_1500_1749_55_64_yr,P_1500_1749_65_74_yr,P_1500_1749_75_84_yr,P_1500_1749_85_yr_over,P_1500_1749_Tot,P_1750_1999_15_19_yr,P_1750_1999_20_24_yr,P_1750_1999_25_34_yr,P_1750_1999_35_44_yr,P_1750_1999_45_54_yr,P_1750_1999_55_64_yr,P_1750_1999_65_74_yr,P_1750_1999_75_84_yr,P_1750_1999_85_yr_over,P_1750_1999_Tot,P_2000_2999_15_19_yr,P_2000_2999_20_24_yr,P_2000_2999_25_34_yr,P_2000_2999_35_44_yr,P_2000_2999_45_54_yr,P_2000_2999_55_64_yr,P_2000_2999_65_74_yr,P_2000_2999_75_84_yr,P_2000_2999_85_yr_over,P_2000_2999_Tot,P_3000_3499_15_19_yr,P_3000_3499_20_24_yr,P_3000_3499_25_34_yr,P_3000_3499_35_44_yr,P_3000_3499_45_54_yr,P_3000_3499_55_64_yr,P_3000_3499_65_74_yr,P_3000_3499_75_84_yr,P_3000_3499_85_yr_over,P_3000_3499_Tot,P_3500_more_15_19_yr,P_3500_more_20_24_yr,P_3500_more_25_34_yr,P_3500_more_35_44_yr,P_3500_more_45_54_yr,P_3500_more_55_64_yr,P_3500_more_65_74_yr,P_3500_more_75_84_yr,P_3500_more_85_yr_over,P_3500_more_Tot,P_Personal_inc_ns_15_19_yr,P_Personal_inc_ns_20_24_yr,P_Personal_inc_ns_25_34_yr,P_Personal_inc_ns_35_44_yr,P_Personal_inc_ns_45_54_yr,P_Personal_inc_ns_55_64_yr,P_Personal_inc_ns_65_74_yr,P_Personal_inc_ns_75_84_yr,P_Personal_inc_ns_85_yr_over,P_Personal_inc_ns_Tot,P_OS_vis_15_19_yr,P_OS_vis_20_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_OS_vis_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SOS50,4814,9909,11029,9757,9664,12152,25675,20455,9796,113266,4918,13115,16859,14277,12793,13207,19494,12346,4701,111706,3124,13273,19506,16503,13798,12957,13483,7559,2578,102777,2085,14625,27930,21854,19370,16258,11349,4820,1662,119947,1076,12822,36562,29349,25195,21532,10737,3442,976,141697,430,7586,30911,25654,21564,17098,6953,1867,478,112553,212,4118,27218,25279,21338,16407,5475,1510,530,102081,86,1794,18793,20695,17864,12409,3654,778,224,76293,88,2017,28364,42405,36924,23940,5850,1171,362,141117,24,307,5561,11109,9954,6155,1615,402,121,35244,70,267,5198,17824,20220,12161,3573,1107,316,60731,5548,7112,16518,14157,11520,9218,8571,8438,7547,88634,129,379,1024,632,635,910,788,267,78,4837,118813,126375,287428,290440,256255,222529,177310,98207,39957,1617314
SOS51,979,1031,1908,2009,2038,2964,6057,4291,1751,23032,1301,1673,2832,2904,2680,3035,4503,2550,857,22327,977,2224,3341,3135,3125,2969,3042,1589,447,20846,698,2647,4592,3998,3893,3621,2389,938,291,23060,405,2283,5556,4948,4904,4608,2356,633,132,25815,174,1468,4458,4150,4069,3416,1340,312,70,19456,110,1002,4345,4084,4119,3300,1082,276,117,18428,45,547,3344,3582,3579,2742,782,145,33,14803,50,720,5660,7549,7324,5191,1130,201,48,27862,3,129,1438,2038,1939,1310,301,64,17,7242,22,96,1284,2642,2541,1789,585,185,43,9187,2237,2334,6483,6096,5601,5025,3615,2417,1603,35403,20,193,432,170,89,124,89,35,7,1167,22341,19925,52783,53975,52008,50096,40752,20711,7447,320040
SOS52,123,149,313,343,423,664,1396,894,265,4563,171,196,464,452,442,579,856,396,128,3697,122,255,467,436,415,521,638,261,80,3202,106,305,559,508,588,680,449,160,50,3409,57,271,648,590,690,802,404,128,26,3618,19,204,559,467,539,642,262,60,12,2754,8,115,521,526,508,589,218,67,13,2572,5,83,381,394,457,447,124,17,9,1909,4,106,724,864,914,856,196,29,5,3705,0,12,193,229,225,202,59,8,5,938,0,15,133,282,311,266,102,18,12,1152,481,454,1239,1203,1252,1348,1182,612,210,7975,4,31,91,28,16,7,15,0,0,195,3128,3154,8001,7821,8375,9975,8829,3999,1114,54391
SOS53,411,372,690,756,939,1488,2746,1407,396,9200,539,614,873,1038,1313,1773,2282,974,155,9563,361,780,948,1099,1390,1773,1694,610,105,8759,259,883,1356,1415,1752,2144,1550,487,82,9922,170,897,1862,1760,2352,2714,1472,364,49,11643,84,688,1614,1679,1953,2153,911,218,24,9324,55,492,1670,1770,2222,2112,734,177,30,9250,45,374,1462,1658,2030,1767,517,119,10,7993,39,699,3621,4186,4876,3725,929,143,18,18237,7,107,1125,1517,1555,1104,269,37,8,5732,19,82,960,1939,2259,1585,518,138,22,7519,1086,2230,7092,6866,6663,5225,2679,1055,184,33088,7,111,290,126,74,75,40,12,5,733,8998,9785,26105,28811,32959,33753,23823,8679,1662,174575
SOS57,0,5,4,3,4,3,6,0,0,20,0,0,3,0,7,3,7,5,0,28,0,0,7,4,3,5,5,0,0,31,0,3,11,9,4,8,16,4,0,44,4,13,22,15,16,17,8,3,0,92,0,10,22,13,18,12,16,0,0,99,0,12,27,21,25,16,16,0,0,119,3,10,19,25,29,16,3,0,0,105,0,17,78,141,116,79,9,0,0,449,0,0,26,84,65,33,6,0,0,211,0,0,76,185,196,102,13,0,0,578,8,45,221,433,403,220,56,8,0,1394,0,0,33,37,61,29,0,0,4,164,19,121,549,999,951,560,178,32,3,3410
SOS60,385,1019,1879,1218,1251,1795,3202,2537,1205,14500,403,1408,2925,1602,1324,1649,2399,1488,616,13812,205,1376,3206,1876,1424,1460,1863,1060,422,12899,152,1441,4293,2478,1903,1950,1578,763,281,14841,67,1252,4988,3161,2569,2473,1487,588,169,16755,18,682,3326,2490,2196,1850,901,282,80,11822,5,269,2396,2277,2190,1754,643,234,75,9850,10,87,1538,1772,1835,1228,385,107,23,6990,6,48,1700,2971,3058,2019,505,147,44,10489,3,10,201,471,577,412,119,49,10,1862,7,29,266,813,1079,793,310,118,43,3454,539,686,1869,1287,1026,951,1029,984,821,9193,6,69,169,51,34,56,44,14,7,456,10503,12586,34293,25494,23122,22581,19915,11761,4857,165114
SOS61,546,1040,1748,1504,1879,2554,5171,4126,2079,20646,616,1456,2499,1951,2013,2405,3179,2011,842,16977,346,1663,2964,2141,2116,2192,2050,1258,391,15122,204,1898,3975,2677,2666,2607,1486,619,221,16340,86,1330,4298,3161,3163,3049,1306,374,106,16886,26,684,2817,2372,2332,1942,612,199,40,11029,4,307,2075,2013,2017,1662,500,187,64,8832,6,120,1202,1460,1588,1236,280,56,4,5971,4,86,1209,1974,2220,1590,352,80,29,7548,0,13,147,283,358,280,88,22,10,1195,18,25,191,452,614,491,206,97,28,2132,802,832,1657,1267,1338,1368,1529,1482,991,11260,11,69,124,53,28,28,27,15,9,355,12214,12764,29152,24730,26388,28057,25916,16066,6191,181488
SOS62,60,100,173,187,255,471,882,537,213,2874,72,138,264,223,302,416,515,283,76,2292,46,149,291,276,304,386,395,180,31,2061,40,190,394,317,372,420,252,116,24,2122,12,137,430,429,446,496,251,85,9,2298,9,61,304,319,330,322,127,31,0,1504,0,26,229,281,311,280,91,28,8,1260,6,20,156,195,231,216,66,13,6,907,0,10,166,306,377,288,88,14,3,1253,0,0,26,49,64,53,24,3,0,224,0,3,19,62,104,103,38,16,3,338,115,90,214,190,244,323,345,291,167,1986,0,8,21,14,0,3,8,0,0,63,1401,1273,3179,3315,4026,5166,4781,2431,697,26264
SOS63,251,321,555,619,934,1525,2339,1189,319,8037,327,464,768,839,1075,1395,1418,597,127,7006,247,618,947,962,1139,1369,1089,421,65,6858,117,669,1163,1284,1388,1580,804,292,62,7362,52,534,1494,1468,1868,1863,822,205,30,8333,9,250,1021,1196,1308,1248,457,93,5,5593,8,127,810,1071,1236,1130,374,81,23,4856,8,47,498,809,899,806,228,33,9,3328,0,32,565,1086,1400,1064,259,49,10,4462,0,5,64,204,236,175,78,28,5,802,6,13,82,310,426,376,162,61,5,1436,457,316,774,804,949,1148,1018,495,151,6113,0,12,47,23,20,15,3,3,4,124,5864,4502,10426,12382,15396,18414,14315,5638,1154,88099
SOS67,0,0,0,0,0,0,4,0,0,10,0,0,0,0,3,0,4,0,0,15,0,4,0,0,0,0,7,0,0,9,0,0,3,3,4,3,0,0,0,14,0,0,5,3,4,4,4,0,0,15,0,0,19,14,17,8,0,0,0,56,0,0,8,11,10,9,0,0,0,36,0,0,7,4,9,3,0,0,0,26,0,0,15,18,23,22,5,0,0,82,0,0,5,8,3,3,0,0,0,19,0,0,3,9,11,5,0,0,0,26,0,0,4,3,9,12,3,0,0,36,0,0,3,4,0,0,0,0,0,13,5,15,69,78,90,77,33,3,0,374
SOS70,219,457,751,535,553,670,1196,644,196,5222,292,621,1196,726,570,645,994,418,83,5551,212,761,1481,930,626,649,703,283,61,5711,216,1030,2401,1421,1050,954,812,242,33,8169,165,1258,3421,2175,1580,1339,743,204,20,10901,77,1057,2989,2000,1434,1090,501,98,8,9250,29,486,2741,2133,1583,1157,405,94,14,8638,9,198,1846,1729,1390,953,308,54,4,6488,6,145,2332,3383,2955,1964,491,82,8,11368,0,14,304,643,619,475,146,15,0,2216,9,22,298,858,992,752,272,52,14,3259,712,1158,3207,2411,1990,1748,1284,449,141,13099,99,1217,675,199,84,144,77,24,6,2519,6828,9975,26196,21165,17025,14864,10705,3789,809,111361
SOS71,89,132,314,323,301,347,433,209,61,2206,80,129,354,314,234,277,307,109,33,1849,89,195,354,301,196,235,210,76,19,1675,108,300,703,435,342,319,224,68,25,2513,49,295,1085,643,525,527,234,40,3,3411,20,221,932,652,507,442,157,20,0,2955,8,135,891,650,507,429,148,10,0,2780,8,54,614,506,457,361,113,8,0,2122,3,46,714,909,833,685,170,16,0,3381,0,3,112,184,160,135,42,4,0,650,0,3,91,227,241,242,68,10,0,879,499,370,1122,914,780,786,516,137,29,5142,4,16,60,19,9,44,12,8,0,169,3349,3274,9704,7963,6509,6056,3621,1060,242,41773
SOS72,43,84,209,194,216,229,261,82,12,1324,44,108,249,220,192,181,185,39,0,1222,36,97,194,172,159,139,116,26,3,938,25,78,204,140,136,163,96,17,3,857,17,64,219,156,183,218,109,9,0,986,8,62,201,146,151,147,90,12,0,808,3,29,166,143,142,179,58,8,0,730,0,16,104,111,111,121,47,4,0,518,0,11,188,279,274,275,91,8,0,1126,0,0,30,55,70,66,28,0,0,250,0,0,22,58,63,87,32,5,0,259,293,210,477,349,363,443,315,75,7,2537,0,3,42,4,3,11,9,0,0,75,1958,2093,4611,3629,3331,3211,2149,469,59,21506
SOS73,82,83,143,184,211,338,732,236,35,2043,111,129,217,191,227,384,517,151,16,1942,120,184,280,220,216,349,394,84,11,1859,114,283,424,259,335,402,322,76,4,2226,73,290,564,398,485,595,337,55,3,2804,20,206,493,410,466,435,240,40,0,2312,9,96,526,460,522,457,158,38,0,2264,3,54,354,377,439,347,115,14,0,1700,5,54,527,787,900,648,158,12,0,3095,0,12,108,144,188,139,49,12,0,650,0,8,91,215,255,181,99,14,0,861,433,612,1517,1327,1349,1256,968,238,23,7727,8,86,141,44,15,22,14,0,0,343,2392,2781,6564,6046,6569,7082,5758,1379,145,38714
SOS77,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,5,0,0,10,0,0,0,4,3,0,4,0,0,12,6,4,6,0,0,0,5,0,0,20,0,7,5,4,10,4,0,0,0,29,0,7,0,0,4,3,0,0,0,14,0,0,7,3,8,4,6,0,0,21,0,0,6,6,4,5,0,0,0,22,0,3,4,15,22,22,0,0,0,75,0,0,0,6,8,11,0,0,0,23,0,0,9,27,26,18,5,0,0,83,4,7,18,43,40,32,11,3,0,159,0,0,9,0,0,0,0,0,0,17,11,27,65,112,124,106,40,10,0,494
SOS80,981,2491,2264,1503,1393,1803,3396,2709,1323,17872,1117,3312,3693,2120,1568,1922,2759,1941,772,19201,834,3289,4353,2363,1772,2037,2754,1743,610,19754,730,3930,6609,3787,2731,2762,3059,1729,597,25933,343,4188,9472,5649,4055,3847,3315,1562,467,32903,129,3510,9697,5821,3951,3520,2624,1068,337,30664,54,1847,10151,7011,5148,3917,2269,876,233,31504,16,568,6968,6901,5176,3524,1548,488,136,25324,19,431,10571,16733,14010,7750,2190,608,170,52488,9,54,1283,3352,3172,1850,544,131,45,10433,16,55,1378,5576,6353,3852,995,272,94,18595,1339,2145,3968,2840,2039,1570,1451,1218,1053,17628,45,92,179,177,139,179,153,49,7,1016,26420,34485,77611,69193,56022,44784,34910,19045,7199,369675
SOS82,0,0,3,0,0,5,0,6,0,16,4,0,0,0,3,0,8,0,0,20,3,0,0,3,3,0,5,0,0,13,0,6,3,0,9,3,8,0,0,32,0,4,10,3,12,8,8,0,0,48,0,0,5,11,11,4,7,0,0,37,0,0,5,10,7,10,0,0,0,40,0,0,7,12,11,5,0,0,0,32,0,0,9,28,25,11,0,0,0,78,0,0,3,3,4,4,0,0,0,14,0,0,0,11,14,7,0,0,0,34,5,7,0,3,3,5,10,6,0,33,0,0,0,0,0,0,0,0,0,0,47,24,54,94,99,69,62,33,6,479
SOS83,0,7,4,0,3,4,4,0,0,20,0,4,3,3,0,4,5,0,0,19,3,6,8,0,3,4,0,0,0,26,3,12,17,7,5,4,8,0,3,61,6,26,29,6,4,9,10,0,0,87,4,11,22,5,8,3,0,0,0,50,0,3,14,7,14,4,0,3,0,44,0,0,8,6,6,0,0,0,0,24,0,0,7,10,10,5,0,0,0,32,0,0,0,5,3,3,6,0,0,12,0,0,0,8,0,8,3,0,0,23,9,19,20,4,11,11,8,0,0,95,0,0,0,0,0,0,0,0,0,0,51,87,134,61,71,74,58,9,7,553
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,0,0,0,4,8,4,10,8,0,39,6,3,9,5,4,7,8,0,0,41,0,3,6,10,4,5,5,4,0,47,3,10,9,10,10,11,5,0,0,58,0,10,33,18,22,14,17,0,0,106,0,4,25,12,17,13,12,0,0,87,0,3,26,32,21,19,11,0,0,113,0,6,23,26,19,14,8,0,0,94,0,3,19,40,42,25,20,0,0,156,0,0,8,3,9,9,4,0,0,38,0,0,0,5,7,7,6,0,0,28,12,23,91,67,72,53,33,3,0,360,0,0,0,0,0,0,0,0,0,6,59,67,264,240,258,227,175,36,4,1332
SOS92,7,12,5,16,7,26,48,31,19,178,11,10,12,26,21,44,41,16,0,188,11,16,31,28,26,48,35,12,3,210,10,31,38,35,62,61,27,10,4,278,13,30,55,39,45,52,15,6,0,245,0,7,26,28,23,39,19,0,0,143,0,10,22,14,21,31,10,5,0,108,0,0,14,14,21,21,11,0,0,82,0,4,19,30,30,41,15,0,0,143,0,0,3,4,4,13,5,0,0,23,0,0,0,7,12,10,7,7,0,36,17,19,43,49,51,82,50,36,5,346,0,5,4,0,0,0,0,0,0,16,134,158,294,322,347,547,377,187,48,2404
SOS93,0,0,0,0,16,6,20,16,0,62,0,3,9,0,9,11,6,9,0,49,3,4,4,7,9,7,10,3,0,48,0,5,9,9,3,13,6,0,0,42,0,3,9,8,12,11,6,0,0,56,0,0,4,4,5,5,0,4,0,26,0,0,12,14,14,7,10,0,0,46,0,0,4,5,8,8,3,0,0,31,0,0,4,12,10,6,0,0,0,35,0,0,0,0,3,0,3,0,0,10,0,0,0,4,0,0,0,3,0,10,9,29,123,65,53,29,17,14,0,340,0,0,0,0,0,0,0,0,0,5,37,58,188,130,165,120,120,69,10,893
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
