SOS_CODE_2021,F_Inad_desc_Ns_15_19,F_Inad_desc_Ns_20_24,F_Inad_desc_Ns_25_34,F_Inad_desc_Ns_35_44,F_Inad_desc_Ns_45_54,F_Inad_desc_Ns_55_64,F_Inad_desc_Ns_65_74,F_Inad_desc_Ns_75_84,F_Inad_desc_Ns_85_yr_over,F_Inad_desc_Ns_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Agr_fstry_fsh_15_19,P_Agr_fstry_fsh_20_24,P_Agr_fstry_fsh_25_34,P_Agr_fstry_fsh_35_44,P_Agr_fstry_fsh_45_54,P_Agr_fstry_fsh_55_64,P_Agr_fstry_fsh_65_74,P_Agr_fstry_fsh_75_84,P_Agr_fstry_fsh_85_yr_over,P_Agr_fstry_fsh_Tot,P_Min_15_19_yr,P_Min_20_24_yr,P_Min_25_34_yr,P_Min_35_44_yr,P_Min_45_54_yr,P_Min_55_64_yr,P_Min_65_74_yr,P_Min_75_84_yr,P_Min_85_yr_over,P_Min_Tot,P_Manf_15_19_yr,P_Manf_20_24_yr,P_Manf_25_34_yr,P_Manf_35_44_yr,P_Manf_45_54_yr,P_Manf_55_64_yr,P_Manf_65_74_yr,P_Manf_75_84_yr,P_Manf_85_yr_over,P_Manf_Tot,P_Elec_gas_wtr_wst_sv_15_19,P_Elec_gas_wtr_wst_sv_20_24,P_Elec_gas_wtr_wst_sv_25_34,P_Elec_gas_wtr_wst_sv_35_44,P_Elec_gas_wtr_wst_sv_45_54,P_Elec_gas_wtr_wst_sv_55_64,P_Elec_gas_wtr_wst_sv_65_74,P_Elec_gas_wtr_wst_sv_75_84,P_Elec_gas_wtr_wst_sv_85_ov,P_Elec_gas_wtr_wst_sv_Tot,P_Con_15_19_yr,P_Con_20_24_yr,P_Con_25_34_yr,P_Con_35_44_yr,P_Con_45_54_yr,P_Con_55_64_yr,P_Con_65_74_yr,P_Con_75_84_yr,P_Con_85_yr_over,P_Con_Tot,P_Whl_trd_15_19_yr,P_Whl_trd_20_24_yr,P_Whl_trd_25_34_yr,P_Whl_trd_35_44_yr,P_Whl_trd_45_54_yr,P_Whl_trd_55_64_yr,P_Whl_trd_65_74_yr,P_Whl_trd_75_84_yr,P_Whl_trd_85_yr_over,P_Whl_trd_Tot,P_Re_trd_15_19_yr,P_Re_trd_20_24_yr,P_Re_trd_25_34_yr,P_Re_trd_35_44_yr,P_Re_trd_45_54_yr,P_Re_trd_55_64_yr,P_Re_trd_65_74_yr,P_Re_trd_75_84_yr,P_Re_trd_85_yr_over,P_Re_trd_Tot,P_Acc_food_svc_15_19,P_Acc_food_svc_20_24,P_Acc_food_svc_25_34,P_Acc_food_svc_35_44,P_Acc_food_svc_45_54,P_Acc_food_svc_55_64,P_Acc_food_svc_65_74,P_Acc_food_svc_75_84,P_Acc_food_svc_85_yr_over,P_Acc_food_svc_Tot,P_Trp_pos_wh_15_19,P_Trp_pos_wh_20_24,P_Trp_pos_wh_25_34,P_Trp_pos_wh_35_44,P_Trp_pos_wh_45_54,P_Trp_pos_wh_55_64,P_Trp_pos_wh_65_74,P_Trp_pos_wh_75_84,P_Trp_pos_wh_85_yr_over,P_Trp_pos_wh_Tot,P_In_med_tcom_15_19,P_In_med_tcom_20_24,P_In_med_tcom_25_34,P_In_med_tcom_35_44,P_In_med_tcom_45_54,P_In_med_tcom_55_64,P_In_med_tcom_65_74,P_In_med_tcom_75_84,P_In_med_tcom_85_yr_over,P_In_med_tcom_Tot,P_Fin_in_svc_15_19,P_Fin_in_svc_20_24,P_Fin_in_svc_25_34,P_Fin_in_svc_35_44,P_Fin_in_svc_45_54,P_Fin_in_svc_55_64,P_Fin_in_svc_65_74,P_Fin_in_svc_75_84,P_Fin_in_svc_85_yr_over,P_Fin_in_svc_Tot,P_Rnt_hrg_rea_est_serv_15_19,P_Rnt_hrg_rea_est_serv_20_24,P_Rnt_hrg_rea_est_serv_25_34,P_Rnt_hrg_rea_est_serv_35_44,P_Rnt_hrg_rea_est_serv_45_54,P_Rnt_hrg_rea_est_serv_55_64,P_Rnt_hrg_rea_est_serv_65_74,P_Rnt_hrg_rea_est_serv_75_84,P_Rnt_hrg_rea_est_serv_85_ov,P_Rnt_hrg_rea_est_serv_Tot,P_Prof_sc_tech_serv_15_19,P_Prof_sc_tech_serv_20_24,P_Prof_sc_tech_serv_25_34,P_Prof_sc_tech_serv_35_44,P_Prof_sc_tech_serv_45_54,P_Prof_sc_tech_serv_55_64,P_Prof_sc_tech_serv_65_74,P_Prof_sc_tech_serv_75_84,P_Prof_sc_tech_serv_85_over,P_Prof_sc_tech_serv_Tot,P_Adm_sup_serv_15_19,P_Adm_sup_serv_20_24,P_Adm_sup_serv_25_34,P_Adm_sup_serv_35_44,P_Adm_sup_serv_45_54,P_Adm_sup_serv_55_64,P_Adm_sup_serv_65_74,P_Adm_sup_serv_75_84,P_Adm_sup_serv_85_over,P_Adm_sup_serv_Tot,P_PubAd_saf_15_19,P_PubAd_saf_20_24,P_PubAd_saf_25_34,P_PubAd_saf_35_44,P_PubAd_saf_45_54,P_PubAd_saf_55_64,P_PubAd_saf_65_74,P_PubAd_saf_75_84,P_PubAd_saf_85_yr_over,P_PubAd_saf_Tot,P_Ed_trng_15_19,P_Ed_trng_20_24,P_Ed_trng_25_34,P_Ed_trng_35_44,P_Ed_trng_45_54,P_Ed_trng_55_64,P_Ed_trng_65_74,P_Ed_trng_75_84,P_Ed_trng_85_yr_over,P_Ed_trng_Tot,P_Hlth_cre_socia_assist_15_19,P_Hlth_cre_socia_assist_20_24,P_Hlth_cre_socia_assist_25_34,P_Hlth_cre_socia_assist_35_44,P_Hlth_cre_socia_assist_45_54,P_Hlth_cre_socia_assist_55_64,P_Hlth_cre_socia_assist_65_74,P_Hlth_cre_socia_assist_75_84,P_Hlth_cre_socia_assist_85_ov,P_Hlth_cre_socia_assist_Tot,P_Arts_rec_svc_15_19,P_Arts_rec_svc_20_24,P_Arts_rec_svc_25_34,P_Arts_rec_svc_35_44,P_Arts_rec_svc_45_54,P_Arts_rec_svc_55_64,P_Arts_rec_svc_65_74,P_Arts_rec_svc_75_84,P_Arts_rec_svc_85_yr_over,P_Arts_rec_svc_Tot
SOS10,1651,4971,14416,12812,9683,6020,1755,407,111,51831,57887,123002,319226,302220,261034,176851,43211,4237,335,1288012,268,675,1721,1631,1728,1428,570,192,23,8236,65,365,2321,3030,2384,1616,294,46,4,10119,3567,8652,27763,33073,34803,28218,6370,649,43,143139,174,989,4678,6458,5848,3743,765,63,7,22723,9739,22974,59040,50259,40213,26239,6288,619,39,215401,1076,4520,16766,21730,20035,13921,3440,463,41,81998,26706,39558,54520,44295,36395,26836,7112,902,63,236392,38110,27911,33221,22392,16075,11811,2861,338,30,152741,1963,8206,26967,30942,30814,25545,6281,542,14,131285,884,3872,16083,18463,13004,6495,1331,165,20,60320,679,10771,46696,57218,38794,17969,3900,533,85,176638,842,3819,11920,12715,10293,6690,2514,599,108,49503,2143,21407,81326,78193,52058,30900,11369,1854,114,279363,1591,7470,21341,19862,17615,13205,3762,452,23,85311,1239,8697,34388,40252,37261,25207,5479,377,20,152916,6998,18308,51952,52101,50698,37539,10790,944,39,229364,6028,33404,93747,82892,76960,62634,17718,1833,75,375283,3013,5115,9983,8203,6234,4123,1426,225,19,38358
SOS11,729,993,2117,2016,1878,1494,590,227,62,10115,22823,29203,70425,68523,70491,58981,14919,1492,128,336983,621,1461,3570,3132,2962,2970,1660,585,78,17036,197,1141,4747,4741,3920,2414,289,25,3,17476,2058,3614,9464,8765,8538,7089,1607,187,10,41335,109,416,1694,2106,2256,1976,289,11,0,8856,4077,7527,15918,12886,11114,9216,2567,250,17,63572,502,1012,2754,2912,3158,2735,727,125,5,13934,11498,8499,13277,11327,11368,10139,3066,369,25,69568,15235,7989,10236,7660,6776,5966,1801,213,22,55890,445,1183,3883,4551,5934,6380,2460,341,23,25188,274,468,1122,1168,1077,875,286,59,4,5336,112,680,2467,2733,2723,1999,521,88,11,11332,234,642,1757,1692,1830,1470,712,158,17,8508,510,1833,6544,6860,6322,4938,2368,332,16,29729,588,1709,4622,4857,5314,4881,1327,120,5,23434,654,2499,9821,11795,12806,9202,1797,106,9,48688,1218,3744,12200,14473,15301,12354,3413,249,5,62955,2219,8579,25279,23216,24611,23825,5801,383,13,113923,913,890,1606,1476,1453,1210,463,105,5,8125
SOS12,81,81,183,208,238,196,95,18,3,1104,2019,2219,5161,6190,7424,6552,1659,166,16,31405,107,182,453,461,485,553,280,104,13,2645,9,69,248,334,311,200,41,3,0,1212,197,237,558,655,908,734,165,20,0,3478,11,32,148,219,240,210,39,3,0,899,429,687,1472,1470,1445,1201,336,16,0,7055,40,84,215,254,326,277,85,13,0,1286,929,600,854,903,1080,1081,296,28,3,5779,1314,660,821,686,750,708,218,34,0,5191,49,121,320,433,713,819,291,45,0,2783,18,27,70,107,115,101,27,12,0,476,17,56,182,279,294,219,47,12,0,1104,23,69,111,153,158,199,47,14,0,758,55,139,553,632,689,619,265,47,0,3000,55,114,353,429,557,510,144,12,0,2180,52,163,745,1070,1317,1043,203,16,0,4617,111,315,947,1367,1630,1410,381,31,0,6195,179,570,1432,1757,2259,2433,617,39,3,9292,94,85,172,154,185,182,71,16,0,950
SOS13,413,377,700,857,1200,938,465,192,28,5161,8536,8798,17969,23668,31794,27627,9273,1754,185,129601,1395,2035,5172,6334,8619,10838,8496,3158,483,46540,100,298,1152,1709,1709,1056,183,13,0,6227,860,1026,1942,2348,3380,2951,907,140,13,13563,58,125,402,660,939,771,123,13,0,3091,2125,2910,5054,5724,6489,5351,1558,127,4,29343,329,413,796,1114,1516,1399,444,105,7,6128,3751,2069,2482,2609,3835,3584,1074,153,12,19571,4304,1677,1534,1471,1876,1847,619,89,9,13437,247,424,1082,1606,2721,2828,1024,141,6,10077,83,138,249,320,455,414,120,13,0,1806,43,235,617,945,1214,845,265,50,4,4209,139,259,479,706,983,736,365,94,0,3775,262,852,2012,2715,3485,2947,1342,188,14,13814,211,454,1018,1250,1768,1673,467,53,0,6903,596,1117,2301,3483,4965,3610,724,43,0,16842,580,1133,2986,4923,6470,5464,1562,123,3,23242,730,1906,4216,5271,7780,8038,2189,172,4,30314,421,398,568,600,750,695,273,52,7,3761
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,4,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS20,1480,4313,12417,10834,8695,5480,1557,368,102,45238,55861,115928,301302,275128,237488,157104,37301,3444,253,1183812,376,1055,2953,2885,2871,2101,840,285,20,13395,35,191,1046,1336,1264,809,194,28,3,4903,4444,10414,33754,39529,41764,31509,6968,698,48,169127,165,1125,6148,8189,5802,3565,661,46,8,25699,7331,23915,63569,51788,40792,25975,6127,642,37,220178,1053,4465,14618,18112,18261,12584,3133,393,42,72671,28162,43304,53753,40633,35594,24795,6798,769,35,233850,39289,31131,34739,20988,14640,9975,2393,266,21,153431,1299,8112,27668,28348,24314,19668,5113,402,10,114938,1024,3288,11380,13203,9113,4627,1003,124,4,43761,360,6332,30894,37888,24882,11721,2719,370,56,115216,467,2768,10333,9639,7854,5116,1897,422,46,38535,1189,15004,69727,67067,44979,25691,9135,1494,74,234355,1389,7288,21333,17768,16224,11671,3502,419,20,79604,1006,7459,31923,35281,31348,21777,5143,564,29,134530,4875,15076,52284,52862,47990,35045,9148,788,36,218105,3580,27650,92015,79817,70787,54430,14819,1261,62,344420,4423,6471,11491,9065,6853,4083,1400,227,17,44011
SOS21,392,582,1415,1356,1289,995,365,126,49,6572,13340,17812,46179,45783,45828,37135,9046,783,81,215991,511,1104,3140,2527,2423,2153,1132,414,65,13455,19,107,414,493,521,400,79,11,0,2030,1492,2568,7100,7402,7760,6357,1389,104,8,34183,50,273,1392,1625,1682,1485,244,14,0,6763,2581,5664,13438,10426,8570,6372,1548,111,11,48728,301,653,1982,2323,2539,2114,539,62,3,10513,7280,5728,8139,7189,7618,6578,1820,184,12,44543,8867,4331,4991,3902,3432,2825,908,95,4,29358,255,963,4030,4689,4950,4987,1570,163,8,21609,150,340,881,939,824,594,155,35,0,3915,62,442,1914,2504,2201,1335,330,49,3,8841,79,416,1075,1097,1131,821,355,77,4,5064,228,1138,4390,5059,4098,3053,1458,217,10,19652,317,925,2637,2965,2975,2574,770,113,10,13287,303,1279,5969,7081,7310,5735,1314,94,9,29088,713,2107,8326,9552,9003,7089,1888,126,4,38795,877,4750,15865,14676,15340,14249,3456,211,4,69423,629,629,1211,1242,1143,851,328,49,4,6078
SOS22,48,55,114,119,157,120,53,19,7,696,1272,1570,3654,4056,4807,4441,1094,100,5,21009,80,170,427,411,459,489,283,91,12,2426,5,19,64,65,61,55,19,5,0,286,129,195,495,578,714,633,164,11,0,2916,3,24,91,159,179,154,25,0,0,639,228,474,1039,1044,977,853,194,15,0,4826,48,62,141,171,230,240,83,9,0,975,554,382,568,607,702,689,214,26,0,3738,791,547,708,412,450,505,141,15,0,3569,77,227,340,322,493,578,187,18,0,2248,5,17,51,67,78,71,31,0,0,316,6,28,145,187,233,141,35,6,0,784,13,47,75,97,122,92,45,5,0,499,20,98,347,440,499,411,208,24,0,2044,43,78,228,244,300,331,108,6,0,1340,8,68,392,614,770,655,145,4,0,2654,65,174,674,915,965,873,250,7,0,3920,92,292,1003,1132,1418,1597,364,17,0,5913,60,75,142,167,159,161,58,7,0,839
SOS23,283,252,512,614,881,734,358,165,28,3827,6262,6559,13736,17711,24007,21760,7198,1286,132,98636,1168,1704,4277,5182,6771,8576,6746,2511,357,37295,23,86,226,433,407,324,88,3,0,1597,834,875,1808,2436,3684,3333,971,145,7,14095,27,89,382,598,778,732,145,11,0,2762,1404,2271,4019,4688,5376,4245,1148,104,8,23264,223,282,627,909,1270,1245,377,63,4,5002,2888,1747,1707,1956,2901,2660,779,95,14,14756,3282,1224,1026,961,1330,1305,469,63,4,9662,129,295,831,1297,2153,2433,827,86,9,8068,50,86,200,274,385,302,87,17,0,1396,21,133,436,733,855,654,210,36,7,3081,57,128,282,362,491,447,182,40,5,1997,160,512,1315,2067,2505,2110,951,123,11,9755,152,306,645,875,1249,1202,353,45,0,4826,280,747,1672,2408,3178,2651,603,45,0,11579,338,716,2159,3249,4219,3678,1073,68,0,15506,384,1420,3605,4347,6344,6680,1730,98,3,24621,338,346,540,566,732,688,235,31,0,3482
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,7,5,7,5,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,7,0,0,0,40,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,3,3,4,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,4,7,26,20,27,5,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
