SOS_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_ns,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_yr_arr_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arr_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,USA_2016,USA_2017,USA_2018,USA_2019,USA_2020,USA_2021,USA_Yr_arrival_ns,USA_Tot,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arr_ns,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_ns,Tot_Tot
SOS50,9,5,50,399,2049,1762,8969,10134,1711,1240,1163,1468,522,163,479,30116,193,86,165,363,2173,646,553,497,63,61,67,56,29,10,100,5059,67,138,433,1436,2327,2280,4527,1763,349,380,373,404,308,56,236,15076,19,82,408,1537,3435,4888,15642,6520,867,703,831,926,497,269,408,37031,46,73,179,370,824,807,2346,1985,258,252,286,671,302,24,107,8528,0,0,3,22,236,355,662,1155,150,151,210,284,55,15,68,3361,4,4,34,188,724,816,2685,1719,422,337,355,366,199,65,239,8156,2092,6214,33707,26709,28057,18098,42287,21958,2074,1696,1691,1823,1053,395,3759,191611,31,82,420,759,939,1047,1921,1358,278,274,302,395,320,139,207,8467,5,0,22,1623,4583,2704,2791,2115,499,511,435,578,302,76,635,16876,829,1333,6489,7209,10930,13922,31621,17967,3987,3763,4186,5470,2305,534,2154,112691,6177,19325,56694,56785,87317,76215,190989,124983,20026,18148,20172,25097,11657,3349,14525,731454
SOS51,0,0,7,59,265,251,1592,1790,377,263,326,387,129,35,108,5594,34,13,20,32,113,32,40,33,7,3,7,0,0,0,8,352,5,15,38,80,81,67,140,42,11,6,13,14,9,0,21,557,5,13,70,183,303,470,2308,1019,90,133,121,192,112,41,61,5112,6,5,8,5,28,32,128,111,28,22,24,38,15,9,6,472,0,0,0,7,3,5,64,155,20,23,63,102,27,0,10,470,0,0,7,20,61,120,431,317,111,71,75,89,43,17,57,1388,492,1326,6261,4159,3283,1925,4121,2061,212,139,171,237,129,30,867,25411,4,9,87,175,125,123,225,143,27,32,42,65,33,19,20,1112,0,0,0,35,65,83,128,153,35,30,27,42,24,7,39,667,126,204,643,614,797,690,2506,1499,302,320,363,542,315,214,332,9458,1187,3052,8583,7433,8242,6433,18085,12249,1862,1730,1997,2721,1287,600,2503,77967
SOS52,0,0,0,9,30,31,132,204,48,43,52,56,29,3,18,651,4,0,5,0,18,4,0,6,0,0,0,0,0,0,3,38,0,0,7,12,11,3,9,3,0,0,0,3,0,0,0,49,0,0,10,11,37,57,189,73,16,8,4,10,15,8,17,458,3,0,8,0,4,4,4,4,0,0,3,3,0,0,0,30,0,0,0,0,0,0,4,9,0,0,20,25,7,0,0,66,0,0,0,0,5,11,37,26,3,12,9,10,0,0,6,123,90,264,1149,710,461,286,500,252,18,18,30,44,18,4,184,4034,0,4,16,17,21,16,29,18,7,0,4,5,0,0,6,154,0,0,0,0,7,8,12,15,3,6,4,0,5,0,0,65,16,33,143,100,103,86,209,114,30,27,34,91,26,59,42,1122,181,544,1583,1227,1227,898,1731,1166,222,175,244,334,151,105,446,10218
SOS53,0,0,5,9,82,73,325,360,47,33,42,61,26,11,55,1129,9,9,10,10,90,15,17,10,0,0,5,0,0,0,5,174,3,7,25,42,61,40,65,19,3,7,0,8,0,0,5,284,0,10,28,94,226,312,962,315,41,42,42,65,23,13,56,2226,0,7,10,7,19,15,25,9,0,0,0,9,0,0,26,136,0,0,0,0,3,9,11,23,3,5,13,23,9,0,8,113,0,0,3,18,23,39,91,67,12,12,15,24,15,0,17,331,187,676,3559,2498,2023,1392,2483,856,76,60,89,154,48,16,599,14727,3,10,58,101,82,73,136,93,10,6,13,22,18,0,18,634,0,0,4,25,132,58,47,50,3,12,6,7,4,3,97,455,37,127,504,425,579,511,1092,453,71,76,132,301,102,93,333,4826,455,1641,5101,4445,5256,4055,7765,3808,455,443,636,1095,390,218,1989,37753
SOS57,0,0,0,0,0,7,14,10,0,7,3,0,0,0,14,60,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,5,9,0,0,0,0,0,5,0,0,22,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,7,0,0,24,33,37,32,66,36,5,4,7,5,0,0,3,255,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,11,8,16,15,27,12,4,0,0,0,3,0,0,94,0,4,37,59,82,108,208,115,17,6,18,14,10,3,28,717
SOS60,0,0,8,22,134,84,213,214,77,67,86,62,49,3,29,1054,23,32,32,29,90,38,27,21,0,0,0,5,0,0,9,314,7,5,15,17,23,23,65,57,18,26,26,19,12,0,5,307,3,14,41,95,98,124,264,91,29,22,32,49,23,22,6,901,0,0,6,9,30,18,92,302,113,76,66,49,21,0,11,792,0,0,0,0,8,16,40,182,25,28,32,21,3,0,6,363,0,0,0,8,21,35,161,99,30,23,11,16,12,4,6,427,272,892,1964,1296,738,452,810,412,71,50,66,72,35,22,255,7392,0,9,48,99,84,126,209,130,24,23,32,42,23,5,21,876,0,0,3,23,18,24,104,348,86,90,77,107,46,4,37,985,97,194,274,342,368,406,988,955,340,331,334,284,116,21,103,5169,619,2042,3240,2686,2600,2240,6019,8767,3035,2876,2669,2366,842,172,952,41122
SOS61,0,0,3,25,146,148,185,195,66,41,76,53,16,5,43,1010,13,7,20,12,56,22,26,8,0,3,3,0,0,0,5,168,4,9,15,8,16,13,26,33,12,12,9,9,6,0,0,163,0,12,30,50,85,79,211,47,12,15,38,20,10,11,14,632,0,0,0,5,21,5,52,107,67,67,62,50,19,7,7,467,0,0,0,0,0,7,29,81,8,35,29,32,3,0,3,233,0,0,0,8,26,30,90,56,21,14,15,15,0,0,10,292,281,1148,2652,1615,857,363,612,228,34,38,41,47,34,3,294,8233,3,9,33,82,51,70,144,93,15,14,22,18,10,0,6,560,0,0,0,9,16,5,38,110,40,14,26,40,16,0,11,335,67,177,316,260,265,216,666,598,191,198,196,260,136,51,122,3713,526,2251,3744,2798,2403,1620,3573,3867,1357,1451,1400,1362,523,142,825,27849
SOS62,0,0,0,5,17,11,26,19,6,7,3,9,0,0,8,106,0,0,0,3,10,0,5,0,0,0,0,0,0,0,0,20,0,4,3,6,0,9,3,4,0,0,7,0,0,0,0,36,0,3,9,15,22,20,31,18,7,0,4,13,0,0,3,141,0,0,4,0,0,0,4,8,0,10,6,0,0,0,0,29,0,0,0,0,0,0,0,11,0,0,3,0,0,0,3,19,0,0,0,0,0,6,14,8,3,0,0,0,0,0,7,34,48,206,475,307,190,93,152,49,10,4,8,5,0,3,74,1630,0,3,9,16,14,9,37,13,8,3,0,0,6,0,3,126,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,15,8,26,67,57,56,39,65,38,17,8,5,27,4,0,8,436,91,359,697,564,490,302,473,285,110,82,72,78,27,6,159,3795
SOS63,0,0,3,13,32,30,63,60,19,9,15,14,5,0,17,272,0,3,4,4,35,13,4,9,0,0,0,3,0,0,0,84,0,3,11,9,7,16,17,9,0,0,5,3,0,0,0,82,0,5,16,35,57,78,136,43,10,7,15,4,8,0,3,424,0,0,3,4,10,9,5,15,6,3,6,0,0,3,0,73,0,0,0,0,0,4,10,18,0,4,10,4,0,0,5,59,0,0,0,6,0,10,31,16,8,6,6,7,10,0,10,107,100,478,1452,1010,669,381,597,162,32,28,26,33,11,10,215,5197,0,3,40,77,74,57,111,52,9,10,10,13,12,0,10,493,0,0,0,3,0,0,11,22,8,0,0,7,0,0,9,68,20,84,207,204,196,129,213,104,32,23,45,63,26,8,36,1395,222,902,2140,1873,1737,1184,1800,932,229,227,237,275,126,31,437,12345
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,9,6,5,5,3,0,0,0,0,0,0,8,42
SOS70,0,6,5,109,478,300,1479,1416,307,280,248,280,78,21,92,5109,9,0,4,8,34,8,15,9,7,11,0,0,0,0,0,106,0,5,23,52,36,31,40,20,5,22,15,19,11,0,10,287,0,6,9,26,31,52,217,103,44,25,35,69,16,3,9,645,0,0,12,36,68,49,138,234,130,116,126,108,31,3,19,1072,0,0,0,6,9,12,81,178,41,32,22,20,0,0,9,410,0,0,6,40,81,98,260,151,42,28,27,41,14,5,28,816,47,261,897,639,459,352,747,570,90,71,86,148,72,53,110,4609,3,0,15,47,31,51,74,83,9,18,30,15,15,3,10,416,0,0,0,43,132,86,145,219,84,76,68,80,49,7,33,1020,19,80,283,745,730,556,1210,982,314,222,237,393,130,29,169,6105,146,713,2005,2728,3300,2715,7769,7954,2235,2209,2110,2351,856,272,948,38316
SOS71,0,0,0,9,86,83,207,219,65,40,57,79,29,10,37,919,0,0,4,0,8,5,13,8,3,0,0,0,0,0,0,35,0,0,0,5,4,5,3,0,0,0,3,0,0,0,0,22,0,0,4,7,21,21,100,57,4,8,11,8,10,4,13,256,0,0,3,3,6,8,28,61,19,20,22,9,4,3,0,179,0,0,0,0,0,10,18,39,6,3,6,0,0,0,0,79,0,0,0,3,12,7,47,22,10,0,8,6,9,0,4,118,11,73,259,207,118,101,150,106,15,18,27,14,14,7,35,1158,0,0,4,24,20,41,42,90,31,46,65,125,108,102,15,705,0,0,0,9,8,11,13,28,4,11,14,19,4,0,4,119,8,21,70,76,111,141,554,269,96,72,60,66,39,24,42,1646,28,193,450,549,667,724,2076,1794,534,476,576,674,320,205,271,9534
SOS72,0,0,0,0,9,5,11,29,4,8,8,20,10,0,4,109,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,7,4,6,17,10,0,6,3,0,0,0,0,50,0,0,0,0,0,4,0,7,4,5,5,4,0,0,0,35,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,0,0,0,0,3,6,5,9,0,0,0,3,4,0,0,37,7,32,107,68,55,37,47,26,7,5,10,22,10,0,19,452,0,0,0,4,3,3,7,4,0,0,0,0,0,0,3,28,0,0,0,0,0,0,0,7,4,3,0,0,0,0,0,18,7,14,22,34,32,41,70,34,16,10,21,18,16,0,17,350,12,89,181,195,188,173,293,236,87,61,78,114,71,15,72,1861
