SOS_CODE_2021,Uses_Eng_on_M,Uses_Eng_on_F,Uses_Eng_on_P,Uses_othr_lang_Afrikaans_M,Uses_othr_lang_Afrikaans_F,Uses_othr_lang_Afrikaans_P,Uses_othr_lang_Arabic_M,Uses_othr_lang_Arabic_F,Uses_othr_lang_Arabic_P,Uses_othr_lang_Aus_Ind_lang_M,Uses_othr_lang_Aus_Ind_lang_F,Uses_othr_lang_Aus_Ind_lang_P,Uses_othr_lan_Chin_lan_Cant_M,Uses_othr_lan_Chin_lan_Cant_F,Uses_othr_lan_Chin_lan_Cant_P,Uses_othr_lan_Chin_lan_Mand_M,Uses_othr_lan_Chin_lan_Mand_F,Uses_othr_lan_Chin_lan_Mand_P,Uses_othr_lan_Chin_lan_othr_M,Uses_othr_lan_Chin_lan_othr_F,Uses_othr_lan_Chin_lan_othr_P,Uses_othr_lan_Chin_lan_Tot_M,Uses_othr_lan_Chin_lan_Tot_F,Uses_othr_lan_Chin_lan_Tot_P,Uses_othr_lang_Croatian_M,Uses_othr_lang_Croatian_F,Uses_othr_lang_Croatian_P,Uses_othr_lang_French_M,Uses_othr_lang_French_F,Uses_othr_lang_French_P,Uses_othr_lang_German_M,Uses_othr_lang_German_F,Uses_othr_lang_German_P,Uses_othr_lang_Greek_M,Uses_othr_lang_Greek_F,Uses_othr_lang_Greek_P,Us_oth_lan_Indo_Ary_lan_Ben_M,Us_oth_lan_Indo_Ary_lan_Ben_F,Us_oth_lan_Indo_Ary_lan_Ben_P,Us_oth_lan_Indo_Ary_lan_Guj_M,Us_oth_lan_Indo_Ary_lan_Guj_F,Us_oth_lan_Indo_Ary_lan_Guj_P,Us_oth_lan_Indo_Ary_lan_Hin_M,Us_oth_lan_Indo_Ary_lan_Hin_F,Us_oth_lan_Indo_Ary_lan_Hin_P,Us_oth_lan_Indo_Ary_lan_Nep_M,Us_oth_lan_Indo_Ary_lan_Nep_F,Us_oth_lan_Indo_Ary_lan_Nep_P,Us_oth_lan_Ind_Ary_lan_Punj_M,Us_oth_lan_Ind_Ary_lan_Punj_F,Us_oth_lan_Ind_Ary_lan_Punj_P,Us_oth_lan_Ind_Ary_lan_Sinh_M,Us_oth_lan_Ind_Ary_lan_Sinh_F,Us_oth_lan_Ind_Ary_lan_Sinh_P,Us_oth_lan_Indo_Ary_lan_Urd_M,Us_oth_lan_Indo_Ary_lan_Urd_F,Us_oth_lan_Indo_Ary_lan_Urd_P,Us_oth_lan_Indo_Ary_lan_oth_M,Us_oth_lan_Indo_Ary_lan_oth_F,Us_oth_lan_Indo_Ary_lan_oth_P,Us_oth_lan_Indo_Ary_lan_Tot_M,Us_oth_lan_Indo_Ary_lan_Tot_F,Us_oth_lan_Indo_Ary_lan_Tot_P,Uses_othr_lang_Italian_M,Uses_othr_lang_Italian_F,Uses_othr_lang_Italian_P,Uses_othr_lang_Japanese_M,Uses_othr_lang_Japanese_F,Uses_othr_lang_Japanese_P,Uses_othr_lang_Khmer_M,Uses_othr_lang_Khmer_F,Uses_othr_lang_Khmer_P,Uses_othr_lang_Korean_M,Uses_othr_lang_Korean_F,Uses_othr_lang_Korean_P,Uses_othr_lang_Macedonian_M,Uses_othr_lang_Macedonian_F,Uses_othr_lang_Macedonian_P,Uses_othr_lang_Malayalam_M,Uses_othr_lang_Malayalam_F,Uses_othr_lang_Malayalam_P,Us_oth_lan_Persian_ex_Dari_M,Us_oth_lan_Persian_ex_Dari_F,Us_oth_lan_Persian_ex_Dari_P,Uses_othr_lang_Polish_M,Uses_othr_lang_Polish_F,Uses_othr_lang_Polish_P,Uses_othr_lang_Portugese_M,Uses_othr_lang_Portugese_F,Uses_othr_lang_Portugese_P,Uses_othr_lang_Russian_M,Uses_othr_lang_Russian_F,Uses_othr_lang_Russian_P,Uses_othr_lang_Samoan_M,Uses_othr_lang_Samoan_F,Uses_othr_lang_Samoan_P,Uses_othr_lang_Serbian_M,Uses_othr_lang_Serbian_F,Uses_othr_lang_Serbian_P,Us_oth_la_SE_As_Au_la_Fili_M,Us_oth_la_SE_As_Au_la_Fili_F,Us_oth_la_SE_As_Au_la_Fili_P,Us_oth_la_SE_As_Au_la_Indo_M,Us_oth_la_SE_As_Au_la_Indo_F,Us_oth_la_SE_As_Au_la_Indo_P,Us_oth_la_SE_As_Au_la_Tag_M,Us_oth_la_SE_As_Au_la_Tag_F,Us_oth_la_SE_As_Au_la_Tag_P,Us_oth_la_SE_As_Au_la_oth_M,Us_oth_la_SE_As_Au_la_oth_F,Us_oth_la_SE_As_Au_la_oth_P,Us_oth_la_SE_As_Au_la_Tot_M,Us_oth_la_SE_As_Au_la_Tot_F,Us_oth_la_SE_As_Au_la_Tot_P,Uses_othr_lang_Spanish_M,Uses_othr_lang_Spanish_F,Uses_othr_lang_Spanish_P,Uses_othr_lang_Tamil_M,Uses_othr_lang_Tamil_F,Uses_othr_lang_Tamil_P,Uses_othr_lang_Thai_M,Uses_othr_lang_Thai_F,Uses_othr_lang_Thai_P,Uses_othr_lang_Turkish_M,Uses_othr_lang_Turkish_F,Uses_othr_lang_Turkish_P,Uses_othr_lang_Vietnamese_M,Uses_othr_lang_Vietnamese_F,Uses_othr_lang_Vietnamese_P,Uses_othr_lang_Other_M,Uses_othr_lang_Other_F,Uses_othr_lang_Other_P,Uses_othr_lang_Tot_M,Uses_othr_lang_Tot_F,Uses_othr_lang_Tot_P,Lang_used_home_ns_M,Lang_used_home_ns_F,Lang_used_home_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
SOS10,1701708,1711574,3413279,3124,3243,6371,111214,110202,221413,956,1066,2023,67514,77606,145117,122377,140776,263148,6936,8129,15060,196826,226501,423331,8871,9856,18730,9659,10473,20130,6828,7914,14747,35665,39810,75478,20109,18250,38360,12915,11987,24905,38975,38447,77420,34827,28351,63177,24598,20931,45528,6158,6324,12477,25065,19772,44831,7773,7793,15569,170429,151850,322276,26668,29452,56118,6689,9579,16273,5507,6650,12156,28508,32384,60896,13598,13779,27373,8789,8728,17515,13191,12782,25971,5386,6782,12168,13808,14718,28527,8071,10741,18807,7824,8439,16265,10444,11375,21818,11836,15813,27646,14411,16808,31223,19954,27326,47283,4095,4941,9041,50300,64893,115190,31003,34923,65926,19072,18251,37321,8602,16139,24745,11557,11589,23141,52883,62105,114989,107349,108651,216004,972048,1041980,2014027,152934,149283,302214,6758,7272,14029,2833437,2910110,5743546
SOS11,672430,717474,1389910,914,895,1808,1536,1331,2868,1230,1495,2724,1251,1365,2616,2617,3012,5634,136,156,290,4001,4533,8543,416,523,940,1069,1257,2331,1451,1900,3346,1065,1019,2086,606,542,1147,966,889,1857,1136,1008,2143,2516,2298,4816,3628,3200,6828,510,495,1000,896,663,1554,203,186,386,10460,9277,19736,2250,2361,4613,519,785,1308,157,197,358,551,595,1146,248,229,476,1580,1634,3217,312,289,598,387,504,891,603,685,1287,330,532,866,480,364,837,279,308,587,1104,1696,2808,334,482,815,1442,2361,3802,569,666,1237,3451,5207,8658,1977,2189,4167,511,459,972,798,1772,2569,256,217,473,1096,1338,2439,10319,10719,21035,47205,51326,98529,54712,49746,104457,1339,937,2281,775688,819486,1595173
SOS12,67982,68041,136020,67,72,136,76,74,149,118,134,247,45,53,99,114,181,294,3,7,12,168,239,407,33,40,74,114,132,244,152,189,337,114,88,202,8,6,15,10,9,14,35,34,71,29,20,45,93,87,180,18,8,23,20,16,33,5,10,18,213,187,401,186,168,355,48,75,117,3,4,9,21,31,52,19,20,36,28,36,62,14,15,29,32,39,68,49,56,103,36,43,83,25,23,41,23,26,50,36,87,128,24,30,49,41,103,139,33,48,84,130,268,396,188,184,372,15,15,29,43,108,149,10,11,18,34,40,74,581,638,1219,2431,2816,5254,5589,5237,10823,143,98,241,76153,76193,152344
SOS13,258513,245307,503819,326,343,669,1492,1273,2769,220,257,474,533,569,1099,723,869,1593,41,48,91,1297,1488,2782,350,344,690,391,421,813,789,884,1667,471,438,911,41,40,86,38,28,63,191,187,379,36,36,64,487,427,914,49,39,85,111,96,211,37,33,72,987,883,1876,1475,1416,2889,148,183,327,78,76,156,96,113,211,103,109,209,50,44,94,111,81,190,150,193,352,138,157,296,141,181,318,93,56,149,231,216,445,90,206,299,96,111,201,125,268,395,104,134,238,415,720,1133,615,700,1313,62,55,112,183,374,562,107,99,211,182,226,408,2927,3076,6000,13458,14184,27640,25349,21174,46525,490,411,907,297813,281081,578892
SOS17,31,4,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,3,31,4,38
SOS20,1501217,1537395,3038610,2284,2413,4701,43642,43443,87081,298,394,693,37626,43169,80790,98763,115908,214668,7074,8199,15278,143466,167277,310740,8128,9311,17443,7848,8801,16647,6042,7128,13174,48722,54332,103056,7119,6833,13953,12360,10880,23240,33136,30608,63746,11088,9342,20439,50539,42630,93168,24452,23082,47540,20091,15769,35859,6007,5936,11946,164792,145088,309883,37798,44967,82769,4805,6618,11434,7802,9189,16990,7490,8799,16291,13768,14245,28010,11646,11337,22986,11337,10549,21889,5326,7145,12469,4001,4501,8510,7577,9918,17497,5437,5854,11294,7926,8641,16567,8596,11662,20251,7577,9352,16934,10700,14666,25371,4897,5685,10579,31765,41368,73136,18986,21019,40006,16906,15824,32732,3943,8593,12540,16112,16733,32844,52733,62241,114976,119237,117393,236637,809606,862815,1672415,118991,115338,234333,5388,5842,11234,2435206,2521390,4956592
SOS21,406233,432527,838761,440,474,919,1843,1734,3579,169,206,383,593,644,1238,2577,2889,5477,206,188,399,3384,3722,7109,588,684,1275,574,650,1227,810,1135,1947,1314,1402,2721,566,545,1115,448,408,858,1482,1425,2904,761,687,1444,5851,5201,11050,872,868,1737,1060,1019,2078,201,185,387,11248,10330,21578,3007,3341,6348,275,389,669,148,213,362,184,254,437,446,443,883,1071,1097,2166,224,175,396,368,456,828,234,305,542,147,253,402,869,876,1748,439,444,880,1109,1636,2737,317,422,740,1263,1883,3140,850,996,1848,3536,4931,8461,1070,1197,2275,633,611,1245,463,1023,1488,843,789,1626,1456,1714,3170,10046,10221,20266,45717,48935,94652,29240,29176,58414,588,557,1145,481772,511197,992968
SOS22,43324,43459,86779,25,20,48,45,29,71,0,15,18,20,31,53,121,158,280,6,6,17,152,198,349,30,28,58,60,66,133,77,123,200,95,90,190,13,4,16,4,5,18,33,36,74,19,20,37,39,37,74,23,18,41,9,12,16,7,4,13,152,138,292,188,164,350,20,26,42,6,14,25,6,9,21,27,22,44,46,46,94,9,0,11,20,34,56,18,23,43,22,19,39,20,0,20,15,23,41,46,73,115,10,20,30,33,92,121,52,45,106,146,232,372,109,123,228,3,10,10,40,82,124,24,23,44,43,51,94,436,460,896,1839,2047,3889,3569,3414,6988,85,71,155,48812,49000,97814
SOS23,190385,181696,372089,171,190,361,350,300,655,32,31,64,131,138,266,573,659,1232,33,30,67,736,825,1569,235,226,457,206,253,455,463,582,1044,544,489,1038,21,20,35,34,18,45,97,73,164,25,15,35,367,270,640,77,53,124,76,39,114,7,8,14,692,487,1178,1378,1230,2610,88,131,222,78,80,159,33,36,65,216,179,393,53,39,92,46,37,77,110,154,266,57,45,107,85,102,191,78,27,111,161,145,309,183,284,467,73,95,164,168,230,392,210,216,429,632,825,1451,296,282,583,51,49,96,178,343,516,174,151,320,198,246,444,1919,1892,3811,9247,9341,18587,19249,14667,33915,221,166,391,219099,205879,424976
SOS27,141,20,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,13,0,13,335,49,385,0,0,0,493,72,565
SOS30,1385236,1444901,2830132,5186,5514,10702,7797,7434,15237,1966,2358,4326,12122,14117,26242,35655,43252,78901,1611,1934,3540,49390,59300,108696,1597,1846,3449,4788,5428,10213,5147,6156,11307,4705,5046,9756,2134,1993,4128,4768,4352,9117,9878,9991,19863,5624,5368,10990,15046,12966,28015,3604,3597,7199,3781,3301,7082,1852,1779,3639,46694,43342,90038,6866,7208,14073,6728,9782,16509,1111,1377,2487,9692,11034,20726,621,696,1318,5765,5790,11549,4141,4036,8179,2156,2824,4978,6596,7285,13886,2849,4088,6938,7624,8255,15878,2422,2526,4948,4120,6811,10935,2024,2987,5018,5776,10096,15874,1595,2536,4131,13519,22434,35951,12594,13949,26541,3366,3239,6609,2517,6014,8533,1344,1202,2542,13413,15801,29218,48743,52179,100925,277732,314232,591961,98440,95135,193580,4961,4571,9530,1766364,1858838,3625198
SOS31,403472,419418,822888,1444,1512,2955,415,346,757,3290,3653,6942,452,531,977,1608,2203,3814,80,94,171,2136,2829,4966,131,146,275,622,700,1318,961,1201,2160,292,306,593,224,195,412,344,297,637,609,622,1225,500,489,992,1270,1066,2342,338,306,641,264,224,491,98,86,182,3652,3282,6933,1190,1366,2551,370,541,912,83,113,197,451,515,971,24,17,41,643,608,1258,135,127,268,208,264,475,399,373,767,237,346,584,313,257,571,103,109,202,1276,1935,3207,225,359,587,1509,2417,3925,380,580,963,3397,5286,8677,1004,1161,2167,367,287,658,370,1143,1510,118,97,218,762,858,1620,8838,9272,18117,28882,33287,62169,41399,32864,74262,1956,1159,3112,475713,486726,962436
SOS32,62909,61993,124899,140,149,289,35,16,53,3137,3236,6373,17,24,43,77,109,190,6,3,10,105,144,247,22,18,38,91,122,214,183,209,389,29,37,62,9,10,19,11,8,19,37,37,75,27,12,39,66,55,126,14,14,22,11,6,21,5,12,19,180,158,339,153,182,339,52,64,115,5,7,10,25,35,54,0,11,8,8,11,26,13,6,18,19,25,44,48,50,93,9,33,44,12,9,18,11,11,22,70,120,190,24,27,51,82,161,246,23,38,59,195,345,547,93,103,199,12,5,21,38,120,155,7,9,12,27,48,79,3643,3782,7422,5233,5779,11009,7218,5639,12854,281,181,465,75637,73588,149226
SOS33,209120,195471,404587,548,520,1066,102,71,168,945,921,1868,97,122,223,377,483,869,26,33,60,510,637,1148,86,96,187,322,346,669,697,858,1553,108,89,195,11,8,24,16,10,30,96,108,206,24,13,33,202,170,369,54,39,89,42,39,80,24,14,35,467,401,869,664,591,1256,141,247,391,84,83,166,72,73,147,15,8,22,91,87,172,33,11,49,88,109,202,124,107,226,98,122,218,98,60,158,48,60,109,128,254,376,66,100,171,171,373,551,88,109,196,459,839,1301,383,428,807,46,27,74,137,345,483,19,25,39,265,286,551,3193,2834,6026,8943,9408,18346,29324,19364,48689,1207,563,1770,248595,224806,473398
SOS37,89,19,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,8,0,8,0,0,0,18,0,18,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,7,29,189,29,220,17,10,24,317,65,385
