SOS_CODE_2021,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Tot_M,Tot_F,Tot_P
SOS10,64988,32266,33287,65549,32881,34349,67232,33310,34764,68078,32715,33781,66489,163382,168962,332339,31684,33383,65068,29853,32182,62037,28999,30726,59722,28630,31148,59775,27453,29963,57415,146619,157401,304018,26351,29076,55429,25433,28444,53878,24684,27271,51964,23843,26637,50488,22428,25458,47889,122751,136888,259639,22405,24843,47253,22019,24477,46497,21009,23288,44301,21444,23349,44794,21545,23746,45296,108431,119710,228139,18114,20255,38370,16801,18961,35766,16059,17884,33939,13791,15935,29729,13260,15173,28436,78026,88208,166233,52346,64833,117173,29945,42805,72751,13576,24024,37597,3124,7607,10729,288,1071,1355,6758,7272,14029,2833437,2910110,5743546
SOS11,17911,8934,9655,18581,9509,10207,19714,9882,10740,20621,9980,11006,20981,46923,50889,97811,10115,11210,21330,9960,11021,20978,10086,11100,21183,9719,10935,20651,9689,10750,20435,49566,55010,104578,9804,10486,20290,9495,10480,19971,9371,10257,19626,9695,10451,20141,9455,10239,19694,47814,51914,99728,9284,10071,19353,9043,9804,18852,8996,9873,18875,9003,9566,18567,9593,10395,19985,45914,49706,95619,7639,8311,15950,7396,8229,15626,6888,7829,14716,6147,7025,13165,5876,6758,12639,33949,38148,72103,22272,27688,49959,12377,17971,30341,5207,9806,15012,1098,2947,4041,92,393,488,1339,937,2281,775688,819486,1595173
SOS12,2008,994,1114,2109,1158,1164,2320,1181,1210,2390,1293,1241,2534,5598,5765,11359,1242,1339,2585,1254,1226,2477,1243,1313,2554,1262,1197,2459,1222,1244,2464,6223,6319,12540,1254,1204,2462,1180,1244,2423,1179,1177,2355,1182,1173,2355,1152,1056,2210,5952,5845,11802,1130,1042,2174,1090,1009,2103,1014,923,1935,971,910,1883,1034,981,2014,5248,4869,10109,866,761,1627,742,700,1438,708,683,1394,574,532,1109,545,510,1060,3433,3192,6626,1969,1908,3871,896,1061,1954,341,530,872,70,129,205,3,17,22,143,98,241,76153,76193,152344
SOS13,8673,4486,4489,8970,4890,4669,9558,4929,4998,9926,5131,4904,10034,23757,23402,47164,5181,4893,10078,5068,4713,9781,4901,4692,9593,4818,4529,9345,4764,4331,9093,24734,23157,47895,4670,4174,8844,4607,4143,8750,4358,3925,8283,4479,3828,8307,4102,3575,7672,22207,19651,41859,4160,3602,7762,3989,3422,7412,3795,3025,6822,3669,3039,6711,3655,3084,6746,19278,16178,35452,2936,2346,5283,2705,2263,4964,2460,2093,4552,1981,1720,3703,1909,1564,3469,11991,9981,21973,6415,5590,12002,2850,2614,5464,945,1278,2224,162,344,500,7,39,45,490,411,907,297813,281081,578892
SOS17,3,0,0,4,0,0,0,0,0,0,0,0,0,9,0,6,0,0,0,4,0,4,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,31,4,38
SOS20,55868,27006,28341,55351,26931,28790,55717,27403,28477,55882,26457,27915,54368,134943,142251,277190,25930,27653,53580,24566,26742,51308,24117,26034,50156,23006,25274,48278,22352,24942,47295,119967,130648,250614,22028,24147,46174,20948,23284,44232,19670,22462,42132,19239,21831,41074,18502,21373,39876,100388,113099,213491,18117,21136,39251,17639,20461,38097,16947,19770,36709,16994,19981,36972,17885,20560,38441,87571,101903,189473,14830,16927,31758,13618,15921,29543,12889,15191,28081,11315,13597,24909,11188,13300,24480,63842,74932,138773,44336,56318,100655,25701,37476,63171,11590,20534,32118,2692,6232,8921,234,847,1081,5388,5842,11234,2435206,2521390,4956592
SOS21,11370,5635,6190,11825,5687,6349,12035,5918,6689,12607,6166,6792,12956,28865,31937,60801,5969,6723,12693,5937,6544,12488,5963,6599,12561,5843,6571,12415,5687,6304,11988,29403,32743,62141,5744,6338,12076,5661,6464,12128,5529,6263,11791,5618,6385,12007,5591,5987,11574,28140,31435,59577,5413,5872,11283,5325,5942,11266,5172,5664,10834,5130,5492,10620,5285,5964,11247,26323,28931,55255,4338,4744,9082,4000,4555,8558,3740,4280,8023,3324,3860,7188,3273,3835,7106,18673,21277,39955,12568,15339,27908,6890,10099,16985,3073,5685,8754,634,1699,2336,50,251,301,588,557,1145,481772,511197,992968
SOS22,1352,692,729,1428,724,762,1489,753,791,1548,779,828,1610,3612,3800,7415,836,880,1716,807,794,1596,831,794,1622,832,821,1651,757,819,1575,4065,4103,8171,794,755,1549,768,750,1511,779,709,1485,728,695,1425,744,652,1400,3811,3554,7360,691,611,1300,748,679,1431,590,565,1152,660,570,1225,661,586,1242,3348,3005,6355,548,455,1004,472,408,880,434,436,871,349,340,689,340,349,697,2143,1994,4141,1203,1275,2482,620,800,1419,246,416,669,65,149,216,0,21,23,85,71,155,48812,49000,97814
SOS23,6802,3305,3346,6652,3592,3532,7126,3633,3655,7287,3778,3636,7414,17680,17595,35276,3895,3609,7502,3607,3551,7156,3786,3533,7322,3635,3384,7020,3586,3256,6839,18511,17330,35837,3614,3223,6838,3417,3102,6522,3367,2924,6300,3395,2931,6325,3143,2622,5768,16943,14806,31747,3102,2648,5753,2888,2516,5400,2800,2316,5117,2727,2196,4924,2685,2202,4890,14202,11878,26079,2230,1728,3957,1983,1607,3587,1644,1430,3074,1477,1227,2704,1451,1208,2654,8782,7200,15979,4768,3939,8706,1971,1947,3918,708,814,1526,147,210,352,9,10,18,221,166,391,219099,205879,424976
SOS27,21,17,10,24,9,0,9,19,4,24,20,0,20,84,16,101,7,0,7,18,0,18,16,0,16,4,0,4,6,3,10,50,3,61,5,0,5,5,0,5,4,0,4,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493,72,565
