SOS_CODE_2021,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,1_149_Family_hholds,1_149_NonFamHholds,1_149_Tot,150_299_Family_hholds,150_299_NonFamHholds,150_299_Tot,300_399_Family_hholds,300_399_NonFamHholds,300_399_Tot,400_499_Family_hholds,400_499_NonFamHholds,400_499_Tot,500_649_Family_hholds,500_649_NonFamHholds,500_649_Tot,650_799_Family_hholds,650_799_NonFamHholds,650_799_Tot,800_999_Family_hholds,800_999_NonFamHholds,800_999_Tot,1000_1249_Family_hholds,1000_1249_NonFamHholds,1000_1249_Tot,1250_1499_Family_hholds,1250_1499_NonFamHholds,1250_1499_Tot,1500_1749_Family_hholds,1500_1749_NonFamHholds,1500_1749_Tot,1750_1999_Family_hholds,1750_1999_NonFamHholds,1750_1999_Tot,2000_2499_Family_hholds,2000_2499_NonFamHholds,2000_2499_Tot,2500_2999_Family_hholds,2500_2999_NonFamHholds,2500_2999_Tot,3000_3499_Family_hholds,3000_3499_NonFamHholds,3000_3499_Tot,3500_3999_Family_hholds,3500_3999_NonFamHholds,3500_3999_Tot,4000orMore_Family_hholds,4000orMore_NonFamHholds,4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
SOS41,751,1151,1904,396,589,986,389,1791,2186,521,3647,4168,1969,9953,11925,2258,5986,8238,8129,3710,11838,6740,4246,10982,7222,3967,11189,8113,2814,10927,5304,2200,7503,5620,1522,7139,11249,2289,13540,7846,333,8180,5607,523,6123,3287,116,3407,6742,861,7609,6692,478,7170,1214,2389,3600,90067,48562,138628
SOS42,116,247,362,78,94,170,74,286,358,75,628,705,357,1800,2158,337,829,1171,1363,601,1958,1054,741,1795,1101,648,1754,1257,482,1743,787,365,1153,834,272,1102,1584,371,1952,1031,69,1101,743,91,833,376,21,397,679,158,842,1225,71,1296,250,485,733,13333,8260,21594
SOS43,442,477,921,188,208,400,189,530,718,187,1004,1192,826,2459,3279,744,1351,2097,2677,1146,3828,2405,1411,3817,2650,1420,4075,3341,963,4301,2203,747,2953,2568,506,3068,4756,787,5548,3464,157,3619,2641,245,2885,1551,59,1609,4052,450,4500,3718,163,3888,607,805,1409,39222,14887,54104
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS50,5033,7459,12495,2006,2646,4651,2324,6960,9291,2670,13518,16188,7676,30395,38074,9200,20216,29421,25206,13464,38677,23669,16709,40379,29028,19590,48618,33507,16627,50141,26940,14649,41591,28776,11467,40248,65158,20391,85549,51607,2638,54248,45469,5537,51000,29795,1178,30970,94027,8260,102290,51281,5481,56768,4758,7123,11881,538147,224320,762472
SOS51,784,1365,2150,343,585,926,461,1676,2138,550,3036,3585,1697,6922,8619,1952,4360,6312,5887,3201,9092,4729,3713,8438,5535,4178,9712,6145,3395,9537,4590,2960,7547,5125,2615,7742,11526,4839,16368,9063,709,9773,7906,1556,9466,4702,382,5083,12181,2344,14525,11136,923,12056,1224,2830,4051,95540,51589,147128
SOS52,134,293,429,99,126,227,122,410,531,147,630,773,383,1570,1952,414,745,1159,1259,648,1910,984,767,1753,969,797,1762,1034,714,1751,645,551,1200,759,510,1265,1539,843,2379,1027,147,1173,834,231,1063,457,63,523,1031,399,1435,1686,98,1786,342,928,1269,13862,10477,24335
SOS53,515,706,1221,252,270,521,232,568,795,214,904,1120,829,1982,2811,653,1235,1890,2126,1273,3395,1875,1571,3440,2323,1754,4075,2571,1350,3928,1809,1021,2834,2052,896,2947,4249,1628,5877,3432,409,3841,2812,602,3416,1897,225,2119,5425,1166,6601,5472,273,5743,659,1408,2066,39395,19242,58639
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,13,13
SOS60,382,609,992,152,255,411,206,789,989,252,1605,1856,883,4346,5227,1143,2829,3975,2828,2024,4850,2910,2283,5196,3619,2445,6062,4299,1801,6093,3111,1649,4763,3211,1163,4372,6726,1748,8470,4955,371,5328,3865,460,4332,2571,154,2723,6192,695,6888,3184,544,3727,420,881,1301,50921,26646,77566
