SOS_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
SOS10,99066,195049,97843,62612,152567,29218,2557,638913,61610,125212,80026,54795,141446,24691,2394,490170,35741,59573,37294,27413,100439,22939,710,284115,14189,16395,8050,5386,57535,20880,195,122624,896416,1230388,552558,395836,1323902,281592,13003,4693696
SOS11,33185,65096,31052,18403,42988,11669,270,202663,22839,50104,34241,24551,52182,11442,188,195537,12985,24095,16998,14489,42769,10729,110,122166,5233,6376,3398,2664,24934,7274,24,49901,236759,351488,167773,119663,329337,97802,2115,1304929
SOS12,3614,7653,3964,2678,4388,1599,21,23923,2447,5298,4044,3224,5302,1602,19,21927,1119,1992,1543,1477,3362,1002,8,10503,383,393,247,226,1320,483,5,3061,22004,34092,18114,13716,26987,10186,230,125324
SOS13,14104,29520,17042,12424,14343,7625,79,95131,8964,18747,14436,13551,15265,6352,62,77380,3889,6716,5199,5635,9102,3433,20,33997,1086,1307,712,741,3330,1068,10,8247,85909,129391,71376,58298,86991,43542,853,476377
SOS17,4,5,0,0,3,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,3,0,14,0,3,38
SOS20,88856,168728,77197,46169,124419,22433,2168,529979,52885,105849,65406,43573,116536,18714,1945,404915,29917,50381,32566,23693,86141,16725,603,240031,12232,14566,7305,5041,53524,12615,151,105452,829833,1100515,457279,312681,1131731,222226,10508,4064770
SOS21,19833,39441,19225,11477,26491,6483,165,123109,13157,28591,20131,15217,31024,6705,137,114966,6943,12945,9513,8448,23872,6139,50,67913,2709,3361,1966,1609,14515,4222,24,28404,147572,216505,103752,77613,204790,54710,1076,806023
SOS22,2508,5011,2637,1690,2666,1084,16,15597,1560,3383,2459,2100,3234,982,9,13730,625,1242,984,1014,2081,678,5,6625,225,264,218,144,1105,370,0,2320,14642,22504,11561,9073,16522,6785,146,81236
SOS23,10760,22415,12970,8923,10678,5361,40,71155,6659,14173,10972,10053,11318,4650,32,57867,2825,4840,3676,4170,6572,2608,16,24700,779,927,551,505,2235,815,4,5817,65019,96159,53245,42616,62776,31977,354,352148
SOS27,14,5,0,3,25,111,0,158,0,0,0,0,4,13,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,34,15,3,89,389,0,565
