SOS_CODE_2021,M_0_4_yr_Need_for_assist,M_0_4_yr_No_need_for_assist,M_0_4_yr_Need_for_assist_ns,M_0_4_yr_OS_vis,M_0_4_yr_Tot,M_5_14_yr_Need_for_assist,M_5_14_yr_No_need_for_assist,M_5_14_yr_Need_for_assist_ns,M_5_14_yr_OS_vis,M_5_14_yr_Tot,M_15_19_yr_Need_for_assist,M_15_19_No_need_for_assist,M_15_19_Need_for_assist_ns,M_15_19_yr_OS_vis,M_15_19_yr_Tot,M_20_24_yr_Need_for_assist,M_20_24_No_need_for_assist,M_20_24_Need_for_assist_ns,M_20_24_yr_OS_vis,M_20_24_yr_Tot,M_25_34_yr_Need_for_assist,M_25_34_No_need_for_assist,M_25_34_Need_for_assist_ns,M_25_34_yr_OS_vis,M_25_34_yr_Tot,M_35_44_yr_Need_for_assist,M_35_44_No_need_for_assist,M_35_44_Need_for_assist_ns,M_35_44_yr_OS_vis,M_35_44_yr_Tot,M_45_54_yr_Need_for_assist,M_45_54_No_need_for_assist,M_45_54_Need_for_assist_ns,M_45_54_yr_OS_vis,M_45_54_yr_Tot,M_55_64_yr_Need_for_assist,M_55_64_No_need_for_assist,M_55_64_Need_for_assist_ns,M_55_64_yr_OS_vis,M_55_64_yr_Tot,M_65_74_yr_Need_for_assist,M_65_74_No_need_for_assist,M_65_74_Need_for_assist_ns,M_65_74_yr_OS_vis,M_65_74_yr_Tot,M_75_84_yr_Need_for_assist,M_75_84_No_need_for_assist,M_75_84_Need_for_assist_ns,M_75_84_yr_OS_vis,M_75_84_yr_Tot,M_85_yr_over_Need_for_assist,M_85_over_No_need_for_assist,M_85_over_Need_for_assist_ns,M_85_over_OS_vis,M_85_yr_over_Tot,M_Tot_Need_for_assist,M_Tot_No_need_for_assist,M_Tot_Need_for_assist_ns,M_Tot_OS_vis,M_Tot_Tot,F_0_4_yr_Need_for_assist,F_0_4_yr_No_need_for_assist,F_0_4_yr_Need_for_assist_ns,F_0_4_yr_OS_vis,F_0_4_yr_Tot,F_5_14_yr_Need_for_assist,F_5_14_yr_No_need_for_assist,F_5_14_yr_Need_for_assist_ns,F_5_14_yr_OS_vis,F_5_14_yr_Tot,F_15_19_yr_Need_for_assist,F_15_19_No_need_for_assist,F_15_19_Need_for_assist_ns,F_15_19_yr_OS_vis,F_15_19_yr_Tot,F_20_24_yr_Need_for_assist,F_20_24_No_need_for_assist,F_20_24_Need_for_assist_ns,F_20_24_yr_OS_vis,F_20_24_yr_Tot,F_25_34_yr_Need_for_assist,F_25_34_No_need_for_assist,F_25_34_Need_for_assist_ns,F_25_34_yr_OS_vis,F_25_34_yr_Tot,F_35_44_yr_Need_for_assist,F_35_44_No_need_for_assist,F_35_44_Need_for_assist_ns,F_35_44_yr_OS_vis,F_35_44_yr_Tot,F_45_54_yr_Need_for_assist,F_45_54_No_need_for_assist,F_45_54_Need_for_assist_ns,F_45_54_yr_OS_vis,F_45_54_yr_Tot,F_55_64_yr_Need_for_assist,F_55_64_No_need_for_assist,F_55_64_Need_for_assist_ns,F_55_64_yr_OS_vis,F_55_64_yr_Tot,F_65_74_yr_Need_for_assist,F_65_74_No_need_for_assist,F_65_74_Need_for_assist_ns,F_65_74_yr_OS_vis,F_65_74_yr_Tot,F_75_84_yr_Need_for_assist,F_75_84_No_need_for_assist,F_75_84_Need_for_assist_ns,F_75_84_yr_OS_vis,F_75_84_yr_Tot,F_85_yr_over_Need_for_assist,F_85_over_No_need_for_assist,F_85_over_Need_for_assist_ns,F_85_over_OS_vis,F_85_yr_over_Tot,F_Tot_Need_for_assist,F_Tot_No_need_for_assist,F_Tot_Need_for_assist_ns,F_Tot_OS_vis,F_Tot_Tot,P_0_4_yr_Need_for_assist,P_0_4_yr_No_need_for_assist,P_0_4_yr_Need_for_assist_ns,P_0_4_yr_OS_vis,P_0_4_yr_Tot,P_5_14_yr_Need_for_assist,P_5_14_yr_No_need_for_assist,P_5_14_yr_Need_for_assist_ns,P_5_14_yr_OS_vis,P_5_14_yr_Tot,P_15_19_yr_Need_for_assist,P_15_19_No_need_for_assist,P_15_19_Need_for_assist_ns,P_15_19_yr_OS_vis,P_15_19_yr_Tot,P_20_24_yr_Need_for_assist,P_20_24_No_need_for_assist,P_20_24_Need_for_assist_ns,P_20_24_yr_OS_vis,P_20_24_yr_Tot,P_25_34_yr_Need_for_assist,P_25_34_No_need_for_assist,P_25_34_Need_for_assist_ns,P_25_34_yr_OS_vis,P_25_34_yr_Tot,P_35_44_yr_Need_for_assist,P_35_44_No_need_for_assist,P_35_44_Need_for_assist_ns,P_35_44_yr_OS_vis,P_35_44_yr_Tot,P_45_54_yr_Need_for_assist,P_45_54_No_need_for_assist,P_45_54_Need_for_assist_ns,P_45_54_yr_OS_vis,P_45_54_yr_Tot,P_55_64_yr_Need_for_assist,P_55_64_No_need_for_assist,P_55_64_Need_for_assist_ns,P_55_64_yr_OS_vis,P_55_64_yr_Tot,P_65_74_yr_Need_for_assist,P_65_74_No_need_for_assist,P_65_74_Need_for_assist_ns,P_65_74_yr_OS_vis,P_65_74_yr_Tot,P_75_84_yr_Need_for_assist,P_75_84_No_need_for_assist,P_75_84_Need_for_assist_ns,P_75_84_yr_OS_vis,P_75_84_yr_Tot,P_85_yr_over_Need_for_assist,P_85_over_No_need_for_assist,P_85_over_Need_for_assist_ns,P_85_over_OS_vis,P_85_yr_over_Tot,P_Tot_Need_for_assist,P_Tot_No_need_for_assist,P_Tot_Need_for_assist_ns,P_Tot_OS_vis,P_Tot_Tot
SOS10,2891,162828,9599,225,175543,17181,327851,18926,295,364248,5912,151807,8125,206,166058,4407,177712,11840,476,194436,6727,401726,28111,1303,437868,7183,386460,23452,984,418077,10255,327495,17717,844,356315,16415,279007,14572,946,310942,23212,197110,10858,1057,232234,26488,95475,8400,337,130709,20408,20865,5657,81,47015,141084,2528340,157260,6758,2833437,1507,154736,9139,220,165604,7952,318525,17694,285,344464,3395,145273,7264,201,156131,2933,170852,9642,465,183893,5833,415294,25190,1145,447460,7495,396944,20877,757,426071,12139,343090,15557,786,371567,19862,293505,12995,1610,327972,28668,216813,11121,1336,257931,39365,103451,10224,369,153408,39355,25336,10811,109,75615,168504,2583820,150511,7272,2910110,4391,317564,18743,442,341147,25129,646380,36621,580,708706,9311,297086,15391,402,322182,7340,348565,21479,940,378324,12559,817020,53293,2446,885325,14684,783401,44326,1740,844154,22395,670589,33279,1629,727882,36280,572513,27571,2557,638913,51880,413922,21976,2394,490170,65850,198924,18627,710,284115,59765,46204,16472,195,122624,309584,5112159,307772,14029,5743546
SOS11,998,42830,3104,44,46982,7857,86157,7374,58,101448,2618,40463,3281,27,46380,1868,37226,3795,130,43022,2791,82726,8444,420,94391,2772,77404,7520,250,87937,4138,78967,6796,137,90032,6461,84069,5955,119,96608,9425,79312,4991,92,93830,9930,42782,3518,48,56269,7416,9572,1780,9,18780,56285,661505,56560,1339,775688,559,41098,2976,26,44659,3747,86441,6926,36,97154,1589,39402,2973,23,43990,1176,37932,2841,79,42029,2354,89019,6479,239,98089,2868,83949,5845,118,92777,4551,86100,5266,101,96012,6896,93884,5122,154,106051,9256,87624,4736,93,101718,13262,48371,4203,57,65891,15820,12109,3182,8,31125,62077,705915,50559,937,819486,1559,83924,6087,69,91640,11609,172602,14302,91,198601,4208,79863,6252,52,90375,3046,75153,6637,211,85056,5147,171747,14928,656,192475,5634,161353,13360,365,180712,8691,165060,12060,233,186050,13353,177947,11079,270,202663,18684,166934,9732,188,195537,23188,91152,7719,110,122166,23242,21677,4963,24,49901,118358,1367425,107113,2281,1595173
SOS12,63,3612,276,7,3946,613,8571,761,3,9951,201,3837,347,3,4391,147,3006,272,9,3440,204,6266,635,53,7150,191,7006,668,17,7882,343,8529,739,21,9639,698,10274,840,7,11827,1025,9415,756,9,11201,852,4153,393,7,5407,460,709,140,4,1314,4799,65381,5827,143,76153,41,3442,293,0,3779,275,8321,751,0,9340,131,3718,313,0,4162,101,2852,254,8,3220,174,6648,592,42,7450,198,7541,650,12,8388,410,9131,641,3,10191,676,10703,702,10,12089,856,9200,655,6,10724,903,3828,362,0,5100,841,691,212,3,1744,4601,66068,5424,98,76193,104,7047,571,6,7722,886,16889,1512,9,19296,330,7553,655,5,8550,247,5856,526,22,6655,375,12911,1224,94,14603,391,14549,1317,31,16279,753,17658,1384,25,19828,1376,20980,1538,21,23923,1887,18616,1411,19,21927,1757,7982,753,8,10503,1299,1400,357,5,3061,9399,131449,11252,241,152344
SOS13,191,12858,1156,11,14209,1783,34149,3102,20,39049,682,17286,1524,5,19501,410,12567,1490,49,14512,690,22008,3098,163,25966,694,26713,3266,92,30763,1105,36515,3692,55,41370,2012,42468,4019,36,48531,2738,35599,3148,39,41523,2404,14532,1466,9,18412,1379,2208,382,4,3969,14086,256897,26338,490,297813,91,12234,1065,6,13391,860,32071,2921,11,35862,400,15787,1287,10,17477,302,10999,1045,57,12412,525,22643,2238,121,25523,613,28429,2780,72,31893,1177,37746,3223,42,42190,1797,41390,3375,37,46604,2248,31045,2536,29,35858,2520,11781,1270,13,15588,2035,1813,427,3,4275,12571,245930,22160,411,281081,278,25092,2217,15,27598,2644,66220,6020,33,74910,1087,33071,2811,20,36983,715,23565,2537,107,26926,1209,44648,5333,287,51485,1303,55140,6052,167,62657,2281,74265,6918,100,83560,3811,83858,7391,79,95131,4989,66639,5690,62,77380,4926,26309,2738,20,33997,3414,4022,804,10,8247,26657,502828,48499,907,578892
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,16,0,0,16,0,10,0,0,10,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,31,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,6,0,18,0,0,18,0,8,0,0,8,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,32,0,3,38
SOS20,2416,139504,7461,146,149527,16264,277092,14885,206,308438,5466,129981,6406,200,142052,3945,158161,9756,421,172279,6327,366641,23851,936,397759,6664,339007,18728,733,365134,9319,282264,14405,777,306770,13539,230353,11015,823,255732,18719,161396,7849,814,188778,23366,79087,5725,268,108445,18826,18212,3176,74,40289,124855,2181705,123254,5388,2435206,1369,132829,7325,150,141687,7836,270182,13935,226,292173,3430,125581,5957,188,135158,2986,152898,7839,365,164092,6296,375582,21112,828,403827,7450,348549,17046,526,373576,11547,298636,12908,651,323749,17138,245574,10188,1352,274248,24721,181845,8437,1130,216134,36228,88249,6772,336,131591,37864,21583,5636,82,65161,156863,2241516,117161,5842,2521390,3789,272340,14786,296,291212,24100,547268,28824,431,600610,8900,255560,12362,390,277207,6939,311059,17592,784,336373,12624,742228,44962,1768,801583,14118,687560,35773,1254,738707,20863,580903,27320,1435,630521,30678,475925,21202,2168,529979,43441,343238,16286,1945,404915,59590,167341,12496,603,240031,56681,39797,8812,151,105452,281718,4423221,240418,11234,4956592
SOS21,605,28199,1837,18,30661,5195,55762,4313,22,65298,1711,25070,1708,17,28506,1181,23164,1660,38,26048,1834,54785,4091,158,60864,1747,52462,3888,101,58197,2530,51267,3542,69,57411,3788,51244,3231,81,58342,5411,46269,2785,56,54520,5985,23262,1999,20,31265,4408,5163,1084,10,10660,34398,416654,30135,588,481772,363,27320,1737,11,29435,2484,54966,4077,13,61545,1034,23937,1588,7,26567,770,22474,1477,51,24768,1628,58835,3872,111,64442,1956,56868,3746,82,62651,3053,55876,3173,73,62168,4394,57357,2934,82,64762,6021,51484,2859,82,60446,7901,26364,2361,27,36651,9208,6583,1937,18,17744,38797,442072,29767,557,511197,972,55522,3576,34,60098,7687,110728,8395,37,126845,2739,49013,3297,20,55070,1949,45638,3143,89,50820,3464,113624,7966,264,125313,3703,109327,7636,186,120850,5582,107140,6715,141,119585,8178,108602,6159,165,123109,11432,97753,5647,137,114966,13889,49625,4353,50,67913,13611,11750,3020,24,28404,73194,858726,59902,1145,992968
SOS22,35,2225,168,0,2427,387,5234,445,4,6068,123,2236,217,4,2579,82,1999,224,11,2315,136,4311,388,34,4872,143,4624,422,15,5203,217,5503,491,13,6226,457,6706,518,0,7677,629,6055,476,3,7163,538,2589,224,3,3354,363,466,100,0,930,3115,41947,3659,85,48812,37,2205,128,0,2367,214,5058,442,3,5710,76,2250,225,0,2552,56,1892,205,7,2159,109,4514,356,26,5007,156,4935,444,5,5534,269,5791,438,9,6510,454,6941,511,12,7915,533,5681,351,5,6568,580,2468,223,7,3275,660,555,174,0,1392,3140,42287,3497,71,49000,77,4427,293,0,4803,599,10292,885,6,11780,196,4487,441,3,5137,137,3892,430,16,4473,245,8828,746,63,9882,299,9556,861,15,10736,490,11292,933,17,12736,904,13653,1030,16,15597,1164,11732,822,9,13730,1120,5057,446,5,6625,1025,1018,276,0,2320,6262,84235,7161,155,97814
SOS23,135,9049,718,10,9903,1282,24171,2210,12,27686,521,12174,1033,7,13739,355,9133,969,24,10476,505,16079,2564,61,19211,518,19967,2827,40,23343,866,27191,2898,30,30987,1440,31902,2849,16,36209,1986,26808,2351,17,31162,1720,10718,1116,12,13561,934,1582,313,0,2832,10255,188781,19836,221,219099,71,8768,677,6,9530,667,23004,2029,10,25708,334,11350,980,0,12667,214,7963,672,25,8871,390,16657,1421,51,18518,494,21110,1840,14,23459,929,28156,2242,13,31342,1433,31134,2362,26,34950,1615,23266,1805,19,26705,1729,8482,920,3,11143,1323,1350,304,4,2983,9195,181252,15256,166,205879,208,17817,1396,13,19431,1952,47182,4240,25,53392,853,23528,2010,14,26402,571,17097,1632,44,19341,891,32740,3983,118,37732,1004,41084,4667,45,46805,1795,55352,5144,42,62328,2868,63035,5206,40,71155,3601,50074,4159,32,57867,3447,19201,2034,16,24700,2259,2934,622,4,5817,19458,370031,35099,391,424976
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,4,0,12,19,0,30,0,43,84,0,131,0,49,121,0,163,0,45,100,0,141,0,7,13,0,16,0,0,0,0,0,0,0,0,0,0,0,153,339,0,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,0,17,0,5,8,0,14,0,7,13,0,18,0,6,16,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,49,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,4,0,17,38,0,52,0,47,96,0,140,0,52,129,0,182,0,53,111,0,158,0,7,13,0,16,0,0,0,0,0,0,0,0,0,0,0,179,389,0,565
