SOS_CODE_2021,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24_yr,P_Grad_Dip_Cer_25_34_yr,P_Grad_Dip_Cer_35_44_yr,P_Grad_Dip_Cer_45_54_yr,P_Grad_Dip_Cer_55_64_yr,P_Grad_Dip_Cer_65_74_yr,P_Grad_Dip_Cer_75_84_yr,P_Grad_Dip_Cer_85_yr_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_yr_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr_over,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85ov,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85ov,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SOS10,132523,77044,49267,28770,10285,2019,421854,2325,18783,23669,20929,16800,12667,3895,736,99808,73728,293786,246586,164359,109812,69941,27925,7821,993964,31272,83727,96488,93712,72343,45736,20493,6372,450154,54357,117077,109808,108719,96692,59386,30865,9755,586657,7517,7158,7531,8017,7554,4935,1792,454,44948,5188,8786,12450,18276,20159,16745,8399,2762,92775,67060,133027,129782,135014,124396,81068,41058,12968,724377,2364,6217,6769,5935,5969,5802,3620,1270,37950,40867,63966,54509,42202,38280,36400,34084,26541,336853,222836,716252,690330,539196,416866,280384,141357,57729,3064954
SOS11,9633,7954,7281,6108,2295,466,42817,415,3367,4474,4682,4915,4723,1397,195,24173,6344,33658,31618,25212,20516,18808,7986,2110,146251,4016,16089,19503,21503,21647,17635,8206,2299,110899,23812,54736,47969,46321,46522,32731,15534,4221,271852,3435,3745,2784,2773,3111,2462,790,186,19286,1571,2514,2953,4336,6089,6358,3405,1008,28237,28820,60995,53711,53431,55717,41557,19728,5417,319372,382,823,878,980,1309,1820,1329,490,8004,14758,17220,15625,15134,15885,17717,17226,10807,124377,55096,140882,135432,128898,127274,108369,58164,21774,775889
SOS12,802,823,862,744,246,22,4007,28,238,391,491,581,550,113,13,2400,453,2375,2790,2755,2658,2135,641,103,13907,313,1186,1789,2297,2509,1930,656,124,10796,2009,4391,4567,5187,5601,4010,1397,258,27411,274,288,259,291,381,258,78,15,1853,142,193,261,457,694,679,252,50,2713,2427,4876,5086,5937,6664,4945,1722,318,31983,30,52,66,103,161,205,99,27,744,1472,1397,1523,1731,2103,2358,1548,662,12787,4742,10597,12441,14134,15538,12869,5030,1275,76623
SOS13,2858,3673,3835,3084,970,125,16251,96,766,1415,2036,2263,1915,370,39,8907,2206,9152,11763,13055,11367,9217,2697,432,59901,1353,4212,6593,9920,10445,7366,2530,424,42845,8039,14937,16881,20661,21376,12957,4641,799,100295,1047,894,980,1279,1493,887,225,40,6838,578,706,1122,2075,2911,2488,927,155,10961,9664,16537,18984,24020,25776,16327,5789,989,118091,141,215,284,409,644,661,389,79,2822,6479,5891,6776,8096,9458,8576,4935,1510,51725,20027,38407,48669,61212,63787,47152,17683,3599,300541
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,0,15
SOS20,109591,58866,36132,20910,7832,1438,358408,2541,23501,29583,27188,20707,13509,4073,685,121787,67170,254687,218616,142303,87555,55917,22190,6230,854670,27815,82056,89865,78854,58706,39415,18301,5614,400625,46098,108203,95833,94540,80205,46569,23576,7611,502649,6832,6737,6129,5385,4684,2958,983,217,33925,3847,7515,9922,12481,12010,8722,4535,1644,60674,56778,122455,111888,112406,96903,58249,29095,9475,597240,1802,4860,5101,3674,3478,3432,2363,1018,25735,32819,52791,42753,34151,29401,28442,26776,19038,266176,196511,656400,607391,457447,332894,219870,110624,43492,2624638
SOS21,6707,4564,3795,2923,998,152,25752,384,3237,4190,3939,3697,3116,891,108,19564,4237,22699,21936,15713,11853,10326,4192,963,91914,3155,13309,15011,14239,13112,10880,4903,1212,75815,13255,34866,30661,28622,26519,17775,7706,2065,161461,1881,2006,1827,1537,1386,1037,295,77,10046,822,1469,1822,2261,2336,2219,1054,340,12328,15960,38341,34312,32424,30246,21032,9050,2479,183840,187,512,594,469,545,736,587,233,3864,7720,9229,8869,8541,8986,10416,10075,6478,70318,32016,93558,91618,79877,72236,59428,30692,11637,471063
SOS22,534,520,540,471,140,15,2602,32,232,375,449,475,377,88,13,2039,407,1792,1972,1814,1662,1340,440,86,9513,233,948,1313,1428,1612,1323,500,95,7455,1156,2957,3026,3123,3474,2173,815,166,16893,160,166,145,148,181,121,35,8,961,64,114,149,197,273,271,116,21,1200,1373,3238,3321,3464,3931,2568,965,196,19054,10,34,39,59,62,77,55,20,356,1064,851,920,1136,1421,1466,1038,586,8488,3141,7462,8478,8876,9700,7617,3224,1007,49501
SOS23,1909,2477,2538,1953,568,77,10924,109,853,1502,2045,2137,1672,338,29,8679,1612,6698,8686,8865,7955,6360,1903,261,42342,1133,3539,5499,7365,7678,5800,1964,272,33258,5164,11048,12643,15431,15824,8941,2933,493,72482,756,611,735,647,770,481,116,11,4123,307,467,704,1116,1354,1049,374,65,5434,6223,12120,14085,17196,17945,10484,3424,564,82037,60,155,177,254,331,358,208,46,1593,4427,3497,4347,5586,6692,6380,3706,1069,35718,13660,28171,36214,43793,45272,33001,12113,2323,214545
SOS27,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,4,6,3,6,0,0,0,19,0,3,5,8,6,0,0,0,32,0,5,21,32,14,0,0,0,73,0,0,0,0,0,0,0,0,8,0,0,3,4,0,0,0,0,8,0,5,22,32,22,0,0,0,86,0,0,0,0,0,0,0,0,5,4,38,94,127,108,13,0,0,389,7,48,136,178,147,17,0,0,530
