SOS_CODE_2021,Num_mot_veh_per_dwg_None_Dwgs,Nu_mo_veh_pe_dw_1_mo_veh_Dwgs,Nu_mo_ve_pe_dw_2_mot_veh_Dwgs,Nu_mo_ve_pe_dw_3_mot_veh_Dwgs,Nu_mo_ve_pe_dw_4_mo_veh_Dwgs,Num_mot_veh_per_dwg_Tot_Dwgs,Num_mot_veh_ns_Dwgs,Total_Dwellings
SOS10,223593,811807,672348,203688,111738,2023177,106371,2129544
SOS11,38177,242817,226163,70996,36748,614902,40263,655167
SOS12,1998,19086,22214,8138,5185,56620,4566,61185
SOS13,2959,41455,75429,39942,34572,194364,18011,212373
SOS17,0,0,0,0,0,0,0,0
SOS20,159581,688539,664653,194241,101832,1808834,88690,1897524
SOS21,20086,139352,149107,48696,25729,382965,23825,406788
SOS22,1205,12620,14701,5851,3433,37805,2876,40686
SOS23,1894,28072,57488,32598,29444,149494,13144,162638
SOS27,0,0,0,0,0,0,0,0
SOS30,82839,492274,501091,158434,82845,1317477,69685,1387158
SOS31,21561,134189,128890,44340,23256,352240,26126,378361
SOS32,3266,20500,19931,7305,4250,55250,5017,60265
SOS33,2932,37872,59845,30647,25085,156386,15841,172232
SOS37,4,0,0,0,0,7,4,5
SOS40,39518,184409,175800,54266,27997,481987,17914,499902
SOS41,8839,50965,49609,17051,9424,135887,7704,143589
SOS42,1038,7327,7781,3134,1737,21010,1698,22708
SOS43,1005,11478,19938,10912,9602,52940,4012,56953
SOS47,0,0,0,0,0,0,0,0
SOS50,38709,267754,299337,95728,50456,751985,32892,784879
SOS51,7207,51808,54762,19104,9802,142682,13699,156386
SOS52,2131,8633,7603,2907,1682,22950,3241,26193
SOS53,1618,13824,19454,10991,10501,56381,5911,62293
SOS57,11,0,0,0,0,13,0,13
SOS60,6236,29770,26380,9033,5060,76476,3131,79611
SOS61,6179,34562,31198,11104,6092,89138,4621,93757
SOS62,414,4315,4940,1965,1163,12802,829,13631
SOS63,598,8854,15469,8335,6571,39835,2597,42432
SOS67,0,0,0,0,0,0,0,0
SOS70,2872,15864,16535,5169,2389,42827,4236,47064
SOS71,2475,5763,4427,1465,700,14825,1709,16531
SOS72,2138,2822,1136,358,234,6696,876,7570
SOS73,1186,4605,3423,1584,1383,12178,2021,14198
SOS77,7,0,0,0,0,7,3,7
SOS80,9538,66319,64805,18287,9235,168183,6401,174586
SOS82,0,37,86,43,28,198,13,212
SOS83,0,33,51,25,38,152,25,176
SOS87,0,0,0,0,0,0,0,0
SOS91,37,183,131,64,24,438,59,497
SOS92,40,349,318,114,82,902,146,1051
SOS93,10,67,83,33,13,211,50,256
SOS97,0,0,0,0,0,0,0,0
