SOS_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85_yr_over_M,Age_85_yr_over_F,Age_85_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Count_pers_occ_private_dwgs_M,Count_pers_occ_private_dwgs_F,Count_pers_occ_private_dwgs_P,Count_persons_other_dwgs_M,Count_persons_other_dwgs_F,Count_persons_other_dwgs_P,Indig_persons_Aboriginal_M,Indig_persons_Aboriginal_F,Indig_persons_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_pe_Bo_Abor_Trs_St_Is_M,Indig_pe_Bo_Abor_Trs_St_Is_F,Indig_pe_Bo_Abor_Trs_St_Is_P,Indigenous_persons_Tot_M,Indigenous_persons_Tot_F,Indigenous_persons_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_per_att_educ_inst_0_4_M,Age_per_att_educ_inst_0_4_F,Age_per_att_educ_inst_0_4_P,Age_per_att_educ_inst_5_14_M,Age_per_att_educ_inst_5_14_F,Age_per_att_educ_inst_5_14_P,Age_per_att_educ_inst_15_19_M,Age_per_att_educ_inst_15_19_F,Age_per_att_educ_inst_15_19_P,Age_per_att_educ_inst_20_24_M,Age_per_att_educ_inst_20_24_F,Age_per_att_educ_inst_20_24_P,Age_per_att_educ_inst_25ov_M,Age_per_att_educ_inst_25ov_F,Age_per_att_educ_inst_25ov_P,Hi_yr_sch_com_Yr_12_equiv_M,Hi_yr_sch_com_Yr_12_equiv_F,Hi_yr_sch_com_Yr_12_equiv_P,Hi_yr_sch_com_Yr_11_equiv_M,Hi_yr_sch_com_Yr_11_equiv_F,Hi_yr_sch_com_Yr_11_equiv_P,Hi_yr_sch_com_Yr_10_equiv_M,Hi_yr_sch_com_Yr_10_equiv_F,Hi_yr_sch_com_Yr_10_equiv_P,Hi_yr_sch_comp_Yr_9_equiv_M,Hi_yr_sch_comp_Yr_9_equiv_F,Hi_yr_sch_comp_Yr_9_equiv_P,Hi_yr_sch_comp_Yr_8_below_M,Hi_yr_sch_comp_Yr_8_below_F,Hi_yr_sch_comp_Yr_8_below_P,Hi_yr_sc_co_Di_not_go_to_sc_M,Hi_yr_sc_co_Di_not_go_to_sc_F,Hi_yr_sc_co_Di_not_go_to_sc_P
SOS60,95961,101511,197474,5262,4960,10226,11387,10749,22133,5386,5120,10503,6359,6227,12586,17311,16985,34293,12417,13073,25494,11078,12046,23122,10611,11972,22581,9198,10716,19915,5165,6599,11761,1787,3070,4857,312,165,476,92199,98019,190215,3762,3494,7258,3921,4028,7953,198,197,393,192,222,414,4310,4453,8756,71330,76120,147450,20235,20890,41122,76235,82012,158242,14781,15020,29801,78921,85295,164218,1419,1351,2769,10765,10143,20902,4137,4082,8220,2463,2605,5063,5534,6849,12390,45129,48806,93934,5828,6304,12133,16843,18360,35199,4151,4612,8760,2433,2701,5134,438,499,931
SOS61,105453,113412,218867,5904,5666,11576,13186,12617,25804,6246,5973,12214,6454,6314,12764,14471,14682,29152,11801,12926,24730,12439,13946,26388,13282,14776,28057,12113,13805,25916,7225,8838,16066,2333,3862,6191,207,158,369,102192,109913,212105,3264,3493,6757,5927,6473,12396,229,269,494,239,248,490,6387,6989,13378,85820,92988,178806,13538,14310,27849,92741,100714,193450,7082,7211,14292,93487,101749,195230,1457,1441,2897,12302,11781,24090,4379,4434,8820,1420,1767,3181,3201,4817,8009,32289,38415,70703,7627,8932,16555,28506,29452,57954,7415,7567,14983,4067,4071,8136,542,519,1058
SOS62,15622,15483,31104,738,658,1396,1732,1706,3442,728,671,1401,679,590,1273,1576,1600,3179,1636,1679,3315,1992,2031,4026,2530,2637,5166,2450,2336,4781,1256,1171,2431,298,399,697,42,20,61,15123,15016,30143,499,465,963,807,879,1678,39,42,86,59,40,95,901,961,1863,12571,12433,24999,1835,1961,3795,14062,13980,28045,501,570,1070,14056,14022,28080,164,161,325,1603,1585,3191,476,491,968,130,147,281,335,558,884,4668,5472,10141,1133,1200,2335,4447,3920,8370,1157,1054,2208,632,452,1091,29,38,67
SOS63,54599,51491,106089,2622,2474,5094,6653,6245,12901,3123,2746,5864,2381,2118,4502,5210,5219,10426,5993,6385,12382,7630,7761,15396,9405,9014,18414,7827,6485,14315,3167,2469,5638,591,565,1154,89,42,128,53657,50707,104364,942,786,1725,2859,2748,5608,137,115,250,105,119,227,3101,2985,6085,44486,41753,86232,6171,6176,12345,49628,46770,96400,1613,1747,3358,49359,46637,95996,597,584,1181,6133,5769,11899,2153,2058,4208,452,555,1005,1044,1844,2887,16300,19465,35762,3954,4182,8144,15977,12489,28468,3822,2681,6510,1794,995,2784,120,64,177
SOS67,299,76,378,0,0,0,0,0,5,0,4,5,9,6,15,58,13,69,67,16,78,71,18,90,63,11,77,25,9,33,4,0,3,0,0,0,8,0,13,0,0,0,299,76,378,6,0,9,0,0,0,0,0,0,3,0,5,224,61,285,34,7,42,181,59,240,16,0,16,186,61,244,0,0,0,0,0,5,3,0,3,0,0,3,0,3,8,100,34,131,21,9,27,68,13,84,3,5,6,4,0,4,0,0,0
SOS70,69642,67583,137228,4591,4388,8974,8610,8283,16890,3492,3331,6828,5770,4207,9975,12888,13310,26196,10412,10752,21165,8585,8441,17025,7457,7408,14864,5539,5167,10705,1928,1858,3789,364,448,809,2054,530,2586,59774,61666,121440,9873,5918,15788,6171,6198,12371,238,205,448,655,628,1278,7069,7030,14100,42465,40574,83039,18285,20032,38316,43550,42630,86180,15564,17265,32828,51152,50877,102030,1183,1150,2341,7671,7387,15056,2155,2283,4440,1034,1333,2372,3065,5157,8225,29059,32115,61176,5949,5292,11235,8860,7149,16005,2149,1913,4054,1608,1509,3117,361,433,796
SOS71,26274,26787,53072,1962,1736,3701,3942,3657,7593,1741,1610,3349,1594,1676,3274,4537,5165,9704,3952,4013,7963,3116,3391,6509,2946,3111,6056,1873,1747,3621,530,531,1060,81,158,242,88,91,174,23740,24420,48161,2539,2375,4910,9376,10000,19375,56,48,104,142,141,285,9575,10191,19767,18920,19502,38425,4693,4838,9534,13820,14007,27833,9433,10009,19443,20941,21631,42570,467,415,883,3464,3184,6650,828,758,1584,129,210,337,765,1332,2101,8399,10128,18529,2612,2630,5245,3897,3404,7299,1322,1223,2541,1105,1096,2201,262,298,563
SOS72,13738,13849,27586,1044,889,1933,2177,1975,4150,998,963,1958,1030,1070,2093,2198,2407,4611,1782,1843,3629,1600,1734,3331,1497,1713,3211,1116,1036,2149,271,194,469,31,31,59,35,44,75,12799,13150,25947,940,703,1639,8352,8798,17148,28,29,61,62,63,122,8442,8887,17333,11724,11857,23586,897,956,1861,4880,4673,9548,7689,8099,15779,12266,12407,24668,249,244,491,1903,1734,3639,291,312,605,39,61,93,179,335,518,2749,3352,6104,1431,1510,2944,2358,2322,4682,1187,1051,2235,1249,1242,2489,281,322,595
SOS73,24898,21242,46134,1149,1053,2204,2685,2536,5214,1266,1123,2392,1579,1205,2781,3583,2986,6564,3241,2800,6046,3576,2994,6569,3721,3365,7082,3187,2573,5758,841,541,1379,67,75,145,246,101,345,19945,19345,39290,4954,1894,6848,5180,4682,9869,49,43,93,72,92,161,5304,4822,10126,17934,15840,33768,2475,2482,4957,15766,13984,29750,4096,4359,8450,19065,17514,36581,254,245,497,2272,2161,4429,527,536,1069,121,158,272,324,691,1016,6348,7404,13752,2551,2086,4634,4932,3316,8254,1400,965,2364,1122,796,1920,233,193,423
SOS77,429,73,494,0,0,0,0,0,0,10,0,11,17,15,27,54,16,65,106,3,112,117,7,124,96,12,106,22,21,40,4,5,10,0,0,0,12,7,17,13,5,12,418,68,486,12,0,9,0,0,0,0,0,0,11,0,15,204,37,242,73,11,83,248,45,295,29,4,32,245,43,287,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,151,33,185,35,4,40,78,14,86,6,0,5,6,0,3,0,0,0
SOS80,223072,229119,452187,13719,12877,26598,28814,27106,55921,13398,13019,26420,17207,17276,34485,38635,38983,77611,34260,34928,69193,27816,28214,56022,21554,23233,44784,16208,18701,34910,8592,10452,19045,2859,4340,7199,547,595,1151,215673,222069,437742,7396,7053,14449,4248,4110,8359,116,103,219,139,159,303,4503,4373,8874,151391,153252,304641,62805,67384,130189,159006,162169,321181,54060,57568,111625,190801,196510,387314,4014,3850,7862,27632,25935,53577,10879,10837,21715,8388,9086,17474,12478,15738,28212,133840,139878,273720,8494,7972,16465,19716,21882,41596,5286,5763,11049,3542,4222,7764,827,1016,1838
SOS82,310,299,614,15,13,22,54,51,103,28,23,47,13,17,24,30,23,54,47,46,94,47,52,99,25,41,69,28,25,62,15,16,33,0,3,6,0,0,0,310,299,614,0,0,0,6,6,16,0,0,0,0,0,0,6,6,16,271,256,531,27,29,58,288,277,566,11,11,23,297,284,575,5,5,9,55,49,104,23,15,35,0,6,5,5,16,24,153,170,318,8,9,18,50,43,91,11,3,19,10,0,6,0,0,0
SOS83,360,289,649,27,15,42,29,27,51,33,19,51,55,36,87,70,60,134,30,30,61,38,32,71,30,45,74,33,21,58,6,3,9,3,5,7,0,0,0,252,248,503,107,43,151,10,8,16,0,3,4,0,0,0,15,13,22,255,216,463,49,38,93,281,232,511,28,19,45,287,237,526,7,4,14,27,27,49,23,15,34,21,12,43,25,21,43,189,165,347,9,8,13,43,36,70,11,9,16,8,4,15,0,0,0
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,870,733,1605,41,40,79,103,89,192,27,34,59,36,28,67,163,106,264,110,131,240,125,127,258,125,111,227,113,57,175,24,11,36,4,0,4,5,0,6,624,562,1186,245,175,421,3,3,6,0,0,0,0,0,0,3,3,6,395,328,721,252,231,484,320,248,571,341,320,661,560,454,1017,13,8,22,87,77,166,8,23,36,9,6,12,22,18,36,296,288,590,43,28,71,108,74,179,20,10,34,40,20,61,8,10,23
SOS92,1405,1426,2831,64,53,119,163,156,314,71,59,134,77,79,158,147,142,294,154,170,322,167,181,347,275,272,547,173,200,377,91,89,187,21,29,48,8,3,16,1168,1250,2420,238,180,415,21,34,60,4,0,9,3,0,3,32,37,70,891,910,1809,296,316,609,685,717,1403,517,516,1032,1109,1150,2259,20,18,39,132,126,257,35,30,58,8,14,24,29,43,67,522,614,1143,83,84,159,264,240,502,50,31,80,30,22,45,36,39,73
SOS93,622,385,1009,21,16,34,47,32,78,17,15,37,38,21,58,144,44,188,99,33,130,95,70,165,59,60,120,70,49,120,26,41,69,9,4,10,4,0,5,319,301,617,300,84,382,70,78,149,0,0,0,0,0,0,70,79,153,212,198,414,325,116,439,186,196,385,150,119,267,284,267,551,12,4,10,38,24,61,9,9,24,0,6,6,10,5,15,127,154,281,22,18,43,77,66,140,16,19,39,21,17,45,5,6,10
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
