SOS_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85_yr_over_M,Age_85_yr_over_F,Age_85_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Count_pers_occ_private_dwgs_M,Count_pers_occ_private_dwgs_F,Count_pers_occ_private_dwgs_P,Count_persons_other_dwgs_M,Count_persons_other_dwgs_F,Count_persons_other_dwgs_P,Indig_persons_Aboriginal_M,Indig_persons_Aboriginal_F,Indig_persons_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_pe_Bo_Abor_Trs_St_Is_M,Indig_pe_Bo_Abor_Trs_St_Is_F,Indig_pe_Bo_Abor_Trs_St_Is_P,Indigenous_persons_Tot_M,Indigenous_persons_Tot_F,Indigenous_persons_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_per_att_educ_inst_0_4_M,Age_per_att_educ_inst_0_4_F,Age_per_att_educ_inst_0_4_P,Age_per_att_educ_inst_5_14_M,Age_per_att_educ_inst_5_14_F,Age_per_att_educ_inst_5_14_P,Age_per_att_educ_inst_15_19_M,Age_per_att_educ_inst_15_19_F,Age_per_att_educ_inst_15_19_P,Age_per_att_educ_inst_20_24_M,Age_per_att_educ_inst_20_24_F,Age_per_att_educ_inst_20_24_P,Age_per_att_educ_inst_25ov_M,Age_per_att_educ_inst_25ov_F,Age_per_att_educ_inst_25ov_P,Hi_yr_sch_com_Yr_12_equiv_M,Hi_yr_sch_com_Yr_12_equiv_F,Hi_yr_sch_com_Yr_12_equiv_P,Hi_yr_sch_com_Yr_11_equiv_M,Hi_yr_sch_com_Yr_11_equiv_F,Hi_yr_sch_com_Yr_11_equiv_P,Hi_yr_sch_com_Yr_10_equiv_M,Hi_yr_sch_com_Yr_10_equiv_F,Hi_yr_sch_com_Yr_10_equiv_P,Hi_yr_sch_comp_Yr_9_equiv_M,Hi_yr_sch_comp_Yr_9_equiv_F,Hi_yr_sch_comp_Yr_9_equiv_P,Hi_yr_sch_comp_Yr_8_below_M,Hi_yr_sch_comp_Yr_8_below_F,Hi_yr_sch_comp_Yr_8_below_P,Hi_yr_sc_co_Di_not_go_to_sc_M,Hi_yr_sc_co_Di_not_go_to_sc_F,Hi_yr_sc_co_Di_not_go_to_sc_P
SOS30,1766364,1858838,3625198,108161,101638,209798,241196,228437,469636,113953,109966,223919,122802,123691,246490,256926,270845,527767,244003,261947,505947,226305,243551,469859,190049,208129,398179,152134,170056,322187,84656,97972,182628,26176,42619,68796,4961,4571,9530,1710423,1806375,3516801,55939,52460,108397,49271,51810,101082,5157,5488,10647,5196,5405,10603,59627,62705,122330,1211820,1257761,2469581,461370,508156,969531,1385236,1444901,2830132,277732,314232,591961,1465239,1541727,3006971,31211,29237,60449,225697,214432,440133,83652,86689,170336,41297,51220,92517,62309,102737,165045,842484,928042,1770527,106727,103150,209874,261250,281314,542563,62926,61030,123957,43687,50638,94326,8455,10181,18636
SOS31,475713,486726,962436,28181,26457,54640,65401,62411,127808,28779,26908,55691,25974,25469,51439,58669,60263,118935,55429,58460,113894,57491,59462,116955,59965,63345,123313,56267,57527,113792,30771,33083,63854,8788,13330,22123,1956,1159,3112,446001,468149,914148,29709,18583,48294,29941,31629,61575,3073,3059,6132,3412,3540,6948,36433,38225,74652,369542,381579,751122,63695,70364,134062,403472,419418,822888,28882,33287,62169,406243,424302,830546,6980,6749,13727,59734,57243,116974,17507,18089,35603,3721,5634,9360,8448,18674,27119,154091,180442,334532,33129,32510,65637,104500,104859,209355,25950,23646,49607,22032,21203,43238,1857,1618,3473
SOS32,75637,73588,149226,3915,3667,7586,9578,8941,18524,3870,3492,7362,3316,3140,6460,7297,7486,14786,7693,8055,15750,9426,9547,18971,11861,12227,24095,12015,10902,22915,5635,4830,10470,1028,1286,2314,281,181,465,71783,71659,143439,3858,1924,5787,6403,6545,12944,1797,1804,3603,1607,1572,3173,9802,9916,19715,59948,58248,118198,8475,9038,17516,62909,61993,124899,5233,5779,11009,65703,64968,130675,836,806,1643,8495,7971,16465,2207,2181,4386,383,620,1009,968,2287,3262,21905,25776,47678,5393,5355,10748,19019,17030,36049,4663,3658,8329,4269,3243,7516,261,181,436
SOS33,248595,224806,473398,10985,10394,21375,29939,27559,57500,14072,12865,26935,11420,9544,20966,24278,21775,46059,28372,26627,55002,36287,34321,70611,40822,37907,78733,34702,29466,64173,15041,11855,26888,2674,2492,5166,1207,563,1770,227625,218139,445767,20968,6667,27633,9820,8311,18131,817,592,1406,790,626,1416,11423,9528,20950,192350,175821,368170,26987,27980,54966,209120,195471,404587,8943,9408,18346,209623,195974,405599,2485,2336,4818,26901,24928,51824,8697,9039,17733,1702,2470,4170,2998,7160,10156,76839,88347,165184,16024,14547,30566,61313,48551,109861,13864,9352,23215,11786,7102,18885,790,552,1340
SOS37,317,65,385,0,0,0,6,0,6,8,6,11,8,9,18,69,35,102,107,7,114,77,3,79,26,5,34,23,0,23,0,0,0,0,0,0,17,10,24,9,3,12,308,61,370,5,0,5,0,0,0,0,0,0,5,0,5,76,9,87,39,12,48,89,19,109,24,7,29,82,16,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,16,69,10,0,10,36,0,33,8,0,11,4,0,7,0,0,0
SOS40,605836,633417,1239255,34574,32644,67219,74285,70332,144617,35872,34043,69913,42285,40562,82852,88267,89325,177588,82056,84941,166999,75880,78403,154288,70541,76664,147206,57243,65531,122775,32322,40191,72511,12519,20777,33295,1146,1218,2365,592119,616967,1209092,13717,16446,30165,10230,10547,20783,300,311,615,311,287,598,10844,11144,21996,411332,424981,836313,171846,185551,357402,442707,460639,903341,138814,148830,287643,518158,542803,1060962,9627,8920,18545,70858,67186,138047,28147,28372,56525,17890,19789,37677,23695,34770,58463,282168,307680,589849,79135,75119,154255,66210,69736,135950,21846,23045,44896,19048,23373,42415,5393,7122,12524
SOS41,164636,171637,336274,9079,8630,17704,20541,19876,40414,9487,8842,18328,8856,8312,17171,19413,19320,38733,18262,19198,37463,20135,21361,41496,21692,22834,44528,20610,22347,42956,12402,14437,26839,4162,6477,10636,610,198,814,158930,166901,325833,5710,4732,10440,6279,6300,12581,143,133,272,139,151,295,6565,6577,13144,132251,137551,269802,22351,24746,47100,145118,153098,298213,9069,9884,18953,147162,155447,302614,2219,2155,4372,19216,18606,37812,6528,6545,13074,1622,2323,3949,2974,6311,9287,52431,63852,116283,28704,27438,56138,26642,25843,52484,9328,8678,18004,7402,7464,14864,713,595,1308
SOS42,25937,25745,51683,1259,1251,2506,2914,2740,5653,1298,1198,2496,1141,1037,2178,2478,2573,5043,2525,2643,5167,3155,3128,6282,4211,4242,8455,4242,3906,8150,2066,2084,4153,651,955,1601,20,17,42,25123,24946,50071,817,796,1611,1478,1601,3082,15,16,33,15,17,24,1506,1634,3143,21070,20855,41929,2693,2870,5565,22437,22253,44695,1535,1646,3192,23183,23098,46281,278,300,584,2666,2503,5167,810,853,1660,197,266,462,290,769,1057,6982,8856,15830,4828,4416,9242,4684,3982,8669,1662,1318,2976,1449,1156,2602,70,68,136
SOS43,79819,69811,149628,3450,3379,6828,9468,8681,18152,4445,3942,8389,3738,3000,6734,7828,6449,14280,9068,8098,17164,11668,10591,22253,13719,12000,25719,10961,9174,20137,4611,3641,8252,865,854,1723,293,103,392,73578,68270,141847,6240,1546,7783,2149,1984,4134,40,34,74,27,24,53,2218,2040,4256,63862,56025,119882,8576,8460,17035,68498,61579,130075,3704,3617,7317,69808,62779,132582,765,778,1542,8728,8062,16788,2972,2851,5822,695,970,1665,960,2088,3043,25005,28485,53489,14085,10966,25047,13299,8912,22210,4356,2697,7056,3102,1939,5039,248,195,440
SOS47,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,17,0,17,17,0,17,7,0,7,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,3,0,3,4,0,4,0,0,0,0,0,0,0,0,0
SOS50,978179,1027301,2005481,64648,61180,125835,134627,127708,262338,60713,58103,118813,63523,62845,126375,138475,148949,287428,140711,149730,290440,124118,132138,256255,106670,115861,222529,83955,93356,177310,45355,52848,98207,15374,24582,39957,2636,2568,5203,957500,1006434,1963937,20678,20866,41544,19025,19405,38432,480,407,892,487,489,976,19995,20307,40300,587114,604198,1191319,349655,381803,731454,726344,751917,1478263,204703,229653,434358,815811,853688,1669498,18688,17393,36084,127640,121106,248750,46802,47043,93848,25125,28016,53143,31902,51689,83593,462814,514348,977167,72408,72690,145091,144706,146044,290751,32273,31594,63863,19085,23054,42140,5428,6915,12345
SOS51,200300,199476,399776,12814,11974,24782,28257,26688,54946,11570,10774,22341,10267,9654,19925,25995,26791,52783,26902,27075,53975,26243,25763,52008,25084,25011,50096,20197,20555,40752,10005,10709,20711,2966,4481,7447,750,458,1208,184770,190783,375551,15529,8690,24220,13250,13607,26861,300,273,571,416,411,832,13971,14289,28259,141843,141918,283761,37553,40412,77967,161497,163981,325477,16260,17742,34009,163509,166375,329880,3154,2993,6147,25251,23851,49095,7097,7043,14135,1382,1850,3235,3449,7698,11147,62848,74891,137740,18984,18814,37800,42626,38106,80737,9289,7688,16971,5152,4542,9697,816,669,1485
SOS52,33998,31926,65920,1935,1809,3752,4007,3776,7782,1595,1533,3128,1605,1551,3154,4051,3946,8001,4001,3816,7821,4429,3953,8375,5112,4860,9975,4676,4157,8829,2080,1914,3999,496,616,1114,84,115,194,30043,30061,60102,3956,1865,5821,5229,5620,10846,23,30,57,40,51,84,5289,5700,10991,24147,22923,47070,5057,5161,10218,25842,24348,50192,3463,3906,7369,27539,26364,53901,400,387,784,3458,3250,6705,756,791,1549,128,161,288,343,836,1179,9155,10298,19454,2953,3046,5994,8059,6854,14915,1829,1483,3309,1384,990,2378,140,149,290
SOS53,118008,84308,202315,3965,3652,7622,10455,9669,20119,4807,4197,8998,5940,3843,9785,16591,9515,26105,18116,10697,28811,19874,13079,32959,19251,14508,33753,13287,10535,23823,4877,3797,8679,840,818,1662,503,262,774,79085,75458,154547,38922,8845,47766,5315,3619,8936,80,32,105,129,44,171,5522,3699,9216,74820,58311,133126,21289,16470,37753,85767,69283,155050,7532,5845,13374,86545,70037,156579,925,899,1827,9344,8657,18000,2937,2804,5746,741,771,1508,1448,2500,3949,38750,35094,73847,10322,7637,17962,25123,15291,40411,4600,2780,7377,2491,1422,3914,472,186,652
SOS57,3003,413,3413,0,0,0,0,4,3,14,8,19,81,37,121,459,94,549,945,55,999,896,57,951,473,86,560,119,61,178,15,17,32,0,3,3,143,16,164,24,15,37,2981,399,3380,40,6,44,0,0,0,0,0,0,39,6,48,1000,174,1179,618,97,717,1404,244,1654,208,22,233,1373,231,1606,0,0,0,0,0,0,0,5,5,10,4,10,63,9,68,944,198,1141,246,22,272,366,40,402,32,6,38,4,0,4,4,0,0
