SOS_CODE_2021,Cntd_home_Cen_Nt_0_14_yr,Cntd_home_Cen_Nt_15_24_yr,Cntd_home_Cen_Nt_25_34_yr,Cntd_home_Cen_Nt_35_44_yr,Cntd_home_Cen_Nt_45_54_yr,Cntd_home_Cen_Nt_55_64_yr,Cntd_home_Cen_Nt_65_74_yr,Cntd_home_Cen_Nt_75_84_yr,Cntd_home_Cen_Nt_85_yr_over,Cntd_home_Cen_Night_Tot,Vis_from_Same_SA2_0_14,Vis_from_Same_SA2_15_24,Vis_from_Same_SA2_25_34,Vis_from_Same_SA2_35_44,Vis_from_Same_SA2_45_54,Vis_from_Same_SA2_55_64,Vis_from_Same_SA2_65_74,Vis_from_Same_SA2_75_84,Vis_from_Same_SA2_85_yr_over,Vis_from_Same_SA2_Tot,Vis_fro_Diff_SA2_NSW_0_14,Vis_fr_Diff_SA2_NSW_15_24,Vis_fr_Diff_SA2_NSW_25_34,Vis_fr_Diff_SA2_NSW_35_44,Vis_fr_Diff_SA2_NSW_45_54,Vis_fr_Diff_SA2_NSW_55_64,Vis_fr_Diff_SA2_NSW_65_74,Vis_fr_Diff_SA2_NSW_75_84,Vis_fr_Diff_SA2_NSW_85_over,Vis_fr_Diff_SA2_NSW_Tot,Vis_fro_Diff_SA2_Vic_0_14,Vis_fr_Diff_SA2_Vic_15_24,Vis_fr_Diff_SA2_Vic_25_34,Vis_fr_Diff_SA2_Vic_35_44,Vis_fr_Diff_SA2_Vic_45_54,Vis_fr_Diff_SA2_Vic_55_64,Vis_fr_Diff_SA2_Vic_65_74,Vis_fr_Diff_SA2_Vic_75_84,Vis_fr_Diff_SA2_Vic_85_over,Vis_fr_Diff_SA2_Vic_Tot,Vis_fro_Diff_SA2_Qld_0_14,Vis_fr_Diff_SA2_Qld_15_24,Vis_fr_Diff_SA2_Qld_25_34,Vis_fr_Diff_SA2_Qld_35_44,Vis_fr_Diff_SA2_Qld_45_54,Vis_fr_Diff_SA2_Qld_55_64,Vis_fr_Diff_SA2_Qld_65_74,Vis_fr_Diff_SA2_Qld_75_84,Vis_fr_Diff_SA2_Qld_85_over,Vis_fr_Diff_SA2_Qld_Tot,Vis_fro_Diff_SA2_SA_0_14,Vis_fr_Diff_SA2_SA_15_24,Vis_fr_Diff_SA2_SA_25_34,Vis_fr_Diff_SA2_SA_35_44,Vis_fr_Diff_SA2_SA_45_54,Vis_fr_Diff_SA2_SA_55_64,Vis_fr_Diff_SA2_SA_65_74,Vis_fr_Diff_SA2_SA_75_84,Vis_fr_Diff_SA2_SA_85_over,Vis_fr_Diff_SA2_SA_Tot,Vis_fro_Diff_SA2_WA_0_14,Vis_fr_Diff_SA2_WA_15_24,Vis_fr_Diff_SA2_WA_25_34,Vis_fr_Diff_SA2_WA_35_44,Vis_fr_Diff_SA2_WA_45_54,Vis_fr_Diff_SA2_WA_55_64,Vis_fr_Diff_SA2_WA_65_74,Vis_fr_Diff_SA2_WA_75_84,Vis_fr_Diff_SA2_WA_85_over,Vis_fr_Diff_SA2_WA_Tot,Vis_fro_Diff_SA2_Tas_0_14,Vis_fr_Diff_SA2_Tas_15_24,Vis_fr_Diff_SA2_Tas_25_34,Vis_fr_Diff_SA2_Tas_35_44,Vis_fr_Diff_SA2_Tas_45_54,Vis_fr_Diff_SA2_Tas_55_64,Vis_fr_Diff_SA2_Tas_65_74,Vis_fr_Diff_SA2_Tas_75_84,Vis_fr_Diff_SA2_Tas_85_over,Vis_fr_Diff_SA2_Tas_Tot,Vis_fro_Diff_SA2_NT_0_14,Vis_fr_Diff_SA2_NT_15_24,Vis_fr_Diff_SA2_NT_25_34,Vis_fr_Diff_SA2_NT_35_44,Vis_fr_Diff_SA2_NT_45_54,Vis_fr_Diff_SA2_NT_55_64,Vis_fr_Diff_SA2_NT_65_74,Vis_fr_Diff_SA2_NT_75_84,Vis_fr_Diff_SA2_NT_85_over,Vis_fr_Diff_SA2_NT_Tot,Vis_fro_Diff_SA2_ACT_0_14,Vis_fr_Diff_SA2_ACT_15_24,Vis_fr_Diff_SA2_ACT_25_34,Vis_fr_Diff_SA2_ACT_35_44,Vis_fr_Diff_SA2_ACT_45_54,Vis_fr_Diff_SA2_ACT_55_64,Vis_fr_Diff_SA2_ACT_65_74,Vis_fr_Diff_SA2_ACT_75_84,Vis_fr_Diff_SA2_ACT_85_over,Vis_fr_Diff_SA2_ACT_Tot,Vis_fro_Diff_SA2_OT_0_14,Vis_fr_Diff_SA2_OT_15_24,Vis_fr_Diff_SA2_OT_25_34,Vis_fr_Diff_SA2_OT_35_44,Vis_fr_Diff_SA2_OT_45_54,Vis_fr_Diff_SA2_OT_55_64,Vis_fr_Diff_SA2_OT_65_74,Vis_fr_Diff_SA2_OT_75_84,Vis_fr_Diff_SA2_OT_85_over,Vis_fr_Diff_SA2_OT_Tot,Vis_fro_Diff_SA2_TOT_0_14,Vis_fr_Diff_SA2_TOT_15_24,Vis_fr_Diff_SA2_TOT_25_34,Vis_fr_Diff_SA2_TOT_35_44,Vis_fr_Diff_SA2_TOT_45_54,Vis_fr_Diff_SA2_TOT_55_64,Vis_fr_Diff_SA2_TOT_65_74,Vis_fr_Diff_SA2_TOT_75_84,Vis_fr_Diff_SA2_TOT_85_over,Vis_fr_Diff_SA2_TOT_TTOT,Vis_from_Tot_Viss_0_14_yr,Vis_from_Tot_Viss_15_24_yr,Vis_from_Tot_Viss_25_34_yr,Vis_from_Tot_Viss_35_44_yr,Vis_from_Tot_Viss_45_54_yr,Vis_from_Tot_Viss_55_64_yr,Vis_from_Tot_Viss_65_74_yr,Vis_from_Tot_Viss_75_84_yr,Vis_from_Tot_Viss_85_over,Vis_from_Tot_Viss_Tot,OS_vis_0_14_yr,OS_vis_15_24_yr,OS_vis_25_34_yr,OS_vis_35_44_yr,OS_vis_45_54_yr,OS_vis_55_64_yr,OS_vis_65_74_yr,OS_vis_75_84_yr,OS_vis_85_yr_over,OS_vis_Tot,Tot_pop_pl_en_0_14_yr,Tot_pop_pl_en_15_24_yr,Tot_pop_pl_en_25_34_yr,Tot_pop_pl_en_35_44_yr,Tot_pop_pl_en_45_54_yr,Tot_pop_pl_en_55_64_yr,Tot_pop_pl_en_65_74_yr,Tot_pop_pl_en_75_84_yr,Tot_pop_pl_en_85_yr_over,Tot_pop_pl_en_Tot
SOS10,1033768,679762,859264,826096,712127,622358,475670,274973,116233,5600258,496,540,597,614,680,740,979,1189,1455,7291,13911,16741,20615,14174,12000,11488,9625,6612,4628,109793,177,387,701,453,355,461,433,251,33,3236,279,846,879,554,638,765,612,204,57,4825,28,107,168,73,80,94,98,49,7,705,39,250,228,157,148,154,116,42,4,1149,17,57,70,57,48,83,87,53,8,478,18,32,55,31,35,29,19,9,0,226,90,434,293,202,150,182,131,39,11,1530,0,3,0,3,5,3,9,0,0,23,14558,18862,23014,15705,13444,13259,11128,7241,4754,121967,15058,19403,23609,16317,14130,14000,12109,8438,6202,129262,1026,1341,2446,1740,1629,2557,2394,710,195,14029,1049852,700511,885325,844154,727882,638913,490170,284115,122624,5743546
SOS11,282574,163507,181251,172525,177131,191320,185296,117172,47903,1518679,338,386,320,338,341,529,663,586,288,3786,6697,9923,8678,6444,6977,8593,7115,3363,1550,59332,153,460,539,339,399,644,1215,618,82,4454,142,459,551,365,542,637,408,110,24,3228,26,92,106,67,104,118,130,47,7,695,11,56,60,29,47,88,73,17,5,385,14,37,38,35,47,83,115,33,6,409,11,21,29,13,23,16,11,0,0,111,113,229,254,181,211,360,320,117,17,1804,5,0,0,6,0,3,0,0,0,13,7166,11269,10250,7481,8344,10538,9389,4305,1686,70425,7500,11659,10566,7827,8685,11064,10051,4890,1975,74213,165,265,656,365,233,270,188,110,24,2281,290246,175425,192475,180712,186050,202663,195537,122166,49901,1595173
SOS12,25731,13897,13298,15128,18472,22137,20339,9929,2914,141839,48,57,31,35,60,94,79,57,19,483,1127,1031,952,875,1033,1321,1178,385,94,7993,15,42,60,43,54,73,142,57,9,505,26,75,70,71,80,88,43,12,5,478,6,12,17,12,23,22,22,12,0,129,0,12,12,8,9,9,11,0,0,65,0,15,0,6,3,13,5,0,0,44,0,5,3,0,0,4,0,4,0,18,51,36,61,55,75,135,98,28,6,547,5,0,0,0,0,0,0,0,0,4,1232,1226,1178,1082,1271,1669,1499,507,120,9773,1278,1284,1212,1118,1323,1761,1574,564,135,10257,10,27,94,31,25,21,19,8,5,241,27017,15207,14603,16279,19828,23923,21927,10503,3061,152344
SOS13,98970,58505,47458,59601,80014,90562,73236,32412,7802,548555,158,149,158,135,173,258,279,184,44,1545,3035,4259,2834,2265,2727,3430,2990,1111,350,22996,80,217,227,141,158,223,285,88,14,1429,100,378,248,167,226,295,225,73,11,1718,11,62,49,47,35,58,67,20,0,348,5,56,40,17,18,23,54,19,4,237,0,21,21,5,21,48,55,18,0,194,0,14,7,0,5,7,5,0,0,47,101,132,150,105,92,151,126,44,8,910,0,0,0,0,0,0,0,0,0,0,3337,5135,3582,2751,3276,4236,3804,1374,388,27883,3491,5281,3740,2891,3450,4500,4081,1566,430,29427,47,125,287,167,100,79,62,20,10,907,102515,63912,51485,62657,83560,95131,77380,33997,8247,578892
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,0,0,13,0,0,0,0,8,4,0,0,0,14,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,8,3,0,0,32,0,0,0,4,18,8,3,0,0,32,0,0,0,3,0,0,0,0,0,3,0,0,0,6,18,8,3,0,0,38
SOS20,879461,594298,779585,723699,616975,516063,393268,233110,101377,4837844,443,461,516,501,532,596,744,639,414,4863,207,804,812,416,421,500,360,140,36,3685,10658,15583,17730,12091,10416,9683,7800,5303,3390,92645,130,547,451,313,323,429,373,100,27,2691,66,193,224,151,116,153,118,41,16,1083,50,218,191,121,133,177,119,39,11,1056,34,139,180,92,90,135,128,42,13,861,23,77,65,36,44,40,21,3,0,324,18,85,64,39,32,33,33,8,0,312,0,0,0,0,0,0,0,0,0,0,11190,17649,19712,13255,11581,11146,8950,5677,3495,102654,11636,18116,20226,13753,12118,11741,9698,6317,3913,107519,726,1172,1768,1254,1435,2168,1945,603,151,11234,891825,613583,801583,738707,630521,529979,404915,240031,105452,4956592
SOS21,183481,100848,119963,117056,115514,118233,110802,65745,27223,958858,166,164,136,153,191,281,334,294,125,1833,114,197,201,110,161,154,133,64,25,1158,3010,4394,4554,3187,3357,3955,3293,1705,989,28446,41,72,98,62,109,164,102,20,0,667,20,60,41,39,48,60,58,18,6,353,16,23,18,27,29,40,48,11,0,216,6,11,17,16,15,31,50,10,0,156,4,9,17,14,13,16,9,4,0,89,4,10,5,9,6,6,4,4,0,52,0,0,0,0,0,0,0,0,0,0,3234,4774,4951,3461,3733,4432,3700,1831,1026,31131,3396,4931,5086,3611,3926,4716,4031,2124,1153,32967,66,110,264,186,141,165,137,50,24,1145,186943,105889,125313,120850,119585,123109,114966,67913,28404,992968
SOS22,15538,8112,8674,9911,11714,14348,12832,6322,2235,89688,11,13,24,23,22,49,58,33,17,248,24,73,61,20,29,49,31,3,0,295,968,1100,909,722,889,1059,751,254,72,6712,11,100,61,12,18,35,18,7,0,270,17,107,63,14,17,22,10,0,0,253,0,39,15,3,8,6,8,0,0,87,3,27,15,5,8,11,3,0,0,72,0,0,0,5,3,3,4,0,0,16,0,7,0,0,3,9,0,0,0,21,0,0,0,0,0,0,0,0,0,0,1019,1458,1124,785,978,1193,826,266,72,7725,1033,1475,1143,805,1002,1240,891,295,86,7974,7,20,63,15,17,16,9,5,0,155,16577,9610,9882,10736,12736,15597,13730,6625,2320,97814
SOS23,71115,43006,35653,45218,60536,68818,55848,23942,5587,409722,130,122,72,81,126,179,208,101,36,1044,61,147,92,70,64,75,68,26,4,600,1441,2175,1605,1303,1472,1893,1566,592,184,12235,12,125,100,40,38,50,62,7,0,427,11,74,34,11,24,41,40,9,5,238,14,15,26,19,14,26,24,4,0,139,9,13,7,5,12,17,12,4,0,88,4,13,14,10,7,13,3,0,0,61,6,10,5,3,3,9,4,0,0,40,0,0,0,0,0,0,0,0,0,3,1552,2569,1884,1456,1626,2121,1779,643,195,13822,1682,2688,1957,1537,1748,2294,1986,741,230,14862,39,53,118,45,42,40,32,16,4,391,72830,45749,37732,46805,62328,71155,57867,24700,5817,424976
SOS27,0,0,6,16,3,14,5,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,10,21,0,0,0,0,31,0,0,26,57,107,77,12,0,0,270,0,0,0,15,9,14,0,0,0,37,0,0,0,13,12,8,0,0,0,27,0,0,10,3,9,0,0,0,0,25,0,4,11,32,26,46,4,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,45,129,176,145,12,0,0,525,0,9,45,129,176,145,16,0,0,524,0,0,0,0,0,0,0,0,0,0,0,9,52,140,182,158,16,0,0,565
