SOS_CODE_2021,Aus_Both_prnts_born_os,Aus_Father_only_born_os,Aus_Mother_only_born_os,Aus_Both_prnts_born_Aus,Aus_bp_ns,Aus_Tot_R,Aus_Abor_Both_pare_brn_os,Aus_Abor_Father_only_brn_os,Aus_Abor_Mother_only_brn_os,Aus_Abor_Both_pare_brn_Aus,Aus_Abor_bp_ns,Aus_Aborigin_Tot_R,Chin_Both_prnts_born_os,Chin_Father_only_born_os,Chin_Mother_only_born_os,Chin_Bth_prnts_born_Aus,Chin_bp_ns,Chin_Tot_R,Croat_Both_prnts_born_os,Croat_Father_only_born_os,Croat_Mother_only_born_os,Croat_Bth_parnts_born_Aus,Croat_bp_ns,Croat_Tot_R,Dutch_Both_prnts_born_os,Dutch_Father_only_born_os,Dutch_Mother_only_born_os,Dutch_Both_prnts_born_Aus,Dutch_bp_ns,Dutch_Tot_R,Eng_Both_prnts_born_os,Eng_Father_only_born_os,Eng_Mother_only_born_os,Eng_Both_prnts_born_Aus,Eng_bp_ns,Eng_Tot_R,Fili_Both_prnts_born_os,Fili_Father_only_born_os,Fili_Mother_only_born_os,Fili_Both_prnts_born_Aus,Fili_bp_ns,Fili_Tot_R,Fren_Both_prnts_born_os,Fren_Father_only_born_os,Fren_Mother_only_born_os,Fren_Both_prnts_born_Aus,Fren_bp_ns,Fren_Tot_R,Ger_Both_prnts_born_os,Ger_Father_only_born_os,Ger_Mother_only_born_os,Ger_Both_prnts_born_Aus,Ger_bp_ns,Ger_Tot_R,Greek_Both_prnts_born_os,Greek_Father_only_born_os,Greek_Mother_only_born_os,Greek_Both_prnts_born_Aus,Greek_bp_ns,Greek_Tot_R,Hung_Bth_prnts_born_os,Hung_Father_only_born_os,Hung_Mother_only_born_os,Hung_Bth_prents_brn_Aus,Hung_bp_ns,Hung_Tot_R,Ind_Both_prnts_born_os,Ind_Father_only_born_os,Ind_Mother_only_born_os,Ind_Both_prnts_born_Aus,Ind_bp_ns,Ind_Tot_R,Irish_Both_prnts_born_os,Irish_Father_only_born_os,Irish_Mother_only_born_os,Irish_Both_prnts_born_Aus,Irish_bp_ns,Irish_Tot_R,Ital_Both_prnts_born_os,Ital_Father_only_born_os,Ital_Mother_only_born_os,Ital_Bth_prnts_born_Aus,Ital_bp_ns,Ital_Tot_R,Kor_Both_prnts_born_os,Kor_Father_only_born_os,Kor_Mother_only_born_os,Kor_Both_prnts_born_Aus,Kor_bp_ns,Kor_Tot_R,Leb_Both_prnts_born_os,Leb_Father_only_born_os,Leb_Mother_only_born_os,Leb_Bth_prents_born_Aus,Leb_bp_ns,Leb_Tot_R,Mac_Bth_parnts_born_os,Mac_Father_only_brn_os,Mac_Mother_only_brn_os,Mac_Bth_prnts_brn_Aus,Mac_bp_ns,Mac_Tot_R,Malt_Both_prnts_born_os,Malt_Father_only_born_os,Malt_Mother_only_born_os,Malt_Bth_prnts_born_Aus,Malt_bp_ns,Malt_Tot_R,Maori_Both_prnts_born_os,Maori_Father_only_born_os,Maori_Mother_only_born_os,Maori_Both_prnts_born_Aus,Maori_bp_ns,Maori_Tot_R,NZ_Both_prnts_born_os,NZ_Father_only_born_os,NZ_Mother_only_born_os,NZ_Both_prnts_born_Aus,NZ_bp_ns,NZ_Tot_R,Pol_Both_prnts_born_os,Pol_Father_only_born_os,Pol_Mother_only_born_os,Pol_Both_prnts_born_Aus,Pol_bp_ns,Pol_Tot_R,Russ_Both_prnts_born_os,Russ_Father_only_born_os,Russ_Mother_only_born_os,Russ_Bth_prnts_born_Aus,Russ_bp_ns,Russ_Tot_R,Samoan_Both_prnts_born_os,Samoan_Father_only_born_os,Samoan_Mother_only_born_os,Samoan_Bth_prnts_born_Aus,Samoan_bp_ns,Samoan_Tot_R,Scott_Both_prnts_born_os,Scott_Father_only_born_os,Scott_Mother_only_born_os,Scott_Bth_prnts_brn_Aus,Scott_bp_ns,Scott_Tot_R,Serb_Both_prnts_born_os,Serb_Father_only_born_os,Serb_Mother_only_born_os,Serb_Bth_prnts_born_Aus,Serb_bp_ns,Serb_Tot_R,SthA_Both_prnts_born_os,SthA_Father_only_born_os,SthA_Mother_only_born_os,SthA_Bth_prnts_born_Aus,SthA_bp_ns,SthA_Tot_R,Span_Both_prnts_born_os,Span_Father_only_born_os,Span_Mother_only_born_os,Span_Bth_prnts_born_Aus,Span_bp_ns,Span_Tot_R,Sri_Lkn_Bth_prnts_born_os,Sri_Lkn_Father_only_born_os,Sri_Lkn_Mother_only_born_os,Sri_Lkn_Bth_prents_brn_Aus,Sri_Lkn_bp_ns,Sri_Lkn_Tot_R,Viet_Bth_prnts_brn_os,Viet_Father_only_brn_os,Viet_Mother_only_brn_os,Viet_Bth_prnts_brn_Aus,Viet_bp_ns,Viet_Tot_R,Welsh_Both_prnts_born_os,Welsh_Father_only_born_os,Welsh_Mother_only_born_os,Welsh_Both_prnts_born_Aus,Welsh_bp_ns,Welsh_Tot_R,Oth_Both_prnts_born_os,Oth_Father_only_born_os,Oth_Mother_only_born_os,Oth_Both_prnts_born_Aus,Oth_bp_ns,Oth_Tot_R,Ancest_ns_Bth_parnts_brn_os,Ancest_ns_Fther_only_brn_os,Ancest_ns_Mther_only_brn_os,Ancest_ns_Bth_prnt_brn_Aus,Ancest_ns_bp_ns,Ancest_ns_Tot_R,Tot_P_Bth_parnts_brn_os,Tot_P_Fther_only_brn_os,Tot_P_Mther_only_brn_os,Tot_P_Bth_prnts_brn_Aus,Tot_P_bp_ns,Tot_P_Tot_R
SOS10,93026,181284,136972,934013,10637,1355935,1627,7185,3713,96146,1314,109986,517560,9041,15841,14088,3298,559829,28687,4599,2705,10474,303,46773,25047,8607,5292,16852,235,56034,347200,144290,104132,836917,11608,1444152,118227,3698,11095,2690,500,136213,21744,3177,2534,9168,160,36780,49350,13097,9562,70936,950,143899,69995,13402,7138,39018,719,130272,12552,2627,1402,4288,103,20967,233217,4219,3330,2344,499,243615,88322,35726,24510,304361,2403,455320,110960,29015,13603,84166,1351,239101,66575,717,2155,651,278,70380,105488,24516,10948,28590,749,170293,28673,3713,2153,6982,245,41771,24667,7696,4200,22221,335,59119,21116,4667,2873,2488,251,31390,20345,8120,5779,4231,207,38683,28473,4549,3673,9873,224,46795,22313,1951,2152,3950,180,30543,25082,3619,1482,1021,316,31523,76047,34213,24819,234312,1811,371197,25163,2601,1745,3315,170,32996,24632,3798,2815,1235,115,32595,34743,2346,2100,4328,263,43780,16569,1107,855,769,56,19360,111873,2175,3759,2182,683,120664,12288,3604,2417,12375,99,30782,900125,65758,53320,72055,6014,1097269,47626,3321,2489,15891,267096,336424,2845714,375838,273712,1929450,304800,5729517
SOS11,7647,49308,35687,544799,7203,644641,270,3299,1651,107532,1749,114511,10429,664,980,3299,128,15499,2361,626,271,1613,69,4937,8420,3044,1967,6984,118,20540,74989,46287,32882,494572,7886,656608,10224,384,2206,638,116,13558,3024,675,511,3785,50,8052,11885,4393,3046,46695,553,66564,2658,948,414,3295,55,7375,1864,524,240,1072,31,3730,12728,641,424,695,62,14547,15856,10127,6650,156054,1605,190282,10961,4665,1708,21875,279,39484,1325,74,142,63,10,1610,1272,573,231,1492,30,3601,671,179,71,367,7,1294,2934,1171,690,4149,58,9005,3099,1214,709,1200,49,6279,3741,2379,1590,1705,85,9509,4066,1035,626,3150,66,8944,1666,338,306,964,43,3322,1242,419,149,158,24,1992,19517,11948,8441,125938,1200,167038,1168,235,88,416,14,1920,3170,670,520,382,21,4764,2713,367,261,1370,36,4745,938,152,138,148,7,1379,2265,98,227,62,16,2668,3055,1180,658,4701,57,9663,60284,10650,7979,20568,899,100372,3071,674,487,12024,94605,110868,233363,91256,64087,1091700,112496,1592895
SOS12,635,4886,3576,53437,612,63145,19,316,163,9997,190,10693,549,72,86,329,8,1046,201,56,44,149,6,450,890,378,227,608,17,2130,8014,4500,3403,47259,783,63963,541,35,156,73,12,822,308,68,65,325,0,772,1311,506,317,4355,72,6559,282,119,38,345,6,791,202,76,29,94,3,408,391,51,34,54,3,542,1703,973,686,14645,152,18152,1012,456,213,1983,17,3675,59,3,23,6,7,99,132,68,29,124,0,356,61,15,5,34,0,116,395,170,78,460,3,1107,224,117,71,82,4,500,384,231,155,175,7,946,406,109,67,284,0,865,180,40,29,123,6,382,54,28,4,5,15,97,2072,1195,836,12503,157,16759,93,16,6,32,0,153,289,42,43,41,0,416,204,34,29,152,0,417,42,21,10,17,0,89,92,0,15,7,0,119,349,92,77,461,9,988,3590,958,804,2024,85,7456,177,43,59,1161,9819,11262,19416,9039,6504,105621,11511,152099
SOS13,2763,17141,13590,201766,2217,237476,64,705,456,22514,319,24057,3373,207,325,1106,45,5044,1262,297,172,779,29,2534,3723,1239,885,2329,65,8242,27823,15902,12185,174221,2486,232622,1475,100,447,142,26,2191,1111,260,191,1298,16,2877,5359,1673,1418,16286,233,24962,1214,416,178,1235,29,3067,709,204,92,305,10,1316,1673,208,162,207,14,2262,6072,3698,2541,56278,606,69197,6475,2226,814,9476,134,19114,315,12,44,26,0,395,2050,533,247,1112,15,3963,320,71,21,159,5,572,4008,961,561,3998,51,9578,738,297,208,266,13,1532,1424,740,645,547,25,3381,1449,385,243,920,33,3030,689,138,119,331,10,1294,229,85,55,40,4,417,6930,4093,3180,48651,468,63325,607,100,59,190,14,968,1215,246,165,139,6,1768,779,120,80,466,14,1463,166,48,38,33,4,297,445,15,78,26,4,576,1060,351,222,1647,18,3293,15114,3512,2946,6817,298,28682,780,223,180,4141,43331,48652,80722,32743,24559,391061,48909,577987
SOS17,0,0,4,19,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,4,26,0,32
SOS20,75093,150704,114713,818345,9321,1168176,1200,2411,1353,28853,489,34307,382740,5775,11255,10199,2035,412011,27911,4286,2316,9091,294,43908,30957,11183,6989,24627,306,74064,280516,125313,92857,770132,10252,1279074,71190,1763,7031,1502,269,81755,15925,2522,1855,8022,137,28464,43210,13689,9565,76190,956,143614,99435,16123,8465,44602,1036,169660,11855,2450,1422,4561,138,20424,248052,4604,3256,2532,510,258953,67024,31948,21949,299042,2310,422263,146867,35753,16920,117750,1858,319148,18466,233,782,243,51,19781,30098,6861,3201,6411,230,46802,31116,4253,2409,8138,260,46185,30776,7467,4407,20213,358,63216,15688,2321,1715,1213,158,21086,17836,6172,4578,2606,152,31346,30413,5374,4101,11861,271,52020,18067,1638,1751,2982,139,24585,17159,1491,681,283,204,19817,66507,31085,23540,236846,1839,359816,20778,2169,1350,2515,215,27023,16335,2759,2199,1037,81,22415,18521,1552,1343,3256,126,24798,40840,2842,1995,2208,163,48046,109295,1900,3654,1783,524,117153,8698,2656,1874,10065,88,23381,749660,50931,42482,60590,5198,908854,40580,2535,1997,14875,203809,263803,2400599,317604,232860,1757800,236494,4945361
SOS21,7564,32410,22835,311134,4809,378754,149,859,446,19193,360,20997,8394,366,591,1840,86,11275,2671,633,304,1358,52,5017,8380,3089,1952,7650,153,21228,50464,29162,21312,285338,4986,391263,8823,255,1354,302,86,10823,1503,340,255,2015,32,4132,8385,3165,2267,29018,417,43258,3319,973,430,2828,65,7609,1498,377,174,794,33,2870,14521,541,249,375,40,15731,10764,6837,4342,94922,1108,117970,13657,4737,2029,22463,361,43242,501,12,61,25,0,597,681,198,76,480,15,1452,1209,288,125,632,16,2271,5289,1692,974,5080,88,13124,2189,513,424,421,38,3587,2596,1411,994,802,31,5832,3278,813,432,2400,47,6970,882,178,140,515,16,1726,2486,252,123,75,15,2956,13387,7582,5500,80067,898,107429,1455,238,132,382,20,2226,1633,350,218,200,19,2414,1544,250,161,831,23,2806,1507,241,132,203,7,2087,2790,79,214,75,26,3186,1850,601,376,2625,27,5479,55416,6585,4834,11826,687,79346,3166,534,392,7638,51723,63458,199643,60834,42431,625597,63332,991828
SOS22,496,3294,2363,32915,570,39635,15,52,32,1430,31,1560,439,19,53,227,5,749,191,54,16,156,0,428,962,354,225,825,17,2378,5644,3126,2319,29528,626,41244,428,14,89,17,11,562,172,43,48,193,5,466,946,338,218,2938,54,4495,252,82,42,193,3,577,153,40,16,59,0,262,347,41,24,33,3,454,1198,738,523,10114,150,12724,923,354,155,1806,34,3281,22,0,4,0,0,28,34,16,5,37,0,97,68,14,8,42,0,139,356,134,63,300,13,864,155,51,25,28,4,263,233,108,75,60,9,483,311,80,56,191,7,642,77,27,15,40,0,166,33,11,0,0,0,49,1406,864,540,8869,126,11802,79,10,10,20,0,128,158,34,24,16,0,228,131,23,15,94,0,265,43,28,20,24,4,112,82,0,11,8,0,101,206,53,58,267,3,588,2538,580,449,1170,56,4798,152,51,34,868,6266,7375,14546,6124,4325,65048,7617,97656
SOS23,2101,12863,9895,144844,1914,171624,43,206,133,5042,80,5502,1881,115,199,797,32,3027,1023,205,92,464,20,1803,4503,1592,1009,3394,86,10577,21186,11972,9286,127012,2166,171628,1500,22,366,71,20,1983,667,121,128,937,16,1875,4091,1326,1048,13039,209,19714,1485,368,147,1013,27,3036,617,167,87,253,10,1131,1098,106,88,128,5,1428,4447,2840,1990,43376,594,53251,6121,1949,777,8770,161,17770,91,5,15,6,0,119,358,125,73,148,4,708,471,84,26,196,15,792,1898,516,311,1323,27,4072,542,136,114,112,8,916,1150,497,428,283,24,2382,1285,315,210,739,22,2568,449,68,51,203,8,781,200,24,11,10,0,243,5468,3112,2522,38777,454,50326,466,76,35,110,3,693,623,114,120,77,4,930,447,68,58,328,12,902,250,83,46,70,5,458,452,33,62,17,14,576,768,221,153,1166,22,2329,10484,2205,1784,4647,227,19346,654,197,167,3505,31274,35793,61740,24261,18083,284453,36043,424590
SOS27,0,11,6,44,0,60,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,13,18,9,8,42,0,72,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,7,0,4,9,0,15,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,23,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,8,0,0,5,0,14,0,0,0,0,385,385,52,9,17,98,387,565
